Rank,Club,Country,Level,Elo,From,To
55,Alaves,ESP,1,1673.45678711,2020-01-02,2020-01-05
57,Alaves,ESP,1,1672.1072998,2020-01-06,2020-01-10
58,Alaves,ESP,1,1672.1072998,2020-01-11,2020-01-12
59,Alaves,ESP,1,1672.1072998,2020-01-13,2020-01-18
55,Alaves,ESP,1,1682.60107422,2020-01-19,2020-01-22
56,Alaves,ESP,1,1682.60107422,2020-01-23,2020-01-25
58,Alaves,ESP,1,1674.00402832,2020-01-26,2020-02-02
55,Alaves,ESP,1,1678.96252441,2020-02-03,2020-02-05
56,Alaves,ESP,1,1678.96252441,2020-02-06,2020-02-07
51,Alaves,ESP,1,1685.63049316,2020-02-08,2020-02-08
53,Alaves,ESP,1,1685.63049316,2020-02-09,2020-02-09
52,Alaves,ESP,1,1685.63049316,2020-02-10,2020-02-15
58,Alaves,ESP,1,1676.50512695,2020-02-16,2020-02-17
59,Alaves,ESP,1,1676.50512695,2020-02-18,2020-02-18
58,Alaves,ESP,1,1678.76342773,2020-02-19,2020-02-19
59,Alaves,ESP,1,1674.1003418,2020-02-20,2020-02-20
61,Alaves,ESP,1,1674.10510254,2020-02-21,2020-02-23
56,Alaves,ESP,1,1681.47998047,2020-02-24,2020-02-25
55,Alaves,ESP,1,1681.42492676,2020-02-26,2020-02-26
58,Alaves,ESP,1,1679.63769531,2020-02-27,2020-02-27
54,Alaves,ESP,1,1680.64941406,2020-02-28,2020-02-28
55,Alaves,ESP,1,1680.64941406,2020-02-29,2020-02-29
56,Alaves,ESP,1,1681.37072754,2020-03-01,2020-03-01
57,Alaves,ESP,1,1681.37072754,2020-03-02,2020-03-06
56,Alaves,ESP,1,1681.91210938,2020-03-07,2020-03-07
54,Alaves,ESP,1,1681.91210938,2020-03-08,2020-03-08
53,Alaves,ESP,1,1681.91210938,2020-03-09,2020-03-10
53,Alaves,ESP,1,1680.33654785,2020-03-11,2020-03-11
49,Alaves,ESP,1,1687.12097168,2020-03-12,2020-03-12
47,Alaves,ESP,1,1687.12097168,2020-03-13,2020-03-14
48,Alaves,ESP,1,1687.12097168,2020-03-15,2020-05-16
46,Alaves,ESP,1,1687.12097168,2020-05-17,2020-05-27
47,Alaves,ESP,1,1687.12097168,2020-05-28,2020-05-30
48,Alaves,ESP,1,1687.12097168,2020-05-31,2020-06-12
49,Alaves,ESP,1,1687.12097168,2020-06-13,2020-06-13
55,Alaves,ESP,1,1677.08618164,2020-06-14,2020-06-17
54,Alaves,ESP,1,1677.08618164,2020-06-18,2020-06-18
