Rank,Club,Country,Level,Elo,From,To
25,Atalanta,ITA,1,1769.24377441,2020-01-02,2020-01-06
23,Atalanta,ITA,1,1774.67407227,2020-01-07,2020-01-11
23,Atalanta,ITA,1,1777.36914062,2020-01-12,2020-01-17
24,Atalanta,ITA,1,1777.36914062,2020-01-18,2020-01-20
25,Atalanta,ITA,1,1762.06689453,2020-01-21,2020-01-25
24,Atalanta,ITA,1,1780.59436035,2020-01-26,2020-02-02
24,Atalanta,ITA,1,1773.16845703,2020-02-03,2020-02-08
24,Atalanta,ITA,1,1778.1673584,2020-02-09,2020-02-09
23,Atalanta,ITA,1,1778.1673584,2020-02-10,2020-02-14
22,Atalanta,ITA,1,1778.1673584,2020-02-15,2020-02-15
22,Atalanta,ITA,1,1783.29064941,2020-02-16,2020-02-19
20,Atalanta,ITA,1,1803.94946289,2020-02-20,2020-02-20
18,Atalanta,ITA,1,1806.59606934,2020-02-21,2020-02-23
17,Atalanta,ITA,1,1806.59606934,2020-02-24,2020-02-25
17,Atalanta,ITA,1,1806.65881348,2020-02-26,2020-02-26
17,Atalanta,ITA,1,1804.26757812,2020-02-27,2020-02-27
17,Atalanta,ITA,1,1805.72412109,2020-02-28,2020-02-28
16,Atalanta,ITA,1,1805.72412109,2020-02-29,2020-03-01
14,Atalanta,ITA,1,1811.6550293,2020-03-02,2020-03-07
15,Atalanta,ITA,1,1811.6550293,2020-03-08,2020-03-10
14,Atalanta,ITA,1,1818.68933105,2020-03-11,2020-03-12
13,Atalanta,ITA,1,1818.68933105,2020-03-13,2020-05-18
14,Atalanta,ITA,1,1818.68933105,2020-05-19,2020-05-26
13,Atalanta,ITA,1,1818.68933105,2020-05-27,2020-06-21
13,Atalanta,ITA,1,1822.76428223,2020-06-22,2020-06-24
13,Atalanta,ITA,1,1827.97705078,2020-06-25,2020-06-28
13,Atalanta,ITA,1,1831.07055664,2020-06-29,2020-07-01
12,Atalanta,ITA,1,1831.07055664,2020-07-02,2020-07-02
12,Atalanta,ITA,1,1838.62036133,2020-07-03,2020-07-05
11,Atalanta,ITA,1,1842.0357666,2020-07-06,2020-07-08
11,Atalanta,ITA,1,1844.67407227,2020-07-09,2020-07-11
11,Atalanta,ITA,1,1847.62329102,2020-07-12,2020-07-14
11,Atalanta,ITA,1,1849.40319824,2020-07-15,2020-07-18
11,Atalanta,ITA,1,1843.37915039,2020-07-19,2020-07-21
11,Atalanta,ITA,1,1845.34155273,2020-07-22,2020-07-24
11,Atalanta,ITA,1,1844.18017578,2020-07-25,2020-07-28
11,Atalanta,ITA,1,1847.24267578,2020-07-29,2020-08-01
12,Atalanta,ITA,1,1832.70300293,2020-08-02,2020-08-05
11,Atalanta,ITA,1,1835.99450684,2020-08-06,2020-08-06
13,Atalanta,ITA,1,1832.73876953,2020-08-07,2020-08-07
14,Atalanta,ITA,1,1830.29663086,2020-08-08,2020-08-08
14,Atalanta,ITA,1,1828.61352539,2020-08-09,2020-08-10
14,Atalanta,ITA,1,1831.23034668,2020-08-11,2020-08-12
15,Atalanta,ITA,1,1823.27111816,2020-08-13,2020-08-15
14,Atalanta,ITA,1,1823.27111816,2020-08-16,2020-08-17
14,Atalanta,ITA,1,1828.81079102,2020-08-18,2020-08-21
14,Atalanta,ITA,1,1825.86865234,2020-08-22,2020-09-17
14,Atalanta,ITA,1,1826.16564941,2020-09-18,2020-09-24
14,Atalanta,ITA,1,1826.81311035,2020-09-25,2020-09-26
14,Atalanta,ITA,1,1831.58154297,2020-09-27,2020-09-30
12,Atalanta,ITA,1,1842.91723633,2020-10-01,2020-10-01
12,Atalanta,ITA,1,1841.1697998,2020-10-02,2020-10-04
12,Atalanta,ITA,1,1844.53955078,2020-10-05,2020-10-17
