Rank,Club,Country,Level,Elo,From,To
84,Augsburg,GER,1,1630.67358398,2020-01-02,2020-01-10
83,Augsburg,GER,1,1630.67358398,2020-01-11,2020-01-12
82,Augsburg,GER,1,1630.67358398,2020-01-13,2020-01-17
83,Augsburg,GER,1,1630.67358398,2020-01-18,2020-01-18
90,Augsburg,GER,1,1624.04370117,2020-01-19,2020-01-19
89,Augsburg,GER,1,1624.04370117,2020-01-20,2020-01-20
88,Augsburg,GER,1,1624.04370117,2020-01-21,2020-01-25
91,Augsburg,GER,1,1612.74328613,2020-01-26,2020-01-28
90,Augsburg,GER,1,1612.74328613,2020-01-29,2020-02-01
88,Augsburg,GER,1,1619.52246094,2020-02-02,2020-02-07
91,Augsburg,GER,1,1609.31164551,2020-02-08,2020-02-08
90,Augsburg,GER,1,1609.31164551,2020-02-09,2020-02-09
91,Augsburg,GER,1,1609.31164551,2020-02-10,2020-02-15
90,Augsburg,GER,1,1608.26550293,2020-02-16,2020-02-16
92,Augsburg,GER,1,1608.26550293,2020-02-17,2020-02-18
91,Augsburg,GER,1,1609.73535156,2020-02-19,2020-02-19
90,Augsburg,GER,1,1612.72583008,2020-02-20,2020-02-20
85,Augsburg,GER,1,1620.8347168,2020-02-21,2020-02-23
89,Augsburg,GER,1,1616.02783203,2020-02-24,2020-02-25
86,Augsburg,GER,1,1619.1282959,2020-02-26,2020-02-26
87,Augsburg,GER,1,1619.1282959,2020-02-27,2020-02-27
82,Augsburg,GER,1,1628.30883789,2020-02-28,2020-02-28
81,Augsburg,GER,1,1629.83752441,2020-02-29,2020-02-29
86,Augsburg,GER,1,1624.12658691,2020-03-01,2020-03-01
88,Augsburg,GER,1,1624.12658691,2020-03-02,2020-03-03
87,Augsburg,GER,1,1624.12658691,2020-03-04,2020-03-04
86,Augsburg,GER,1,1624.12658691,2020-03-05,2020-03-07
85,Augsburg,GER,1,1624.12658691,2020-03-08,2020-03-08
86,Augsburg,GER,1,1622.75463867,2020-03-09,2020-03-10
83,Augsburg,GER,1,1626.63537598,2020-03-11,2020-03-11
87,Augsburg,GER,1,1622.25683594,2020-03-12,2020-03-12
90,Augsburg,GER,1,1613.63183594,2020-03-13,2020-03-15
89,Augsburg,GER,1,1613.63183594,2020-03-16,2020-05-16
95,Augsburg,GER,1,1607.03088379,2020-05-17,2020-05-24
83,Augsburg,GER,1,1626.05114746,2020-05-25,2020-05-27
86,Augsburg,GER,1,1621.93969727,2020-05-28,2020-05-30
89,Augsburg,GER,1,1613.64123535,2020-05-31,2020-06-07
90,Augsburg,GER,1,1613.04956055,2020-06-08,2020-06-13
89,Augsburg,GER,1,1613.04956055,2020-06-14,2020-06-14
85,Augsburg,GER,1,1622.53527832,2020-06-15,2020-06-17
89,Augsburg,GER,1,1612.59899902,2020-06-18,2020-06-20
88,Augsburg,GER,1,1613.58483887,2020-06-21,2020-06-27
88,Augsburg,GER,1,1610.11230469,2020-06-28,2020-06-30
89,Augsburg,GER,1,1610.11230469,2020-07-01,2020-07-01
90,Augsburg,GER,1,1610.11230469,2020-07-02,2020-07-04
88,Augsburg,GER,1,1610.11230469,2020-07-05,2020-07-08
87,Augsburg,GER,1,1610.11230469,2020-07-09,2020-07-09
88,Augsburg,GER,1,1610.11230469,2020-07-10,2020-07-12
89,Augsburg,GER,1,1610.11230469,2020-07-13,2020-07-15
90,Augsburg,GER,1,1610.11230469,2020-07-16,2020-07-16
92,Augsburg,GER,1,1610.11230469,2020-07-17,2020-07-17
91,Augsburg,GER,1,1610.11230469,2020-07-18,2020-07-22
90,Augsburg,GER,1,1610.11230469,2020-07-23,2020-07-26
89,Augsburg,GER,1,1610.11230469,2020-07-27,2020-07-29
90,Augsburg,GER,1,1610.11230469,2020-07-30,2020-08-03
91,Augsburg,GER,1,1610.11230469,2020-08-04,2020-08-05
94,Augsburg,GER,1,1606.43200684,2020-08-06,2020-08-06
95,Augsburg,GER,1,1604.72119141,2020-08-07,2020-08-07
96,Augsburg,GER,1,1604.72119141,2020-08-08,2020-08-08
95,Augsburg,GER,1,1605.1081543,2020-08-09,2020-08-09
94,Augsburg,GER,1,1605.1081543,2020-08-10,2020-08-10
97,Augsburg,GER,1,1602.59509277,2020-08-11,2020-08-11
98,Augsburg,GER,1,1602.59509277,2020-08-12,2020-08-13
95,Augsburg,GER,1,1605.99645996,2020-08-14,2020-08-14
90,Augsburg,GER,1,1611.75390625,2020-08-15,2020-08-16
89,Augsburg,GER,1,1611.75390625,2020-08-17,2020-08-18
93,Augsburg,GER,1,1607.91967773,2020-08-19,2020-08-19
90,Augsburg,GER,1,1609.15600586,2020-08-20,2020-08-21
91,Augsburg,GER,1,1609.15600586,2020-08-22,2020-08-23
89,Augsburg,GER,1,1610.94433594,2020-08-24,2020-08-26
90,Augsburg,GER,1,1610.94433594,2020-08-27,2020-08-27
89,Augsburg,GER,1,1610.94433594,2020-08-28,2020-08-30
92,Augsburg,GER,1,1610.94433594,2020-08-31,2020-09-12
93,Augsburg,GER,1,1610.94433594,2020-09-13,2020-09-13
92,Augsburg,GER,1,1610.94433594,2020-09-14,2020-09-15
93,Augsburg,GER,1,1610.94433594,2020-09-16,2020-09-17
95,Augsburg,GER,1,1611.79077148,2020-09-18,2020-09-19
83,Augsburg,GER,1,1624.11950684,2020-09-20,2020-09-21
84,Augsburg,GER,1,1624.11950684,2020-09-22,2020-09-24
84,Augsburg,GER,1,1625.27978516,2020-09-25,2020-09-26
71,Augsburg,GER,1,1642.96325684,2020-09-27,2020-09-27
72,Augsburg,GER,1,1642.96325684,2020-09-28,2020-09-29
73,Augsburg,GER,1,1642.96325684,2020-09-30,2020-09-30
72,Augsburg,GER,1,1642.96325684,2020-10-01,2020-10-01
75,Augsburg,GER,1,1639.64929199,2020-10-02,2020-10-03
74,Augsburg,GER,1,1639.64929199,2020-10-04,2020-10-04
70,Augsburg,GER,1,1642.74816895,2020-10-05,2020-10-11
69,Augsburg,GER,1,1642.74816895,2020-10-12,2020-10-17
78,Augsburg,GER,1,1637.22155762,2020-10-18,2020-10-18
77,Augsburg,GER,1,1637.22155762,2020-10-19,2020-10-20
81,Augsburg,GER,1,1633.10888672,2020-10-21,2020-10-21
75,Augsburg,GER,1,1637.17944336,2020-10-22,2020-10-22
73,Augsburg,GER,1,1641.49975586,2020-10-23,2020-10-26
76,Augsburg,GER,1,1636.80163574,2020-10-27,2020-10-27
75,Augsburg,GER,1,1638.07910156,2020-10-28,2020-10-28
78,Augsburg,GER,1,1634.5111084,2020-10-29,2020-10-29
80,Augsburg,GER,1,1632.77380371,2020-10-30,2020-10-31
72,Augsburg,GER,1,1641.51257324,2020-11-01,2020-11-01
74,Augsburg,GER,1,1641.51257324,2020-11-02,2020-11-02
75,Augsburg,GER,1,1641.51257324,2020-11-03,2020-11-03
68,Augsburg,GER,1,1651.71533203,2020-11-04,2020-11-04
66,Augsburg,GER,1,1657.17468262,2020-11-05,2020-11-05
64,Augsburg,GER,1,1659.06616211,2020-11-06,2020-11-07
76,Augsburg,GER,1,1643.17773438,2020-11-08,2020-11-08
77,Augsburg,GER,1,1643.17773438,2020-11-09,2020-11-14
78,Augsburg,GER,1,1643.17773438,2020-11-15,2020-11-21
76,Augsburg,GER,1,1648.52941895,2020-11-22,2020-11-24
76,Augsburg,GER,1,1647.86645508,2020-11-25,2020-11-25
73,Augsburg,GER,1,1651.71374512,2020-11-26,2020-11-26
73,Augsburg,GER,1,1653.32727051,2020-11-27,2020-11-28
73,Augsburg,GER,1,1652.38818359,2020-11-29,2020-12-01
76,Augsburg,GER,1,1648.40551758,2020-12-02,2020-12-02
75,Augsburg,GER,1,1647.68054199,2020-12-03,2020-12-03
74,Augsburg,GER,1,1648.64782715,2020-12-04,2020-12-07
78,Augsburg,GER,1,1642.10668945,2020-12-08,2020-12-08
76,Augsburg,GER,1,1645.67004395,2020-12-09,2020-12-09
76,Augsburg,GER,1,1643.5189209,2020-12-10,2020-12-10
76,Augsburg,GER,1,1646.65148926,2020-12-11,2020-12-12
78,Augsburg,GER,1,1646.65148926,2020-12-13,2020-12-13
78,Augsburg,GER,1,1644.27502441,2020-12-14,2020-12-16
75,Augsburg,GER,1,1651.78442383,2020-12-17,2020-12-19
80,Augsburg,GER,1,1642.26843262,2020-12-20,2020-12-20
79,Augsburg,GER,1,1642.26843262,2020-12-21,2020-12-22
80,Augsburg,GER,1,1642.26843262,2020-12-23,2020-12-23
81,Augsburg,GER,1,1642.26843262,2020-12-24,2020-12-30
80,Augsburg,GER,1,1642.26843262,2020-12-31,2021-01-02
75,Augsburg,GER,1,1650.65527344,2021-01-03,2021-01-09
76,Augsburg,GER,1,1650.65527344,2021-01-10,2021-01-10
79,Augsburg,GER,1,1635.84936523,2021-01-11,2021-01-13
80,Augsburg,GER,1,1635.84936523,2021-01-14,2021-01-16
84,Augsburg,GER,1,1626.48864746,2021-01-17,2021-01-17
85,Augsburg,GER,1,1626.48864746,2021-01-18,2021-01-19
86,Augsburg,GER,1,1626.48864746,2021-01-20,2021-01-20
86,Augsburg,GER,1,1625.31750488,2021-01-21,2021-01-23
79,Augsburg,GER,1,1634.55126953,2021-01-24,2021-01-24
78,Augsburg,GER,1,1634.55126953,2021-01-25,2021-01-29
76,Augsburg,GER,1,1634.55126953,2021-01-30,2021-01-30
81,Augsburg,GER,1,1630.35693359,2021-01-31,2021-01-31
79,Augsburg,GER,1,1630.35693359,2021-02-01,2021-02-01
78,Augsburg,GER,1,1630.35693359,2021-02-02,2021-02-02
79,Augsburg,GER,1,1630.35693359,2021-02-03,2021-02-06
85,Augsburg,GER,1,1623.23669434,2021-02-07,2021-02-07
86,Augsburg,GER,1,1623.23669434,2021-02-08,2021-02-12
87,Augsburg,GER,1,1621.04919434,2021-02-13,2021-02-13
89,Augsburg,GER,1,1621.04919434,2021-02-14,2021-02-14
90,Augsburg,GER,1,1621.04919434,2021-02-15,2021-02-16
91,Augsburg,GER,1,1617.18029785,2021-02-17,2021-02-17
88,Augsburg,GER,1,1620.73327637,2021-02-18,2021-02-18
91,Augsburg,GER,1,1619.18273926,2021-02-19,2021-02-19
92,Augsburg,GER,1,1619.18273926,2021-02-20,2021-02-20
89,Augsburg,GER,1,1619.18273926,2021-02-21,2021-02-21
87,Augsburg,GER,1,1623.54443359,2021-02-22,2021-02-23
86,Augsburg,GER,1,1624.66113281,2021-02-24,2021-02-24
87,Augsburg,GER,1,1623.50488281,2021-02-25,2021-02-25
91,Augsburg,GER,1,1606.11914062,2021-02-26,2021-02-27
93,Augsburg,GER,1,1606.11914062,2021-02-28,2021-02-28
88,Augsburg,GER,1,1615.60083008,2021-03-01,2021-03-06
93,Augsburg,GER,1,1608.44921875,2021-03-07,2021-03-08
92,Augsburg,GER,1,1608.44921875,2021-03-09,2021-03-09
91,Augsburg,GER,1,1608.99023438,2021-03-10,2021-03-10
92,Augsburg,GER,1,1606.45532227,2021-03-11,2021-03-11
93,Augsburg,GER,1,1606.45532227,2021-03-12,2021-03-12
88,Augsburg,GER,1,1621.66174316,2021-03-13,2021-03-14
87,Augsburg,GER,1,1621.66174316,2021-03-15,2021-03-16
87,Augsburg,GER,1,1621.49902344,2021-03-17,2021-03-17
88,Augsburg,GER,1,1621.51013184,2021-03-18,2021-03-18
87,Augsburg,GER,1,1621.51013184,2021-03-19,2021-03-20
84,Augsburg,GER,1,1621.51013184,2021-03-21,2021-03-21
91,Augsburg,GER,1,1613.86132812,2021-03-22,2021-04-01
