Rank,Club,Country,Level,Elo,From,To
None,Auxerre,FRA,2,1364.07836914,2020-01-11,2020-01-24
None,Auxerre,FRA,2,1370.93847656,2020-01-25,2020-01-31
None,Auxerre,FRA,2,1365.79321289,2020-02-01,2020-02-04
None,Auxerre,FRA,2,1366.22424316,2020-02-05,2020-02-07
None,Auxerre,FRA,2,1377.44848633,2020-02-08,2020-02-14
None,Auxerre,FRA,2,1374.44396973,2020-02-15,2020-02-18
None,Auxerre,FRA,2,1372.81750488,2020-02-19,2020-02-24
None,Auxerre,FRA,2,1366.2479248,2020-02-25,2020-02-26
None,Auxerre,FRA,2,1368.84655762,2020-02-27,2020-02-28
None,Auxerre,FRA,2,1376.90722656,2020-02-29,2020-03-06
None,Auxerre,FRA,2,1371.46325684,2020-03-07,2020-03-11
None,Auxerre,FRA,2,1376.41027832,2020-03-12,2020-08-07
None,Auxerre,FRA,2,1379.09448242,2020-08-08,2020-08-12
None,Auxerre,FRA,2,1381.43762207,2020-08-13,2020-08-15
None,Auxerre,FRA,2,1389.64501953,2020-08-16,2020-08-18
None,Auxerre,FRA,2,1394.04980469,2020-08-19,2020-08-19
None,Auxerre,FRA,2,1392.63085938,2020-08-20,2020-08-22
None,Auxerre,FRA,2,1378.1706543,2020-08-23,2020-08-23
None,Auxerre,FRA,2,1376.12023926,2020-08-24,2020-08-29
None,Auxerre,FRA,2,1385.94116211,2020-08-30,2020-09-12
None,Auxerre,FRA,2,1378.62158203,2020-09-13,2020-09-17
None,Auxerre,FRA,2,1381.07434082,2020-09-18,2020-09-21
None,Auxerre,FRA,2,1391.40478516,2020-09-22,2020-09-24
None,Auxerre,FRA,2,1390.23400879,2020-09-25,2020-09-26
None,Auxerre,FRA,2,1380.9753418,2020-09-27,2020-10-03
None,Auxerre,FRA,2,1397.5279541,2020-10-04,2020-10-19
None,Auxerre,FRA,2,1389.45861816,2020-10-20,2020-10-20
None,Auxerre,FRA,2,1383.08789062,2020-10-21,2020-10-21
None,Auxerre,FRA,2,1380.8338623,2020-10-22,2020-10-22
None,Auxerre,FRA,2,1381.84960938,2020-10-23,2020-10-24
None,Auxerre,FRA,2,1392.73681641,2020-10-25,2020-10-27
None,Auxerre,FRA,2,1390.46228027,2020-10-28,2020-10-28
None,Auxerre,FRA,2,1390.55102539,2020-10-29,2020-10-29
None,Auxerre,FRA,2,1390.1496582,2020-10-30,2020-10-31
None,Auxerre,FRA,2,1389.87890625,2020-11-01,2020-11-03
None,Auxerre,FRA,2,1386.36633301,2020-11-04,2020-11-04
None,Auxerre,FRA,2,1381.63708496,2020-11-05,2020-11-05
None,Auxerre,FRA,2,1387.03125,2020-11-06,2020-11-07
None,Auxerre,FRA,2,1395.83972168,2020-11-08,2020-11-21
None,Auxerre,FRA,2,1414.14440918,2020-11-22,2020-11-24
None,Auxerre,FRA,2,1414.9420166,2020-11-25,2020-11-25
None,Auxerre,FRA,2,1410.77880859,2020-11-26,2020-11-26
None,Auxerre,FRA,2,1406.14440918,2020-11-27,2020-11-28
None,Auxerre,FRA,2,1404.42028809,2020-11-29,2020-12-01
None,Auxerre,FRA,2,1408.94396973,2020-12-02,2020-12-02
None,Auxerre,FRA,2,1410.46850586,2020-12-03,2020-12-03
None,Auxerre,FRA,2,1410.26672363,2020-12-04,2020-12-05
None,Auxerre,FRA,2,1423.51342773,2020-12-06,2020-12-08
None,Auxerre,FRA,2,1421.28344727,2020-12-09,2020-12-09
None,Auxerre,FRA,2,1421.03112793,2020-12-10,2020-12-10
None,Auxerre,FRA,2,1412.97741699,2020-12-11,2020-12-12
None,Auxerre,FRA,2,1412.18078613,2020-12-13,2020-12-18
None,Auxerre,FRA,2,1416.96459961,2020-12-19,2020-12-22
None,Auxerre,FRA,2,1423.32226562,2020-12-23,2021-01-05
None,Auxerre,FRA,2,1421.81408691,2021-01-06,2021-01-09
None,Auxerre,FRA,2,1422.87231445,2021-01-10,2021-01-16
None,Auxerre,FRA,2,1430.0255127,2021-01-17,2021-01-23
None,Auxerre,FRA,2,1424.22143555,2021-01-24,2021-01-30
None,Auxerre,FRA,2,1416.85180664,2021-01-31,2021-02-02
None,Auxerre,FRA,2,1428.78295898,2021-02-03,2021-02-05
None,Auxerre,FRA,2,1429.30627441,2021-02-06,2021-02-13
None,Auxerre,FRA,2,1426.23706055,2021-02-14,2021-02-16
None,Auxerre,FRA,2,1434.18615723,2021-02-17,2021-02-18
None,Auxerre,FRA,2,1431.25183105,2021-02-19,2021-02-20
None,Auxerre,FRA,2,1436.93395996,2021-02-21,2021-02-25
None,Auxerre,FRA,2,1434.99511719,2021-02-26,2021-02-27
None,Auxerre,FRA,2,1423.84082031,2021-02-28,2021-03-02
None,Auxerre,FRA,2,1424.40429688,2021-03-03,2021-03-10
None,Auxerre,FRA,2,1425.17492676,2021-03-11,2021-03-13
None,Auxerre,FRA,2,1423.66320801,2021-03-14,2021-03-20
None,Auxerre,FRA,2,1423.36889648,2021-03-21,2021-04-05
None,Auxerre,FRA,2,1421.10644531,2021-04-06,2021-04-07
None,Auxerre,FRA,2,1425.71044922,2021-04-08,2021-04-10
None,Auxerre,FRA,2,1438.36889648,2021-04-11,2021-04-13
None,Auxerre,FRA,2,1438.62365723,2021-04-14,2021-04-17
None,Auxerre,FRA,2,1444.90600586,2021-04-18,2021-04-20
None,Auxerre,FRA,2,1428.16418457,2021-04-21,2021-04-24
None,Auxerre,FRA,2,1432.7590332,2021-04-25,2021-04-28
None,Auxerre,FRA,2,1431.05773926,2021-04-29,2021-05-01
None,Auxerre,FRA,2,1429.43200684,2021-05-02,2021-05-04
None,Auxerre,FRA,2,1427.94152832,2021-05-05,2021-05-08
None,Auxerre,FRA,2,1426.91064453,2021-05-09,2021-05-15
None,Auxerre,FRA,2,1435.04064941,2021-05-16,2021-07-24
None,Auxerre,FRA,2,1450.46057129,2021-07-25,2021-08-02
None,Auxerre,FRA,2,1460.87597656,2021-08-03,2021-08-03
None,Auxerre,FRA,2,1463.69226074,2021-08-04,2021-08-07
None,Auxerre,FRA,2,1460.94677734,2021-08-08,2021-08-10
None,Auxerre,FRA,2,1462.5579834,2021-08-11,2021-08-16
None,Auxerre,FRA,2,1463.73352051,2021-08-17,2021-08-17
None,Auxerre,FRA,2,1460.75354004,2021-08-18,2021-08-19
None,Auxerre,FRA,2,1462.54248047,2021-08-20,2021-08-23
None,Auxerre,FRA,2,1452.1541748,2021-08-24,2021-08-25
None,Auxerre,FRA,2,1451.14001465,2021-08-26,2021-08-26
None,Auxerre,FRA,2,1453.16467285,2021-08-27,2021-08-28
None,Auxerre,FRA,2,1463.73486328,2021-08-29,2021-09-11
None,Auxerre,FRA,2,1471.27185059,2021-09-12,2021-09-14
None,Auxerre,FRA,2,1471.25109863,2021-09-15,2021-09-15
None,Auxerre,FRA,2,1469.16479492,2021-09-16,2021-09-16
None,Auxerre,FRA,2,1477.21191406,2021-09-17,2021-09-18
None,Auxerre,FRA,2,1473.78186035,2021-09-19,2021-09-21
None,Auxerre,FRA,2,1478.63720703,2021-09-22,2021-09-24
None,Auxerre,FRA,2,1478.17346191,2021-09-25,2021-09-28
None,Auxerre,FRA,2,1483.25366211,2021-09-29,2021-09-29
None,Auxerre,FRA,2,1481.32507324,2021-09-30,2021-09-30
None,Auxerre,FRA,2,1485.15576172,2021-10-01,2021-10-02
None,Auxerre,FRA,2,1484.21606445,2021-10-03,2021-10-16
None,Auxerre,FRA,2,1469.3449707,2021-10-17,2021-10-19
None,Auxerre,FRA,2,1470.81506348,2021-10-20,2021-10-20
None,Auxerre,FRA,2,1471.34851074,2021-10-21,2021-10-21
None,Auxerre,FRA,2,1479.56677246,2021-10-22,2021-10-25
None,Auxerre,FRA,2,1483.2166748,2021-10-26,2021-11-01
None,Auxerre,FRA,2,1488.96740723,2021-11-02,2021-11-02
None,Auxerre,FRA,2,1493.99328613,2021-11-03,2021-11-03
None,Auxerre,FRA,2,1493.30737305,2021-11-04,2021-11-04
None,Auxerre,FRA,2,1493.97961426,2021-11-05,2021-11-06
None,Auxerre,FRA,2,1502.49560547,2021-11-07,2021-11-22
None,Auxerre,FRA,2,1489.33605957,2021-11-23,2021-11-23
None,Auxerre,FRA,2,1492.09155273,2021-11-24,2021-11-24
None,Auxerre,FRA,2,1490.47937012,2021-11-25,2021-11-25
None,Auxerre,FRA,2,1488.54626465,2021-11-26,2021-12-04
None,Auxerre,FRA,2,1484.0480957,2021-12-05,2021-12-07
None,Auxerre,FRA,2,1484.95117188,2021-12-08,2021-12-08
None,Auxerre,FRA,2,1489.92468262,2021-12-09,2021-12-09
None,Auxerre,FRA,2,1488.0045166,2021-12-10,2021-12-11
None,Auxerre,FRA,2,1495.82751465,2021-12-12,2021-12-21
None,Auxerre,FRA,2,1485.38024902,2021-12-22,2022-01-08
None,Auxerre,FRA,2,1492.48278809,2022-01-09,2022-01-28
None,Auxerre,FRA,2,1493.14196777,2022-01-29,2022-02-01
None,Auxerre,FRA,2,1483.92272949,2022-02-02,2022-02-05
None,Auxerre,FRA,2,1482.9473877,2022-02-06,2022-02-12
None,Auxerre,FRA,2,1477.80822754,2022-02-13,2022-02-15
None,Auxerre,FRA,2,1479.28662109,2022-02-16,2022-02-17
None,Auxerre,FRA,2,1480.25085449,2022-02-18,2022-02-19
None,Auxerre,FRA,2,1487.22851562,2022-02-20,2022-02-22
None,Auxerre,FRA,2,1485.96508789,2022-02-23,2022-02-24
None,Auxerre,FRA,2,1487.55065918,2022-02-25,2022-02-26
None,Auxerre,FRA,2,1491.26574707,2022-02-27,2022-03-05
None,Auxerre,FRA,2,1500.39709473,2022-03-06,2022-03-09
None,Auxerre,FRA,2,1498.89672852,2022-03-10,2022-03-10
None,Auxerre,FRA,2,1493.18554688,2022-03-11,2022-03-12
None,Auxerre,FRA,2,1498.98046875,2022-03-13,2022-03-15
None,Auxerre,FRA,2,1507.19726562,2022-03-16,2022-03-16
None,Auxerre,FRA,2,1506.21557617,2022-03-17,2022-03-17
None,Auxerre,FRA,2,1506.50524902,2022-03-18,2022-03-19
None,Auxerre,FRA,2,1498.73242188,2022-03-20,2022-04-02
None,Auxerre,FRA,2,1497.03320312,2022-04-03,2022-04-07
None,Auxerre,FRA,2,1498.52734375,2022-04-08,2022-04-09
None,Auxerre,FRA,2,1502.44177246,2022-04-10,2022-04-14
None,Auxerre,FRA,2,1498.52563477,2022-04-15,2022-04-16
None,Auxerre,FRA,2,1509.98571777,2022-04-17,2022-04-19
None,Auxerre,FRA,2,1514.60412598,2022-04-20,2022-04-23
None,Auxerre,FRA,2,1513.48352051,2022-04-24,2022-04-28
None,Auxerre,FRA,2,1512.07226562,2022-04-29,2022-04-30
None,Auxerre,FRA,2,1514.80419922,2022-05-01,2022-05-05
None,Auxerre,FRA,2,1512.64831543,2022-05-06,2022-05-07
None,Auxerre,FRA,2,1519.05334473,2022-05-08,2022-05-14
None,Auxerre,FRA,2,1523.37658691,2022-05-15,2022-05-20
None,Auxerre,FRA,2,1520.83337402,2022-05-21,2022-07-01
None,Auxerre,FRA,1,1520.83337402,2022-07-02,2022-08-02
None,Auxerre,FRA,1,1520.16247559,2022-08-03,2022-08-07
None,Auxerre,FRA,1,1514.5826416,2022-08-08,2022-08-09
None,Auxerre,FRA,1,1511.64990234,2022-08-10,2022-08-14
None,Auxerre,FRA,1,1511.23986816,2022-08-15,2022-08-18
None,Auxerre,FRA,1,1509.31787109,2022-08-19,2022-08-21
None,Auxerre,FRA,1,1519.60595703,2022-08-22,2022-08-25
None,Auxerre,FRA,1,1524.37524414,2022-08-26,2022-08-27
None,Auxerre,FRA,1,1534.75415039,2022-08-28,2022-08-31
None,Auxerre,FRA,1,1531.98400879,2022-09-01,2022-09-03
None,Auxerre,FRA,1,1526.4206543,2022-09-04,2022-09-06
