Rank,Club,Country,Level,Elo,From,To
4,Bayern,GER,1,1946.61425781,2020-01-20,2020-01-25
4,Bayern,GER,1,1951.21459961,2020-01-26,2020-02-01
4,Bayern,GER,1,1954.43188477,2020-02-02,2020-02-09
4,Bayern,GER,1,1949.22912598,2020-02-10,2020-02-16
4,Bayern,GER,1,1952.57055664,2020-02-17,2020-02-18
4,Bayern,GER,1,1954.04040527,2020-02-19,2020-02-19
4,Bayern,GER,1,1957.03076172,2020-02-20,2020-02-20
4,Bayern,GER,1,1965.13977051,2020-02-21,2020-02-21
4,Bayern,GER,1,1965.73522949,2020-02-22,2020-02-25
3,Bayern,GER,1,1978.13085938,2020-02-26,2020-02-27
3,Bayern,GER,1,1987.31140137,2020-02-28,2020-02-28
3,Bayern,GER,1,1988.84008789,2020-02-29,2020-02-29
3,Bayern,GER,1,1995.94958496,2020-03-01,2020-03-08
2,Bayern,GER,1,1997.3215332,2020-03-09,2020-03-10
2,Bayern,GER,1,2001.20239258,2020-03-11,2020-03-11
2,Bayern,GER,1,1996.82373047,2020-03-12,2020-03-12
2,Bayern,GER,1,1988.19873047,2020-03-13,2020-05-17
2,Bayern,GER,1,1990.4901123,2020-05-18,2020-05-23
2,Bayern,GER,1,1993.06628418,2020-05-24,2020-05-26
2,Bayern,GER,1,1998.78283691,2020-05-27,2020-05-30
2,Bayern,GER,1,2000.82019043,2020-05-31,2020-06-06
2,Bayern,GER,1,2007.09680176,2020-06-07,2020-06-13
2,Bayern,GER,1,2009.09985352,2020-06-14,2020-06-16
2,Bayern,GER,1,2010.60388184,2020-06-17,2020-06-20
2,Bayern,GER,1,2012.29089355,2020-06-21,2020-06-27
2,Bayern,GER,1,2017.63415527,2020-06-28,2020-07-02
1,Bayern,GER,1,2017.63415527,2020-07-03,2020-08-05
1,Bayern,GER,1,2013.95373535,2020-08-06,2020-08-06
1,Bayern,GER,1,2012.24304199,2020-08-07,2020-08-08
1,Bayern,GER,1,2013.73547363,2020-08-09,2020-08-10
1,Bayern,GER,1,2011.22241211,2020-08-11,2020-08-13
1,Bayern,GER,1,2014.62365723,2020-08-14,2020-08-14
1,Bayern,GER,1,2036.93212891,2020-08-15,2020-08-18
1,Bayern,GER,1,2033.09777832,2020-08-19,2020-08-19
1,Bayern,GER,1,2037.90100098,2020-08-20,2020-08-23
1,Bayern,GER,1,2044.85327148,2020-08-24,2020-09-17
1,Bayern,GER,1,2045.6998291,2020-09-18,2020-09-18
1,Bayern,GER,1,2047.85266113,2020-09-19,2020-09-24
1,Bayern,GER,1,2049.01293945,2020-09-25,2020-09-27
