Rank,Club,Country,Level,Elo,From,To
29,Bilbao,ESP,1,1756.78430176,2020-01-04,2020-01-05
27,Bilbao,ESP,1,1756.78430176,2020-01-06,2020-01-18
26,Bilbao,ESP,1,1756.78430176,2020-01-19,2020-01-19
26,Bilbao,ESP,1,1751.95300293,2020-01-20,2020-01-25
26,Bilbao,ESP,1,1751.47436523,2020-01-26,2020-01-26
27,Bilbao,ESP,1,1751.47436523,2020-01-27,2020-02-01
28,Bilbao,ESP,1,1751.47436523,2020-02-02,2020-02-02
33,Bilbao,ESP,1,1738.26123047,2020-02-03,2020-02-05
32,Bilbao,ESP,1,1738.26123047,2020-02-06,2020-02-09
33,Bilbao,ESP,1,1732.16955566,2020-02-10,2020-02-15
34,Bilbao,ESP,1,1732.16955566,2020-02-16,2020-02-16
34,Bilbao,ESP,1,1720.59118652,2020-02-17,2020-02-18
34,Bilbao,ESP,1,1722.84960938,2020-02-19,2020-02-19
35,Bilbao,ESP,1,1718.18640137,2020-02-20,2020-02-20
36,Bilbao,ESP,1,1718.19116211,2020-02-21,2020-02-22
37,Bilbao,ESP,1,1718.19116211,2020-02-23,2020-02-23
39,Bilbao,ESP,1,1710.81616211,2020-02-24,2020-02-25
39,Bilbao,ESP,1,1710.7611084,2020-02-26,2020-02-26
42,Bilbao,ESP,1,1708.97387695,2020-02-27,2020-02-27
41,Bilbao,ESP,1,1709.98547363,2020-02-28,2020-03-01
39,Bilbao,ESP,1,1716.97229004,2020-03-02,2020-03-07
40,Bilbao,ESP,1,1716.97229004,2020-03-08,2020-03-08
36,Bilbao,ESP,1,1731.85534668,2020-03-09,2020-03-10
36,Bilbao,ESP,1,1730.27978516,2020-03-11,2020-03-11
32,Bilbao,ESP,1,1737.06420898,2020-03-12,2020-03-12
33,Bilbao,ESP,1,1737.06420898,2020-03-13,2020-06-07
34,Bilbao,ESP,1,1737.06420898,2020-06-08,2020-06-10
35,Bilbao,ESP,1,1737.06420898,2020-06-11,2020-06-13
36,Bilbao,ESP,1,1737.06420898,2020-06-14,2020-06-14
