Rank,Club,Country,Level,Elo,From,To
None,Bologna,ITA,1,1590.1472168,2020-01-07,2020-01-12
None,Bologna,ITA,1,1585.50390625,2020-01-13,2020-01-19
None,Bologna,ITA,1,1581.54870605,2020-01-20,2020-01-25
100,Bologna,ITA,1,1592.93933105,2020-01-26,2020-02-01
97,Bologna,ITA,1,1596.6340332,2020-02-02,2020-02-02
99,Bologna,ITA,1,1596.6340332,2020-02-03,2020-02-07
92,Bologna,ITA,1,1609.2668457,2020-02-08,2020-02-08
91,Bologna,ITA,1,1609.2668457,2020-02-09,2020-02-09
92,Bologna,ITA,1,1609.2668457,2020-02-10,2020-02-15
None,Bologna,ITA,1,1589.11645508,2020-02-16,2020-02-19
100,Bologna,ITA,1,1594.43029785,2020-02-20,2020-02-20
97,Bologna,ITA,1,1597.07702637,2020-02-21,2020-02-22
99,Bologna,ITA,1,1594.62207031,2020-02-23,2020-02-25
100,Bologna,ITA,1,1594.68481445,2020-02-26,2020-02-26
None,Bologna,ITA,1,1592.2935791,2020-02-27,2020-02-27
None,Bologna,ITA,1,1593.75012207,2020-02-28,2020-02-29
None,Bologna,ITA,1,1589.40283203,2020-03-01,2020-03-10
None,Bologna,ITA,1,1591.19787598,2020-03-11,2020-06-22
None,Bologna,ITA,1,1587.56616211,2020-06-23,2020-06-28
None,Bologna,ITA,1,1596.44360352,2020-06-29,2020-07-01
None,Bologna,ITA,1,1595.03344727,2020-07-02,2020-07-05
91,Bologna,ITA,1,1609.01208496,2020-07-06,2020-07-08
98,Bologna,ITA,1,1600.33483887,2020-07-09,2020-07-09
99,Bologna,ITA,1,1600.33483887,2020-07-10,2020-07-10
100,Bologna,ITA,1,1600.33483887,2020-07-11,2020-07-12
None,Bologna,ITA,1,1600.97692871,2020-07-13,2020-07-15
100,Bologna,ITA,1,1604.40087891,2020-07-16,2020-07-18
None,Bologna,ITA,1,1596.7734375,2020-07-19,2020-07-21
None,Bologna,ITA,1,1594.81091309,2020-07-22,2020-07-26
None,Bologna,ITA,1,1599.17041016,2020-07-27,2020-07-29
None,Bologna,ITA,1,1587.01928711,2020-07-30,2020-08-02
None,Bologna,ITA,1,1585.5020752,2020-08-03,2020-08-05
None,Bologna,ITA,1,1588.7935791,2020-08-06,2020-08-06
None,Bologna,ITA,1,1585.5378418,2020-08-07,2020-08-07
None,Bologna,ITA,1,1583.09570312,2020-08-08,2020-08-08
None,Bologna,ITA,1,1581.41259766,2020-08-09,2020-08-10
None,Bologna,ITA,1,1584.02941895,2020-08-11,2020-08-12
None,Bologna,ITA,1,1581.91015625,2020-08-13,2020-08-17
None,Bologna,ITA,1,1587.4498291,2020-08-18,2020-08-21
None,Bologna,ITA,1,1584.50769043,2020-08-22,2020-09-17
None,Bologna,ITA,1,1584.80456543,2020-09-18,2020-09-21
None,Bologna,ITA,1,1580.58508301,2020-09-22,2020-09-24
None,Bologna,ITA,1,1581.23254395,2020-09-25,2020-09-28
None,Bologna,ITA,1,1592.79162598,2020-09-29,2020-10-01
None,Bologna,ITA,1,1591.04418945,2020-10-02,2020-10-04
None,Bologna,ITA,1,1583.06921387,2020-10-05,2020-10-18
None,Bologna,ITA,1,1575.71240234,2020-10-19,2020-10-20
None,Bologna,ITA,1,1583.1472168,2020-10-21,2020-10-21
None,Bologna,ITA,1,1584.40563965,2020-10-22,2020-10-22
None,Bologna,ITA,1,1584.46533203,2020-10-23,2020-10-24
None,Bologna,ITA,1,1580.99621582,2020-10-25,2020-10-27
None,Bologna,ITA,1,1579.75646973,2020-10-28,2020-10-28
None,Bologna,ITA,1,1576.13867188,2020-10-29,2020-10-29
None,Bologna,ITA,1,1577.84155273,2020-10-30,2020-10-31
None,Bologna,ITA,1,1585.02661133,2020-11-01,2020-11-03
None,Bologna,ITA,1,1579.49658203,2020-11-04,2020-11-04
None,Bologna,ITA,1,1581.56445312,2020-11-05,2020-11-05
None,Bologna,ITA,1,1577.77478027,2020-11-06,2020-11-08
None,Bologna,ITA,1,1573.28173828,2020-11-09,2020-11-22
None,Bologna,ITA,1,1583.18005371,2020-11-23,2020-11-24
None,Bologna,ITA,1,1586.31921387,2020-11-25,2020-11-25
None,Bologna,ITA,1,1589.671875,2020-11-26,2020-11-26
None,Bologna,ITA,1,1592.49462891,2020-11-27,2020-11-29
None,Bologna,ITA,1,1597.17724609,2020-11-30,2020-12-01
100,Bologna,ITA,1,1597.98779297,2020-12-02,2020-12-02
98,Bologna,ITA,1,1601.02941895,2020-12-03,2020-12-03
96,Bologna,ITA,1,1603.03857422,2020-12-04,2020-12-05
98,Bologna,ITA,1,1599.81835938,2020-12-06,2020-12-08
95,Bologna,ITA,1,1605.07165527,2020-12-09,2020-12-09
95,Bologna,ITA,1,1606.50195312,2020-12-10,2020-12-10
97,Bologna,ITA,1,1600.07580566,2020-12-11,2020-12-12
98,Bologna,ITA,1,1600.07580566,2020-12-13,2020-12-13
None,Bologna,ITA,1,1590.64538574,2020-12-14,2020-12-16
None,Bologna,ITA,1,1588.82531738,2020-12-17,2020-12-20
None,Bologna,ITA,1,1589.12780762,2020-12-21,2020-12-23
100,Bologna,ITA,1,1594.43896484,2020-12-24,2020-12-26
None,Bologna,ITA,1,1594.43896484,2020-12-27,2021-01-02
99,Bologna,ITA,1,1594.43896484,2021-01-03,2021-01-03
97,Bologna,ITA,1,1596.73803711,2021-01-04,2021-01-06
97,Bologna,ITA,1,1595.76171875,2021-01-07,2021-01-09
None,Bologna,ITA,1,1583.57958984,2021-01-10,2021-01-16
None,Bologna,ITA,1,1591.69445801,2021-01-17,2021-01-24
None,Bologna,ITA,1,1588.89624023,2021-01-25,2021-01-30
None,Bologna,ITA,1,1584.95837402,2021-01-31,2021-02-07
98,Bologna,ITA,1,1598.19543457,2021-02-08,2021-02-12
98,Bologna,ITA,1,1596.15844727,2021-02-13,2021-02-14
100,Bologna,ITA,1,1596.15844727,2021-02-15,2021-02-16
None,Bologna,ITA,1,1596.15844727,2021-02-17,2021-02-17
None,Bologna,ITA,1,1594.22094727,2021-02-18,2021-02-18
None,Bologna,ITA,1,1592.97460938,2021-02-19,2021-02-20
99,Bologna,ITA,1,1595.71740723,2021-02-21,2021-02-21
100,Bologna,ITA,1,1595.71740723,2021-02-22,2021-02-23
100,Bologna,ITA,1,1594.57910156,2021-02-24,2021-02-24
100,Bologna,ITA,1,1592.69580078,2021-02-25,2021-02-25
99,Bologna,ITA,1,1595.29748535,2021-02-26,2021-02-26
98,Bologna,ITA,1,1595.29748535,2021-02-27,2021-02-27
89,Bologna,ITA,1,1611.47106934,2021-02-28,2021-03-03
96,Bologna,ITA,1,1602.8449707,2021-03-04,2021-03-04
95,Bologna,ITA,1,1602.8449707,2021-03-05,2021-03-07
95,Bologna,ITA,1,1597.2142334,2021-03-08,2021-03-09
96,Bologna,ITA,1,1595.83850098,2021-03-10,2021-03-10
97,Bologna,ITA,1,1595.83850098,2021-03-11,2021-03-11
95,Bologna,ITA,1,1601.72314453,2021-03-12,2021-03-14
91,Bologna,ITA,1,1612.49926758,2021-03-15,2021-03-16
91,Bologna,ITA,1,1610.05090332,2021-03-17,2021-03-17
91,Bologna,ITA,1,1610.03955078,2021-03-18,2021-03-18
92,Bologna,ITA,1,1608.89501953,2021-03-19,2021-03-20
90,Bologna,ITA,1,1614.44018555,2021-03-21,2021-04-01
89,Bologna,ITA,1,1614.44018555,2021-04-02,2021-04-03
92,Bologna,ITA,1,1611.69592285,2021-04-04,2021-04-04
91,Bologna,ITA,1,1611.69592285,2021-04-05,2021-04-05
92,Bologna,ITA,1,1611.69592285,2021-04-06,2021-04-06
90,Bologna,ITA,1,1611.69592285,2021-04-07,2021-04-07
91,Bologna,ITA,1,1611.69592285,2021-04-08,2021-04-08
90,Bologna,ITA,1,1614.9161377,2021-04-09,2021-04-09
91,Bologna,ITA,1,1614.9161377,2021-04-10,2021-04-10
92,Bologna,ITA,1,1614.9161377,2021-04-11,2021-04-11
92,Bologna,ITA,1,1611.33666992,2021-04-12,2021-04-12
93,Bologna,ITA,1,1611.33666992,2021-04-13,2021-04-14
94,Bologna,ITA,1,1611.33666992,2021-04-15,2021-04-15
94,Bologna,ITA,1,1612.34899902,2021-04-16,2021-04-16
95,Bologna,ITA,1,1612.34899902,2021-04-17,2021-04-18
88,Bologna,ITA,1,1621.14440918,2021-04-19,2021-04-20
87,Bologna,ITA,1,1621.14440918,2021-04-21,2021-04-21
89,Bologna,ITA,1,1619.75537109,2021-04-22,2021-04-22
88,Bologna,ITA,1,1619.75537109,2021-04-23,2021-04-25
93,Bologna,ITA,1,1614.30249023,2021-04-26,2021-04-26
91,Bologna,ITA,1,1614.30249023,2021-04-27,2021-04-29
93,Bologna,ITA,1,1612.12768555,2021-04-30,2021-05-01
94,Bologna,ITA,1,1612.12768555,2021-05-02,2021-05-02
94,Bologna,ITA,1,1611.15454102,2021-05-03,2021-05-03
95,Bologna,ITA,1,1611.15454102,2021-05-04,2021-05-05
92,Bologna,ITA,1,1611.15454102,2021-05-06,2021-05-06
93,Bologna,ITA,1,1611.61865234,2021-05-07,2021-05-08
90,Bologna,ITA,1,1612.85144043,2021-05-09,2021-05-11
91,Bologna,ITA,1,1612.85144043,2021-05-12,2021-05-12
97,Bologna,ITA,1,1598.80895996,2021-05-13,2021-05-15
96,Bologna,ITA,1,1598.80895996,2021-05-16,2021-05-16
95,Bologna,ITA,1,1598.80895996,2021-05-17,2021-05-17
95,Bologna,ITA,1,1599.47460938,2021-05-18,2021-05-22
96,Bologna,ITA,1,1599.47460938,2021-05-23,2021-05-23
None,Bologna,ITA,1,1593.50939941,2021-05-24,2021-08-19
None,Bologna,ITA,1,1594.2980957,2021-08-20,2021-08-22
99,Bologna,ITA,1,1598.74035645,2021-08-23,2021-08-23
98,Bologna,ITA,1,1598.74035645,2021-08-24,2021-08-26
98,Bologna,ITA,1,1599.85192871,2021-08-27,2021-08-27
99,Bologna,ITA,1,1599.85192871,2021-08-28,2021-08-28
95,Bologna,ITA,1,1606.63659668,2021-08-29,2021-08-29
96,Bologna,ITA,1,1606.63659668,2021-08-30,2021-09-05
95,Bologna,ITA,1,1606.63659668,2021-09-06,2021-09-06
94,Bologna,ITA,1,1606.63659668,2021-09-07,2021-09-12
95,Bologna,ITA,1,1606.63659668,2021-09-13,2021-09-13
90,Bologna,ITA,1,1612.82043457,2021-09-14,2021-09-14
88,Bologna,ITA,1,1616.11462402,2021-09-15,2021-09-15
90,Bologna,ITA,1,1611.65258789,2021-09-16,2021-09-16
93,Bologna,ITA,1,1609.8079834,2021-09-17,2021-09-18
97,Bologna,ITA,1,1605.70715332,2021-09-19,2021-09-20
96,Bologna,ITA,1,1605.70715332,2021-09-21,2021-09-21
96,Bologna,ITA,1,1604.37475586,2021-09-22,2021-09-22
94,Bologna,ITA,1,1604.37475586,2021-09-23,2021-09-25
95,Bologna,ITA,1,1604.37475586,2021-09-26,2021-09-26
None,Bologna,ITA,1,1592.41931152,2021-09-27,2021-09-28
None,Bologna,ITA,1,1587.93347168,2021-09-29,2021-09-29
None,Bologna,ITA,1,1592.48596191,2021-09-30,2021-09-30
None,Bologna,ITA,1,1590.87988281,2021-10-01,2021-10-03
93,Bologna,ITA,1,1608.85217285,2021-10-04,2021-10-17
93,Bologna,ITA,1,1609.54138184,2021-10-18,2021-10-19
95,Bologna,ITA,1,1607.61450195,2021-10-20,2021-10-20
95,Bologna,ITA,1,1607.9050293,2021-10-21,2021-10-21
99,Bologna,ITA,1,1598.77880859,2021-10-22,2021-10-23
100,Bologna,ITA,1,1593.02294922,2021-10-24,2021-10-24
None,Bologna,ITA,1,1593.02294922,2021-10-25,2021-10-28
None,Bologna,ITA,1,1588.90808105,2021-10-29,2021-11-01
None,Bologna,ITA,1,1596.88757324,2021-11-02,2021-11-02
None,Bologna,ITA,1,1598.64831543,2021-11-03,2021-11-03
None,Bologna,ITA,1,1598.86254883,2021-11-04,2021-11-04
None,Bologna,ITA,1,1598.89086914,2021-11-05,2021-11-07
94,Bologna,ITA,1,1608.05639648,2021-11-08,2021-11-13
95,Bologna,ITA,1,1608.05639648,2021-11-14,2021-11-21
None,Bologna,ITA,1,1596.09069824,2021-11-22,2021-11-23
None,Bologna,ITA,1,1592.69262695,2021-11-24,2021-11-24
None,Bologna,ITA,1,1593.0501709,2021-11-25,2021-11-25
None,Bologna,ITA,1,1598.22180176,2021-11-26,2021-11-28
96,Bologna,ITA,1,1605.09716797,2021-11-29,2021-11-29
97,Bologna,ITA,1,1605.09716797,2021-11-30,2021-12-01
90,Bologna,ITA,1,1614.84655762,2021-12-02,2021-12-04
92,Bologna,ITA,1,1614.84655762,2021-12-05,2021-12-05
94,Bologna,ITA,1,1606.56884766,2021-12-06,2021-12-06
93,Bologna,ITA,1,1606.56884766,2021-12-07,2021-12-07
99,Bologna,ITA,1,1602.52929688,2021-12-08,2021-12-08
99,Bologna,ITA,1,1603.08862305,2021-12-09,2021-12-09
99,Bologna,ITA,1,1600.34912109,2021-12-10,2021-12-10
None,Bologna,ITA,1,1600.34912109,2021-12-11,2021-12-11
100,Bologna,ITA,1,1600.34912109,2021-12-12,2021-12-12
None,Bologna,ITA,1,1593.01647949,2021-12-13,2021-12-18
None,Bologna,ITA,1,1587.72607422,2021-12-19,2021-12-22
95,Bologna,ITA,1,1606.64807129,2021-12-23,2021-12-26
93,Bologna,ITA,1,1606.64807129,2021-12-27,2021-12-27
94,Bologna,ITA,1,1606.64807129,2021-12-28,2022-01-08
93,Bologna,ITA,1,1606.64807129,2022-01-09,2022-01-10
94,Bologna,ITA,1,1606.64807129,2022-01-11,2022-01-11
100,Bologna,ITA,1,1597.22363281,2022-01-12,2022-01-12
99,Bologna,ITA,1,1597.22363281,2022-01-13,2022-01-15
None,Bologna,ITA,1,1597.22363281,2022-01-16,2022-01-17
None,Bologna,ITA,1,1591.52160645,2022-01-18,2022-01-21
None,Bologna,ITA,1,1584.58776855,2022-01-22,2022-02-06
None,Bologna,ITA,1,1583.17333984,2022-02-07,2022-02-12
None,Bologna,ITA,1,1575.92138672,2022-02-13,2022-02-16
None,Bologna,ITA,1,1573.68676758,2022-02-17,2022-02-17
None,Bologna,ITA,1,1574.58911133,2022-02-18,2022-02-21
None,Bologna,ITA,1,1580.89172363,2022-02-22,2022-02-22
None,Bologna,ITA,1,1581.51611328,2022-02-23,2022-02-24
None,Bologna,ITA,1,1578.90722656,2022-02-25,2022-02-26
None,Bologna,ITA,1,1575.93322754,2022-02-27,2022-03-06
None,Bologna,ITA,1,1575.55310059,2022-03-07,2022-03-08
None,Bologna,ITA,1,1576.22546387,2022-03-09,2022-03-10
None,Bologna,ITA,1,1578.43457031,2022-03-11,2022-03-13
None,Bologna,ITA,1,1572.88549805,2022-03-14,2022-03-16
None,Bologna,ITA,1,1566.11950684,2022-03-17,2022-03-17
None,Bologna,ITA,1,1569.91882324,2022-03-18,2022-03-20
None,Bologna,ITA,1,1566.19140625,2022-03-21,2022-04-04
None,Bologna,ITA,1,1572.77770996,2022-04-05,2022-04-07
None,Bologna,ITA,1,1572.1114502,2022-04-08,2022-04-11
None,Bologna,ITA,1,1582.18200684,2022-04-12,2022-04-14
None,Bologna,ITA,1,1582.77722168,2022-04-15,2022-04-16
None,Bologna,ITA,1,1589.27575684,2022-04-17,2022-04-24
None,Bologna,ITA,1,1588.6237793,2022-04-25,2022-04-27
None,Bologna,ITA,1,1602.42248535,2022-04-28,2022-04-28
None,Bologna,ITA,1,1603.21008301,2022-04-29,2022-05-01
None,Bologna,ITA,1,1608.13647461,2022-05-02,2022-05-05
98,Bologna,ITA,1,1611.24267578,2022-05-06,2022-05-07
97,Bologna,ITA,1,1611.24267578,2022-05-08,2022-05-08
None,Bologna,ITA,1,1599.93859863,2022-05-09,2022-05-15
None,Bologna,ITA,1,1589.04040527,2022-05-16,2022-05-21
None,Bologna,ITA,1,1597.06030273,2022-05-22,2022-05-25
None,Bologna,ITA,1,1599.7166748,2022-05-26,2022-08-14
None,Bologna,ITA,1,1595.68005371,2022-08-15,2022-08-18
None,Bologna,ITA,1,1596.7869873,2022-08-19,2022-08-21
None,Bologna,ITA,1,1596.53637695,2022-08-22,2022-08-25
None,Bologna,ITA,1,1598.32751465,2022-08-26,2022-08-27
None,Bologna,ITA,1,1595.07470703,2022-08-28,2022-09-01
None,Bologna,ITA,1,1591.52380371,2022-09-02,2022-09-04
None,Bologna,ITA,1,1591.16772461,2022-09-05,2022-09-06
None,Bologna,ITA,1,1589.35229492,2022-09-07,2022-09-07
None,Bologna,ITA,1,1592.87353516,2022-09-08,2022-09-08
None,Bologna,ITA,1,1588.79016113,2022-09-09,2022-09-11
None,Bologna,ITA,1,1597.27001953,2022-09-12,2022-09-13
None,Bologna,ITA,1,1599.36120605,2022-09-14,2022-09-14
None,Bologna,ITA,1,1601.41394043,2022-09-15,2022-09-15
None,Bologna,ITA,1,1588.52148438,2022-09-16,2022-09-17
None,Bologna,ITA,1,1577.75683594,2022-09-18,2022-10-02
None,Bologna,ITA,1,1571.84143066,2022-10-03,2022-10-04
None,Bologna,ITA,1,1582.71679688,2022-10-05,2022-10-05
None,Bologna,ITA,1,1580.55395508,2022-10-06,2022-10-06
None,Bologna,ITA,1,1578.49609375,2022-10-07,2022-10-08
None,Bologna,ITA,1,1575.86071777,2022-10-09,2022-10-11
None,Bologna,ITA,1,1566.35180664,2022-10-12,2022-10-12
None,Bologna,ITA,1,1570.23901367,2022-10-13,2022-10-13
None,Bologna,ITA,1,1570.54797363,2022-10-14,2022-10-16
None,Bologna,ITA,1,1569.03088379,2022-10-17,2022-10-23
None,Bologna,ITA,1,1577.01928711,2022-10-24,2022-10-25
None,Bologna,ITA,1,1579.3996582,2022-10-26,2022-10-26
None,Bologna,ITA,1,1582.13623047,2022-10-27,2022-10-27
None,Bologna,ITA,1,1585.48828125,2022-10-28,2022-10-31
None,Bologna,ITA,1,1593.23449707,2022-11-01,2022-11-01
None,Bologna,ITA,1,1589.59570312,2022-11-02,2022-11-02
None,Bologna,ITA,1,1590.55175781,2022-11-03,2022-11-03
None,Bologna,ITA,1,1590.35070801,2022-11-04,2022-11-06
99,Bologna,ITA,1,1598.59460449,2022-11-07,2022-11-08
100,Bologna,ITA,1,1598.59460449,2022-11-09,2022-11-09
None,Bologna,ITA,1,1593.25036621,2022-11-10,2022-11-12
97,Bologna,ITA,1,1607.06994629,2022-11-13,2022-12-08
96,Bologna,ITA,1,1607.06994629,2022-12-09,2022-12-12
97,Bologna,ITA,1,1607.06994629,2022-12-13,2022-12-24
98,Bologna,ITA,1,1607.06994629,2022-12-25,2022-12-28
97,Bologna,ITA,1,1607.06994629,2022-12-29,2022-12-29
98,Bologna,ITA,1,1607.06994629,2022-12-30,2023-01-01
99,Bologna,ITA,1,1607.06994629,2023-01-02,2023-01-04
99,Bologna,ITA,1,1602.89624023,2023-01-05,2023-01-06
None,Bologna,ITA,1,1602.89624023,2023-01-07,2023-01-09
None,Bologna,ITA,1,1597.14147949,2023-01-10,2023-01-15
None,Bologna,ITA,1,1607.85241699,2023-01-16,2023-01-16
100,Bologna,ITA,1,1607.85241699,2023-01-17,2023-01-23
