Rank,Club,Country,Level,Elo,From,To
None,Brentford,ENG,2,1588.57299805,2020-01-02,2020-01-11
None,Brentford,ENG,2,1593.83044434,2020-01-12,2020-01-18
None,Brentford,ENG,2,1591.50744629,2020-01-19,2020-01-28
None,Brentford,ENG,2,1580.71350098,2020-01-29,2020-02-01
100,Brentford,ENG,2,1595.33117676,2020-02-02,2020-02-02
None,Brentford,ENG,2,1595.33117676,2020-02-03,2020-02-08
97,Brentford,ENG,2,1600.32592773,2020-02-09,2020-02-11
98,Brentford,ENG,2,1597.91040039,2020-02-12,2020-02-15
99,Brentford,ENG,2,1596.38586426,2020-02-16,2020-02-16
97,Brentford,ENG,2,1596.38586426,2020-02-17,2020-02-18
100,Brentford,ENG,2,1594.04882812,2020-02-19,2020-02-19
None,Brentford,ENG,2,1591.25305176,2020-02-20,2020-02-20
98,Brentford,ENG,2,1596.99865723,2020-02-21,2020-02-22
None,Brentford,ENG,2,1593.95227051,2020-02-23,2020-02-25
None,Brentford,ENG,2,1579.17663574,2020-02-26,2020-02-26
None,Brentford,ENG,2,1581.02441406,2020-02-27,2020-02-27
None,Brentford,ENG,2,1579.43530273,2020-02-28,2020-02-29
None,Brentford,ENG,2,1579.95056152,2020-03-01,2020-03-07
None,Brentford,ENG,2,1590.14587402,2020-03-08,2020-03-10
None,Brentford,ENG,2,1586.51623535,2020-03-11,2020-03-11
None,Brentford,ENG,2,1579.50769043,2020-03-12,2020-03-12
None,Brentford,ENG,2,1583.8380127,2020-03-13,2020-06-20
None,Brentford,ENG,2,1596.29040527,2020-06-21,2020-06-26
99,Brentford,ENG,2,1603.33862305,2020-06-27,2020-06-27
97,Brentford,ENG,2,1603.33862305,2020-06-28,2020-06-30
85,Brentford,ENG,2,1614.06188965,2020-07-01,2020-07-04
80,Brentford,ENG,2,1621.33569336,2020-07-05,2020-07-05
81,Brentford,ENG,2,1621.33569336,2020-07-06,2020-07-07
80,Brentford,ENG,2,1624.04870605,2020-07-08,2020-07-08
81,Brentford,ENG,2,1624.04870605,2020-07-09,2020-07-11
77,Brentford,ENG,2,1633.81201172,2020-07-12,2020-07-12
78,Brentford,ENG,2,1633.81201172,2020-07-13,2020-07-13
77,Brentford,ENG,2,1633.81201172,2020-07-14,2020-07-15
74,Brentford,ENG,2,1637.54162598,2020-07-16,2020-07-18
80,Brentford,ENG,2,1626.57312012,2020-07-19,2020-07-21
79,Brentford,ENG,2,1626.57312012,2020-07-22,2020-07-22
87,Brentford,ENG,2,1612.76757812,2020-07-23,2020-07-26
94,Brentford,ENG,2,1605.50805664,2020-07-27,2020-07-29
82,Brentford,ENG,2,1620.73547363,2020-07-30,2020-08-04
87,Brentford,ENG,2,1611.9967041,2020-08-05,2020-08-05
85,Brentford,ENG,2,1611.00683594,2020-08-06,2020-08-06
84,Brentford,ENG,2,1613.38439941,2020-08-07,2020-08-07
84,Brentford,ENG,2,1614.61938477,2020-08-08,2020-08-08
84,Brentford,ENG,2,1614.25549316,2020-08-09,2020-08-10
84,Brentford,ENG,2,1614.921875,2020-08-11,2020-08-11
85,Brentford,ENG,2,1612.60974121,2020-08-12,2020-08-12
87,Brentford,ENG,2,1612.60974121,2020-08-13,2020-08-13
86,Brentford,ENG,2,1612.60974121,2020-08-14,2020-08-14
87,Brentford,ENG,2,1612.60974121,2020-08-15,2020-08-15
95,Brentford,ENG,2,1605.89245605,2020-08-16,2020-08-16
100,Brentford,ENG,2,1602.96252441,2020-08-17,2020-08-17
99,Brentford,ENG,2,1602.96252441,2020-08-18,2020-08-18
98,Brentford,ENG,2,1602.96252441,2020-08-19,2020-08-19
99,Brentford,ENG,2,1602.96252441,2020-08-20,2020-08-22
100,Brentford,ENG,2,1602.96252441,2020-08-23,2020-08-23
98,Brentford,ENG,2,1602.96252441,2020-08-24,2020-08-26
