Rank,Club,Country,Level,Elo,From,To
None,Brest,FRA,1,1539.05029297,2020-01-12,2020-01-25
None,Brest,FRA,1,1544.2902832,2020-01-26,2020-02-01
None,Brest,FRA,1,1531.03137207,2020-02-02,2020-02-05
None,Brest,FRA,1,1530.89892578,2020-02-06,2020-02-08
None,Brest,FRA,1,1535.01855469,2020-02-09,2020-02-16
None,Brest,FRA,1,1542.30859375,2020-02-17,2020-02-18
None,Brest,FRA,1,1540.68212891,2020-02-19,2020-02-21
None,Brest,FRA,1,1543.72509766,2020-02-22,2020-02-26
None,Brest,FRA,1,1546.32373047,2020-02-27,2020-02-29
None,Brest,FRA,1,1536.90039062,2020-03-01,2020-03-07
None,Brest,FRA,1,1531.3729248,2020-03-08,2020-03-11
None,Brest,FRA,1,1536.32006836,2020-03-12,2020-08-07
None,Brest,FRA,1,1539.00427246,2020-08-08,2020-08-12
None,Brest,FRA,1,1541.34741211,2020-08-13,2020-08-15
None,Brest,FRA,1,1549.55480957,2020-08-16,2020-08-18
None,Brest,FRA,1,1553.95959473,2020-08-19,2020-08-19
None,Brest,FRA,1,1552.54064941,2020-08-20,2020-08-23
None,Brest,FRA,1,1537.10498047,2020-08-24,2020-08-30
None,Brest,FRA,1,1531.80981445,2020-08-31,2020-09-13
None,Brest,FRA,1,1544.76464844,2020-09-14,2020-09-17
None,Brest,FRA,1,1547.21740723,2020-09-18,2020-09-20
None,Brest,FRA,1,1552.68200684,2020-09-21,2020-09-24
None,Brest,FRA,1,1551.51123047,2020-09-25,2020-09-27
None,Brest,FRA,1,1545.51220703,2020-09-28,2020-10-04
None,Brest,FRA,1,1553.76391602,2020-10-05,2020-10-18
None,Brest,FRA,1,1545.3449707,2020-10-19,2020-10-20
None,Brest,FRA,1,1538.97436523,2020-10-21,2020-10-21
None,Brest,FRA,1,1536.72021484,2020-10-22,2020-10-22
None,Brest,FRA,1,1537.73608398,2020-10-23,2020-10-25
None,Brest,FRA,1,1521.26745605,2020-10-26,2020-10-27
None,Brest,FRA,1,1518.99291992,2020-10-28,2020-10-28
None,Brest,FRA,1,1519.08166504,2020-10-29,2020-10-29
None,Brest,FRA,1,1518.68029785,2020-10-30,2020-10-31
None,Brest,FRA,1,1515.20166016,2020-11-01,2020-11-03
None,Brest,FRA,1,1511.68908691,2020-11-04,2020-11-04
None,Brest,FRA,1,1506.95983887,2020-11-05,2020-11-05
None,Brest,FRA,1,1512.35400391,2020-11-06,2020-11-08
None,Brest,FRA,1,1524.51330566,2020-11-09,2020-11-21
None,Brest,FRA,1,1536.66003418,2020-11-22,2020-11-24
None,Brest,FRA,1,1537.4576416,2020-11-25,2020-11-25
None,Brest,FRA,1,1533.29443359,2020-11-26,2020-11-26
None,Brest,FRA,1,1528.65991211,2020-11-27,2020-11-29
None,Brest,FRA,1,1543.25817871,2020-11-30,2020-12-01
None,Brest,FRA,1,1546.34020996,2020-12-02,2020-12-02
None,Brest,FRA,1,1547.86462402,2020-12-03,2020-12-03
