Rank,Club,Country,Level,Elo,From,To
63,Brighton,ENG,1,1663.10144043,2020-01-02,2020-01-05
64,Brighton,ENG,1,1663.10144043,2020-01-06,2020-01-11
65,Brighton,ENG,1,1658.27880859,2020-01-12,2020-01-12
64,Brighton,ENG,1,1658.27880859,2020-01-13,2020-01-18
64,Brighton,ENG,1,1655.77294922,2020-01-19,2020-01-19
65,Brighton,ENG,1,1655.77294922,2020-01-20,2020-01-21
76,Brighton,ENG,1,1645.94189453,2020-01-22,2020-01-25
75,Brighton,ENG,1,1645.94189453,2020-01-26,2020-01-26
72,Brighton,ENG,1,1645.94189453,2020-01-27,2020-01-29
73,Brighton,ENG,1,1645.94189453,2020-01-30,2020-02-01
71,Brighton,ENG,1,1648.64099121,2020-02-02,2020-02-08
72,Brighton,ENG,1,1647.90551758,2020-02-09,2020-02-09
73,Brighton,ENG,1,1647.90551758,2020-02-10,2020-02-16
71,Brighton,ENG,1,1647.90551758,2020-02-17,2020-02-18
71,Brighton,ENG,1,1645.56848145,2020-02-19,2020-02-19
73,Brighton,ENG,1,1642.77258301,2020-02-20,2020-02-20
71,Brighton,ENG,1,1648.51831055,2020-02-21,2020-02-22
67,Brighton,ENG,1,1651.56237793,2020-02-23,2020-02-23
69,Brighton,ENG,1,1651.56237793,2020-02-24,2020-02-25
69,Brighton,ENG,1,1648.6595459,2020-02-26,2020-02-26
68,Brighton,ENG,1,1650.50720215,2020-02-27,2020-02-27
65,Brighton,ENG,1,1648.91821289,2020-02-28,2020-02-29
76,Brighton,ENG,1,1641.30871582,2020-03-01,2020-03-01
73,Brighton,ENG,1,1641.30871582,2020-03-02,2020-03-03
72,Brighton,ENG,1,1641.30871582,2020-03-04,2020-03-07
69,Brighton,ENG,1,1646.5534668,2020-03-08,2020-03-08
67,Brighton,ENG,1,1646.5534668,2020-03-09,2020-03-10
72,Brighton,ENG,1,1642.92382812,2020-03-11,2020-03-11
76,Brighton,ENG,1,1635.9152832,2020-03-12,2020-03-12
74,Brighton,ENG,1,1640.24560547,2020-03-13,2020-05-16
75,Brighton,ENG,1,1640.24560547,2020-05-17,2020-05-22
76,Brighton,ENG,1,1640.24560547,2020-05-23,2020-05-23
75,Brighton,ENG,1,1640.24560547,2020-05-24,2020-05-24
74,Brighton,ENG,1,1640.24560547,2020-05-25,2020-05-27
73,Brighton,ENG,1,1640.24560547,2020-05-28,2020-05-30
72,Brighton,ENG,1,1640.24560547,2020-05-31,2020-06-02
73,Brighton,ENG,1,1640.24560547,2020-06-03,2020-06-05
74,Brighton,ENG,1,1640.24560547,2020-06-06,2020-06-06
75,Brighton,ENG,1,1640.24560547,2020-06-07,2020-06-07
74,Brighton,ENG,1,1640.24560547,2020-06-08,2020-06-13
73,Brighton,ENG,1,1640.24560547,2020-06-14,2020-06-14
72,Brighton,ENG,1,1640.24560547,2020-06-15,2020-06-20
68,Brighton,ENG,1,1651.0012207,2020-06-21,2020-06-23
65,Brighton,ENG,1,1656.17468262,2020-06-24,2020-06-28
64,Brighton,ENG,1,1656.17468262,2020-06-29,2020-06-30
68,Brighton,ENG,1,1648.52258301,2020-07-01,2020-07-01
66,Brighton,ENG,1,1648.52258301,2020-07-02,2020-07-04
64,Brighton,ENG,1,1655.96984863,2020-07-05,2020-07-08
65,Brighton,ENG,1,1653.1340332,2020-07-09,2020-07-11
67,Brighton,ENG,1,1648.1015625,2020-07-12,2020-07-15
68,Brighton,ENG,1,1648.1015625,2020-07-16,2020-07-16
65,Brighton,ENG,1,1651.16394043,2020-07-17,2020-07-19
66,Brighton,ENG,1,1651.16394043,2020-07-20,2020-07-20
66,Brighton,ENG,1,1650.88720703,2020-07-21,2020-07-26
61,Brighton,ENG,1,1662.6652832,2020-07-27,2020-08-05
61,Brighton,ENG,1,1661.67553711,2020-08-06,2020-08-06
60,Brighton,ENG,1,1664.05297852,2020-08-07,2020-08-07
59,Brighton,ENG,1,1665.28796387,2020-08-08,2020-08-08
60,Brighton,ENG,1,1664.92407227,2020-08-09,2020-08-10
60,Brighton,ENG,1,1665.5904541,2020-08-11,2020-08-11
60,Brighton,ENG,1,1663.27832031,2020-08-12,2020-08-14
59,Brighton,ENG,1,1663.27832031,2020-08-15,2020-08-15
63,Brighton,ENG,1,1656.56103516,2020-08-16,2020-08-16
64,Brighton,ENG,1,1653.63110352,2020-08-17,2020-08-18
63,Brighton,ENG,1,1653.63110352,2020-08-19,2020-08-21
64,Brighton,ENG,1,1653.63110352,2020-08-22,2020-08-23
66,Brighton,ENG,1,1653.63110352,2020-08-24,2020-08-26
65,Brighton,ENG,1,1653.63110352,2020-08-27,2020-08-30
66,Brighton,ENG,1,1653.63110352,2020-08-31,2020-09-11
67,Brighton,ENG,1,1653.63110352,2020-09-12,2020-09-13
68,Brighton,ENG,1,1653.63110352,2020-09-14,2020-09-14
69,Brighton,ENG,1,1646.70996094,2020-09-15,2020-09-16
68,Brighton,ENG,1,1646.70996094,2020-09-17,2020-09-17
68,Brighton,ENG,1,1647.08032227,2020-09-18,2020-09-20
61,Brighton,ENG,1,1665.06896973,2020-09-21,2020-09-24
61,Brighton,ENG,1,1665.40490723,2020-09-25,2020-09-25
60,Brighton,ENG,1,1665.40490723,2020-09-26,2020-09-26
60,Brighton,ENG,1,1660.67224121,2020-09-27,2020-09-27
61,Brighton,ENG,1,1660.67224121,2020-09-28,2020-09-30
60,Brighton,ENG,1,1660.67224121,2020-10-01,2020-10-01
63,Brighton,ENG,1,1661.48156738,2020-10-02,2020-10-03
65,Brighton,ENG,1,1653.99438477,2020-10-04,2020-10-17
64,Brighton,ENG,1,1653.99438477,2020-10-18,2020-10-18
63,Brighton,ENG,1,1655.73742676,2020-10-19,2020-10-20
62,Brighton,ENG,1,1659.42651367,2020-10-21,2020-10-21
62,Brighton,ENG,1,1661.95703125,2020-10-22,2020-10-22
61,Brighton,ENG,1,1666.15979004,2020-10-23,2020-10-23
62,Brighton,ENG,1,1666.15979004,2020-10-24,2020-10-25
61,Brighton,ENG,1,1666.15979004,2020-10-26,2020-10-26
63,Brighton,ENG,1,1663.38598633,2020-10-27,2020-10-27
61,Brighton,ENG,1,1665.66687012,2020-10-28,2020-10-28
59,Brighton,ENG,1,1672.96875,2020-10-29,2020-10-29
60,Brighton,ENG,1,1670.10522461,2020-10-30,2020-10-30
59,Brighton,ENG,1,1670.10522461,2020-10-31,2020-11-01
60,Brighton,ENG,1,1666.60900879,2020-11-02,2020-11-03
59,Brighton,ENG,1,1671.26611328,2020-11-04,2020-11-04
59,Brighton,ENG,1,1668.13806152,2020-11-05,2020-11-05
58,Brighton,ENG,1,1671.99133301,2020-11-06,2020-11-06
58,Brighton,ENG,1,1672.07275391,2020-11-07,2020-11-07
55,Brighton,ENG,1,1672.07275391,2020-11-08,2020-11-21
54,Brighton,ENG,1,1681.70385742,2020-11-22,2020-11-23
53,Brighton,ENG,1,1681.70385742,2020-11-24,2020-11-24
52,Brighton,ENG,1,1683.75463867,2020-11-25,2020-11-25
52,Brighton,ENG,1,1678.5526123,2020-11-26,2020-11-26
53,Brighton,ENG,1,1680.0020752,2020-11-27,2020-11-28
52,Brighton,ENG,1,1686.74560547,2020-11-29,2020-12-01
52,Brighton,ENG,1,1686.32348633,2020-12-02,2020-12-02
50,Brighton,ENG,1,1687.82250977,2020-12-03,2020-12-03
50,Brighton,ENG,1,1683.33178711,2020-12-04,2020-12-04
51,Brighton,ENG,1,1683.33178711,2020-12-05,2020-12-05
52,Brighton,ENG,1,1683.33178711,2020-12-06,2020-12-06
53,Brighton,ENG,1,1683.33178711,2020-12-07,2020-12-07
55,Brighton,ENG,1,1676.4831543,2020-12-08,2020-12-08
59,Brighton,ENG,1,1671.92114258,2020-12-09,2020-12-09
61,Brighton,ENG,1,1670.50744629,2020-12-10,2020-12-10
59,Brighton,ENG,1,1672.32214355,2020-12-11,2020-12-12
60,Brighton,ENG,1,1672.32214355,2020-12-13,2020-12-13
67,Brighton,ENG,1,1664.5390625,2020-12-14,2020-12-16
68,Brighton,ENG,1,1663.55053711,2020-12-17,2020-12-20
68,Brighton,ENG,1,1661.50598145,2020-12-21,2020-12-23
67,Brighton,ENG,1,1661.50598145,2020-12-24,2020-12-27
65,Brighton,ENG,1,1664.6706543,2020-12-28,2020-12-29
69,Brighton,ENG,1,1658.84899902,2020-12-30,2021-01-02
66,Brighton,ENG,1,1660.88330078,2021-01-03,2021-01-06
67,Brighton,ENG,1,1660.88330078,2021-01-07,2021-01-09
66,Brighton,ENG,1,1660.88330078,2021-01-10,2021-01-10
67,Brighton,ENG,1,1660.88330078,2021-01-11,2021-01-11
68,Brighton,ENG,1,1660.88330078,2021-01-12,2021-01-13
