Rank,Club,Country,Level,Elo,From,To
77,Celta,ESP,1,1643.71154785,2020-01-06,2020-01-18
76,Celta,ESP,1,1643.71154785,2020-01-19,2020-01-19
73,Celta,ESP,1,1648.54284668,2020-01-20,2020-01-25
72,Celta,ESP,1,1648.54284668,2020-01-26,2020-01-26
71,Celta,ESP,1,1647.78466797,2020-01-27,2020-01-29
72,Celta,ESP,1,1647.78466797,2020-01-30,2020-02-01
73,Celta,ESP,1,1644.98742676,2020-02-02,2020-02-07
74,Celta,ESP,1,1644.98742676,2020-02-08,2020-02-08
73,Celta,ESP,1,1644.98742676,2020-02-09,2020-02-09
66,Celta,ESP,1,1654.5916748,2020-02-10,2020-02-14
67,Celta,ESP,1,1654.5916748,2020-02-15,2020-02-15
68,Celta,ESP,1,1654.5916748,2020-02-16,2020-02-16
63,Celta,ESP,1,1662.02770996,2020-02-17,2020-02-18
63,Celta,ESP,1,1664.28601074,2020-02-19,2020-02-19
64,Celta,ESP,1,1659.62280273,2020-02-20,2020-02-20
62,Celta,ESP,1,1659.62756348,2020-02-21,2020-02-22
62,Celta,ESP,1,1665.39428711,2020-02-23,2020-02-23
63,Celta,ESP,1,1665.39428711,2020-02-24,2020-02-25
63,Celta,ESP,1,1665.3392334,2020-02-26,2020-02-26
63,Celta,ESP,1,1663.55200195,2020-02-27,2020-02-27
61,Celta,ESP,1,1664.5637207,2020-02-28,2020-02-29
60,Celta,ESP,1,1667.00390625,2020-03-01,2020-03-07
60,Celta,ESP,1,1672.49047852,2020-03-08,2020-03-10
60,Celta,ESP,1,1670.91491699,2020-03-11,2020-03-11
57,Celta,ESP,1,1677.69934082,2020-03-12,2020-03-12
58,Celta,ESP,1,1677.69934082,2020-03-13,2020-05-16
57,Celta,ESP,1,1677.69934082,2020-05-17,2020-06-03
56,Celta,ESP,1,1677.69934082,2020-06-04,2020-06-13
60,Celta,ESP,1,1669.1427002,2020-06-14,2020-06-17
59,Celta,ESP,1,1670.65368652,2020-06-18,2020-06-20
58,Celta,ESP,1,1670.65368652,2020-06-21,2020-06-21
48,Celta,ESP,1,1687.5645752,2020-06-22,2020-06-24
44,Celta,ESP,1,1698.66931152,2020-06-25,2020-06-25
45,Celta,ESP,1,1698.66931152,2020-06-26,2020-06-27
43,Celta,ESP,1,1704.13525391,2020-06-28,2020-06-28
44,Celta,ESP,1,1704.13525391,2020-06-29,2020-06-30
51,Celta,ESP,1,1685.02941895,2020-07-01,2020-07-04
53,Celta,ESP,1,1683.07104492,2020-07-05,2020-07-06
52,Celta,ESP,1,1683.07104492,2020-07-07,2020-07-07
51,Celta,ESP,1,1687.24951172,2020-07-08,2020-07-11
55,Celta,ESP,1,1680.59765625,2020-07-12,2020-07-12
56,Celta,ESP,1,1680.59765625,2020-07-13,2020-07-16
57,Celta,ESP,1,1671.06762695,2020-07-17,2020-07-17
56,Celta,ESP,1,1671.06762695,2020-07-18,2020-07-19
55,Celta,ESP,1,1671.14038086,2020-07-20,2020-07-31
56,Celta,ESP,1,1671.14038086,2020-08-01,2020-08-05
56,Celta,ESP,1,1668.25561523,2020-08-06,2020-08-06
56,Celta,ESP,1,1671.11132812,2020-08-07,2020-08-07
56,Celta,ESP,1,1669.9095459,2020-08-08,2020-08-08
56,Celta,ESP,1,1671.38806152,2020-08-09,2020-08-11
55,Celta,ESP,1,1673.64477539,2020-08-12,2020-08-13
57,Celta,ESP,1,1670.52954102,2020-08-14,2020-08-14
58,Celta,ESP,1,1665.25378418,2020-08-15,2020-08-16
57,Celta,ESP,1,1668.10693359,2020-08-17,2020-08-21
57,Celta,ESP,1,1670.69262695,2020-08-22,2020-08-23
56,Celta,ESP,1,1670.69262695,2020-08-24,2020-08-29
57,Celta,ESP,1,1670.69262695,2020-08-30,2020-09-12
54,Celta,ESP,1,1672.99475098,2020-09-13,2020-09-13
56,Celta,ESP,1,1672.99475098,2020-09-14,2020-09-15
57,Celta,ESP,1,1672.99475098,2020-09-16,2020-09-17
57,Celta,ESP,1,1673.56201172,2020-09-18,2020-09-19
54,Celta,ESP,1,1681.7635498,2020-09-20,2020-09-20
55,Celta,ESP,1,1681.7635498,2020-09-21,2020-09-21
54,Celta,ESP,1,1681.7635498,2020-09-22,2020-09-23
53,Celta,ESP,1,1681.7635498,2020-09-24,2020-09-24
54,Celta,ESP,1,1681.99865723,2020-09-25,2020-09-27
54,Celta,ESP,1,1682.94567871,2020-09-28,2020-09-29
53,Celta,ESP,1,1682.94567871,2020-09-30,2020-10-01
53,Celta,ESP,1,1680.08825684,2020-10-02,2020-10-03
55,Celta,ESP,1,1680.08825684,2020-10-04,2020-10-04
57,Celta,ESP,1,1671.32983398,2020-10-05,2020-10-17
59,Celta,ESP,1,1665.12390137,2020-10-18,2020-10-20
59,Celta,ESP,1,1665.8104248,2020-10-21,2020-10-21
63,Celta,ESP,1,1659.21765137,2020-10-22,2020-10-22
63,Celta,ESP,1,1663.46130371,2020-10-23,2020-10-23
64,Celta,ESP,1,1663.46130371,2020-10-24,2020-10-25
63,Celta,ESP,1,1663.46130371,2020-10-26,2020-10-26
61,Celta,ESP,1,1666.00073242,2020-10-27,2020-10-27
60,Celta,ESP,1,1666.50891113,2020-10-28,2020-10-28
60,Celta,ESP,1,1670.64855957,2020-10-29,2020-10-29
61,Celta,ESP,1,1666.8873291,2020-10-30,2020-10-30
60,Celta,ESP,1,1666.8873291,2020-10-31,2020-11-01
66,Celta,ESP,1,1654.71582031,2020-11-02,2020-11-03
67,Celta,ESP,1,1654.12438965,2020-11-04,2020-11-04
67,Celta,ESP,1,1655.0880127,2020-11-05,2020-11-05
65,Celta,ESP,1,1658.84753418,2020-11-06,2020-11-06
65,Celta,ESP,1,1658.64990234,2020-11-07,2020-11-07
67,Celta,ESP,1,1658.64990234,2020-11-08,2020-11-14
66,Celta,ESP,1,1658.64990234,2020-11-15,2020-11-21
68,Celta,ESP,1,1654.94421387,2020-11-22,2020-11-24
68,Celta,ESP,1,1657.31652832,2020-11-25,2020-11-25
67,Celta,ESP,1,1658.00817871,2020-11-26,2020-11-26
72,Celta,ESP,1,1655.93603516,2020-11-27,2020-11-28
70,Celta,ESP,1,1655.93603516,2020-11-29,2020-11-29
62,Celta,ESP,1,1668.13452148,2020-11-30,2020-11-30
61,Celta,ESP,1,1668.13452148,2020-12-01,2020-12-01
64,Celta,ESP,1,1664.25793457,2020-12-02,2020-12-02
65,Celta,ESP,1,1659.59265137,2020-12-03,2020-12-03
69,Celta,ESP,1,1654.48352051,2020-12-04,2020-12-04
63,Celta,ESP,1,1670.0723877,2020-12-05,2020-12-05
61,Celta,ESP,1,1670.0723877,2020-12-06,2020-12-06
60,Celta,ESP,1,1670.0723877,2020-12-07,2020-12-08
63,Celta,ESP,1,1666.01928711,2020-12-09,2020-12-09
62,Celta,ESP,1,1670.48352051,2020-12-10,2020-12-10
61,Celta,ESP,1,1670.60009766,2020-12-11,2020-12-12
63,Celta,ESP,1,1670.60009766,2020-12-13,2020-12-13
62,Celta,ESP,1,1670.60009766,2020-12-14,2020-12-14
56,Celta,ESP,1,1681.39477539,2020-12-15,2020-12-16
55,Celta,ESP,1,1681.39477539,2020-12-17,2020-12-18
56,Celta,ESP,1,1681.39477539,2020-12-19,2020-12-20
52,Celta,ESP,1,1689.58886719,2020-12-21,2020-12-23
51,Celta,ESP,1,1691.80395508,2020-12-24,2020-12-26
50,Celta,ESP,1,1691.80395508,2020-12-27,2020-12-30
49,Celta,ESP,1,1696.20495605,2020-12-31,2021-01-02
53,Celta,ESP,1,1692.72473145,2021-01-03,2021-01-03
52,Celta,ESP,1,1692.72473145,2021-01-04,2021-01-06
53,Celta,ESP,1,1692.72473145,2021-01-07,2021-01-08
61,Celta,ESP,1,1678.72216797,2021-01-09,2021-01-10
59,Celta,ESP,1,1678.72216797,2021-01-11,2021-01-12
58,Celta,ESP,1,1678.72216797,2021-01-13,2021-01-16
57,Celta,ESP,1,1678.72216797,2021-01-17,2021-01-19
56,Celta,ESP,1,1678.72216797,2021-01-20,2021-01-20
60,Celta,ESP,1,1672.00585938,2021-01-21,2021-01-21
59,Celta,ESP,1,1672.00585938,2021-01-22,2021-01-23
61,Celta,ESP,1,1672.00585938,2021-01-24,2021-01-24
61,Celta,ESP,1,1670.34558105,2021-01-25,2021-01-26
62,Celta,ESP,1,1670.34558105,2021-01-27,2021-01-30
60,Celta,ESP,1,1670.34558105,2021-01-31,2021-01-31
59,Celta,ESP,1,1672.58874512,2021-02-01,2021-02-07
60,Celta,ESP,1,1672.58874512,2021-02-08,2021-02-08
59,Celta,ESP,1,1679.77124023,2021-02-09,2021-02-12
57,Celta,ESP,1,1685.93713379,2021-02-13,2021-02-13
55,Celta,ESP,1,1685.93713379,2021-02-14,2021-02-14
56,Celta,ESP,1,1685.93713379,2021-02-15,2021-02-16
58,Celta,ESP,1,1679.47070312,2021-02-17,2021-02-17
59,Celta,ESP,1,1676.1842041,2021-02-18,2021-02-18
58,Celta,ESP,1,1680.58642578,2021-02-19,2021-02-20
61,Celta,ESP,1,1671.93054199,2021-02-21,2021-02-21
60,Celta,ESP,1,1671.93054199,2021-02-22,2021-02-23
63,Celta,ESP,1,1669.26245117,2021-02-24,2021-02-24
63,Celta,ESP,1,1670.97045898,2021-02-25,2021-02-25
60,Celta,ESP,1,1672.14916992,2021-02-26,2021-02-27
61,Celta,ESP,1,1672.14916992,2021-02-28,2021-02-28
64,Celta,ESP,1,1669.05163574,2021-03-01,2021-03-06
63,Celta,ESP,1,1669.05163574,2021-03-07,2021-03-07
58,Celta,ESP,1,1676.66662598,2021-03-08,2021-03-09
58,Celta,ESP,1,1676.16711426,2021-03-10,2021-03-10
59,Celta,ESP,1,1675.54968262,2021-03-11,2021-03-11
58,Celta,ESP,1,1680.39501953,2021-03-12,2021-03-12
57,Celta,ESP,1,1680.39501953,2021-03-13,2021-03-14
58,Celta,ESP,1,1679.87585449,2021-03-15,2021-03-15
59,Celta,ESP,1,1679.87585449,2021-03-16,2021-03-16
58,Celta,ESP,1,1682.09887695,2021-03-17,2021-03-17
60,Celta,ESP,1,1678.19189453,2021-03-18,2021-03-18
58,Celta,ESP,1,1678.65869141,2021-03-19,2021-03-20
62,Celta,ESP,1,1673.13305664,2021-03-21,2021-03-21
60,Celta,ESP,1,1673.13305664,2021-03-22,2021-04-04
58,Celta,ESP,1,1683.96081543,2021-04-05,2021-04-06
55,Celta,ESP,1,1687.18359375,2021-04-07,2021-04-07
56,Celta,ESP,1,1687.18359375,2021-04-08,2021-04-08
55,Celta,ESP,1,1687.66479492,2021-04-09,2021-04-11
57,Celta,ESP,1,1687.66479492,2021-04-12,2021-04-12
58,Celta,ESP,1,1682.21252441,2021-04-13,2021-04-14
58,Celta,ESP,1,1683.32202148,2021-04-15,2021-04-15
57,Celta,ESP,1,1684.32019043,2021-04-16,2021-04-17
58,Celta,ESP,1,1684.32019043,2021-04-18,2021-04-18
60,Celta,ESP,1,1683.84521484,2021-04-19,2021-04-21
59,Celta,ESP,1,1683.84521484,2021-04-22,2021-04-22
62,Celta,ESP,1,1678.77038574,2021-04-23,2021-04-25
57,Celta,ESP,1,1685.8503418,2021-04-26,2021-04-27
58,Celta,ESP,1,1685.10766602,2021-04-28,2021-04-29
57,Celta,ESP,1,1686.78735352,2021-04-30,2021-04-30
54,Celta,ESP,1,1695.95166016,2021-05-01,2021-05-01
53,Celta,ESP,1,1695.95166016,2021-05-02,2021-05-02
51,Celta,ESP,1,1695.95166016,2021-05-03,2021-05-04
50,Celta,ESP,1,1695.95166016,2021-05-05,2021-05-05
54,Celta,ESP,1,1691.16918945,2021-05-06,2021-05-06
54,Celta,ESP,1,1693.29821777,2021-05-07,2021-05-09
48,Celta,ESP,1,1710.7376709,2021-05-10,2021-05-11
49,Celta,ESP,1,1710.7376709,2021-05-12,2021-05-12
45,Celta,ESP,1,1716.31726074,2021-05-13,2021-05-16
39,Celta,ESP,1,1730.21911621,2021-05-17,2021-05-19
40,Celta,ESP,1,1730.21911621,2021-05-20,2021-05-22
44,Celta,ESP,1,1720.6661377,2021-05-23,2021-05-23
43,Celta,ESP,1,1720.6661377,2021-05-24,2021-05-26
42,Celta,ESP,1,1721.60791016,2021-05-27,2021-07-28
43,Celta,ESP,1,1721.60791016,2021-07-29,2021-08-04
42,Celta,ESP,1,1721.60791016,2021-08-05,2021-08-06
43,Celta,ESP,1,1721.60791016,2021-08-07,2021-08-14
44,Celta,ESP,1,1721.60791016,2021-08-15,2021-08-15
43,Celta,ESP,1,1716.484375,2021-08-16,2021-08-17
42,Celta,ESP,1,1716.484375,2021-08-18,2021-08-23
42,Celta,ESP,1,1717.06640625,2021-08-24,2021-08-28
45,Celta,ESP,1,1707.31933594,2021-08-29,2021-09-11
47,Celta,ESP,1,1707.31933594,2021-09-12,2021-09-12
47,Celta,ESP,1,1703.55090332,2021-09-13,2021-09-14
51,Celta,ESP,1,1697.33410645,2021-09-15,2021-09-15
50,Celta,ESP,1,1698.81665039,2021-09-16,2021-09-16
50,Celta,ESP,1,1699.94128418,2021-09-17,2021-09-17
54,Celta,ESP,1,1688.05200195,2021-09-18,2021-09-19
55,Celta,ESP,1,1688.05200195,2021-09-20,2021-09-21
49,Celta,ESP,1,1700.11608887,2021-09-22,2021-09-25
50,Celta,ESP,1,1700.11608887,2021-09-26,2021-09-26
51,Celta,ESP,1,1700.11608887,2021-09-27,2021-09-27
