Rank,Club,Country,Level,Elo,From,To
None,Como,ITA,2,1366.52087402,2021-07-01,2021-08-19
None,Como,ITA,2,1367.30957031,2021-08-20,2021-08-22
None,Como,ITA,2,1371.52441406,2021-08-23,2021-08-26
None,Como,ITA,2,1372.63598633,2021-08-27,2021-08-29
None,Como,ITA,2,1376.76550293,2021-08-30,2021-09-11
None,Como,ITA,2,1368.59338379,2021-09-12,2021-09-14
None,Como,ITA,2,1371.88757324,2021-09-15,2021-09-15
None,Como,ITA,2,1367.42553711,2021-09-16,2021-09-16
None,Como,ITA,2,1365.58093262,2021-09-17,2021-09-17
None,Como,ITA,2,1355.21203613,2021-09-18,2021-09-21
None,Como,ITA,2,1345.18725586,2021-09-22,2021-09-25
None,Como,ITA,2,1349.2166748,2021-09-26,2021-09-28
None,Como,ITA,2,1344.73083496,2021-09-29,2021-09-29
None,Como,ITA,2,1349.2833252,2021-09-30,2021-09-30
None,Como,ITA,2,1347.67724609,2021-10-01,2021-10-03
None,Como,ITA,2,1365.79846191,2021-10-04,2021-10-16
None,Como,ITA,2,1374.98913574,2021-10-17,2021-10-19
None,Como,ITA,2,1373.06225586,2021-10-20,2021-10-20
None,Como,ITA,2,1373.3527832,2021-10-21,2021-10-21
None,Como,ITA,2,1364.2265625,2021-10-22,2021-10-24
None,Como,ITA,2,1367.10791016,2021-10-25,2021-10-28
None,Como,ITA,2,1372.95874023,2021-10-29,2021-11-01
None,Como,ITA,2,1381.93920898,2021-11-02,2021-11-02
None,Como,ITA,2,1383.6998291,2021-11-03,2021-11-03
None,Como,ITA,2,1383.9140625,2021-11-04,2021-11-04
None,Como,ITA,2,1383.94238281,2021-11-05,2021-11-06
None,Como,ITA,2,1396.45678711,2021-11-07,2021-11-21
None,Como,ITA,2,1390.93603516,2021-11-22,2021-11-23
None,Como,ITA,2,1387.5378418,2021-11-24,2021-11-24
None,Como,ITA,2,1387.89538574,2021-11-25,2021-11-25
None,Como,ITA,2,1393.0670166,2021-11-26,2021-11-28
None,Como,ITA,2,1393.74194336,2021-11-29,2021-12-01
None,Como,ITA,2,1396.61206055,2021-12-02,2021-12-05
None,Como,ITA,2,1389.1237793,2021-12-06,2021-12-07
None,Como,ITA,2,1385.08435059,2021-12-08,2021-12-08
None,Como,ITA,2,1385.64355469,2021-12-09,2021-12-09
None,Como,ITA,2,1382.90405273,2021-12-10,2021-12-12
None,Como,ITA,2,1390.34729004,2021-12-13,2021-12-18
None,Como,ITA,2,1389.06896973,2021-12-19,2022-01-15
None,Como,ITA,2,1381.23266602,2022-01-16,2022-01-22
None,Como,ITA,2,1380.41442871,2022-01-23,2022-02-05
None,Como,ITA,2,1383.79223633,2022-02-06,2022-02-13
None,Como,ITA,2,1385.16650391,2022-02-14,2022-02-16
None,Como,ITA,2,1393.93200684,2022-02-17,2022-02-17
None,Como,ITA,2,1394.83435059,2022-02-18,2022-02-20
None,Como,ITA,2,1400.234375,2022-02-21,2022-02-22
None,Como,ITA,2,1400.85876465,2022-02-23,2022-02-23
None,Como,ITA,2,1389.22717285,2022-02-24,2022-02-24
None,Como,ITA,2,1386.61828613,2022-02-25,2022-02-26
None,Como,ITA,2,1388.74584961,2022-02-27,2022-03-01
None,Como,ITA,2,1387.76513672,2022-03-02,2022-03-05
None,Como,ITA,2,1374.77783203,2022-03-06,2022-03-08
None,Como,ITA,2,1375.45019531,2022-03-09,2022-03-10
None,Como,ITA,2,1377.65930176,2022-03-11,2022-03-12
None,Como,ITA,2,1375.59289551,2022-03-13,2022-03-15
None,Como,ITA,2,1374.37475586,2022-03-16,2022-03-16
None,Como,ITA,2,1367.60888672,2022-03-17,2022-03-17
None,Como,ITA,2,1371.40808105,2022-03-18,2022-03-20
None,Como,ITA,2,1381.8548584,2022-03-21,2022-04-03
None,Como,ITA,2,1396.36621094,2022-04-04,2022-04-06
None,Como,ITA,2,1390.80615234,2022-04-07,2022-04-07
None,Como,ITA,2,1390.13989258,2022-04-08,2022-04-09
None,Como,ITA,2,1381.77880859,2022-04-10,2022-04-14
None,Como,ITA,2,1382.37414551,2022-04-15,2022-04-18
None,Como,ITA,2,1374.87756348,2022-04-19,2022-04-25
None,Como,ITA,2,1359.88696289,2022-04-26,2022-04-28
None,Como,ITA,2,1360.67468262,2022-04-29,2022-04-30
None,Como,ITA,2,1377.72485352,2022-05-01,2022-05-05
None,Como,ITA,2,1380.83117676,2022-05-06,2022-05-06
None,Como,ITA,2,1373.92102051,2022-05-07,2022-05-25
None,Como,ITA,2,1376.57739258,2022-05-26,2022-08-13
None,Como,ITA,2,1379.56066895,2022-08-14,2022-08-18
None,Como,ITA,2,1380.66760254,2022-08-19,2022-08-21
None,Como,ITA,2,1383.55969238,2022-08-22,2022-08-25
None,Como,ITA,2,1385.35083008,2022-08-26,2022-08-29
None,Como,ITA,2,1378.54309082,2022-08-30,2022-09-03
None,Como,ITA,2,1371.49145508,2022-09-04,2022-09-06
None,Como,ITA,2,1369.67602539,2022-09-07,2022-09-07
None,Como,ITA,2,1373.19714355,2022-09-08,2022-09-08
None,Como,ITA,2,1369.1138916,2022-09-09,2022-09-10
None,Como,ITA,2,1354.53137207,2022-09-11,2022-09-13
None,Como,ITA,2,1356.62243652,2022-09-14,2022-09-14
None,Como,ITA,2,1358.67529297,2022-09-15,2022-09-15
None,Como,ITA,2,1345.78271484,2022-09-16,2022-09-17
None,Como,ITA,2,1346.23217773,2022-09-18,2022-09-30
None,Como,ITA,2,1336.14648438,2022-10-01,2022-10-04
None,Como,ITA,2,1347.02185059,2022-10-05,2022-10-05
None,Como,ITA,2,1344.85888672,2022-10-06,2022-10-06
None,Como,ITA,2,1342.80102539,2022-10-07,2022-10-09
None,Como,ITA,2,1350.87109375,2022-10-10,2022-10-11
None,Como,ITA,2,1341.36218262,2022-10-12,2022-10-12
None,Como,ITA,2,1345.24951172,2022-10-13,2022-10-13
None,Como,ITA,2,1345.55847168,2022-10-14,2022-10-15
None,Como,ITA,2,1331.89147949,2022-10-16,2022-10-22
None,Como,ITA,2,1342.13037109,2022-10-23,2022-10-25
None,Como,ITA,2,1344.51086426,2022-10-26,2022-10-26
None,Como,ITA,2,1347.24731445,2022-10-27,2022-10-27
None,Como,ITA,2,1350.59936523,2022-10-28,2022-10-29
None,Como,ITA,2,1346.34875488,2022-10-30,2022-11-01
None,Como,ITA,2,1342.70996094,2022-11-02,2022-11-02
None,Como,ITA,2,1343.66601562,2022-11-03,2022-11-03
None,Como,ITA,2,1343.46496582,2022-11-04,2022-11-06
None,Como,ITA,2,1352.63500977,2022-11-07,2022-11-13
None,Como,ITA,2,1358.39782715,2022-11-14,2022-11-27
None,Como,ITA,2,1358.2479248,2022-11-28,2022-12-04
None,Como,ITA,2,1362.0880127,2022-12-05,2022-12-08
None,Como,ITA,2,1363.04077148,2022-12-09,2022-12-11
None,Como,ITA,2,1355.47546387,2022-12-12,2022-12-18
None,Como,ITA,2,1374.25085449,2022-12-19,2022-12-26
None,Como,ITA,2,1384.70483398,2022-12-27,2023-01-14
None,Como,ITA,2,1377.85852051,2023-01-15,2023-01-21
None,Como,ITA,2,1379.36523438,2023-01-22,2023-01-28
None,Como,ITA,2,1389.23754883,2023-01-29,2023-02-04
None,Como,ITA,2,1381.35913086,2023-02-05,2023-02-11
None,Como,ITA,2,1383.38366699,2023-02-12,2023-02-14
None,Como,ITA,2,1384.85351562,2023-02-15,2023-02-16
None,Como,ITA,2,1390.16003418,2023-02-17,2023-02-18
None,Como,ITA,2,1391.07824707,2023-02-19,2023-02-21
None,Como,ITA,2,1393.03210449,2023-02-22,2023-02-22
None,Como,ITA,2,1394.3795166,2023-02-23,2023-02-23
None,Como,ITA,2,1404.89306641,2023-02-24,2023-02-25
None,Como,ITA,2,1415.74169922,2023-02-26,2023-03-01
None,Como,ITA,2,1417.24914551,2023-03-02,2023-03-05
None,Como,ITA,2,1423.953125,2023-03-06,2023-03-07
None,Como,ITA,2,1420.99865723,2023-03-08,2023-03-08
None,Como,ITA,2,1423.60253906,2023-03-09,2023-03-09
None,Como,ITA,2,1427.99621582,2023-03-10,2023-03-11
None,Como,ITA,2,1429.33007812,2023-03-12,2023-03-14
None,Como,ITA,2,1431.27880859,2023-03-15,2023-03-15
None,Como,ITA,2,1432.45690918,2023-03-16,2023-03-16
None,Como,ITA,2,1435.49780273,2023-03-17,2023-03-18
None,Como,ITA,2,1446.8770752,2023-03-19,2023-04-01
None,Como,ITA,2,1439.81799316,2023-04-02,2023-04-10
None,Como,ITA,2,1442.69250488,2023-04-11,2023-04-11
None,Como,ITA,2,1446.59130859,2023-04-12,2023-04-13
None,Como,ITA,2,1448.07116699,2023-04-14,2023-04-15
None,Como,ITA,2,1450.54907227,2023-04-16,2023-04-19
None,Como,ITA,2,1451.39477539,2023-04-20,2023-04-20
None,Como,ITA,2,1458.5279541,2023-04-21,2023-04-22
None,Como,ITA,2,1457.09204102,2023-04-23,2023-05-01
None,Como,ITA,2,1455.57104492,2023-05-02,2023-05-06
None,Como,ITA,2,1447.77905273,2023-05-07,2023-05-11
None,Como,ITA,2,1445.23254395,2023-05-12,2023-05-13
None,Como,ITA,2,1453.50061035,2023-05-14,2023-05-18
None,Como,ITA,2,1455.8371582,2023-05-19,2023-05-19
None,Como,ITA,2,1456.67260742,2023-05-20,2023-05-31
None,Como,ITA,2,1456.50585938,2023-06-01,2023-06-07
None,Como,ITA,2,1454.02404785,2023-06-08,2023-06-10
None,Como,ITA,2,1452.83935547,2023-06-11,2023-08-20
None,Como,ITA,2,1442.42053223,2023-08-21,2023-08-24
None,Como,ITA,2,1441.15576172,2023-08-25,2023-08-26
None,Como,ITA,2,1437.6697998,2023-08-27,2023-08-31
None,Como,ITA,2,1439.50256348,2023-09-01,2023-09-03
None,Como,ITA,2,1450.70288086,2023-09-04,2023-09-17
None,Como,ITA,2,1455.64733887,2023-09-18,2023-09-19
None,Como,ITA,2,1455.23669434,2023-09-20,2023-09-20
None,Como,ITA,2,1456.109375,2023-09-21,2023-09-21
None,Como,ITA,2,1457.81420898,2023-09-22,2023-09-24
None,Como,ITA,2,1473.89562988,2023-09-25,2023-09-27
None,Como,ITA,2,1481.27478027,2023-09-28,2023-10-01
None,Como,ITA,2,1482.86169434,2023-10-02,2023-10-03
None,Como,ITA,2,1480.90197754,2023-10-04,2023-10-04
None,Como,ITA,2,1483.73583984,2023-10-05,2023-10-05
None,Como,ITA,2,1484.95446777,2023-10-06,2023-10-08
None,Como,ITA,2,1472.96813965,2023-10-09,2023-10-20
None,Como,ITA,2,1467.69580078,2023-10-21,2023-10-24
None,Como,ITA,2,1469.9375,2023-10-25,2023-10-25
None,Como,ITA,2,1463.08911133,2023-10-26,2023-10-26
None,Como,ITA,2,1464.2364502,2023-10-27,2023-10-28
None,Como,ITA,2,1470.38122559,2023-10-29,2023-11-04
None,Como,ITA,2,1470.64404297,2023-11-05,2023-11-07
None,Como,ITA,2,1474.76599121,2023-11-08,2023-11-08
None,Como,ITA,2,1473.9276123,2023-11-09,2023-11-09
None,Como,ITA,2,1470.76403809,2023-11-10,2023-11-11
None,Como,ITA,2,1478.55529785,2023-11-12,2023-11-25
None,Como,ITA,2,1482.31494141,2023-11-26,2023-11-28
None,Como,ITA,2,1475.11682129,2023-11-29,2023-11-29
None,Como,ITA,2,1472.75842285,2023-11-30,2023-11-30
None,Como,ITA,2,1471.28259277,2023-12-01,2023-12-03
None,Como,ITA,2,1479.98327637,2023-12-04,2023-12-10
None,Como,ITA,2,1485.83520508,2023-12-11,2023-12-12
None,Como,ITA,2,1485.59155273,2023-12-13,2023-12-13
None,Como,ITA,2,1487.52355957,2023-12-14,2023-12-14
None,Como,ITA,2,1489.29968262,2023-12-15,2023-12-16
None,Como,ITA,2,1476.44763184,2023-12-17,2023-12-23
None,Como,ITA,2,1474.67883301,2023-12-24,2023-12-26
None,Como,ITA,2,1481.90405273,2023-12-27,2023-12-31
None,Como,ITA,2,1481.90405273,2024-01-01,2024-01-13
None,Como,ITA,2,1493.95703125,2024-01-14,2024-01-20
None,Como,ITA,2,1492.5345459,2024-01-21,2024-01-27
None,Como,ITA,2,1475.73791504,2024-01-28,2024-02-03
None,Como,ITA,2,1482.9309082,2024-02-04,2024-02-09
None,Como,ITA,2,1488.40734863,2024-02-10,2024-02-14
None,Como,ITA,2,1489.7479248,2024-02-15,2024-02-15
None,Como,ITA,2,1492.53796387,2024-02-16,2024-02-17
None,Como,ITA,2,1481.11242676,2024-02-18,2024-02-20
None,Como,ITA,2,1481.78723145,2024-02-21,2024-02-21
None,Como,ITA,2,1481.1661377,2024-02-22,2024-02-22
None,Como,ITA,2,1480.20166016,2024-02-23,2024-02-24
None,Como,ITA,2,1481.03076172,2024-02-25,2024-02-27
None,Como,ITA,2,1490.40197754,2024-02-28,2024-03-03
None,Como,ITA,2,1498.01379395,2024-03-04,2024-03-05
None,Como,ITA,2,1494.82800293,2024-03-06,2024-03-06
None,Como,ITA,2,1495.51831055,2024-03-07,2024-03-07
None,Como,ITA,2,1502.85766602,2024-03-08,2024-03-09
None,Como,ITA,2,1497.38916016,2024-03-10,2024-03-12
None,Como,ITA,2,1494.21032715,2024-03-13,2024-03-13
None,Como,ITA,2,1491.87768555,2024-03-14,2024-03-14
None,Como,ITA,2,1496.46643066,2024-03-15,2024-03-16
None,Como,ITA,2,1504.85253906,2024-03-17,2024-04-01
None,Como,ITA,2,1513.0592041,2024-04-02,2024-04-06
None,Como,ITA,2,1520.79492188,2024-04-07,2024-04-11
None,Como,ITA,2,1528.01904297,2024-04-12,2024-04-13
None,Como,ITA,2,1532.67541504,2024-04-14,2024-04-18
None,Como,ITA,2,1534.02160645,2024-04-19,2024-04-20
None,Como,ITA,2,1543.02563477,2024-04-21,2024-04-27
None,Como,ITA,2,1542.56335449,2024-04-28,2024-05-01
None,Como,ITA,2,1547.01928711,2024-05-02,2024-05-02
None,Como,ITA,2,1545.87658691,2024-05-03,2024-05-05
None,Como,ITA,2,1543.4901123,2024-05-06,2024-05-08
None,Como,ITA,2,1545.43017578,2024-05-09,2024-05-09
None,Como,ITA,2,1547.9597168,2024-05-10,2024-05-10
None,Como,ITA,2,1544.01464844,2024-05-11,2024-05-22
None,Como,ITA,2,1549.41833496,2024-05-23,2024-05-29
None,Como,ITA,2,1545.97338867,2024-05-30,2024-07-03
None,Como,ITA,1,1545.97338867,2024-07-04,2024-08-19
None,Como,ITA,1,1542.77783203,2024-08-20,2024-08-22
None,Como,ITA,1,1542.11682129,2024-08-23,2024-08-26
None,Como,ITA,1,1545.46740723,2024-08-27,2024-08-29
None,Como,ITA,1,1542.04443359,2024-08-30,2024-09-01
None,Como,ITA,1,1538.20275879,2024-09-02,2024-09-14
None,Como,ITA,1,1543.03625488,2024-09-15,2024-09-17
