Rank,Club,Country,Level,Elo,From,To
15,Dortmund,GER,1,1816.70507812,2020-01-02,2020-01-11
16,Dortmund,GER,1,1816.70507812,2020-01-12,2020-01-17
17,Dortmund,GER,1,1816.70507812,2020-01-18,2020-01-18
15,Dortmund,GER,1,1823.33508301,2020-01-19,2020-01-19
14,Dortmund,GER,1,1823.33508301,2020-01-20,2020-01-22
15,Dortmund,GER,1,1823.33508301,2020-01-23,2020-01-24
12,Dortmund,GER,1,1827.40307617,2020-01-25,2020-01-25
11,Dortmund,GER,1,1827.40307617,2020-01-26,2020-02-01
10,Dortmund,GER,1,1831.71740723,2020-02-02,2020-02-02
11,Dortmund,GER,1,1831.71740723,2020-02-03,2020-02-08
12,Dortmund,GER,1,1823.00036621,2020-02-09,2020-02-14
11,Dortmund,GER,1,1830.87463379,2020-02-15,2020-02-17
10,Dortmund,GER,1,1830.87463379,2020-02-18,2020-02-18
10,Dortmund,GER,1,1836.70483398,2020-02-19,2020-02-19
9,Dortmund,GER,1,1839.6953125,2020-02-20,2020-02-20
8,Dortmund,GER,1,1847.80419922,2020-02-21,2020-02-22
9,Dortmund,GER,1,1853.04956055,2020-02-23,2020-02-23
10,Dortmund,GER,1,1853.04956055,2020-02-24,2020-02-25
9,Dortmund,GER,1,1856.15002441,2020-02-26,2020-02-27
9,Dortmund,GER,1,1865.33044434,2020-02-28,2020-02-28
9,Dortmund,GER,1,1866.85913086,2020-02-29,2020-02-29
9,Dortmund,GER,1,1869.20507812,2020-03-01,2020-03-01
8,Dortmund,GER,1,1869.20507812,2020-03-02,2020-03-07
8,Dortmund,GER,1,1875.59375,2020-03-08,2020-03-10
8,Dortmund,GER,1,1879.47460938,2020-03-11,2020-03-11
10,Dortmund,GER,1,1861.88598633,2020-03-12,2020-03-12
10,Dortmund,GER,1,1853.26098633,2020-03-13,2020-05-16
10,Dortmund,GER,1,1859.53491211,2020-05-17,2020-05-23
9,Dortmund,GER,1,1867.46044922,2020-05-24,2020-05-24
10,Dortmund,GER,1,1867.46044922,2020-05-25,2020-05-26
10,Dortmund,GER,1,1861.74401855,2020-05-27,2020-05-31
9,Dortmund,GER,1,1866.02978516,2020-06-01,2020-06-01
10,Dortmund,GER,1,1866.02978516,2020-06-02,2020-06-06
9,Dortmund,GER,1,1868.73852539,2020-06-07,2020-06-13
9,Dortmund,GER,1,1871.68908691,2020-06-14,2020-06-14
8,Dortmund,GER,1,1871.68908691,2020-06-15,2020-06-17
11,Dortmund,GER,1,1851.65771484,2020-06-18,2020-06-20
9,Dortmund,GER,1,1864.35290527,2020-06-21,2020-06-27
12,Dortmund,GER,1,1839.19519043,2020-06-28,2020-07-01
11,Dortmund,GER,1,1839.19519043,2020-07-02,2020-07-05
12,Dortmund,GER,1,1839.19519043,2020-07-06,2020-07-07
13,Dortmund,GER,1,1839.19519043,2020-07-08,2020-07-11
12,Dortmund,GER,1,1839.19519043,2020-07-12,2020-08-01
11,Dortmund,GER,1,1839.19519043,2020-08-02,2020-08-05
12,Dortmund,GER,1,1835.51489258,2020-08-06,2020-08-06
12,Dortmund,GER,1,1833.80407715,2020-08-07,2020-08-08
12,Dortmund,GER,1,1834.19104004,2020-08-09,2020-08-10
13,Dortmund,GER,1,1831.67797852,2020-08-11,2020-08-13
12,Dortmund,GER,1,1835.07922363,2020-08-14,2020-08-14
10,Dortmund,GER,1,1840.83679199,2020-08-15,2020-08-16
11,Dortmund,GER,1,1840.83679199,2020-08-17,2020-08-17
13,Dortmund,GER,1,1840.83679199,2020-08-18,2020-08-18
13,Dortmund,GER,1,1837.00256348,2020-08-19,2020-08-19
13,Dortmund,GER,1,1838.2388916,2020-08-20,2020-08-21
12,Dortmund,GER,1,1838.2388916,2020-08-22,2020-08-23
