Rank,Club,Country,Level,Elo,From,To
54,Frankfurt,GER,1,1678.7175293,2020-01-02,2020-01-10
55,Frankfurt,GER,1,1678.7175293,2020-01-11,2020-01-12
56,Frankfurt,GER,1,1678.7175293,2020-01-13,2020-01-18
52,Frankfurt,GER,1,1688.68762207,2020-01-19,2020-01-21
51,Frankfurt,GER,1,1688.68762207,2020-01-22,2020-01-22
52,Frankfurt,GER,1,1688.68762207,2020-01-23,2020-01-25
41,Frankfurt,GER,1,1702.95861816,2020-01-26,2020-01-26
43,Frankfurt,GER,1,1702.95861816,2020-01-27,2020-02-01
45,Frankfurt,GER,1,1700.78820801,2020-02-02,2020-02-02
44,Frankfurt,GER,1,1700.78820801,2020-02-03,2020-02-07
38,Frankfurt,GER,1,1710.99914551,2020-02-08,2020-02-08
37,Frankfurt,GER,1,1710.99914551,2020-02-09,2020-02-09
38,Frankfurt,GER,1,1710.99914551,2020-02-10,2020-02-14
41,Frankfurt,GER,1,1703.12475586,2020-02-15,2020-02-18
41,Frankfurt,GER,1,1704.59460449,2020-02-19,2020-02-19
39,Frankfurt,GER,1,1707.58508301,2020-02-20,2020-02-20
34,Frankfurt,GER,1,1732.95849609,2020-02-21,2020-02-24
36,Frankfurt,GER,1,1720.47473145,2020-02-25,2020-02-25
35,Frankfurt,GER,1,1723.57519531,2020-02-26,2020-02-27
36,Frankfurt,GER,1,1732.7557373,2020-02-28,2020-02-28
34,Frankfurt,GER,1,1738.89868164,2020-02-29,2020-03-02
33,Frankfurt,GER,1,1738.89868164,2020-03-03,2020-03-07
37,Frankfurt,GER,1,1728.70654297,2020-03-08,2020-03-08
38,Frankfurt,GER,1,1728.70654297,2020-03-09,2020-03-10
35,Frankfurt,GER,1,1732.58740234,2020-03-11,2020-03-11
38,Frankfurt,GER,1,1728.2088623,2020-03-12,2020-03-12
45,Frankfurt,GER,1,1697.54553223,2020-03-13,2020-05-16
47,Frankfurt,GER,1,1686.67199707,2020-05-17,2020-05-23
