Rank,Club,Country,Level,Elo,From,To
76,Freiburg,GER,1,1645.67333984,2020-01-13,2020-01-18
66,Freiburg,GER,1,1654.890625,2020-01-19,2020-01-21
65,Freiburg,GER,1,1654.890625,2020-01-22,2020-01-22
66,Freiburg,GER,1,1654.890625,2020-01-23,2020-01-25
79,Freiburg,GER,1,1636.49279785,2020-01-26,2020-01-26
77,Freiburg,GER,1,1636.49279785,2020-01-27,2020-02-02
87,Freiburg,GER,1,1620.80383301,2020-02-03,2020-02-08
80,Freiburg,GER,1,1629.5501709,2020-02-09,2020-02-09
81,Freiburg,GER,1,1629.5501709,2020-02-10,2020-02-14
80,Freiburg,GER,1,1629.5501709,2020-02-15,2020-02-15
78,Freiburg,GER,1,1630.59619141,2020-02-16,2020-02-18
78,Freiburg,GER,1,1632.06604004,2020-02-19,2020-02-19
78,Freiburg,GER,1,1635.05651855,2020-02-20,2020-02-20
75,Freiburg,GER,1,1643.16540527,2020-02-21,2020-02-22
82,Freiburg,GER,1,1627.53308105,2020-02-23,2020-02-25
80,Freiburg,GER,1,1630.63354492,2020-02-26,2020-02-26
81,Freiburg,GER,1,1630.63354492,2020-02-27,2020-02-27
78,Freiburg,GER,1,1639.81396484,2020-02-28,2020-02-28
77,Freiburg,GER,1,1641.34265137,2020-02-29,2020-02-29
78,Freiburg,GER,1,1638.99682617,2020-03-01,2020-03-01
74,Freiburg,GER,1,1638.99682617,2020-03-02,2020-03-03
73,Freiburg,GER,1,1638.99682617,2020-03-04,2020-03-07
67,Freiburg,GER,1,1648.19824219,2020-03-08,2020-03-08
65,Freiburg,GER,1,1648.19824219,2020-03-09,2020-03-10
65,Freiburg,GER,1,1652.07897949,2020-03-11,2020-03-11
67,Freiburg,GER,1,1647.70043945,2020-03-12,2020-03-12
75,Freiburg,GER,1,1639.07543945,2020-03-13,2020-05-16
70,Freiburg,GER,1,1645.68164062,2020-05-17,2020-05-22
71,Freiburg,GER,1,1645.68164062,2020-05-23,2020-05-23
77,Freiburg,GER,1,1635.56872559,2020-05-24,2020-05-24
76,Freiburg,GER,1,1635.56872559,2020-05-25,2020-05-26
76,Freiburg,GER,1,1638.23449707,2020-05-27,2020-05-27
75,Freiburg,GER,1,1638.23449707,2020-05-28,2020-05-29
78,Freiburg,GER,1,1633.55993652,2020-05-30,2020-05-30
79,Freiburg,GER,1,1633.55993652,2020-05-31,2020-06-01
78,Freiburg,GER,1,1633.55993652,2020-06-02,2020-06-03
77,Freiburg,GER,1,1633.55993652,2020-06-04,2020-06-05
69,Freiburg,GER,1,1643.7130127,2020-06-06,2020-06-13
69,Freiburg,GER,1,1647.19946289,2020-06-14,2020-06-14
67,Freiburg,GER,1,1647.19946289,2020-06-15,2020-06-16
64,Freiburg,GER,1,1654.25720215,2020-06-17,2020-06-20
65,Freiburg,GER,1,1652.57019043,2020-06-21,2020-06-21
66,Freiburg,GER,1,1652.57019043,2020-06-22,2020-06-26
67,Freiburg,GER,1,1652.57019043,2020-06-27,2020-06-27
60,Freiburg,GER,1,1665.37683105,2020-06-28,2020-06-28
59,Freiburg,GER,1,1665.37683105,2020-06-29,2020-07-05
58,Freiburg,GER,1,1665.37683105,2020-07-06,2020-07-11
59,Freiburg,GER,1,1665.37683105,2020-07-12,2020-07-17
58,Freiburg,GER,1,1665.37683105,2020-07-18,2020-07-18
59,Freiburg,GER,1,1665.37683105,2020-07-19,2020-07-19
60,Freiburg,GER,1,1665.37683105,2020-07-20,2020-08-05
60,Freiburg,GER,1,1661.6965332,2020-08-06,2020-08-06
61,Freiburg,GER,1,1659.98571777,2020-08-07,2020-08-08
61,Freiburg,GER,1,1660.37268066,2020-08-09,2020-08-10
61,Freiburg,GER,1,1657.85961914,2020-08-11,2020-08-11
62,Freiburg,GER,1,1657.85961914,2020-08-12,2020-08-13
61,Freiburg,GER,1,1661.26098633,2020-08-14,2020-08-14
57,Freiburg,GER,1,1667.01843262,2020-08-15,2020-08-16
58,Freiburg,GER,1,1667.01843262,2020-08-17,2020-08-18
60,Freiburg,GER,1,1663.1842041,2020-08-19,2020-08-19
60,Freiburg,GER,1,1664.42053223,2020-08-20,2020-08-21
61,Freiburg,GER,1,1664.42053223,2020-08-22,2020-08-23
58,Freiburg,GER,1,1666.2088623,2020-08-24,2020-08-29
59,Freiburg,GER,1,1666.2088623,2020-08-30,2020-08-30
60,Freiburg,GER,1,1666.2088623,2020-08-31,2020-09-12
61,Freiburg,GER,1,1666.2088623,2020-09-13,2020-09-16
60,Freiburg,GER,1,1666.2088623,2020-09-17,2020-09-17
60,Freiburg,GER,1,1667.05529785,2020-09-18,2020-09-19
58,Freiburg,GER,1,1673.58496094,2020-09-20,2020-09-20
57,Freiburg,GER,1,1673.58496094,2020-09-21,2020-09-24
57,Freiburg,GER,1,1674.74511719,2020-09-25,2020-09-27
57,Freiburg,GER,1,1675.08947754,2020-09-28,2020-09-29
56,Freiburg,GER,1,1675.08947754,2020-09-30,2020-10-01
57,Freiburg,GER,1,1671.7755127,2020-10-02,2020-10-03
61,Freiburg,GER,1,1664.83398438,2020-10-04,2020-10-04
60,Freiburg,GER,1,1664.83398438,2020-10-05,2020-10-17
60,Freiburg,GER,1,1662.9576416,2020-10-18,2020-10-20
63,Freiburg,GER,1,1658.8449707,2020-10-21,2020-10-21
60,Freiburg,GER,1,1662.91552734,2020-10-22,2020-10-22
59,Freiburg,GER,1,1667.23583984,2020-10-23,2020-10-23
60,Freiburg,GER,1,1667.23583984,2020-10-24,2020-10-24
60,Freiburg,GER,1,1667.02880859,2020-10-25,2020-10-27
59,Freiburg,GER,1,1668.30627441,2020-10-28,2020-10-28
62,Freiburg,GER,1,1664.73828125,2020-10-29,2020-10-29
62,Freiburg,GER,1,1663.00085449,2020-10-30,2020-10-31
63,Freiburg,GER,1,1663.00085449,2020-11-01,2020-11-01
65,Freiburg,GER,1,1654.85192871,2020-11-02,2020-11-03
63,Freiburg,GER,1,1665.0546875,2020-11-04,2020-11-04
56,Freiburg,GER,1,1670.51416016,2020-11-05,2020-11-05
56,Freiburg,GER,1,1672.40551758,2020-11-06,2020-11-07
61,Freiburg,GER,1,1667.51623535,2020-11-08,2020-11-21
60,Freiburg,GER,1,1667.51623535,2020-11-22,2020-11-22
70,Freiburg,GER,1,1652.89929199,2020-11-23,2020-11-24
73,Freiburg,GER,1,1652.23632812,2020-11-25,2020-11-25
68,Freiburg,GER,1,1656.08374023,2020-11-26,2020-11-26
69,Freiburg,GER,1,1657.69714355,2020-11-27,2020-11-28
69,Freiburg,GER,1,1658.63623047,2020-11-29,2020-11-30
68,Freiburg,GER,1,1658.63623047,2020-12-01,2020-12-01
68,Freiburg,GER,1,1654.65356445,2020-12-02,2020-12-02
70,Freiburg,GER,1,1653.92858887,2020-12-03,2020-12-03
68,Freiburg,GER,1,1654.89587402,2020-12-04,2020-12-04
69,Freiburg,GER,1,1654.89587402,2020-12-05,2020-12-05
69,Freiburg,GER,1,1658.15869141,2020-12-06,2020-12-06
68,Freiburg,GER,1,1658.15869141,2020-12-07,2020-12-08
66,Freiburg,GER,1,1661.7220459,2020-12-09,2020-12-09
68,Freiburg,GER,1,1659.57092285,2020-12-10,2020-12-10
68,Freiburg,GER,1,1662.70349121,2020-12-11,2020-12-11
67,Freiburg,GER,1,1662.70349121,2020-12-12,2020-12-12
62,Freiburg,GER,1,1670.69116211,2020-12-13,2020-12-13
61,Freiburg,GER,1,1670.69116211,2020-12-14,2020-12-14
62,Freiburg,GER,1,1670.69116211,2020-12-15,2020-12-16
57,Freiburg,GER,1,1680.52380371,2020-12-17,2020-12-18
58,Freiburg,GER,1,1680.52380371,2020-12-19,2020-12-20
49,Freiburg,GER,1,1693.30249023,2020-12-21,2020-12-30
51,Freiburg,GER,1,1693.30249023,2020-12-31,2021-01-02
44,Freiburg,GER,1,1708.0045166,2021-01-03,2021-01-03
43,Freiburg,GER,1,1708.0045166,2021-01-04,2021-01-06
