Rank,Club,Country,Level,Elo,From,To
None,Frosinone,ITA,2,1456.87683105,2020-01-18,2020-01-26
None,Frosinone,ITA,2,1464.21240234,2020-01-27,2020-02-01
None,Frosinone,ITA,2,1469.54492188,2020-02-02,2020-02-08
None,Frosinone,ITA,2,1477.08459473,2020-02-09,2020-02-16
None,Frosinone,ITA,2,1481.7800293,2020-02-17,2020-02-19
None,Frosinone,ITA,2,1487.09399414,2020-02-20,2020-02-20
None,Frosinone,ITA,2,1489.74060059,2020-02-21,2020-02-21
None,Frosinone,ITA,2,1499.59570312,2020-02-22,2020-02-25
None,Frosinone,ITA,2,1499.65856934,2020-02-26,2020-02-26
None,Frosinone,ITA,2,1497.26733398,2020-02-27,2020-02-27
None,Frosinone,ITA,2,1498.72375488,2020-02-28,2020-02-29
None,Frosinone,ITA,2,1503.04443359,2020-03-01,2020-03-03
None,Frosinone,ITA,2,1498.80554199,2020-03-04,2020-03-07
None,Frosinone,ITA,2,1481.21655273,2020-03-08,2020-03-10
None,Frosinone,ITA,2,1483.01159668,2020-03-11,2020-06-20
None,Frosinone,ITA,2,1480.7467041,2020-06-21,2020-06-26
None,Frosinone,ITA,2,1466.47973633,2020-06-27,2020-06-29
None,Frosinone,ITA,2,1455.97558594,2020-06-30,2020-07-03
None,Frosinone,ITA,2,1463.09594727,2020-07-04,2020-07-10
None,Frosinone,ITA,2,1454.4552002,2020-07-11,2020-07-13
None,Frosinone,ITA,2,1450.49719238,2020-07-14,2020-07-17
None,Frosinone,ITA,2,1450.1607666,2020-07-18,2020-07-24
None,Frosinone,ITA,2,1443.10327148,2020-07-25,2020-07-27
None,Frosinone,ITA,2,1438.01708984,2020-07-28,2020-07-31
None,Frosinone,ITA,2,1436.08654785,2020-08-01,2020-08-05
None,Frosinone,ITA,2,1448.69873047,2020-08-06,2020-08-06
None,Frosinone,ITA,2,1445.44299316,2020-08-07,2020-08-07
None,Frosinone,ITA,2,1443.00085449,2020-08-08,2020-08-08
None,Frosinone,ITA,2,1441.31774902,2020-08-09,2020-08-09
None,Frosinone,ITA,2,1432.58325195,2020-08-10,2020-08-10
None,Frosinone,ITA,2,1435.20007324,2020-08-11,2020-08-12
None,Frosinone,ITA,2,1451.69726562,2020-08-13,2020-08-16
None,Frosinone,ITA,2,1443.93457031,2020-08-17,2020-08-17
None,Frosinone,ITA,2,1449.47424316,2020-08-18,2020-08-20
None,Frosinone,ITA,2,1457.70861816,2020-08-21,2020-08-21
None,Frosinone,ITA,2,1454.76647949,2020-08-22,2020-09-17
None,Frosinone,ITA,2,1455.06335449,2020-09-18,2020-09-24
None,Frosinone,ITA,2,1455.71081543,2020-09-25,2020-09-26
None,Frosinone,ITA,2,1442.84509277,2020-09-27,2020-10-01
None,Frosinone,ITA,2,1441.09765625,2020-10-02,2020-10-03
None,Frosinone,ITA,2,1453.3795166,2020-10-04,2020-10-17
None,Frosinone,ITA,2,1458.08789062,2020-10-18,2020-10-20
None,Frosinone,ITA,2,1461.88183594,2020-10-21,2020-10-21
None,Frosinone,ITA,2,1463.14025879,2020-10-22,2020-10-22
None,Frosinone,ITA,2,1463.19995117,2020-10-23,2020-10-24
None,Frosinone,ITA,2,1472.70043945,2020-10-25,2020-10-27
None,Frosinone,ITA,2,1471.46069336,2020-10-28,2020-10-28
None,Frosinone,ITA,2,1467.84289551,2020-10-29,2020-10-29
None,Frosinone,ITA,2,1469.54577637,2020-10-30,2020-11-01
None,Frosinone,ITA,2,1466.76867676,2020-11-02,2020-11-03
None,Frosinone,ITA,2,1461.23864746,2020-11-04,2020-11-04
None,Frosinone,ITA,2,1463.30664062,2020-11-05,2020-11-05
None,Frosinone,ITA,2,1459.5168457,2020-11-06,2020-11-07
None,Frosinone,ITA,2,1447.15637207,2020-11-08,2020-11-20
None,Frosinone,ITA,2,1432.22277832,2020-11-21,2020-11-24
None,Frosinone,ITA,2,1435.36193848,2020-11-25,2020-11-25
None,Frosinone,ITA,2,1438.71472168,2020-11-26,2020-11-26
None,Frosinone,ITA,2,1441.53747559,2020-11-27,2020-11-28
None,Frosinone,ITA,2,1451.06213379,2020-11-29,2020-12-01
None,Frosinone,ITA,2,1451.87268066,2020-12-02,2020-12-02
None,Frosinone,ITA,2,1454.91418457,2020-12-03,2020-12-03
None,Frosinone,ITA,2,1456.92346191,2020-12-04,2020-12-05
None,Frosinone,ITA,2,1465.24865723,2020-12-06,2020-12-08
None,Frosinone,ITA,2,1470.50183105,2020-12-09,2020-12-09
None,Frosinone,ITA,2,1471.93225098,2020-12-10,2020-12-10
None,Frosinone,ITA,2,1465.50610352,2020-12-11,2020-12-12
None,Frosinone,ITA,2,1468.26464844,2020-12-13,2020-12-15
None,Frosinone,ITA,2,1475.6809082,2020-12-16,2020-12-18
None,Frosinone,ITA,2,1473.71044922,2020-12-19,2020-12-22
None,Frosinone,ITA,2,1466.81347656,2020-12-23,2020-12-27
None,Frosinone,ITA,2,1464.58447266,2020-12-28,2021-01-04
None,Frosinone,ITA,2,1455.50463867,2021-01-05,2021-01-15
None,Frosinone,ITA,2,1454.88024902,2021-01-16,2021-01-23
None,Frosinone,ITA,2,1451.55273438,2021-01-24,2021-01-30
None,Frosinone,ITA,2,1444.48913574,2021-01-31,2021-02-02
None,Frosinone,ITA,2,1445.25305176,2021-02-03,2021-02-06
None,Frosinone,ITA,2,1435.59143066,2021-02-07,2021-02-09
None,Frosinone,ITA,2,1434.61132812,2021-02-10,2021-02-14
None,Frosinone,ITA,2,1441.33850098,2021-02-15,2021-02-17
None,Frosinone,ITA,2,1439.40087891,2021-02-18,2021-02-18
None,Frosinone,ITA,2,1438.15454102,2021-02-19,2021-02-19
None,Frosinone,ITA,2,1433.98974609,2021-02-20,2021-02-23
None,Frosinone,ITA,2,1432.8515625,2021-02-24,2021-02-24
None,Frosinone,ITA,2,1430.96826172,2021-02-25,2021-02-25
None,Frosinone,ITA,2,1433.56982422,2021-02-26,2021-02-27
None,Frosinone,ITA,2,1417.28076172,2021-02-28,2021-03-02
None,Frosinone,ITA,2,1417.72961426,2021-03-03,2021-03-06
None,Frosinone,ITA,2,1426.57470703,2021-03-07,2021-03-09
None,Frosinone,ITA,2,1425.19897461,2021-03-10,2021-03-11
None,Frosinone,ITA,2,1431.08361816,2021-03-12,2021-03-13
None,Frosinone,ITA,2,1422.3494873,2021-03-14,2021-03-16
None,Frosinone,ITA,2,1422.33056641,2021-03-17,2021-03-17
None,Frosinone,ITA,2,1422.31933594,2021-03-18,2021-03-18
None,Frosinone,ITA,2,1421.17468262,2021-03-19,2021-03-20
None,Frosinone,ITA,2,1410.16564941,2021-03-21,2021-04-02
None,Frosinone,ITA,2,1407.56530762,2021-04-03,2021-04-05
None,Frosinone,ITA,2,1401.06091309,2021-04-06,2021-04-08
None,Frosinone,ITA,2,1404.28112793,2021-04-09,2021-04-10
None,Frosinone,ITA,2,1404.35998535,2021-04-11,2021-04-15
None,Frosinone,ITA,2,1405.37231445,2021-04-16,2021-04-17
None,Frosinone,ITA,2,1395.03222656,2021-04-18,2021-04-29
None,Frosinone,ITA,2,1392.85742188,2021-04-30,2021-05-01
None,Frosinone,ITA,2,1404.35107422,2021-05-02,2021-05-04
None,Frosinone,ITA,2,1414.53137207,2021-05-05,2021-05-06
None,Frosinone,ITA,2,1414.9954834,2021-05-07,2021-05-07
None,Frosinone,ITA,2,1413.27697754,2021-05-08,2021-05-10
None,Frosinone,ITA,2,1433.98864746,2021-05-11,2021-08-19
None,Frosinone,ITA,2,1434.77734375,2021-08-20,2021-08-20
None,Frosinone,ITA,2,1435.16906738,2021-08-21,2021-08-26
None,Frosinone,ITA,2,1436.28051758,2021-08-27,2021-08-28
None,Frosinone,ITA,2,1448.27294922,2021-08-29,2021-09-11
None,Frosinone,ITA,2,1444.87414551,2021-09-12,2021-09-14
None,Frosinone,ITA,2,1448.16833496,2021-09-15,2021-09-15
None,Frosinone,ITA,2,1443.70629883,2021-09-16,2021-09-16
None,Frosinone,ITA,2,1441.86157227,2021-09-17,2021-09-17
None,Frosinone,ITA,2,1452.23046875,2021-09-18,2021-09-20
None,Frosinone,ITA,2,1452.50878906,2021-09-21,2021-09-25
None,Frosinone,ITA,2,1453.23266602,2021-09-26,2021-09-28
None,Frosinone,ITA,2,1448.74682617,2021-09-29,2021-09-29
None,Frosinone,ITA,2,1453.29931641,2021-09-30,2021-09-30
None,Frosinone,ITA,2,1451.6932373,2021-10-01,2021-10-02
None,Frosinone,ITA,2,1442.42626953,2021-10-03,2021-10-16
None,Frosinone,ITA,2,1441.32141113,2021-10-17,2021-10-19
None,Frosinone,ITA,2,1439.39453125,2021-10-20,2021-10-20
None,Frosinone,ITA,2,1439.68505859,2021-10-21,2021-10-21
None,Frosinone,ITA,2,1430.55883789,2021-10-22,2021-10-23
None,Frosinone,ITA,2,1437.02319336,2021-10-24,2021-10-28
None,Frosinone,ITA,2,1435.33081055,2021-10-29,2021-11-01
None,Frosinone,ITA,2,1441.82653809,2021-11-02,2021-11-02
None,Frosinone,ITA,2,1443.5871582,2021-11-03,2021-11-03
None,Frosinone,ITA,2,1443.8013916,2021-11-04,2021-11-04
None,Frosinone,ITA,2,1443.82971191,2021-11-05,2021-11-06
None,Frosinone,ITA,2,1463.0637207,2021-11-07,2021-11-20
None,Frosinone,ITA,2,1463.2902832,2021-11-21,2021-11-23
None,Frosinone,ITA,2,1459.89208984,2021-11-24,2021-11-24
None,Frosinone,ITA,2,1460.24963379,2021-11-25,2021-11-25
None,Frosinone,ITA,2,1465.42138672,2021-11-26,2021-11-27
None,Frosinone,ITA,2,1460.43005371,2021-11-28,2021-11-30
None,Frosinone,ITA,2,1461.11083984,2021-12-01,2021-12-04
None,Frosinone,ITA,2,1457.86450195,2021-12-05,2021-12-07
None,Frosinone,ITA,2,1453.82495117,2021-12-08,2021-12-08
None,Frosinone,ITA,2,1454.38415527,2021-12-09,2021-12-09
None,Frosinone,ITA,2,1451.64477539,2021-12-10,2021-12-11
None,Frosinone,ITA,2,1445.01550293,2021-12-12,2021-12-18
None,Frosinone,ITA,2,1457.07067871,2021-12-19,2022-01-15
None,Frosinone,ITA,2,1470.23413086,2022-01-16,2022-01-21
None,Frosinone,ITA,2,1478.4473877,2022-01-22,2022-02-05
None,Frosinone,ITA,2,1483.92138672,2022-02-06,2022-02-12
None,Frosinone,ITA,2,1467.09228516,2022-02-13,2022-02-16
None,Frosinone,ITA,2,1453.85754395,2022-02-17,2022-02-17
None,Frosinone,ITA,2,1454.7598877,2022-02-18,2022-02-20
None,Frosinone,ITA,2,1456.27514648,2022-02-21,2022-02-22
None,Frosinone,ITA,2,1456.8996582,2022-02-23,2022-02-23
None,Frosinone,ITA,2,1466.37890625,2022-02-24,2022-02-24
None,Frosinone,ITA,2,1463.7701416,2022-02-25,2022-02-27
None,Frosinone,ITA,2,1449.98120117,2022-02-28,2022-03-02
None,Frosinone,ITA,2,1454.17102051,2022-03-03,2022-03-06
None,Frosinone,ITA,2,1453.9510498,2022-03-07,2022-03-08
None,Frosinone,ITA,2,1454.62341309,2022-03-09,2022-03-10
None,Frosinone,ITA,2,1456.8326416,2022-03-11,2022-03-12
None,Frosinone,ITA,2,1464.38317871,2022-03-13,2022-03-15
None,Frosinone,ITA,2,1449.72119141,2022-03-16,2022-03-16
None,Frosinone,ITA,2,1442.95532227,2022-03-17,2022-03-17
None,Frosinone,ITA,2,1446.7545166,2022-03-18,2022-03-19
None,Frosinone,ITA,2,1459.22692871,2022-03-20,2022-04-02
None,Frosinone,ITA,2,1453.59558105,2022-04-03,2022-04-05
None,Frosinone,ITA,2,1436.96875,2022-04-06,2022-04-07
None,Frosinone,ITA,2,1436.30249023,2022-04-08,2022-04-09
None,Frosinone,ITA,2,1444.88305664,2022-04-10,2022-04-14
None,Frosinone,ITA,2,1445.47827148,2022-04-15,2022-04-18
None,Frosinone,ITA,2,1444.94897461,2022-04-19,2022-04-25
None,Frosinone,ITA,2,1459.44067383,2022-04-26,2022-04-28
None,Frosinone,ITA,2,1460.22827148,2022-04-29,2022-04-30
None,Frosinone,ITA,2,1444.15588379,2022-05-01,2022-05-05
None,Frosinone,ITA,2,1447.26220703,2022-05-06,2022-05-06
None,Frosinone,ITA,2,1438.07055664,2022-05-07,2022-05-25
None,Frosinone,ITA,2,1440.72692871,2022-05-26,2022-08-14
None,Frosinone,ITA,2,1447.43383789,2022-08-15,2022-08-18
None,Frosinone,ITA,2,1448.54064941,2022-08-19,2022-08-21
None,Frosinone,ITA,2,1462.64294434,2022-08-22,2022-08-25
None,Frosinone,ITA,2,1464.43408203,2022-08-26,2022-08-28
None,Frosinone,ITA,2,1458.04101562,2022-08-29,2022-09-03
None,Frosinone,ITA,2,1465.09265137,2022-09-04,2022-09-06
None,Frosinone,ITA,2,1463.27734375,2022-09-07,2022-09-07
None,Frosinone,ITA,2,1466.79846191,2022-09-08,2022-09-08
None,Frosinone,ITA,2,1462.71520996,2022-09-09,2022-09-10
None,Frosinone,ITA,2,1455.15405273,2022-09-11,2022-09-13
None,Frosinone,ITA,2,1457.24523926,2022-09-14,2022-09-14
None,Frosinone,ITA,2,1459.29797363,2022-09-15,2022-09-15
None,Frosinone,ITA,2,1446.40551758,2022-09-16,2022-09-17
None,Frosinone,ITA,2,1450.90771484,2022-09-18,2022-10-01
None,Frosinone,ITA,2,1443.98327637,2022-10-02,2022-10-04
None,Frosinone,ITA,2,1454.85864258,2022-10-05,2022-10-05
None,Frosinone,ITA,2,1452.69580078,2022-10-06,2022-10-06
None,Frosinone,ITA,2,1450.63781738,2022-10-07,2022-10-08
None,Frosinone,ITA,2,1458.79345703,2022-10-09,2022-10-11
None,Frosinone,ITA,2,1449.2845459,2022-10-12,2022-10-12
None,Frosinone,ITA,2,1453.171875,2022-10-13,2022-10-13
None,Frosinone,ITA,2,1453.48071289,2022-10-14,2022-10-14
None,Frosinone,ITA,2,1466.28588867,2022-10-15,2022-10-22
None,Frosinone,ITA,2,1471.54870605,2022-10-23,2022-10-25
None,Frosinone,ITA,2,1473.92919922,2022-10-26,2022-10-26
None,Frosinone,ITA,2,1476.66564941,2022-10-27,2022-10-27
