Rank,Club,Country,Level,Elo,From,To
24,Getafe,ESP,1,1770.71484375,2020-01-05,2020-01-06
25,Getafe,ESP,1,1770.71484375,2020-01-07,2020-01-11
24,Getafe,ESP,1,1770.71484375,2020-01-12,2020-01-17
23,Getafe,ESP,1,1782.48754883,2020-01-18,2020-01-18
22,Getafe,ESP,1,1782.48754883,2020-01-19,2020-01-25
23,Getafe,ESP,1,1782.48754883,2020-01-26,2020-01-26
21,Getafe,ESP,1,1787.05310059,2020-01-27,2020-02-02
18,Getafe,ESP,1,1800.26611328,2020-02-03,2020-02-08
15,Getafe,ESP,1,1811.91003418,2020-02-09,2020-02-09
16,Getafe,ESP,1,1811.91003418,2020-02-10,2020-02-15
15,Getafe,ESP,1,1808.92321777,2020-02-16,2020-02-16
16,Getafe,ESP,1,1808.92321777,2020-02-17,2020-02-17
17,Getafe,ESP,1,1808.92321777,2020-02-18,2020-02-18
15,Getafe,ESP,1,1811.18151855,2020-02-19,2020-02-19
19,Getafe,ESP,1,1806.51843262,2020-02-20,2020-02-20
15,Getafe,ESP,1,1818.02697754,2020-02-21,2020-02-23
20,Getafe,ESP,1,1798.23059082,2020-02-24,2020-02-25
20,Getafe,ESP,1,1798.17553711,2020-02-26,2020-02-26
19,Getafe,ESP,1,1796.38830566,2020-02-27,2020-02-27
19,Getafe,ESP,1,1796.85144043,2020-02-28,2020-03-01
19,Getafe,ESP,1,1801.7232666,2020-03-02,2020-03-07
19,Getafe,ESP,1,1796.23657227,2020-03-08,2020-03-10
19,Getafe,ESP,1,1794.66101074,2020-03-11,2020-03-11
16,Getafe,ESP,1,1801.44555664,2020-03-12,2020-03-12
18,Getafe,ESP,1,1801.44555664,2020-03-13,2020-06-11
19,Getafe,ESP,1,1801.44555664,2020-06-12,2020-06-12
20,Getafe,ESP,1,1791.99291992,2020-06-13,2020-06-16
20,Getafe,ESP,1,1786.69018555,2020-06-17,2020-06-20
21,Getafe,ESP,1,1781.94299316,2020-06-21,2020-06-23
21,Getafe,ESP,1,1779.97412109,2020-06-24,2020-06-29
21,Getafe,ESP,1,1785.47167969,2020-06-30,2020-07-02
21,Getafe,ESP,1,1781.65454102,2020-07-03,2020-07-05
21,Getafe,ESP,1,1780.85754395,2020-07-06,2020-07-08
24,Getafe,ESP,1,1766.39892578,2020-07-09,2020-07-13
25,Getafe,ESP,1,1764.49511719,2020-07-14,2020-07-15
26,Getafe,ESP,1,1764.49511719,2020-07-16,2020-07-16
27,Getafe,ESP,1,1755.28845215,2020-07-17,2020-07-19
28,Getafe,ESP,1,1747.0982666,2020-07-20,2020-07-21
29,Getafe,ESP,1,1747.0982666,2020-07-22,2020-07-25
28,Getafe,ESP,1,1747.0982666,2020-07-26,2020-08-01
29,Getafe,ESP,1,1747.0982666,2020-08-02,2020-08-05
32,Getafe,ESP,1,1735.26159668,2020-08-06,2020-08-06
31,Getafe,ESP,1,1738.11730957,2020-08-07,2020-08-07
31,Getafe,ESP,1,1736.91552734,2020-08-08,2020-08-08
31,Getafe,ESP,1,1738.39416504,2020-08-09,2020-08-11
31,Getafe,ESP,1,1740.65075684,2020-08-12,2020-08-13
31,Getafe,ESP,1,1737.53552246,2020-08-14,2020-08-14
34,Getafe,ESP,1,1732.25976562,2020-08-15,2020-08-16
34,Getafe,ESP,1,1735.11291504,2020-08-17,2020-08-18
33,Getafe,ESP,1,1735.11291504,2020-08-19,2020-08-21
31,Getafe,ESP,1,1737.69873047,2020-08-22,2020-08-25
32,Getafe,ESP,1,1737.69873047,2020-08-26,2020-08-28
33,Getafe,ESP,1,1737.69873047,2020-08-29,2020-09-13
34,Getafe,ESP,1,1737.69873047,2020-09-14,2020-09-15
33,Getafe,ESP,1,1737.69873047,2020-09-16,2020-09-17
32,Getafe,ESP,1,1738.26599121,2020-09-18,2020-09-19
29,Getafe,ESP,1,1744.01086426,2020-09-20,2020-09-20
30,Getafe,ESP,1,1744.01086426,2020-09-21,2020-09-24
30,Getafe,ESP,1,1744.24584961,2020-09-25,2020-09-26
33,Getafe,ESP,1,1742.90710449,2020-09-27,2020-09-29
30,Getafe,ESP,1,1751.78747559,2020-09-30,2020-10-01
28,Getafe,ESP,1,1754.4498291,2020-10-02,2020-10-03
32,Getafe,ESP,1,1742.73242188,2020-10-04,2020-10-17
29,Getafe,ESP,1,1754.93823242,2020-10-18,2020-10-20
30,Getafe,ESP,1,1755.62475586,2020-10-21,2020-10-21
31,Getafe,ESP,1,1749.03210449,2020-10-22,2020-10-22
32,Getafe,ESP,1,1753.27575684,2020-10-23,2020-10-25
33,Getafe,ESP,1,1743.31286621,2020-10-26,2020-10-27
35,Getafe,ESP,1,1743.82104492,2020-10-28,2020-10-28
35,Getafe,ESP,1,1747.96069336,2020-10-29,2020-10-29
36,Getafe,ESP,1,1744.19946289,2020-10-30,2020-10-30
35,Getafe,ESP,1,1744.19946289,2020-10-31,2020-11-01
35,Getafe,ESP,1,1745.05883789,2020-11-02,2020-11-02
33,Getafe,ESP,1,1745.05883789,2020-11-03,2020-11-03
34,Getafe,ESP,1,1744.4675293,2020-11-04,2020-11-04
34,Getafe,ESP,1,1745.43103027,2020-11-05,2020-11-05
34,Getafe,ESP,1,1749.19055176,2020-11-06,2020-11-08
37,Getafe,ESP,1,1737.19116211,2020-11-09,2020-11-22
36,Getafe,ESP,1,1737.09143066,2020-11-23,2020-11-24
36,Getafe,ESP,1,1739.46362305,2020-11-25,2020-11-25
36,Getafe,ESP,1,1740.15527344,2020-11-26,2020-11-26
35,Getafe,ESP,1,1738.08312988,2020-11-27,2020-11-28
36,Getafe,ESP,1,1738.08312988,2020-11-29,2020-11-29
35,Getafe,ESP,1,1735.9987793,2020-11-30,2020-12-01
37,Getafe,ESP,1,1732.12207031,2020-12-02,2020-12-02
39,Getafe,ESP,1,1727.45678711,2020-12-03,2020-12-03
40,Getafe,ESP,1,1722.34765625,2020-12-04,2020-12-05
42,Getafe,ESP,1,1708.47973633,2020-12-06,2020-12-08
42,Getafe,ESP,1,1704.42663574,2020-12-09,2020-12-09
42,Getafe,ESP,1,1708.89086914,2020-12-10,2020-12-10
41,Getafe,ESP,1,1709.00744629,2020-12-11,2020-12-12
42,Getafe,ESP,1,1702.48632812,2020-12-13,2020-12-13
44,Getafe,ESP,1,1702.48632812,2020-12-14,2020-12-19
43,Getafe,ESP,1,1702.48632812,2020-12-20,2020-12-20
41,Getafe,ESP,1,1712.7088623,2020-12-21,2020-12-21
42,Getafe,ESP,1,1712.7088623,2020-12-22,2020-12-23
43,Getafe,ESP,1,1710.49377441,2020-12-24,2020-12-26
44,Getafe,ESP,1,1710.49377441,2020-12-27,2020-12-27
43,Getafe,ESP,1,1710.49377441,2020-12-28,2020-12-29
44,Getafe,ESP,1,1710.49377441,2020-12-30,2020-12-30
45,Getafe,ESP,1,1707.72485352,2020-12-31,2021-01-02
50,Getafe,ESP,1,1696.31176758,2021-01-03,2021-01-09
49,Getafe,ESP,1,1696.31176758,2021-01-10,2021-01-11
45,Getafe,ESP,1,1706.08325195,2021-01-12,2021-01-15
46,Getafe,ESP,1,1706.08325195,2021-01-16,2021-01-16
45,Getafe,ESP,1,1706.08325195,2021-01-17,2021-01-20
44,Getafe,ESP,1,1709.94665527,2021-01-21,2021-01-25
50,Getafe,ESP,1,1695.88647461,2021-01-26,2021-01-30
51,Getafe,ESP,1,1695.88647461,2021-01-31,2021-01-31
55,Getafe,ESP,1,1692.3458252,2021-02-01,2021-02-06
57,Getafe,ESP,1,1686.60998535,2021-02-07,2021-02-09
57,Getafe,ESP,1,1682.93786621,2021-02-10,2021-02-12
58,Getafe,ESP,1,1682.93786621,2021-02-13,2021-02-13
57,Getafe,ESP,1,1682.93786621,2021-02-14,2021-02-14
60,Getafe,ESP,1,1675.32385254,2021-02-15,2021-02-16
63,Getafe,ESP,1,1668.8572998,2021-02-17,2021-02-17
65,Getafe,ESP,1,1665.57092285,2021-02-18,2021-02-18
63,Getafe,ESP,1,1669.97314453,2021-02-19,2021-02-19
66,Getafe,ESP,1,1663.63305664,2021-02-20,2021-02-22
65,Getafe,ESP,1,1663.63305664,2021-02-23,2021-02-23
66,Getafe,ESP,1,1660.96496582,2021-02-24,2021-02-24
66,Getafe,ESP,1,1662.67297363,2021-02-25,2021-02-25
64,Getafe,ESP,1,1663.85168457,2021-02-26,2021-02-27
59,Getafe,ESP,1,1677.7824707,2021-02-28,2021-03-06
62,Getafe,ESP,1,1669.42700195,2021-03-07,2021-03-09
64,Getafe,ESP,1,1668.92749023,2021-03-10,2021-03-10
64,Getafe,ESP,1,1668.31005859,2021-03-11,2021-03-11
63,Getafe,ESP,1,1673.15539551,2021-03-12,2021-03-13
60,Getafe,ESP,1,1677.74914551,2021-03-14,2021-03-16
60,Getafe,ESP,1,1679.97216797,2021-03-17,2021-03-17
62,Getafe,ESP,1,1676.06518555,2021-03-18,2021-03-18
61,Getafe,ESP,1,1676.53198242,2021-03-19,2021-03-20
59,Getafe,ESP,1,1676.53198242,2021-03-21,2021-03-21
61,Getafe,ESP,1,1672.26708984,2021-03-22,2021-04-03
59,Getafe,ESP,1,1673.66967773,2021-04-04,2021-04-04
60,Getafe,ESP,1,1673.66967773,2021-04-05,2021-04-06
60,Getafe,ESP,1,1676.89245605,2021-04-07,2021-04-08
60,Getafe,ESP,1,1677.37365723,2021-04-09,2021-04-09
59,Getafe,ESP,1,1677.37365723,2021-04-10,2021-04-10
66,Getafe,ESP,1,1665.51171875,2021-04-11,2021-04-14
66,Getafe,ESP,1,1666.62121582,2021-04-15,2021-04-15
65,Getafe,ESP,1,1667.61950684,2021-04-16,2021-04-16
66,Getafe,ESP,1,1667.61950684,2021-04-17,2021-04-17
65,Getafe,ESP,1,1667.61950684,2021-04-18,2021-04-18
63,Getafe,ESP,1,1673.37219238,2021-04-19,2021-04-22
65,Getafe,ESP,1,1670.02697754,2021-04-23,2021-04-24
67,Getafe,ESP,1,1670.02697754,2021-04-25,2021-04-25
61,Getafe,ESP,1,1681.5793457,2021-04-26,2021-04-27
61,Getafe,ESP,1,1680.83679199,2021-04-28,2021-04-29
61,Getafe,ESP,1,1682.51647949,2021-04-30,2021-05-02
64,Getafe,ESP,1,1678.63916016,2021-05-03,2021-05-05
65,Getafe,ESP,1,1673.85656738,2021-05-06,2021-05-06
64,Getafe,ESP,1,1675.9855957,2021-05-07,2021-05-08
62,Getafe,ESP,1,1675.9855957,2021-05-09,2021-05-09
69,Getafe,ESP,1,1664.64562988,2021-05-10,2021-05-12
69,Getafe,ESP,1,1659.06604004,2021-05-13,2021-05-14
68,Getafe,ESP,1,1659.06604004,2021-05-15,2021-05-15
