Rank,Club,Country,Level,Elo,From,To
36,Gladbach,GER,1,1724.24902344,2020-01-12,2020-01-17
36,Gladbach,GER,1,1714.06591797,2020-01-18,2020-01-25
36,Gladbach,GER,1,1720.45654297,2020-01-26,2020-02-01
35,Gladbach,GER,1,1724.62548828,2020-02-02,2020-02-07
34,Gladbach,GER,1,1724.62548828,2020-02-08,2020-02-15
33,Gladbach,GER,1,1734.17797852,2020-02-16,2020-02-18
33,Gladbach,GER,1,1735.64782715,2020-02-19,2020-02-19
33,Gladbach,GER,1,1738.63818359,2020-02-20,2020-02-20
32,Gladbach,GER,1,1746.74719238,2020-02-21,2020-02-22
33,Gladbach,GER,1,1744.07165527,2020-02-23,2020-02-23
32,Gladbach,GER,1,1744.07165527,2020-02-24,2020-02-25
31,Gladbach,GER,1,1747.17211914,2020-02-26,2020-02-27
29,Gladbach,GER,1,1756.35253906,2020-02-28,2020-02-28
30,Gladbach,GER,1,1757.88134766,2020-02-29,2020-02-29
28,Gladbach,GER,1,1763.59228516,2020-03-01,2020-03-01
27,Gladbach,GER,1,1763.59228516,2020-03-02,2020-03-07
26,Gladbach,GER,1,1757.20349121,2020-03-08,2020-03-10
27,Gladbach,GER,1,1761.08435059,2020-03-11,2020-03-11
27,Gladbach,GER,1,1761.2244873,2020-03-12,2020-03-12
30,Gladbach,GER,1,1752.59936523,2020-03-13,2020-05-16
27,Gladbach,GER,1,1763.47277832,2020-05-17,2020-05-23
29,Gladbach,GER,1,1752.85449219,2020-05-24,2020-05-26
30,Gladbach,GER,1,1750.46679688,2020-05-27,2020-05-31
29,Gladbach,GER,1,1756.51806641,2020-06-01,2020-06-03
28,Gladbach,GER,1,1756.51806641,2020-06-04,2020-06-05
29,Gladbach,GER,1,1746.36486816,2020-06-06,2020-06-10
28,Gladbach,GER,1,1746.36486816,2020-06-11,2020-06-13
28,Gladbach,GER,1,1744.36181641,2020-06-14,2020-06-14
29,Gladbach,GER,1,1744.36181641,2020-06-15,2020-06-16
28,Gladbach,GER,1,1755.8684082,2020-06-17,2020-06-18
27,Gladbach,GER,1,1755.8684082,2020-06-19,2020-06-20
