Rank,Club,Country,Level,Elo,From,To
None,Hamburg,GER,2,1550.66052246,2020-01-31,2020-02-03
None,Hamburg,GER,2,1559.87341309,2020-02-04,2020-02-08
None,Hamburg,GER,2,1564.09350586,2020-02-09,2020-02-15
None,Hamburg,GER,2,1563.27258301,2020-02-16,2020-02-18
None,Hamburg,GER,2,1564.74243164,2020-02-19,2020-02-19
None,Hamburg,GER,2,1567.73291016,2020-02-20,2020-02-20
None,Hamburg,GER,2,1575.84179688,2020-02-21,2020-02-22
None,Hamburg,GER,2,1557.71154785,2020-02-23,2020-02-25
None,Hamburg,GER,2,1560.81201172,2020-02-26,2020-02-27
None,Hamburg,GER,2,1569.99243164,2020-02-28,2020-02-28
None,Hamburg,GER,2,1571.52124023,2020-02-29,2020-02-29
None,Hamburg,GER,2,1554.65722656,2020-03-01,2020-03-07
None,Hamburg,GER,2,1559.42993164,2020-03-08,2020-03-10
None,Hamburg,GER,2,1563.31066895,2020-03-11,2020-03-11
None,Hamburg,GER,2,1558.93212891,2020-03-12,2020-03-12
None,Hamburg,GER,2,1550.30712891,2020-03-13,2020-05-17
None,Hamburg,GER,2,1549.53637695,2020-05-18,2020-05-24
None,Hamburg,GER,2,1549.08447266,2020-05-25,2020-05-28
None,Hamburg,GER,2,1542.48620605,2020-05-29,2020-05-31
None,Hamburg,GER,2,1546.7043457,2020-06-01,2020-06-08
None,Hamburg,GER,2,1543.89807129,2020-06-09,2020-06-12
None,Hamburg,GER,2,1549.33203125,2020-06-13,2020-06-16
None,Hamburg,GER,2,1544.98474121,2020-06-17,2020-06-21
None,Hamburg,GER,2,1537.44580078,2020-06-22,2020-06-28
None,Hamburg,GER,2,1514.75952148,2020-06-29,2020-08-05
None,Hamburg,GER,2,1511.07922363,2020-08-06,2020-08-06
None,Hamburg,GER,2,1509.3684082,2020-08-07,2020-08-08
None,Hamburg,GER,2,1509.75537109,2020-08-09,2020-08-10
None,Hamburg,GER,2,1507.24230957,2020-08-11,2020-08-13
None,Hamburg,GER,2,1510.64355469,2020-08-14,2020-08-14
None,Hamburg,GER,2,1516.40112305,2020-08-15,2020-08-18
None,Hamburg,GER,2,1512.56677246,2020-08-19,2020-08-19
None,Hamburg,GER,2,1513.80322266,2020-08-20,2020-08-23
None,Hamburg,GER,2,1515.59155273,2020-08-24,2020-09-17
None,Hamburg,GER,2,1516.43798828,2020-09-18,2020-09-18
None,Hamburg,GER,2,1525.63562012,2020-09-19,2020-09-24
None,Hamburg,GER,2,1526.79589844,2020-09-25,2020-09-28
None,Hamburg,GER,2,1534.86938477,2020-09-29,2020-10-01
None,Hamburg,GER,2,1531.55541992,2020-10-02,2020-10-17
None,Hamburg,GER,2,1538.66040039,2020-10-18,2020-10-20
None,Hamburg,GER,2,1534.54760742,2020-10-21,2020-10-21
None,Hamburg,GER,2,1548.16027832,2020-10-22,2020-10-22
None,Hamburg,GER,2,1552.48059082,2020-10-23,2020-10-24
None,Hamburg,GER,2,1557.60192871,2020-10-25,2020-10-27
None,Hamburg,GER,2,1558.8795166,2020-10-28,2020-10-28
None,Hamburg,GER,2,1555.31140137,2020-10-29,2020-10-29
None,Hamburg,GER,2,1553.57409668,2020-10-30,2020-10-30
None,Hamburg,GER,2,1549.47924805,2020-10-31,2020-11-03
None,Hamburg,GER,2,1559.68188477,2020-11-04,2020-11-04
None,Hamburg,GER,2,1565.14135742,2020-11-05,2020-11-05
None,Hamburg,GER,2,1567.03271484,2020-11-06,2020-11-09
None,Hamburg,GER,2,1566.26257324,2020-11-10,2020-11-22
None,Hamburg,GER,2,1551.35046387,2020-11-23,2020-11-24
None,Hamburg,GER,2,1550.6875,2020-11-25,2020-11-25
None,Hamburg,GER,2,1554.53479004,2020-11-26,2020-11-26
None,Hamburg,GER,2,1556.14819336,2020-11-27,2020-11-29
None,Hamburg,GER,2,1548.2208252,2020-11-30,2020-12-01
None,Hamburg,GER,2,1544.23815918,2020-12-02,2020-12-02
None,Hamburg,GER,2,1543.51318359,2020-12-03,2020-12-03
None,Hamburg,GER,2,1544.48046875,2020-12-04,2020-12-05
None,Hamburg,GER,2,1534.74743652,2020-12-06,2020-12-08
None,Hamburg,GER,2,1538.31079102,2020-12-09,2020-12-09
None,Hamburg,GER,2,1536.15966797,2020-12-10,2020-12-10
None,Hamburg,GER,2,1539.29223633,2020-12-11,2020-12-12
None,Hamburg,GER,2,1547.46069336,2020-12-13,2020-12-15
None,Hamburg,GER,2,1557.20227051,2020-12-16,2020-12-21
None,Hamburg,GER,2,1563.79577637,2020-12-22,2021-01-03
None,Hamburg,GER,2,1571.26135254,2021-01-04,2021-01-09
None,Hamburg,GER,2,1569.94885254,2021-01-10,2021-01-18
None,Hamburg,GER,2,1580.8684082,2021-01-19,2021-01-23
None,Hamburg,GER,2,1587.39355469,2021-01-24,2021-01-26
None,Hamburg,GER,2,1588.99377441,2021-01-27,2021-01-30
100,Hamburg,GER,2,1596.72412109,2021-01-31,2021-01-31
None,Hamburg,GER,2,1596.72412109,2021-02-01,2021-02-03
100,Hamburg,GER,2,1596.72412109,2021-02-04,2021-02-04
99,Hamburg,GER,2,1596.72412109,2021-02-05,2021-02-05
None,Hamburg,GER,2,1594.94299316,2021-02-06,2021-02-06
100,Hamburg,GER,2,1594.94299316,2021-02-07,2021-02-08
99,Hamburg,GER,2,1594.94299316,2021-02-09,2021-02-13
None,Hamburg,GER,2,1592.65686035,2021-02-14,2021-02-16
None,Hamburg,GER,2,1588.78796387,2021-02-17,2021-02-17
None,Hamburg,GER,2,1592.34094238,2021-02-18,2021-02-18
None,Hamburg,GER,2,1590.79040527,2021-02-19,2021-02-21
None,Hamburg,GER,2,1578.69970703,2021-02-22,2021-02-23
None,Hamburg,GER,2,1579.81652832,2021-02-24,2021-02-24
