Rank,Club,Country,Level,Elo,From,To
38,Hoffenheim,GER,1,1699.74475098,2020-01-05,2020-01-10
37,Hoffenheim,GER,1,1699.74475098,2020-01-11,2020-01-11
39,Hoffenheim,GER,1,1699.74475098,2020-01-12,2020-01-12
40,Hoffenheim,GER,1,1699.74475098,2020-01-13,2020-01-17
41,Hoffenheim,GER,1,1699.74475098,2020-01-18,2020-01-18
50,Hoffenheim,GER,1,1689.7746582,2020-01-19,2020-01-21
49,Hoffenheim,GER,1,1689.7746582,2020-01-22,2020-01-24
50,Hoffenheim,GER,1,1689.7746582,2020-01-25,2020-01-25
51,Hoffenheim,GER,1,1689.7746582,2020-01-26,2020-01-26
41,Hoffenheim,GER,1,1703.82092285,2020-01-27,2020-02-01
37,Hoffenheim,GER,1,1711.29150391,2020-02-02,2020-02-08
43,Hoffenheim,GER,1,1702.54516602,2020-02-09,2020-02-15
48,Hoffenheim,GER,1,1692.32250977,2020-02-16,2020-02-18
46,Hoffenheim,GER,1,1693.7923584,2020-02-19,2020-02-19
44,Hoffenheim,GER,1,1696.78283691,2020-02-20,2020-02-20
41,Hoffenheim,GER,1,1704.89172363,2020-02-21,2020-02-22
40,Hoffenheim,GER,1,1707.56726074,2020-02-23,2020-02-23
42,Hoffenheim,GER,1,1707.56726074,2020-02-24,2020-02-25
41,Hoffenheim,GER,1,1710.66772461,2020-02-26,2020-02-26
40,Hoffenheim,GER,1,1710.66772461,2020-02-27,2020-02-27
38,Hoffenheim,GER,1,1719.8482666,2020-02-28,2020-02-28
38,Hoffenheim,GER,1,1721.37695312,2020-02-29,2020-02-29
40,Hoffenheim,GER,1,1714.26745605,2020-03-01,2020-03-01
41,Hoffenheim,GER,1,1714.26745605,2020-03-02,2020-03-07
41,Hoffenheim,GER,1,1715.00378418,2020-03-08,2020-03-10
40,Hoffenheim,GER,1,1718.88464355,2020-03-11,2020-03-11
40,Hoffenheim,GER,1,1714.50610352,2020-03-12,2020-03-12
42,Hoffenheim,GER,1,1705.88098145,2020-03-13,2020-05-16
48,Hoffenheim,GER,1,1686.5012207,2020-05-17,2020-05-23
49,Hoffenheim,GER,1,1683.06066895,2020-05-24,2020-05-26
48,Hoffenheim,GER,1,1683.06066895,2020-05-27,2020-05-27
46,Hoffenheim,GER,1,1691.21728516,2020-05-28,2020-05-30
43,Hoffenheim,GER,1,1698.54711914,2020-05-31,2020-06-03
44,Hoffenheim,GER,1,1698.54711914,2020-06-04,2020-06-06
44,Hoffenheim,GER,1,1697.06408691,2020-06-07,2020-06-12
45,Hoffenheim,GER,1,1690.27001953,2020-06-13,2020-06-13
46,Hoffenheim,GER,1,1690.27001953,2020-06-14,2020-06-15
47,Hoffenheim,GER,1,1690.27001953,2020-06-16,2020-06-17
42,Hoffenheim,GER,1,1700.20629883,2020-06-18,2020-06-20
40,Hoffenheim,GER,1,1709.56298828,2020-06-21,2020-06-22
39,Hoffenheim,GER,1,1709.56298828,2020-06-23,2020-06-25
40,Hoffenheim,GER,1,1709.56298828,2020-06-26,2020-06-27
36,Hoffenheim,GER,1,1734.72058105,2020-06-28,2020-06-28
35,Hoffenheim,GER,1,1734.72058105,2020-06-29,2020-06-29
34,Hoffenheim,GER,1,1734.72058105,2020-06-30,2020-07-02
35,Hoffenheim,GER,1,1734.72058105,2020-07-03,2020-07-10
34,Hoffenheim,GER,1,1734.72058105,2020-07-11,2020-07-13
35,Hoffenheim,GER,1,1734.72058105,2020-07-14,2020-07-15
36,Hoffenheim,GER,1,1734.72058105,2020-07-16,2020-07-16
35,Hoffenheim,GER,1,1734.72058105,2020-07-17,2020-07-19
34,Hoffenheim,GER,1,1734.72058105,2020-07-20,2020-07-20
35,Hoffenheim,GER,1,1734.72058105,2020-07-21,2020-07-26
34,Hoffenheim,GER,1,1734.72058105,2020-07-27,2020-07-29
35,Hoffenheim,GER,1,1734.72058105,2020-07-30,2020-08-01
34,Hoffenheim,GER,1,1734.72058105,2020-08-02,2020-08-05
35,Hoffenheim,GER,1,1731.0402832,2020-08-06,2020-08-06
37,Hoffenheim,GER,1,1729.32946777,2020-08-07,2020-08-07
36,Hoffenheim,GER,1,1729.32946777,2020-08-08,2020-08-08
36,Hoffenheim,GER,1,1729.71643066,2020-08-09,2020-08-10
38,Hoffenheim,GER,1,1727.20336914,2020-08-11,2020-08-11
37,Hoffenheim,GER,1,1727.20336914,2020-08-12,2020-08-12
36,Hoffenheim,GER,1,1727.20336914,2020-08-13,2020-08-13
35,Hoffenheim,GER,1,1730.60461426,2020-08-14,2020-08-14
31,Hoffenheim,GER,1,1736.36218262,2020-08-15,2020-08-15
32,Hoffenheim,GER,1,1736.36218262,2020-08-16,2020-08-18
35,Hoffenheim,GER,1,1732.5279541,2020-08-19,2020-08-19
35,Hoffenheim,GER,1,1733.76428223,2020-08-20,2020-08-21
36,Hoffenheim,GER,1,1733.76428223,2020-08-22,2020-08-23
35,Hoffenheim,GER,1,1735.5526123,2020-08-24,2020-08-25
36,Hoffenheim,GER,1,1735.5526123,2020-08-26,2020-08-26
35,Hoffenheim,GER,1,1735.5526123,2020-08-27,2020-09-15
34,Hoffenheim,GER,1,1735.5526123,2020-09-16,2020-09-17
33,Hoffenheim,GER,1,1736.39904785,2020-09-18,2020-09-18
34,Hoffenheim,GER,1,1736.39904785,2020-09-19,2020-09-19
32,Hoffenheim,GER,1,1741.7935791,2020-09-20,2020-09-24
32,Hoffenheim,GER,1,1742.95385742,2020-09-25,2020-09-27
26,Hoffenheim,GER,1,1766.99951172,2020-09-28,2020-10-01
26,Hoffenheim,GER,1,1763.68554688,2020-10-02,2020-10-03
29,Hoffenheim,GER,1,1755.52600098,2020-10-04,2020-10-17
31,Hoffenheim,GER,1,1748.74841309,2020-10-18,2020-10-18
32,Hoffenheim,GER,1,1748.74841309,2020-10-19,2020-10-20
33,Hoffenheim,GER,1,1744.63574219,2020-10-21,2020-10-21
32,Hoffenheim,GER,1,1748.70629883,2020-10-22,2020-10-22
31,Hoffenheim,GER,1,1759.19555664,2020-10-23,2020-10-25
31,Hoffenheim,GER,1,1757.20446777,2020-10-26,2020-10-27
31,Hoffenheim,GER,1,1758.48205566,2020-10-28,2020-10-28
32,Hoffenheim,GER,1,1754.91394043,2020-10-29,2020-10-29
31,Hoffenheim,GER,1,1759.61230469,2020-10-30,2020-11-01
30,Hoffenheim,GER,1,1759.61230469,2020-11-02,2020-11-02
34,Hoffenheim,GER,1,1741.76586914,2020-11-03,2020-11-03
32,Hoffenheim,GER,1,1751.96862793,2020-11-04,2020-11-04
30,Hoffenheim,GER,1,1757.42797852,2020-11-05,2020-11-05
30,Hoffenheim,GER,1,1762.21252441,2020-11-06,2020-11-08
30,Hoffenheim,GER,1,1754.48168945,2020-11-09,2020-11-21
32,Hoffenheim,GER,1,1749.86584473,2020-11-22,2020-11-22
33,Hoffenheim,GER,1,1749.86584473,2020-11-23,2020-11-24
33,Hoffenheim,GER,1,1749.20275879,2020-11-25,2020-11-25
30,Hoffenheim,GER,1,1753.0501709,2020-11-26,2020-11-26
30,Hoffenheim,GER,1,1758.17529297,2020-11-27,2020-11-29
31,Hoffenheim,GER,1,1755.70898438,2020-11-30,2020-12-01
33,Hoffenheim,GER,1,1751.72644043,2020-12-02,2020-12-02
34,Hoffenheim,GER,1,1751.00146484,2020-12-03,2020-12-03
34,Hoffenheim,GER,1,1751.20458984,2020-12-04,2020-12-05
32,Hoffenheim,GER,1,1751.20458984,2020-12-06,2020-12-07
31,Hoffenheim,GER,1,1757.74560547,2020-12-08,2020-12-08
31,Hoffenheim,GER,1,1761.30895996,2020-12-09,2020-12-09
31,Hoffenheim,GER,1,1759.15783691,2020-12-10,2020-12-10
28,Hoffenheim,GER,1,1765.09240723,2020-12-11,2020-12-13
32,Hoffenheim,GER,1,1756.45092773,2020-12-14,2020-12-16
33,Hoffenheim,GER,1,1751.18005371,2020-12-17,2020-12-19
31,Hoffenheim,GER,1,1761.13891602,2020-12-20,2020-12-20
33,Hoffenheim,GER,1,1761.13891602,2020-12-21,2020-12-22
32,Hoffenheim,GER,1,1761.13891602,2020-12-23,2020-12-23
31,Hoffenheim,GER,1,1761.13891602,2020-12-24,2020-12-31
32,Hoffenheim,GER,1,1761.13891602,2021-01-01,2021-01-02
34,Hoffenheim,GER,1,1746.43688965,2021-01-03,2021-01-06
35,Hoffenheim,GER,1,1746.43688965,2021-01-07,2021-01-09
39,Hoffenheim,GER,1,1723.33520508,2021-01-10,2021-01-16
40,Hoffenheim,GER,1,1719.20471191,2021-01-17,2021-01-17
39,Hoffenheim,GER,1,1719.20471191,2021-01-18,2021-01-19
38,Hoffenheim,GER,1,1732.23413086,2021-01-20,2021-01-24
37,Hoffenheim,GER,1,1740.01623535,2021-01-25,2021-01-30
38,Hoffenheim,GER,1,1737.35266113,2021-01-31,2021-02-02
37,Hoffenheim,GER,1,1737.35266113,2021-02-03,2021-02-07
38,Hoffenheim,GER,1,1726.54418945,2021-02-08,2021-02-13
38,Hoffenheim,GER,1,1730.16320801,2021-02-14,2021-02-16
40,Hoffenheim,GER,1,1726.29431152,2021-02-17,2021-02-17
38,Hoffenheim,GER,1,1729.84729004,2021-02-18,2021-02-18
39,Hoffenheim,GER,1,1728.74267578,2021-02-19,2021-02-20
38,Hoffenheim,GER,1,1728.74267578,2021-02-21,2021-02-21
35,Hoffenheim,GER,1,1739.8626709,2021-02-22,2021-02-23
35,Hoffenheim,GER,1,1740.97949219,2021-02-24,2021-02-24
35,Hoffenheim,GER,1,1739.82324219,2021-02-25,2021-02-25
51,Hoffenheim,GER,1,1694.31591797,2021-02-26,2021-02-28
52,Hoffenheim,GER,1,1694.97387695,2021-03-01,2021-03-01
53,Hoffenheim,GER,1,1694.97387695,2021-03-02,2021-03-03
54,Hoffenheim,GER,1,1694.97387695,2021-03-04,2021-03-06
46,Hoffenheim,GER,1,1704.32495117,2021-03-07,2021-03-08
47,Hoffenheim,GER,1,1704.32495117,2021-03-09,2021-03-09
47,Hoffenheim,GER,1,1704.8659668,2021-03-10,2021-03-10
49,Hoffenheim,GER,1,1702.33117676,2021-03-11,2021-03-12
48,Hoffenheim,GER,1,1702.33117676,2021-03-13,2021-03-13
49,Hoffenheim,GER,1,1702.33117676,2021-03-14,2021-03-14
54,Hoffenheim,GER,1,1691.03479004,2021-03-15,2021-03-16
54,Hoffenheim,GER,1,1690.87207031,2021-03-17,2021-03-17
54,Hoffenheim,GER,1,1690.88317871,2021-03-18,2021-03-20
55,Hoffenheim,GER,1,1690.88317871,2021-03-21,2021-03-21
57,Hoffenheim,GER,1,1680.01062012,2021-03-22,2021-04-03
62,Hoffenheim,GER,1,1671.3762207,2021-04-04,2021-04-04
63,Hoffenheim,GER,1,1671.3762207,2021-04-05,2021-04-06
63,Hoffenheim,GER,1,1671.19616699,2021-04-07,2021-04-07
63,Hoffenheim,GER,1,1667.23132324,2021-04-08,2021-04-09
64,Hoffenheim,GER,1,1667.23132324,2021-04-10,2021-04-10
63,Hoffenheim,GER,1,1667.23132324,2021-04-11,2021-04-11
64,Hoffenheim,GER,1,1667.23132324,2021-04-12,2021-04-12
64,Hoffenheim,GER,1,1668.05944824,2021-04-13,2021-04-13
63,Hoffenheim,GER,1,1667.83984375,2021-04-14,2021-04-14
65,Hoffenheim,GER,1,1666.79699707,2021-04-15,2021-04-15
66,Hoffenheim,GER,1,1666.79699707,2021-04-16,2021-04-16
62,Hoffenheim,GER,1,1672.46044922,2021-04-17,2021-04-17
63,Hoffenheim,GER,1,1672.46044922,2021-04-18,2021-04-18
64,Hoffenheim,GER,1,1672.46044922,2021-04-19,2021-04-21
61,Hoffenheim,GER,1,1681.65075684,2021-04-22,2021-04-22
60,Hoffenheim,GER,1,1681.65075684,2021-04-23,2021-04-24
59,Hoffenheim,GER,1,1682.71362305,2021-04-25,2021-04-25
60,Hoffenheim,GER,1,1682.71362305,2021-04-26,2021-05-05
59,Hoffenheim,GER,1,1682.71362305,2021-05-06,2021-05-08
58,Hoffenheim,GER,1,1687.33947754,2021-05-09,2021-05-09
59,Hoffenheim,GER,1,1687.33947754,2021-05-10,2021-05-15
59,Hoffenheim,GER,1,1685.87927246,2021-05-16,2021-05-16
58,Hoffenheim,GER,1,1685.87927246,2021-05-17,2021-05-22
57,Hoffenheim,GER,1,1691.55407715,2021-05-23,2021-05-23
58,Hoffenheim,GER,1,1691.55407715,2021-05-24,2021-07-16
57,Hoffenheim,GER,1,1691.55407715,2021-07-17,2021-07-20
58,Hoffenheim,GER,1,1691.55407715,2021-07-21,2021-07-29
57,Hoffenheim,GER,1,1691.55407715,2021-07-30,2021-07-31
56,Hoffenheim,GER,1,1691.55407715,2021-08-01,2021-08-03
55,Hoffenheim,GER,1,1691.55407715,2021-08-04,2021-08-05
56,Hoffenheim,GER,1,1691.55407715,2021-08-06,2021-08-07
54,Hoffenheim,GER,1,1691.55407715,2021-08-08,2021-08-10
53,Hoffenheim,GER,1,1691.55407715,2021-08-11,2021-08-14
47,Hoffenheim,GER,1,1704.96777344,2021-08-15,2021-08-19
47,Hoffenheim,GER,1,1705.34997559,2021-08-20,2021-08-21
46,Hoffenheim,GER,1,1705.34997559,2021-08-22,2021-08-22
48,Hoffenheim,GER,1,1703.36022949,2021-08-23,2021-08-26
48,Hoffenheim,GER,1,1703.49731445,2021-08-27,2021-08-27
48,Hoffenheim,GER,1,1699.96313477,2021-08-28,2021-09-11
58,Hoffenheim,GER,1,1685.44897461,2021-09-12,2021-09-12
56,Hoffenheim,GER,1,1685.44897461,2021-09-13,2021-09-14
55,Hoffenheim,GER,1,1690.06665039,2021-09-15,2021-09-15
55,Hoffenheim,GER,1,1689.81030273,2021-09-16,2021-09-16
56,Hoffenheim,GER,1,1684.76708984,2021-09-17,2021-09-17
55,Hoffenheim,GER,1,1684.76708984,2021-09-18,2021-09-18
56,Hoffenheim,GER,1,1683.84802246,2021-09-19,2021-09-19
57,Hoffenheim,GER,1,1683.84802246,2021-09-20,2021-09-25
51,Hoffenheim,GER,1,1697.09191895,2021-09-26,2021-09-26
52,Hoffenheim,GER,1,1697.09191895,2021-09-27,2021-09-28
54,Hoffenheim,GER,1,1693.35168457,2021-09-29,2021-09-29
53,Hoffenheim,GER,1,1694.22131348,2021-09-30,2021-09-30
50,Hoffenheim,GER,1,1700.41394043,2021-10-01,2021-10-02
58,Hoffenheim,GER,1,1688.84106445,2021-10-03,2021-10-03
56,Hoffenheim,GER,1,1688.84106445,2021-10-04,2021-10-15
52,Hoffenheim,GER,1,1700.85205078,2021-10-16,2021-10-16
54,Hoffenheim,GER,1,1700.85205078,2021-10-17,2021-10-19
55,Hoffenheim,GER,1,1695.06677246,2021-10-20,2021-10-20
54,Hoffenheim,GER,1,1695.31188965,2021-10-21,2021-10-21
