Rank,Club,Country,Level,Elo,From,To
None,Hull,ENG,2,1527.81311035,2020-01-02,2020-01-11
None,Hull,ENG,2,1519.35827637,2020-01-12,2020-01-18
None,Hull,ENG,2,1512.45751953,2020-01-19,2020-01-28
None,Hull,ENG,2,1501.64257812,2020-01-29,2020-02-01
None,Hull,ENG,2,1487.02490234,2020-02-02,2020-02-08
None,Hull,ENG,2,1488.65368652,2020-02-09,2020-02-11
None,Hull,ENG,2,1478.22839355,2020-02-12,2020-02-14
None,Hull,ENG,2,1477.81762695,2020-02-15,2020-02-18
None,Hull,ENG,2,1475.48059082,2020-02-19,2020-02-19
None,Hull,ENG,2,1472.68481445,2020-02-20,2020-02-20
None,Hull,ENG,2,1478.43041992,2020-02-21,2020-02-22
None,Hull,ENG,2,1472.92749023,2020-02-23,2020-02-25
None,Hull,ENG,2,1470.02478027,2020-02-26,2020-02-26
None,Hull,ENG,2,1461.27844238,2020-02-27,2020-02-27
None,Hull,ENG,2,1459.68945312,2020-02-28,2020-02-29
None,Hull,ENG,2,1447.64294434,2020-03-01,2020-03-07
None,Hull,ENG,2,1436.06604004,2020-03-08,2020-03-10
None,Hull,ENG,2,1432.43640137,2020-03-11,2020-03-11
None,Hull,ENG,2,1425.42785645,2020-03-12,2020-03-12
None,Hull,ENG,2,1429.75817871,2020-03-13,2020-06-20
None,Hull,ENG,2,1419.77624512,2020-06-21,2020-06-27
None,Hull,ENG,2,1422.83337402,2020-06-28,2020-07-02
None,Hull,ENG,2,1431.18029785,2020-07-03,2020-07-05
None,Hull,ENG,2,1426.98352051,2020-07-06,2020-07-08
None,Hull,ENG,2,1421.27734375,2020-07-09,2020-07-11
None,Hull,ENG,2,1414.01916504,2020-07-12,2020-07-14
None,Hull,ENG,2,1399.86523438,2020-07-15,2020-07-18
None,Hull,ENG,2,1391.21203613,2020-07-19,2020-07-22
None,Hull,ENG,2,1386.0369873,2020-07-23,2020-08-05
None,Hull,ENG,2,1385.04724121,2020-08-06,2020-08-06
None,Hull,ENG,2,1387.42468262,2020-08-07,2020-08-07
None,Hull,ENG,2,1388.65966797,2020-08-08,2020-08-08
None,Hull,ENG,2,1388.29589844,2020-08-09,2020-08-10
None,Hull,ENG,2,1388.96228027,2020-08-11,2020-08-11
None,Hull,ENG,2,1386.65014648,2020-08-12,2020-08-15
None,Hull,ENG,2,1379.93273926,2020-08-16,2020-08-16
None,Hull,ENG,2,1377.00280762,2020-08-17,2020-09-12
None,Hull,ENG,2,1443.22253418,2021-07-01,2021-08-07
None,Hull,ENG,2,1461.42504883,2021-08-08,2021-08-14
None,Hull,ENG,2,1449.74157715,2021-08-15,2021-08-18
None,Hull,ENG,2,1440.73730469,2021-08-19,2021-08-19
None,Hull,ENG,2,1439.7857666,2021-08-20,2021-08-21
None,Hull,ENG,2,1435.14624023,2021-08-22,2021-08-26
None,Hull,ENG,2,1436.41137695,2021-08-27,2021-08-28
None,Hull,ENG,2,1440.64367676,2021-08-29,2021-09-11
None,Hull,ENG,2,1444.04321289,2021-09-12,2021-09-14
None,Hull,ENG,2,1433.05371094,2021-09-15,2021-09-15
None,Hull,ENG,2,1435.34570312,2021-09-16,2021-09-16
None,Hull,ENG,2,1435.93615723,2021-09-17,2021-09-18
None,Hull,ENG,2,1428.8034668,2021-09-19,2021-09-25
None,Hull,ENG,2,1421.20861816,2021-09-26,2021-09-28
None,Hull,ENG,2,1421.02746582,2021-09-29,2021-09-29
None,Hull,ENG,2,1419.34289551,2021-09-30,2021-09-30
None,Hull,ENG,2,1416.13049316,2021-10-01,2021-10-02
None,Hull,ENG,2,1429.17480469,2021-10-03,2021-10-16
None,Hull,ENG,2,1420.67456055,2021-10-17,2021-10-19
None,Hull,ENG,2,1424.43786621,2021-10-20,2021-10-20
None,Hull,ENG,2,1418.0513916,2021-10-21,2021-10-21
None,Hull,ENG,2,1414.69506836,2021-10-22,2021-10-23
None,Hull,ENG,2,1409.68493652,2021-10-24,2021-10-30
None,Hull,ENG,2,1403.1282959,2021-10-31,2021-11-02
None,Hull,ENG,2,1403.44250488,2021-11-03,2021-11-03
None,Hull,ENG,2,1402.99133301,2021-11-04,2021-11-04
None,Hull,ENG,2,1399.37670898,2021-11-05,2021-11-06
None,Hull,ENG,2,1414.49121094,2021-11-07,2021-11-20
None,Hull,ENG,2,1426.58312988,2021-11-21,2021-11-23
None,Hull,ENG,2,1432.22180176,2021-11-24,2021-11-24
None,Hull,ENG,2,1445.5501709,2021-11-25,2021-11-25
None,Hull,ENG,2,1441.91003418,2021-11-26,2021-11-27
None,Hull,ENG,2,1451.26208496,2021-11-28,2021-12-04
None,Hull,ENG,2,1453.6192627,2021-12-05,2021-12-07
None,Hull,ENG,2,1451.27868652,2021-12-08,2021-12-08
None,Hull,ENG,2,1447.38391113,2021-12-09,2021-12-09
None,Hull,ENG,2,1441.22827148,2021-12-10,2021-12-11
None,Hull,ENG,2,1439.75195312,2021-12-12,2021-12-18
None,Hull,ENG,2,1434.6652832,2021-12-19,2022-01-01
None,Hull,ENG,2,1427.64331055,2022-01-02,2022-01-16
None,Hull,ENG,2,1417.16918945,2022-01-17,2022-01-19
None,Hull,ENG,2,1432.92553711,2022-01-20,2022-01-22
None,Hull,ENG,2,1446.16271973,2022-01-23,2022-01-29
None,Hull,ENG,2,1458.97119141,2022-01-30,2022-02-05
None,Hull,ENG,2,1451.09985352,2022-02-06,2022-02-08
None,Hull,ENG,2,1441.63464355,2022-02-09,2022-02-12
None,Hull,ENG,2,1437.87304688,2022-02-13,2022-02-15
None,Hull,ENG,2,1443.89599609,2022-02-16,2022-02-16
None,Hull,ENG,2,1445.93164062,2022-02-17,2022-02-17
None,Hull,ENG,2,1446.36352539,2022-02-18,2022-02-19
None,Hull,ENG,2,1450.24780273,2022-02-20,2022-02-22
None,Hull,ENG,2,1436.43469238,2022-02-23,2022-02-23
None,Hull,ENG,2,1436.92773438,2022-02-24,2022-02-24
None,Hull,ENG,2,1437.2722168,2022-02-25,2022-02-26
None,Hull,ENG,2,1449.73632812,2022-02-27,2022-03-05
None,Hull,ENG,2,1439.05517578,2022-03-06,2022-03-08
None,Hull,ENG,2,1438.43591309,2022-03-09,2022-03-09
None,Hull,ENG,2,1438.72045898,2022-03-10,2022-03-10
None,Hull,ENG,2,1439.61901855,2022-03-11,2022-03-12
None,Hull,ENG,2,1440.78417969,2022-03-13,2022-03-15
None,Hull,ENG,2,1436.7199707,2022-03-16,2022-03-16
None,Hull,ENG,2,1453.01184082,2022-03-17,2022-03-17
None,Hull,ENG,2,1457.94299316,2022-03-18,2022-03-19
None,Hull,ENG,2,1448.04858398,2022-03-20,2022-04-01
None,Hull,ENG,2,1440.8770752,2022-04-02,2022-04-05
None,Hull,ENG,2,1442.00646973,2022-04-06,2022-04-06
None,Hull,ENG,2,1438.66723633,2022-04-07,2022-04-07
None,Hull,ENG,2,1437.09802246,2022-04-08,2022-04-09
None,Hull,ENG,2,1449.09350586,2022-04-10,2022-04-12
None,Hull,ENG,2,1449.609375,2022-04-13,2022-04-13
None,Hull,ENG,2,1450.61901855,2022-04-14,2022-04-14
None,Hull,ENG,2,1458.54492188,2022-04-15,2022-04-15
None,Hull,ENG,2,1466.79333496,2022-04-16,2022-04-18
None,Hull,ENG,2,1461.46960449,2022-04-19,2022-04-23
None,Hull,ENG,2,1473.18701172,2022-04-24,2022-04-26
None,Hull,ENG,2,1474.04333496,2022-04-27,2022-04-27
None,Hull,ENG,2,1474.79870605,2022-04-28,2022-04-28
None,Hull,ENG,2,1471.44335938,2022-04-29,2022-04-30
None,Hull,ENG,2,1454.17089844,2022-05-01,2022-05-03
None,Hull,ENG,2,1454.7746582,2022-05-04,2022-05-04
None,Hull,ENG,2,1449.98779297,2022-05-05,2022-05-05
None,Hull,ENG,2,1444.20617676,2022-05-06,2022-05-07
None,Hull,ENG,2,1447.70397949,2022-05-08,2022-05-28
None,Hull,ENG,2,1444.64453125,2022-05-29,2022-07-30
None,Hull,ENG,2,1451.44189453,2022-07-31,2022-08-06
None,Hull,ENG,2,1454.3046875,2022-08-07,2022-08-13
None,Hull,ENG,2,1463.95251465,2022-08-14,2022-08-16
None,Hull,ENG,2,1470.35522461,2022-08-17,2022-08-18
None,Hull,ENG,2,1470.62316895,2022-08-19,2022-08-20
None,Hull,ENG,2,1460.93029785,2022-08-21,2022-08-25
None,Hull,ENG,2,1461.39672852,2022-08-26,2022-08-27
None,Hull,ENG,2,1468.5625,2022-08-28,2022-08-30
None,Hull,ENG,2,1459.82885742,2022-08-31,2022-09-04
None,Hull,ENG,2,1451.7869873,2022-09-05,2022-09-06
None,Hull,ENG,2,1450.63720703,2022-09-07,2022-09-07
None,Hull,ENG,2,1446.01135254,2022-09-08,2022-09-08
None,Hull,ENG,2,1443.77954102,2022-09-09,2022-09-13
None,Hull,ENG,2,1425.48022461,2022-09-14,2022-09-14
None,Hull,ENG,2,1424.76757812,2022-09-15,2022-09-15
None,Hull,ENG,2,1426.84448242,2022-09-16,2022-09-17
None,Hull,ENG,2,1417.16064453,2022-09-18,2022-09-30
None,Hull,ENG,2,1407.28894043,2022-10-01,2022-10-04
None,Hull,ENG,2,1407.49072266,2022-10-05,2022-10-05
None,Hull,ENG,2,1418.88964844,2022-10-06,2022-10-06
None,Hull,ENG,2,1421.65869141,2022-10-07,2022-10-09
None,Hull,ENG,2,1414.94335938,2022-10-10,2022-10-11
