Rank,Club,Country,Level,Elo,From,To
None,Koeln,GER,1,1587.00756836,2020-01-19,2020-01-24
None,Koeln,GER,1,1582.93945312,2020-01-25,2020-02-02
98,Koeln,GER,1,1598.62841797,2020-02-03,2020-02-07
99,Koeln,GER,1,1598.62841797,2020-02-08,2020-02-08
98,Koeln,GER,1,1598.62841797,2020-02-09,2020-02-11
97,Koeln,GER,1,1598.62841797,2020-02-12,2020-02-15
96,Koeln,GER,1,1598.62841797,2020-02-16,2020-02-16
99,Koeln,GER,1,1595.28710938,2020-02-17,2020-02-18
96,Koeln,GER,1,1596.75695801,2020-02-19,2020-02-19
96,Koeln,GER,1,1599.74743652,2020-02-20,2020-02-20
93,Koeln,GER,1,1607.85632324,2020-02-21,2020-02-22
80,Koeln,GER,1,1630.52734375,2020-02-23,2020-02-25
78,Koeln,GER,1,1633.62780762,2020-02-26,2020-02-26
79,Koeln,GER,1,1633.62780762,2020-02-27,2020-02-27
73,Koeln,GER,1,1642.80834961,2020-02-28,2020-02-28
72,Koeln,GER,1,1644.33703613,2020-02-29,2020-02-29
62,Koeln,GER,1,1658.99279785,2020-03-01,2020-03-06
61,Koeln,GER,1,1664.54760742,2020-03-07,2020-03-08
62,Koeln,GER,1,1664.54760742,2020-03-09,2020-03-10
61,Koeln,GER,1,1668.4284668,2020-03-11,2020-03-11
63,Koeln,GER,1,1659.53125,2020-03-12,2020-03-12
65,Koeln,GER,1,1650.90612793,2020-03-13,2020-05-17
66,Koeln,GER,1,1649.23754883,2020-05-18,2020-05-22
67,Koeln,GER,1,1649.23754883,2020-05-23,2020-05-24
70,Koeln,GER,1,1646.38647461,2020-05-25,2020-05-27
76,Koeln,GER,1,1638.2298584,2020-05-28,2020-05-29
75,Koeln,GER,1,1638.2298584,2020-05-30,2020-05-30
76,Koeln,GER,1,1638.2298584,2020-05-31,2020-06-01
79,Koeln,GER,1,1633.08312988,2020-06-02,2020-06-03
