Rank,Club,Country,Level,Elo,From,To
36,Lazio,ITA,1,1724.23962402,2020-01-06,2020-01-11
35,Lazio,ITA,1,1731.82983398,2020-01-12,2020-01-18
34,Lazio,ITA,1,1738.30456543,2020-01-19,2020-01-21
33,Lazio,ITA,1,1738.30456543,2020-01-22,2020-01-25
34,Lazio,ITA,1,1738.30456543,2020-01-26,2020-01-26
34,Lazio,ITA,1,1740.31213379,2020-01-27,2020-02-01
33,Lazio,ITA,1,1740.31213379,2020-02-02,2020-02-02
30,Lazio,ITA,1,1744.59008789,2020-02-03,2020-02-05
33,Lazio,ITA,1,1737.97106934,2020-02-06,2020-02-09
32,Lazio,ITA,1,1743.27502441,2020-02-10,2020-02-16
30,Lazio,ITA,1,1751.42651367,2020-02-17,2020-02-19
28,Lazio,ITA,1,1756.74047852,2020-02-20,2020-02-20
28,Lazio,ITA,1,1759.38708496,2020-02-21,2020-02-23
27,Lazio,ITA,1,1763.67333984,2020-02-24,2020-02-25
27,Lazio,ITA,1,1763.73608398,2020-02-26,2020-02-26
27,Lazio,ITA,1,1761.34484863,2020-02-27,2020-02-27
27,Lazio,ITA,1,1762.8013916,2020-02-28,2020-02-29
26,Lazio,ITA,1,1767.14868164,2020-03-01,2020-03-01
25,Lazio,ITA,1,1767.14868164,2020-03-02,2020-03-02
24,Lazio,ITA,1,1767.14868164,2020-03-03,2020-03-07
25,Lazio,ITA,1,1767.14868164,2020-03-08,2020-03-10
24,Lazio,ITA,1,1768.94372559,2020-03-11,2020-03-11
25,Lazio,ITA,1,1768.94372559,2020-03-12,2020-06-14
24,Lazio,ITA,1,1768.94372559,2020-06-15,2020-06-18
23,Lazio,ITA,1,1768.94372559,2020-06-19,2020-06-21
24,Lazio,ITA,1,1768.94372559,2020-06-22,2020-06-24
25,Lazio,ITA,1,1763.73095703,2020-06-25,2020-06-27
24,Lazio,ITA,1,1767.29589844,2020-06-28,2020-06-30
23,Lazio,ITA,1,1772.25756836,2020-07-01,2020-07-02
