Rank,Club,Country,Level,Elo,From,To
None,Le Havre,FRA,2,1448.28137207,2020-01-11,2020-01-27
None,Le Havre,FRA,2,1456.00073242,2020-01-28,2020-01-31
None,Le Havre,FRA,2,1455.37011719,2020-02-01,2020-02-03
None,Le Havre,FRA,2,1455.07971191,2020-02-04,2020-02-07
None,Le Havre,FRA,2,1452.26123047,2020-02-08,2020-02-14
None,Le Havre,FRA,2,1442.71228027,2020-02-15,2020-02-18
None,Le Havre,FRA,2,1441.08581543,2020-02-19,2020-02-21
None,Le Havre,FRA,2,1428.09448242,2020-02-22,2020-02-26
None,Le Havre,FRA,2,1430.69311523,2020-02-27,2020-02-28
None,Le Havre,FRA,2,1443.87524414,2020-02-29,2020-03-06
None,Le Havre,FRA,2,1449.31921387,2020-03-07,2020-03-11
None,Le Havre,FRA,2,1454.26623535,2020-03-12,2020-08-07
None,Le Havre,FRA,2,1456.95043945,2020-08-08,2020-08-12
None,Le Havre,FRA,2,1459.2935791,2020-08-13,2020-08-15
None,Le Havre,FRA,2,1467.50097656,2020-08-16,2020-08-18
None,Le Havre,FRA,2,1471.90576172,2020-08-19,2020-08-19
None,Le Havre,FRA,2,1470.48681641,2020-08-20,2020-08-23
None,Le Havre,FRA,2,1468.43640137,2020-08-24,2020-08-24
None,Le Havre,FRA,2,1460.00646973,2020-08-25,2020-08-29
None,Le Havre,FRA,2,1468.20007324,2020-08-30,2020-09-12
None,Le Havre,FRA,2,1480.57702637,2020-09-13,2020-09-17
None,Le Havre,FRA,2,1483.02978516,2020-09-18,2020-09-19
None,Le Havre,FRA,2,1470.5279541,2020-09-20,2020-09-24
None,Le Havre,FRA,2,1469.35717773,2020-09-25,2020-09-26
None,Le Havre,FRA,2,1476.93237305,2020-09-27,2020-10-03
None,Le Havre,FRA,2,1461.98425293,2020-10-04,2020-10-17
None,Le Havre,FRA,2,1458.05151367,2020-10-18,2020-10-20
None,Le Havre,FRA,2,1451.68078613,2020-10-21,2020-10-21
