Rank,Club,Country,Level,Elo,From,To
None,Le Mans,FRA,2,1305.29101562,2020-01-11,2020-01-24
None,Le Mans,FRA,2,1300.63671875,2020-01-25,2020-01-31
None,Le Mans,FRA,2,1301.83081055,2020-02-01,2020-02-04
None,Le Mans,FRA,2,1298.26745605,2020-02-05,2020-02-07
None,Le Mans,FRA,2,1292.77026367,2020-02-08,2020-02-14
None,Le Mans,FRA,2,1292.02770996,2020-02-15,2020-02-18
None,Le Mans,FRA,2,1290.40124512,2020-02-19,2020-02-21
None,Le Mans,FRA,2,1285.02661133,2020-02-22,2020-02-26
None,Le Mans,FRA,2,1287.62536621,2020-02-27,2020-02-28
None,Le Mans,FRA,2,1298.77490234,2020-02-29,2020-03-06
None,Le Mans,FRA,2,1301.46679688,2020-03-07,2020-03-11
None,Le Mans,FRA,2,1306.41381836,2020-03-12,2020-07-01
None,Le Mans,FRA,2,1378.18566895,2025-07-05,2025-08-06
None,Le Mans,FRA,2,1375.21118164,2025-08-07,2025-08-09
None,Le Mans,FRA,2,1379.1583252,2025-08-10,2025-08-12
None,Le Mans,FRA,2,1377.36279297,2025-08-13,2025-08-18
None,Le Mans,FRA,2,1370.53125,2025-08-19,2025-08-21
None,Le Mans,FRA,2,1369.2097168,2025-08-22,2025-08-22
None,Le Mans,FRA,2,1377.92199707,2025-08-23,2025-08-28
None,Le Mans,FRA,2,1380.96984863,2025-08-29,2025-08-30
None,Le Mans,FRA,2,1378.21728516,2025-08-31,2025-09-12
None,Le Mans,FRA,2,1369.86120605,2025-09-13,2025-09-16
None,Le Mans,FRA,2,1369.08544922,2025-09-17,2025-09-17
None,Le Mans,FRA,2,1371.10217285,2025-09-18,2025-09-18
None,Le Mans,FRA,2,1367.16394043,2025-09-19,2025-09-19
None,Le Mans,FRA,2,1370.49035645,2025-09-20,2025-09-23
None,Le Mans,FRA,2,1377.69067383,2025-09-24,2025-09-24
None,Le Mans,FRA,2,1375.34814453,2025-09-25,2025-09-25
None,Le Mans,FRA,2,1378.0513916,2025-09-26,2025-09-26
None,Le Mans,FRA,2,1380.94433594,2025-09-27,2025-09-30
None,Le Mans,FRA,2,1383.32946777,2025-10-01,2025-10-01
None,Le Mans,FRA,2,1387.97180176,2025-10-02,2025-10-02
