Rank,Club,Country,Level,Elo,From,To
None,Lecce,ITA,1,1477.37316895,2020-01-07,2020-01-13
None,Lecce,ITA,1,1471.09997559,2020-01-14,2020-01-19
None,Lecce,ITA,1,1477.56018066,2020-01-20,2020-01-26
None,Lecce,ITA,1,1467.76428223,2020-01-27,2020-02-02
None,Lecce,ITA,1,1489.80322266,2020-02-03,2020-02-09
None,Lecce,ITA,1,1504.97302246,2020-02-10,2020-02-15
None,Lecce,ITA,1,1511.40844727,2020-02-16,2020-02-19
None,Lecce,ITA,1,1516.72229004,2020-02-20,2020-02-20
None,Lecce,ITA,1,1519.36901855,2020-02-21,2020-02-23
None,Lecce,ITA,1,1514.38977051,2020-02-24,2020-02-25
None,Lecce,ITA,1,1514.45251465,2020-02-26,2020-02-26
None,Lecce,ITA,1,1512.0612793,2020-02-27,2020-02-27
None,Lecce,ITA,1,1513.51782227,2020-02-28,2020-03-01
None,Lecce,ITA,1,1507.58691406,2020-03-02,2020-03-10
None,Lecce,ITA,1,1509.38195801,2020-03-11,2020-06-22
None,Lecce,ITA,1,1500.50354004,2020-06-23,2020-06-26
None,Lecce,ITA,1,1498.85339355,2020-06-27,2020-07-01
None,Lecce,ITA,1,1491.63342285,2020-07-02,2020-07-04
None,Lecce,ITA,1,1486.34265137,2020-07-05,2020-07-07
None,Lecce,ITA,1,1499.38439941,2020-07-08,2020-07-12
None,Lecce,ITA,1,1503.34289551,2020-07-13,2020-07-15
None,Lecce,ITA,1,1493.82739258,2020-07-16,2020-07-19
None,Lecce,ITA,1,1488.34985352,2020-07-20,2020-07-22
None,Lecce,ITA,1,1496.87304688,2020-07-23,2020-07-26
None,Lecce,ITA,1,1492.5135498,2020-07-27,2020-07-29
None,Lecce,ITA,1,1504.44824219,2020-07-30,2020-08-02
None,Lecce,ITA,1,1497.14807129,2020-08-03,2020-08-05
None,Lecce,ITA,1,1500.4395752,2020-08-06,2020-08-06
None,Lecce,ITA,1,1497.18383789,2020-08-07,2020-08-07
None,Lecce,ITA,1,1494.74169922,2020-08-08,2020-08-08
None,Lecce,ITA,1,1493.05859375,2020-08-09,2020-08-10
None,Lecce,ITA,1,1495.67541504,2020-08-11,2020-08-12
None,Lecce,ITA,1,1493.55627441,2020-08-13,2020-08-17
None,Lecce,ITA,1,1499.0958252,2020-08-18,2020-08-21
None,Lecce,ITA,1,1496.15368652,2020-08-22,2020-09-17
None,Lecce,ITA,1,1496.45068359,2020-09-18,2020-09-24
None,Lecce,ITA,1,1497.09814453,2020-09-25,2020-09-25
None,Lecce,ITA,2,1497.09814453,2020-09-26,2020-09-26
None,Lecce,ITA,2,1493.29797363,2020-09-27,2020-10-01
None,Lecce,ITA,2,1491.55053711,2020-10-02,2020-10-03
None,Lecce,ITA,2,1499.59143066,2020-10-04,2020-10-16
None,Lecce,ITA,2,1485.19030762,2020-10-17,2020-10-20
None,Lecce,ITA,2,1492.62512207,2020-10-21,2020-10-21
None,Lecce,ITA,2,1490.38793945,2020-10-22,2020-10-22
None,Lecce,ITA,2,1490.44763184,2020-10-23,2020-10-25
None,Lecce,ITA,2,1489.99487305,2020-10-26,2020-10-27
None,Lecce,ITA,2,1488.75512695,2020-10-28,2020-10-28
None,Lecce,ITA,2,1485.1373291,2020-10-29,2020-10-29
None,Lecce,ITA,2,1486.84020996,2020-10-30,2020-11-02
None,Lecce,ITA,2,1492.00292969,2020-11-03,2020-11-03
None,Lecce,ITA,2,1486.47290039,2020-11-04,2020-11-04
None,Lecce,ITA,2,1488.54077148,2020-11-05,2020-11-05
None,Lecce,ITA,2,1484.75109863,2020-11-06,2020-11-08
None,Lecce,ITA,2,1497.40917969,2020-11-09,2020-11-21
None,Lecce,ITA,2,1507.60388184,2020-11-22,2020-11-24
None,Lecce,ITA,2,1510.74304199,2020-11-25,2020-11-25
None,Lecce,ITA,2,1514.09570312,2020-11-26,2020-11-26
None,Lecce,ITA,2,1516.91845703,2020-11-27,2020-11-27
None,Lecce,ITA,2,1525.27331543,2020-11-28,2020-12-01
None,Lecce,ITA,2,1526.0838623,2020-12-02,2020-12-02
None,Lecce,ITA,2,1529.12536621,2020-12-03,2020-12-03
None,Lecce,ITA,2,1531.13464355,2020-12-04,2020-12-05
None,Lecce,ITA,2,1527.67773438,2020-12-06,2020-12-08
None,Lecce,ITA,2,1532.9309082,2020-12-09,2020-12-09
None,Lecce,ITA,2,1534.36120605,2020-12-10,2020-12-10
None,Lecce,ITA,2,1527.93518066,2020-12-11,2020-12-12
None,Lecce,ITA,2,1525.17663574,2020-12-13,2020-12-15
None,Lecce,ITA,2,1523.67590332,2020-12-16,2020-12-19
None,Lecce,ITA,2,1503.55310059,2020-12-20,2020-12-22
None,Lecce,ITA,2,1495.88452148,2020-12-23,2020-12-27
None,Lecce,ITA,2,1500.67822266,2020-12-28,2020-12-30
None,Lecce,ITA,2,1501.29333496,2020-12-31,2021-01-04
None,Lecce,ITA,2,1499.19824219,2021-01-05,2021-01-16
None,Lecce,ITA,2,1504.69104004,2021-01-17,2021-01-24
None,Lecce,ITA,2,1504.64367676,2021-01-25,2021-01-30
None,Lecce,ITA,2,1504.38049316,2021-01-31,2021-02-05
None,Lecce,ITA,2,1491.89831543,2021-02-06,2021-02-09
None,Lecce,ITA,2,1488.80334473,2021-02-10,2021-02-13
None,Lecce,ITA,2,1495.61083984,2021-02-14,2021-02-17
None,Lecce,ITA,2,1493.67333984,2021-02-18,2021-02-18
None,Lecce,ITA,2,1492.42700195,2021-02-19,2021-02-21
None,Lecce,ITA,2,1499.9395752,2021-02-22,2021-02-23
None,Lecce,ITA,2,1498.8013916,2021-02-24,2021-02-24
None,Lecce,ITA,2,1496.91809082,2021-02-25,2021-02-25
None,Lecce,ITA,2,1499.51965332,2021-02-26,2021-02-27
None,Lecce,ITA,2,1495.62573242,2021-02-28,2021-03-02
None,Lecce,ITA,2,1490.43041992,2021-03-03,2021-03-07
None,Lecce,ITA,2,1502.16638184,2021-03-08,2021-03-09
None,Lecce,ITA,2,1500.79064941,2021-03-10,2021-03-11
None,Lecce,ITA,2,1506.67529297,2021-03-12,2021-03-13
None,Lecce,ITA,2,1515.98425293,2021-03-14,2021-03-16
None,Lecce,ITA,2,1520.92749023,2021-03-17,2021-03-17
None,Lecce,ITA,2,1520.91625977,2021-03-18,2021-03-18
None,Lecce,ITA,2,1519.77160645,2021-03-19,2021-03-20
None,Lecce,ITA,2,1530.78063965,2021-03-21,2021-04-02
None,Lecce,ITA,2,1538.07006836,2021-04-03,2021-04-05
None,Lecce,ITA,2,1544.04223633,2021-04-06,2021-04-08
None,Lecce,ITA,2,1547.2623291,2021-04-09,2021-04-10
None,Lecce,ITA,2,1535.74658203,2021-04-11,2021-04-15
None,Lecce,ITA,2,1536.75891113,2021-04-16,2021-04-17
None,Lecce,ITA,2,1542.30786133,2021-04-18,2021-04-29
None,Lecce,ITA,2,1540.13293457,2021-04-30,2021-05-01
None,Lecce,ITA,2,1524.03918457,2021-05-02,2021-05-04
None,Lecce,ITA,2,1515.73681641,2021-05-05,2021-05-06
