Rank,Club,Country,Level,Elo,From,To
None,Lens,FRA,2,1494.30834961,2020-01-19,2020-01-25
None,Lens,FRA,2,1490.85546875,2020-01-26,2020-01-31
None,Lens,FRA,2,1491.48596191,2020-02-01,2020-02-04
None,Lens,FRA,2,1497.55541992,2020-02-05,2020-02-10
None,Lens,FRA,2,1493.1986084,2020-02-11,2020-02-17
None,Lens,FRA,2,1482.34265137,2020-02-18,2020-02-18
None,Lens,FRA,2,1480.71618652,2020-02-19,2020-02-22
None,Lens,FRA,2,1460.6595459,2020-02-23,2020-02-26
None,Lens,FRA,2,1463.25817871,2020-02-27,2020-03-02
None,Lens,FRA,2,1473.31799316,2020-03-03,2020-03-09
None,Lens,FRA,2,1476.41394043,2020-03-10,2020-03-11
None,Lens,FRA,2,1481.36096191,2020-03-12,2020-07-01
None,Lens,FRA,1,1481.36096191,2020-07-02,2020-08-07
None,Lens,FRA,1,1484.04528809,2020-08-08,2020-08-12
None,Lens,FRA,1,1486.38842773,2020-08-13,2020-08-15
None,Lens,FRA,1,1494.5958252,2020-08-16,2020-08-18
None,Lens,FRA,1,1499.00061035,2020-08-19,2020-08-19
None,Lens,FRA,1,1497.58154297,2020-08-20,2020-08-23
None,Lens,FRA,1,1491.48254395,2020-08-24,2020-09-10
None,Lens,FRA,1,1507.60852051,2020-09-11,2020-09-13
None,Lens,FRA,1,1516.82592773,2020-09-14,2020-09-17
None,Lens,FRA,1,1519.27868652,2020-09-18,2020-09-19
None,Lens,FRA,1,1528.88183594,2020-09-20,2020-09-24
None,Lens,FRA,1,1527.71105957,2020-09-25,2020-09-27
None,Lens,FRA,1,1530.02441406,2020-09-28,2020-10-03
None,Lens,FRA,1,1541.80725098,2020-10-04,2020-10-18
None,Lens,FRA,1,1535.51806641,2020-10-19,2020-10-20
None,Lens,FRA,1,1529.14746094,2020-10-21,2020-10-21
None,Lens,FRA,1,1526.89331055,2020-10-22,2020-10-22
None,Lens,FRA,1,1527.90917969,2020-10-23,2020-10-27
None,Lens,FRA,1,1525.63452148,2020-10-28,2020-10-28
None,Lens,FRA,1,1525.72338867,2020-10-29,2020-10-29
None,Lens,FRA,1,1525.32189941,2020-10-30,2020-11-03
None,Lens,FRA,1,1521.8092041,2020-11-04,2020-11-04
None,Lens,FRA,1,1517.08007812,2020-11-05,2020-11-05
None,Lens,FRA,1,1522.47424316,2020-11-06,2020-11-08
None,Lens,FRA,1,1523.33300781,2020-11-09,2020-11-22
None,Lens,FRA,1,1531.78198242,2020-11-23,2020-11-24
None,Lens,FRA,1,1532.57971191,2020-11-25,2020-11-25
None,Lens,FRA,1,1528.44909668,2020-11-26,2020-11-26
None,Lens,FRA,1,1523.81469727,2020-11-27,2020-11-29
None,Lens,FRA,1,1512.37145996,2020-11-30,2020-12-01
None,Lens,FRA,1,1515.45336914,2020-12-02,2020-12-02
None,Lens,FRA,1,1516.97790527,2020-12-03,2020-12-03
None,Lens,FRA,1,1516.77612305,2020-12-04,2020-12-05
None,Lens,FRA,1,1533.72290039,2020-12-06,2020-12-08
None,Lens,FRA,1,1531.49304199,2020-12-09,2020-12-09
None,Lens,FRA,1,1531.24060059,2020-12-10,2020-12-10
None,Lens,FRA,1,1523.18701172,2020-12-11,2020-12-12
None,Lens,FRA,1,1516.43066406,2020-12-13,2020-12-16
None,Lens,FRA,1,1536.1940918,2020-12-17,2020-12-19
None,Lens,FRA,1,1526.86901855,2020-12-20,2020-12-23
None,Lens,FRA,1,1534.51989746,2020-12-24,2021-01-06
None,Lens,FRA,1,1531.76293945,2021-01-07,2021-01-09
None,Lens,FRA,1,1523.42895508,2021-01-10,2021-01-17
None,Lens,FRA,1,1524.52368164,2021-01-18,2021-01-20
None,Lens,FRA,1,1536.50720215,2021-01-21,2021-01-23
None,Lens,FRA,1,1527.55358887,2021-01-24,2021-01-30
None,Lens,FRA,1,1537.80859375,2021-01-31,2021-02-03
None,Lens,FRA,1,1539.12609863,2021-02-04,2021-02-06
None,Lens,FRA,1,1540.33605957,2021-02-07,2021-02-13
None,Lens,FRA,1,1542.79882812,2021-02-14,2021-02-16
None,Lens,FRA,1,1550.74780273,2021-02-17,2021-02-18
None,Lens,FRA,1,1547.81359863,2021-02-19,2021-02-21
None,Lens,FRA,1,1553.08337402,2021-02-22,2021-02-25
None,Lens,FRA,1,1551.14453125,2021-02-26,2021-02-28
None,Lens,FRA,1,1552.09057617,2021-03-01,2021-03-03
None,Lens,FRA,1,1560.66430664,2021-03-04,2021-03-10
None,Lens,FRA,1,1561.43493652,2021-03-11,2021-03-14
None,Lens,FRA,1,1561.04858398,2021-03-15,2021-03-21
None,Lens,FRA,1,1570.24755859,2021-03-22,2021-04-03
None,Lens,FRA,1,1573.93188477,2021-04-04,2021-04-07
None,Lens,FRA,1,1578.53588867,2021-04-08,2021-04-11
None,Lens,FRA,1,1587.90600586,2021-04-12,2021-04-13
None,Lens,FRA,1,1588.1607666,2021-04-14,2021-04-18
None,Lens,FRA,1,1587.46716309,2021-04-19,2021-04-25
None,Lens,FRA,1,1592.3269043,2021-04-26,2021-04-28
None,Lens,FRA,1,1590.62561035,2021-04-29,2021-05-01
None,Lens,FRA,1,1588.86169434,2021-05-02,2021-05-04
None,Lens,FRA,1,1587.37109375,2021-05-05,2021-05-07
None,Lens,FRA,1,1578.8145752,2021-05-08,2021-05-16
None,Lens,FRA,1,1563.45544434,2021-05-17,2021-05-23
None,Lens,FRA,1,1566.37512207,2021-05-24,2021-08-03
None,Lens,FRA,1,1569.19140625,2021-08-04,2021-08-08
None,Lens,FRA,1,1571.57397461,2021-08-09,2021-08-10
None,Lens,FRA,1,1573.18505859,2021-08-11,2021-08-15
None,Lens,FRA,1,1572.05249023,2021-08-16,2021-08-17
None,Lens,FRA,1,1569.07263184,2021-08-18,2021-08-19
None,Lens,FRA,1,1570.86157227,2021-08-20,2021-08-21
None,Lens,FRA,1,1587.40612793,2021-08-22,2021-08-25
None,Lens,FRA,1,1586.39196777,2021-08-26,2021-08-26
None,Lens,FRA,1,1588.41662598,2021-08-27,2021-08-29
None,Lens,FRA,1,1586.00976562,2021-08-30,2021-09-12
None,Lens,FRA,1,1593.09301758,2021-09-13,2021-09-14
None,Lens,FRA,1,1593.0723877,2021-09-15,2021-09-15
None,Lens,FRA,1,1590.98608398,2021-09-16,2021-09-16
100,Lens,FRA,1,1599.03308105,2021-09-17,2021-09-17
None,Lens,FRA,1,1599.03308105,2021-09-18,2021-09-18
93,Lens,FRA,1,1609.4621582,2021-09-19,2021-09-20
92,Lens,FRA,1,1609.4621582,2021-09-21,2021-09-22
98,Lens,FRA,1,1599.55603027,2021-09-23,2021-09-23
97,Lens,FRA,1,1599.55603027,2021-09-24,2021-09-26
91,Lens,FRA,1,1610.18432617,2021-09-27,2021-09-28
89,Lens,FRA,1,1615.26452637,2021-09-29,2021-09-29
88,Lens,FRA,1,1613.33581543,2021-09-30,2021-09-30
89,Lens,FRA,1,1617.16662598,2021-10-01,2021-10-01
84,Lens,FRA,1,1626.88671875,2021-10-02,2021-10-03
85,Lens,FRA,1,1626.88671875,2021-10-04,2021-10-15
84,Lens,FRA,1,1626.88671875,2021-10-16,2021-10-16
83,Lens,FRA,1,1626.88671875,2021-10-17,2021-10-17
89,Lens,FRA,1,1619.6373291,2021-10-18,2021-10-19
