Rank,Club,Country,Level,Elo,From,To
39,Levante,ESP,1,1699.69274902,2020-01-05,2020-01-10
38,Levante,ESP,1,1699.69274902,2020-01-11,2020-01-11
40,Levante,ESP,1,1699.69274902,2020-01-12,2020-01-12
41,Levante,ESP,1,1699.69274902,2020-01-13,2020-01-17
42,Levante,ESP,1,1699.69274902,2020-01-18,2020-01-18
51,Levante,ESP,1,1689.19897461,2020-01-19,2020-01-21
50,Levante,ESP,1,1689.19897461,2020-01-22,2020-01-22
51,Levante,ESP,1,1689.19897461,2020-01-23,2020-01-24
57,Levante,ESP,1,1680.21398926,2020-01-25,2020-01-25
56,Levante,ESP,1,1680.21398926,2020-01-26,2020-02-01
55,Levante,ESP,1,1680.21398926,2020-02-02,2020-02-02
56,Levante,ESP,1,1678.77856445,2020-02-03,2020-02-05
57,Levante,ESP,1,1678.77856445,2020-02-06,2020-02-08
51,Levante,ESP,1,1686.5144043,2020-02-09,2020-02-09
50,Levante,ESP,1,1686.5144043,2020-02-10,2020-02-15
54,Levante,ESP,1,1681.91564941,2020-02-16,2020-02-18
52,Levante,ESP,1,1684.17407227,2020-02-19,2020-02-19
55,Levante,ESP,1,1679.51086426,2020-02-20,2020-02-20
56,Levante,ESP,1,1679.515625,2020-02-21,2020-02-21
57,Levante,ESP,1,1679.515625,2020-02-22,2020-02-22
49,Levante,ESP,1,1691.21655273,2020-02-23,2020-02-25
48,Levante,ESP,1,1691.16149902,2020-02-26,2020-02-26
50,Levante,ESP,1,1689.37426758,2020-02-27,2020-02-27
50,Levante,ESP,1,1690.38586426,2020-02-28,2020-02-29
57,Levante,ESP,1,1679.47338867,2020-03-01,2020-03-01
58,Levante,ESP,1,1679.47338867,2020-03-02,2020-03-06
57,Levante,ESP,1,1679.47338867,2020-03-07,2020-03-08
57,Levante,ESP,1,1677.1003418,2020-03-09,2020-03-10
56,Levante,ESP,1,1675.52478027,2020-03-11,2020-03-11
52,Levante,ESP,1,1682.30932617,2020-03-12,2020-05-16
51,Levante,ESP,1,1682.30932617,2020-05-17,2020-05-26
50,Levante,ESP,1,1682.30932617,2020-05-27,2020-05-30
51,Levante,ESP,1,1682.30932617,2020-05-31,2020-06-12
50,Levante,ESP,1,1686.89318848,2020-06-13,2020-06-13
49,Levante,ESP,1,1686.89318848,2020-06-14,2020-06-15
49,Levante,ESP,1,1688.23059082,2020-06-16,2020-06-18
50,Levante,ESP,1,1688.23059082,2020-06-19,2020-06-19
49,Levante,ESP,1,1688.23059082,2020-06-20,2020-06-20
44,Levante,ESP,1,1701.06982422,2020-06-21,2020-06-23
45,Levante,ESP,1,1695.93933105,2020-06-24,2020-06-24
46,Levante,ESP,1,1695.93933105,2020-06-25,2020-06-25
47,Levante,ESP,1,1695.93933105,2020-06-26,2020-06-28
43,Levante,ESP,1,1705.07751465,2020-06-29,2020-07-01
44,Levante,ESP,1,1705.5078125,2020-07-02,2020-07-04
