Rank,Club,Country,Level,Elo,From,To
34,Leverkusen,GER,1,1736.99853516,2020-01-06,2020-01-18
35,Leverkusen,GER,1,1736.99853516,2020-01-19,2020-01-19
32,Leverkusen,GER,1,1743.40490723,2020-01-20,2020-01-21
31,Leverkusen,GER,1,1743.40490723,2020-01-22,2020-01-25
32,Leverkusen,GER,1,1743.40490723,2020-01-26,2020-01-26
28,Leverkusen,GER,1,1748.51208496,2020-01-27,2020-02-01
32,Leverkusen,GER,1,1741.04150391,2020-02-02,2020-02-02
31,Leverkusen,GER,1,1741.04150391,2020-02-03,2020-02-05
30,Leverkusen,GER,1,1741.04150391,2020-02-06,2020-02-08
29,Leverkusen,GER,1,1749.75854492,2020-02-09,2020-02-09
28,Leverkusen,GER,1,1749.75854492,2020-02-10,2020-02-15
27,Leverkusen,GER,1,1755.07763672,2020-02-16,2020-02-18
28,Leverkusen,GER,1,1756.54748535,2020-02-19,2020-02-19
26,Leverkusen,GER,1,1759.5378418,2020-02-20,2020-02-20
24,Leverkusen,GER,1,1772.1998291,2020-02-21,2020-02-23
24,Leverkusen,GER,1,1777.00671387,2020-02-24,2020-02-25
24,Leverkusen,GER,1,1780.10717773,2020-02-26,2020-02-27
16,Leverkusen,GER,1,1806.11193848,2020-02-28,2020-02-28
14,Leverkusen,GER,1,1807.640625,2020-02-29,2020-03-01
15,Leverkusen,GER,1,1810.6973877,2020-03-02,2020-03-07
13,Leverkusen,GER,1,1820.88952637,2020-03-08,2020-03-10
13,Leverkusen,GER,1,1824.77038574,2020-03-11,2020-03-11
13,Leverkusen,GER,1,1820.3918457,2020-03-12,2020-03-12
14,Leverkusen,GER,1,1816.16430664,2020-03-13,2020-05-18
13,Leverkusen,GER,1,1823.61340332,2020-05-19,2020-05-23
12,Leverkusen,GER,1,1834.23181152,2020-05-24,2020-05-26
14,Leverkusen,GER,1,1813.31872559,2020-05-27,2020-05-29
14,Leverkusen,GER,1,1817.99328613,2020-05-30,2020-06-06
14,Leverkusen,GER,1,1811.71655273,2020-06-07,2020-06-14
14,Leverkusen,GER,1,1807.953125,2020-06-15,2020-06-17
14,Leverkusen,GER,1,1812.171875,2020-06-18,2020-06-20
18,Leverkusen,GER,1,1796.12768555,2020-06-21,2020-06-24
19,Leverkusen,GER,1,1796.12768555,2020-06-25,2020-06-27
17,Leverkusen,GER,1,1799.99572754,2020-06-28,2020-06-28
18,Leverkusen,GER,1,1799.99572754,2020-06-29,2020-07-01
19,Leverkusen,GER,1,1799.99572754,2020-07-02,2020-07-02
18,Leverkusen,GER,1,1799.99572754,2020-07-03,2020-07-04
17,Leverkusen,GER,1,1799.99572754,2020-07-05,2020-07-05
16,Leverkusen,GER,1,1799.99572754,2020-07-06,2020-07-15
17,Leverkusen,GER,1,1799.99572754,2020-07-16,2020-07-28
18,Leverkusen,GER,1,1799.99572754,2020-07-29,2020-08-05
18,Leverkusen,GER,1,1796.31542969,2020-08-06,2020-08-06
19,Leverkusen,GER,1,1795.70751953,2020-08-07,2020-08-08
19,Leverkusen,GER,1,1796.09448242,2020-08-09,2020-08-10
19,Leverkusen,GER,1,1786.38684082,2020-08-11,2020-08-11
20,Leverkusen,GER,1,1786.38684082,2020-08-12,2020-08-13
18,Leverkusen,GER,1,1789.78808594,2020-08-14,2020-08-14
18,Leverkusen,GER,1,1795.5456543,2020-08-15,2020-08-18
18,Leverkusen,GER,1,1791.71130371,2020-08-19,2020-08-19
18,Leverkusen,GER,1,1792.94775391,2020-08-20,2020-08-23
18,Leverkusen,GER,1,1794.73596191,2020-08-24,2020-09-17
18,Leverkusen,GER,1,1795.58239746,2020-09-18,2020-09-20
18,Leverkusen,GER,1,1794.32666016,2020-09-21,2020-09-24
18,Leverkusen,GER,1,1795.48693848,2020-09-25,2020-09-26
18,Leverkusen,GER,1,1796.1739502,2020-09-27,2020-09-27
19,Leverkusen,GER,1,1796.1739502,2020-09-28,2020-10-01
19,Leverkusen,GER,1,1792.85998535,2020-10-02,2020-10-03
20,Leverkusen,GER,1,1788.30737305,2020-10-04,2020-10-04
19,Leverkusen,GER,1,1788.30737305,2020-10-05,2020-10-17
18,Leverkusen,GER,1,1793.0234375,2020-10-18,2020-10-20
21,Leverkusen,GER,1,1788.9107666,2020-10-21,2020-10-21
19,Leverkusen,GER,1,1792.98132324,2020-10-22,2020-10-22
18,Leverkusen,GER,1,1803.57836914,2020-10-23,2020-10-26
18,Leverkusen,GER,1,1808.27636719,2020-10-27,2020-10-27
