Rank,Club,Country,Level,Elo,From,To
1,Liverpool,ENG,1,2077.15722656,2020-01-03,2020-01-11
1,Liverpool,ENG,1,2080.73095703,2020-01-12,2020-01-19
1,Liverpool,ENG,1,2083.47436523,2020-01-20,2020-01-23
1,Liverpool,ENG,1,2086.02832031,2020-01-24,2020-01-29
1,Liverpool,ENG,1,2088.26196289,2020-01-30,2020-02-01
1,Liverpool,ENG,1,2090.13623047,2020-02-02,2020-02-15
1,Liverpool,ENG,1,2091.03808594,2020-02-16,2020-02-18
1,Liverpool,ENG,1,2081.28295898,2020-02-19,2020-02-19
1,Liverpool,ENG,1,2078.48706055,2020-02-20,2020-02-20
1,Liverpool,ENG,1,2084.23266602,2020-02-21,2020-02-24
1,Liverpool,ENG,1,2085.08764648,2020-02-25,2020-02-25
1,Liverpool,ENG,1,2082.18481445,2020-02-26,2020-02-26
1,Liverpool,ENG,1,2084.0324707,2020-02-27,2020-02-27
1,Liverpool,ENG,1,2082.44335938,2020-02-28,2020-02-29
1,Liverpool,ENG,1,2054.52685547,2020-03-01,2020-03-07
1,Liverpool,ENG,1,2055.33959961,2020-03-08,2020-03-10
1,Liverpool,ENG,1,2051.70996094,2020-03-11,2020-03-11
1,Liverpool,ENG,1,2022.10107422,2020-03-12,2020-03-12
1,Liverpool,ENG,1,2026.43139648,2020-03-13,2020-06-21
1,Liverpool,ENG,1,2020.39367676,2020-06-22,2020-06-24
1,Liverpool,ENG,1,2023.97290039,2020-06-25,2020-07-02
2,Liverpool,ENG,1,2007.7401123,2020-07-03,2020-07-05
2,Liverpool,ENG,1,2008.93481445,2020-07-06,2020-07-08
2,Liverpool,ENG,1,2011.77062988,2020-07-09,2020-07-11
2,Liverpool,ENG,1,2004.41625977,2020-07-12,2020-07-15
2,Liverpool,ENG,1,1992.51635742,2020-07-16,2020-07-22
2,Liverpool,ENG,1,1997.01611328,2020-07-23,2020-07-26
2,Liverpool,ENG,1,2000.66516113,2020-07-27,2020-08-05
2,Liverpool,ENG,1,1999.67541504,2020-08-06,2020-08-06
2,Liverpool,ENG,1,2002.05285645,2020-08-07,2020-08-07
2,Liverpool,ENG,1,2003.2878418,2020-08-08,2020-08-08
2,Liverpool,ENG,1,2002.9239502,2020-08-09,2020-08-10
2,Liverpool,ENG,1,2003.59033203,2020-08-11,2020-08-11
2,Liverpool,ENG,1,2001.27819824,2020-08-12,2020-08-15
2,Liverpool,ENG,1,1994.56091309,2020-08-16,2020-08-16
2,Liverpool,ENG,1,1991.63098145,2020-08-17,2020-09-12
2,Liverpool,ENG,1,1992.72607422,2020-09-13,2020-09-17
2,Liverpool,ENG,1,1993.09631348,2020-09-18,2020-09-20
2,Liverpool,ENG,1,1999.78613281,2020-09-21,2020-09-24
2,Liverpool,ENG,1,2000.12207031,2020-09-25,2020-09-28
2,Liverpool,ENG,1,2004.49035645,2020-09-29,2020-10-01
2,Liverpool,ENG,1,2005.29968262,2020-10-02,2020-10-04
2,Liverpool,ENG,1,1970.78283691,2020-10-05,2020-10-17
2,Liverpool,ENG,1,1965.90368652,2020-10-18,2020-10-20
2,Liverpool,ENG,1,1969.59265137,2020-10-21,2020-10-21
2,Liverpool,ENG,1,1976.64904785,2020-10-22,2020-10-22
2,Liverpool,ENG,1,1980.85180664,2020-10-23,2020-10-24
2,Liverpool,ENG,1,1982.56262207,2020-10-25,2020-10-27
2,Liverpool,ENG,1,1986.07373047,2020-10-28,2020-10-28
2,Liverpool,ENG,1,1993.37561035,2020-10-29,2020-10-29
2,Liverpool,ENG,1,1990.51208496,2020-10-30,2020-10-31
2,Liverpool,ENG,1,1992.72717285,2020-11-01,2020-11-03
2,Liverpool,ENG,1,2008.48999023,2020-11-04,2020-11-04
2,Liverpool,ENG,1,2005.36193848,2020-11-05,2020-11-05
2,Liverpool,ENG,1,2009.21520996,2020-11-06,2020-11-08
2,Liverpool,ENG,1,2009.19702148,2020-11-09,2020-11-22
2,Liverpool,ENG,1,2014.90563965,2020-11-23,2020-11-24
2,Liverpool,ENG,1,2016.95654297,2020-11-25,2020-11-25
2,Liverpool,ENG,1,1991.58642578,2020-11-26,2020-11-26
2,Liverpool,ENG,1,1993.03588867,2020-11-27,2020-11-28
2,Liverpool,ENG,1,1986.2923584,2020-11-29,2020-12-01
2,Liverpool,ENG,1,1988.5793457,2020-12-02,2020-12-02
2,Liverpool,ENG,1,1990.07836914,2020-12-03,2020-12-03
2,Liverpool,ENG,1,1985.58764648,2020-12-04,2020-12-06
2,Liverpool,ENG,1,1992.00830078,2020-12-07,2020-12-08
2,Liverpool,ENG,1,1987.44628906,2020-12-09,2020-12-09
2,Liverpool,ENG,1,1978.44946289,2020-12-10,2020-12-10
2,Liverpool,ENG,1,1980.26416016,2020-12-11,2020-12-13
2,Liverpool,ENG,1,1972.5045166,2020-12-14,2020-12-16
2,Liverpool,ENG,1,1977.1730957,2020-12-17,2020-12-19
2,Liverpool,ENG,1,1984.79907227,2020-12-20,2020-12-27
2,Liverpool,ENG,1,1976.17724609,2020-12-28,2020-12-30
2,Liverpool,ENG,1,1970.00476074,2020-12-31,2021-01-03
3,Liverpool,ENG,1,1970.00476074,2021-01-04,2021-01-04
3,Liverpool,ENG,1,1957.8581543,2021-01-05,2021-01-17
3,Liverpool,ENG,1,1954.84985352,2021-01-18,2021-01-21
3,Liverpool,ENG,1,1940.19458008,2021-01-22,2021-01-28
3,Liverpool,ENG,1,1949.32849121,2021-01-29,2021-01-31
3,Liverpool,ENG,1,1955.2677002,2021-02-01,2021-02-03
3,Liverpool,ENG,1,1940.40539551,2021-02-04,2021-02-07
5,Liverpool,ENG,1,1927.53271484,2021-02-08,2021-02-08
4,Liverpool,ENG,1,1927.53271484,2021-02-09,2021-02-13
5,Liverpool,ENG,1,1912.95080566,2021-02-14,2021-02-16
3,Liverpool,ENG,1,1928.08911133,2021-02-17,2021-02-18
3,Liverpool,ENG,1,1932.38391113,2021-02-19,2021-02-20
3,Liverpool,ENG,1,1914.03173828,2021-02-21,2021-02-23
3,Liverpool,ENG,1,1916.7545166,2021-02-24,2021-02-24
3,Liverpool,ENG,1,1918.27185059,2021-02-25,2021-02-25
3,Liverpool,ENG,1,1912.77612305,2021-02-26,2021-02-27
4,Liverpool,ENG,1,1912.77612305,2021-02-28,2021-02-28
3,Liverpool,ENG,1,1916.53820801,2021-03-01,2021-03-04
4,Liverpool,ENG,1,1906.39257812,2021-03-05,2021-03-07
7,Liverpool,ENG,1,1891.60595703,2021-03-08,2021-03-10
7,Liverpool,ENG,1,1901.62634277,2021-03-11,2021-03-11
7,Liverpool,ENG,1,1905.01672363,2021-03-12,2021-03-13
6,Liverpool,ENG,1,1905.01672363,2021-03-14,2021-03-15
5,Liverpool,ENG,1,1910.42822266,2021-03-16,2021-03-16
6,Liverpool,ENG,1,1910.58044434,2021-03-17,2021-03-17
6,Liverpool,ENG,1,1914.55444336,2021-03-18,2021-03-18
6,Liverpool,ENG,1,1908.83166504,2021-03-19,2021-04-03
6,Liverpool,ENG,1,1921.15148926,2021-04-04,2021-04-06
6,Liverpool,ENG,1,1907.52038574,2021-04-07,2021-04-07
6,Liverpool,ENG,1,1910.77600098,2021-04-08,2021-04-08
6,Liverpool,ENG,1,1911.07653809,2021-04-09,2021-04-10
6,Liverpool,ENG,1,1914.38745117,2021-04-11,2021-04-13
6,Liverpool,ENG,1,1913.47253418,2021-04-14,2021-04-14
6,Liverpool,ENG,1,1909.68078613,2021-04-15,2021-04-15
6,Liverpool,ENG,1,1915.24682617,2021-04-16,2021-04-19
6,Liverpool,ENG,1,1911.06506348,2021-04-20,2021-04-24
6,Liverpool,ENG,1,1905.04064941,2021-04-25,2021-04-27
6,Liverpool,ENG,1,1905.78674316,2021-04-28,2021-04-28
6,Liverpool,ENG,1,1907.12731934,2021-04-29,2021-04-29
6,Liverpool,ENG,1,1907.40539551,2021-04-30,2021-05-04
6,Liverpool,ENG,1,1908.5760498,2021-05-05,2021-05-05
7,Liverpool,ENG,1,1913.34765625,2021-05-06,2021-05-06
7,Liverpool,ENG,1,1910.81323242,2021-05-07,2021-05-08
7,Liverpool,ENG,1,1915.12243652,2021-05-09,2021-05-13
4,Liverpool,ENG,1,1928.49035645,2021-05-14,2021-05-16
5,Liverpool,ENG,1,1930.85375977,2021-05-17,2021-05-18
4,Liverpool,ENG,1,1930.85375977,2021-05-19,2021-05-19
3,Liverpool,ENG,1,1937.44934082,2021-05-20,2021-05-23
3,Liverpool,ENG,1,1941.13513184,2021-05-24,2021-05-26
3,Liverpool,ENG,1,1940.19763184,2021-05-27,2021-08-14
3,Liverpool,ENG,1,1944.61352539,2021-08-15,2021-08-19
3,Liverpool,ENG,1,1943.6619873,2021-08-20,2021-08-21
3,Liverpool,ENG,1,1947.29626465,2021-08-22,2021-08-26
3,Liverpool,ENG,1,1948.56152344,2021-08-27,2021-08-28
3,Liverpool,ENG,1,1947.64782715,2021-08-29,2021-09-12
3,Liverpool,ENG,1,1955.40649414,2021-09-13,2021-09-14
3,Liverpool,ENG,1,1952.08007812,2021-09-15,2021-09-15
3,Liverpool,ENG,1,1957.8067627,2021-09-16,2021-09-16
3,Liverpool,ENG,1,1958.3972168,2021-09-17,2021-09-18
3,Liverpool,ENG,1,1962.58874512,2021-09-19,2021-09-25
3,Liverpool,ENG,1,1956.58312988,2021-09-26,2021-09-28
3,Liverpool,ENG,1,1968.65356445,2021-09-29,2021-09-29
3,Liverpool,ENG,1,1966.96899414,2021-09-30,2021-09-30
3,Liverpool,ENG,1,1963.7565918,2021-10-01,2021-10-03
3,Liverpool,ENG,1,1963.90881348,2021-10-04,2021-10-16
3,Liverpool,ENG,1,1969.42553711,2021-10-17,2021-10-19
3,Liverpool,ENG,1,1981.00585938,2021-10-20,2021-10-20
3,Liverpool,ENG,1,1984.02050781,2021-10-21,2021-10-21
3,Liverpool,ENG,1,1980.66418457,2021-10-22,2021-10-24
3,Liverpool,ENG,1,1996.1673584,2021-10-25,2021-10-30
3,Liverpool,ENG,1,1989.30163574,2021-10-31,2021-11-02
3,Liverpool,ENG,1,1989.61584473,2021-11-03,2021-11-03
3,Liverpool,ENG,1,1997.44592285,2021-11-04,2021-11-04
3,Liverpool,ENG,1,1993.83129883,2021-11-05,2021-11-07
3,Liverpool,ENG,1,1982.67407227,2021-11-08,2021-11-20
3,Liverpool,ENG,1,1991.41174316,2021-11-21,2021-11-23
3,Liverpool,ENG,1,1997.05041504,2021-11-24,2021-11-24
3,Liverpool,ENG,1,2003.67456055,2021-11-25,2021-11-25
3,Liverpool,ENG,1,2000.0345459,2021-11-26,2021-11-27
3,Liverpool,ENG,1,2003.65039062,2021-11-28,2021-12-01
3,Liverpool,ENG,1,2008.91882324,2021-12-02,2021-12-04
3,Liverpool,ENG,1,2012.01452637,2021-12-05,2021-12-07
2,Liverpool,ENG,1,2014.41638184,2021-12-08,2021-12-08
2,Liverpool,ENG,1,2010.52148438,2021-12-09,2021-12-09
2,Liverpool,ENG,1,2004.36584473,2021-12-10,2021-12-11
2,Liverpool,ENG,1,2006.38928223,2021-12-12,2021-12-14
3,Liverpool,ENG,1,2006.38928223,2021-12-15,2021-12-16
2,Liverpool,ENG,1,2008.23413086,2021-12-17,2021-12-19
3,Liverpool,ENG,1,2003.42004395,2021-12-20,2021-12-28
3,Liverpool,ENG,1,1990.65075684,2021-12-29,2022-01-02
3,Liverpool,ENG,1,1990.10266113,2022-01-03,2022-01-16
3,Liverpool,ENG,1,1992.66955566,2022-01-17,2022-01-23
3,Liverpool,ENG,1,1996.65441895,2022-01-24,2022-02-10
3,Liverpool,ENG,1,1999.83862305,2022-02-11,2022-02-12
2,Liverpool,ENG,1,1999.83862305,2022-02-13,2022-02-13
2,Liverpool,ENG,1,2002.28405762,2022-02-14,2022-02-15
2,Liverpool,ENG,1,2003.25048828,2022-02-16,2022-02-16
2,Liverpool,ENG,1,2011.83190918,2022-02-17,2022-02-17
2,Liverpool,ENG,1,2012.26379395,2022-02-18,2022-02-19
2,Liverpool,ENG,1,2013.61999512,2022-02-20,2022-02-22
2,Liverpool,ENG,1,2014.65148926,2022-02-23,2022-02-23
1,Liverpool,ENG,1,2019.17822266,2022-02-24,2022-02-24
1,Liverpool,ENG,1,2019.52270508,2022-02-25,2022-02-26
2,Liverpool,ENG,1,2019.52270508,2022-02-27,2022-03-05
1,Liverpool,ENG,1,2022.27392578,2022-03-06,2022-03-06
2,Liverpool,ENG,1,2022.27392578,2022-03-07,2022-03-08
2,Liverpool,ENG,1,2019.65930176,2022-03-09,2022-03-09
2,Liverpool,ENG,1,2019.94396973,2022-03-10,2022-03-10
2,Liverpool,ENG,1,2020.8425293,2022-03-11,2022-03-12
2,Liverpool,ENG,1,2024.37402344,2022-03-13,2022-03-14
1,Liverpool,ENG,1,2024.37402344,2022-03-15,2022-03-15
1,Liverpool,ENG,1,2020.30993652,2022-03-16,2022-03-16
1,Liverpool,ENG,1,2028.94946289,2022-03-17,2022-03-17
1,Liverpool,ENG,1,2033.88061523,2022-03-18,2022-04-02
1,Liverpool,ENG,1,2035.1953125,2022-04-03,2022-04-05
1,Liverpool,ENG,1,2038.35620117,2022-04-06,2022-04-06
1,Liverpool,ENG,1,2035.01696777,2022-04-07,2022-04-07
1,Liverpool,ENG,1,2033.44763184,2022-04-08,2022-04-10
1,Liverpool,ENG,1,2034.37805176,2022-04-11,2022-04-12
1,Liverpool,ENG,1,2034.8939209,2022-04-13,2022-04-13
1,Liverpool,ENG,1,2036.35803223,2022-04-14,2022-04-14
1,Liverpool,ENG,1,2044.28393555,2022-04-15,2022-04-19
1,Liverpool,ENG,1,2050.44433594,2022-04-20,2022-04-24
1,Liverpool,ENG,1,2052.19262695,2022-04-25,2022-04-26
1,Liverpool,ENG,1,2053.04882812,2022-04-27,2022-04-27
1,Liverpool,ENG,1,2056.28662109,2022-04-28,2022-04-28
1,Liverpool,ENG,1,2052.93139648,2022-04-29,2022-04-30
1,Liverpool,ENG,1,2055.50561523,2022-05-01,2022-05-03
1,Liverpool,ENG,1,2058.1015625,2022-05-04,2022-05-04
1,Liverpool,ENG,1,2053.31469727,2022-05-05,2022-05-05
1,Liverpool,ENG,1,2047.53295898,2022-05-06,2022-05-07
1,Liverpool,ENG,1,2041.42504883,2022-05-08,2022-05-10
1,Liverpool,ENG,1,2044.1673584,2022-05-11,2022-05-17
1,Liverpool,ENG,1,2045.98120117,2022-05-18,2022-05-22
1,Liverpool,ENG,1,2048.15380859,2022-05-23,2022-05-28
1,Liverpool,ENG,1,2035.03369141,2022-05-29,2022-08-06
1,Liverpool,ENG,1,2027.35693359,2022-08-07,2022-08-07
2,Liverpool,ENG,1,2027.35693359,2022-08-08,2022-08-15
2,Liverpool,ENG,1,2019.88244629,2022-08-16,2022-08-18
2,Liverpool,ENG,1,2020.15039062,2022-08-19,2022-08-22
2,Liverpool,ENG,1,2007.59814453,2022-08-23,2022-08-25
2,Liverpool,ENG,1,2008.0645752,2022-08-26,2022-08-27
2,Liverpool,ENG,1,2011.04870605,2022-08-28,2022-08-31
2,Liverpool,ENG,1,2013.15661621,2022-09-01,2022-09-03
2,Liverpool,ENG,1,2006.72033691,2022-09-04,2022-09-06
2,Liverpool,ENG,1,2005.57043457,2022-09-07,2022-09-07
3,Liverpool,ENG,1,1981.29785156,2022-09-08,2022-09-08
3,Liverpool,ENG,1,1979.06591797,2022-09-09,2022-09-13
3,Liverpool,ENG,1,1980.77233887,2022-09-14,2022-09-14
