Rank,Club,Country,Level,Elo,From,To
None,Lorient,FRA,2,1488.9699707,2020-01-14,2020-01-24
None,Lorient,FRA,2,1493.66101074,2020-01-25,2020-02-01
None,Lorient,FRA,2,1505.89123535,2020-02-02,2020-02-04
None,Lorient,FRA,2,1509.45458984,2020-02-05,2020-02-08
None,Lorient,FRA,2,1501.15527344,2020-02-09,2020-02-15
None,Lorient,FRA,2,1490.23181152,2020-02-16,2020-02-18
None,Lorient,FRA,2,1488.60534668,2020-02-19,2020-02-21
None,Lorient,FRA,2,1493.70581055,2020-02-22,2020-02-26
None,Lorient,FRA,2,1496.30444336,2020-02-27,2020-02-29
None,Lorient,FRA,2,1483.22583008,2020-03-01,2020-03-07
None,Lorient,FRA,2,1475.00012207,2020-03-08,2020-03-11
None,Lorient,FRA,2,1479.94714355,2020-03-12,2020-07-01
None,Lorient,FRA,1,1479.94714355,2020-07-02,2020-08-07
None,Lorient,FRA,1,1482.63146973,2020-08-08,2020-08-12
None,Lorient,FRA,1,1484.97460938,2020-08-13,2020-08-15
None,Lorient,FRA,1,1493.18200684,2020-08-16,2020-08-18
None,Lorient,FRA,1,1497.58679199,2020-08-19,2020-08-19
None,Lorient,FRA,1,1496.16772461,2020-08-20,2020-08-23
None,Lorient,FRA,1,1507.43286133,2020-08-24,2020-08-30
None,Lorient,FRA,1,1499.97583008,2020-08-31,2020-09-13
None,Lorient,FRA,1,1490.75842285,2020-09-14,2020-09-17
None,Lorient,FRA,1,1493.21118164,2020-09-18,2020-09-20
None,Lorient,FRA,1,1487.74645996,2020-09-21,2020-09-24
None,Lorient,FRA,1,1486.57568359,2020-09-25,2020-09-27
None,Lorient,FRA,1,1491.48803711,2020-09-28,2020-10-04
None,Lorient,FRA,1,1484.66845703,2020-10-05,2020-10-17
None,Lorient,FRA,1,1502.34191895,2020-10-18,2020-10-20
None,Lorient,FRA,1,1495.97131348,2020-10-21,2020-10-21
None,Lorient,FRA,1,1493.71716309,2020-10-22,2020-10-22
None,Lorient,FRA,1,1494.73303223,2020-10-23,2020-10-24
None,Lorient,FRA,1,1490.10205078,2020-10-25,2020-10-27
None,Lorient,FRA,1,1487.82751465,2020-10-28,2020-10-28
