Rank,Club,Country,Level,Elo,From,To
47,Lyon,FRA,1,1693.90649414,2020-01-02,2020-01-05
46,Lyon,FRA,1,1693.90649414,2020-01-06,2020-01-10
47,Lyon,FRA,1,1693.90649414,2020-01-11,2020-01-11
37,Lyon,FRA,1,1700.54321289,2020-01-12,2020-01-12
38,Lyon,FRA,1,1700.54321289,2020-01-13,2020-01-17
39,Lyon,FRA,1,1700.54321289,2020-01-18,2020-01-18
40,Lyon,FRA,1,1700.54321289,2020-01-19,2020-01-19
41,Lyon,FRA,1,1700.54321289,2020-01-20,2020-01-21
42,Lyon,FRA,1,1700.54321289,2020-01-22,2020-01-25
43,Lyon,FRA,1,1700.54321289,2020-01-26,2020-01-26
42,Lyon,FRA,1,1703.59924316,2020-01-27,2020-02-01
43,Lyon,FRA,1,1703.59924316,2020-02-02,2020-02-02
50,Lyon,FRA,1,1694.14794922,2020-02-03,2020-02-05
50,Lyon,FRA,1,1687.5177002,2020-02-06,2020-02-09
54,Lyon,FRA,1,1683.8614502,2020-02-10,2020-02-15
52,Lyon,FRA,1,1683.8614502,2020-02-16,2020-02-16
56,Lyon,FRA,1,1679.78283691,2020-02-17,2020-02-18
59,Lyon,FRA,1,1678.15649414,2020-02-19,2020-02-19
57,Lyon,FRA,1,1678.15649414,2020-02-20,2020-02-21
53,Lyon,FRA,1,1686.2010498,2020-02-22,2020-02-22
52,Lyon,FRA,1,1686.2010498,2020-02-23,2020-02-23
53,Lyon,FRA,1,1686.2010498,2020-02-24,2020-02-26
47,Lyon,FRA,1,1695.76293945,2020-02-27,2020-02-27
46,Lyon,FRA,1,1695.76293945,2020-02-28,2020-02-29
43,Lyon,FRA,1,1695.76293945,2020-03-01,2020-03-01
43,Lyon,FRA,1,1700.96435547,2020-03-02,2020-03-08
48,Lyon,FRA,1,1692.90283203,2020-03-09,2020-03-09
47,Lyon,FRA,1,1692.90283203,2020-03-10,2020-03-10
48,Lyon,FRA,1,1692.90283203,2020-03-11,2020-03-11
45,Lyon,FRA,1,1697.84985352,2020-03-12,2020-03-12
44,Lyon,FRA,1,1697.84985352,2020-03-13,2020-05-16
43,Lyon,FRA,1,1697.84985352,2020-05-17,2020-05-30
44,Lyon,FRA,1,1697.84985352,2020-05-31,2020-06-03
45,Lyon,FRA,1,1697.84985352,2020-06-04,2020-06-06
43,Lyon,FRA,1,1697.84985352,2020-06-07,2020-06-12
42,Lyon,FRA,1,1697.84985352,2020-06-13,2020-06-13
43,Lyon,FRA,1,1697.84985352,2020-06-14,2020-06-17
44,Lyon,FRA,1,1697.84985352,2020-06-18,2020-06-20
45,Lyon,FRA,1,1697.84985352,2020-06-21,2020-06-23
44,Lyon,FRA,1,1697.84985352,2020-06-24,2020-06-24
45,Lyon,FRA,1,1697.84985352,2020-06-25,2020-06-25
46,Lyon,FRA,1,1697.84985352,2020-06-26,2020-06-30
45,Lyon,FRA,1,1697.84985352,2020-07-01,2020-07-02
46,Lyon,FRA,1,1697.84985352,2020-07-03,2020-07-04
47,Lyon,FRA,1,1697.84985352,2020-07-05,2020-07-05
48,Lyon,FRA,1,1697.84985352,2020-07-06,2020-07-09
47,Lyon,FRA,1,1697.84985352,2020-07-10,2020-07-10
48,Lyon,FRA,1,1697.84985352,2020-07-11,2020-07-12
47,Lyon,FRA,1,1697.84985352,2020-07-13,2020-07-13
