Rank,Club,Country,Level,Elo,From,To
81,Mainz,GER,1,1635.79016113,2020-01-13,2020-01-18
87,Mainz,GER,1,1626.57287598,2020-01-19,2020-01-19
86,Mainz,GER,1,1626.57287598,2020-01-20,2020-01-21
87,Mainz,GER,1,1626.57287598,2020-01-22,2020-01-25
88,Mainz,GER,1,1620.18237305,2020-01-26,2020-02-01
89,Mainz,GER,1,1616.96508789,2020-02-02,2020-02-07
88,Mainz,GER,1,1616.96508789,2020-02-08,2020-02-08
79,Mainz,GER,1,1631.04943848,2020-02-09,2020-02-15
77,Mainz,GER,1,1631.04943848,2020-02-16,2020-02-16
77,Mainz,GER,1,1631.33435059,2020-02-17,2020-02-18
77,Mainz,GER,1,1632.80419922,2020-02-19,2020-02-19
77,Mainz,GER,1,1635.79467773,2020-02-20,2020-02-20
74,Mainz,GER,1,1643.90356445,2020-02-21,2020-02-23
77,Mainz,GER,1,1632.88098145,2020-02-24,2020-02-25
76,Mainz,GER,1,1635.98144531,2020-02-26,2020-02-26
78,Mainz,GER,1,1635.98144531,2020-02-27,2020-02-27
69,Mainz,GER,1,1645.1619873,2020-02-28,2020-02-28
67,Mainz,GER,1,1646.69067383,2020-02-29,2020-02-29
64,Mainz,GER,1,1652.4699707,2020-03-01,2020-03-08
64,Mainz,GER,1,1649.80627441,2020-03-09,2020-03-10
64,Mainz,GER,1,1653.68701172,2020-03-11,2020-03-11
65,Mainz,GER,1,1649.30847168,2020-03-12,2020-03-12
73,Mainz,GER,1,1640.68347168,2020-03-13,2020-05-16
74,Mainz,GER,1,1640.68347168,2020-05-17,2020-05-17
72,Mainz,GER,1,1642.35205078,2020-05-18,2020-05-22
73,Mainz,GER,1,1642.35205078,2020-05-23,2020-05-23
72,Mainz,GER,1,1642.35205078,2020-05-24,2020-05-24
78,Mainz,GER,1,1633.55981445,2020-05-25,2020-05-26
79,Mainz,GER,1,1633.55981445,2020-05-27,2020-05-27
79,Mainz,GER,1,1633.5567627,2020-05-28,2020-05-30
82,Mainz,GER,1,1626.22692871,2020-05-31,2020-06-03
81,Mainz,GER,1,1626.22692871,2020-06-04,2020-06-05
80,Mainz,GER,1,1626.22692871,2020-06-06,2020-06-06
72,Mainz,GER,1,1641.61914062,2020-06-07,2020-06-14
78,Mainz,GER,1,1632.13330078,2020-06-15,2020-06-17
65,Mainz,GER,1,1652.16467285,2020-06-18,2020-06-20
62,Mainz,GER,1,1661.1986084,2020-06-21,2020-06-21
61,Mainz,GER,1,1661.1986084,2020-06-22,2020-06-24
63,Mainz,GER,1,1661.1986084,2020-06-25,2020-06-27
64,Mainz,GER,1,1657.33044434,2020-06-28,2020-06-28
63,Mainz,GER,1,1657.33044434,2020-06-29,2020-07-01
62,Mainz,GER,1,1657.33044434,2020-07-02,2020-07-04
63,Mainz,GER,1,1657.33044434,2020-07-05,2020-07-07
62,Mainz,GER,1,1657.33044434,2020-07-08,2020-07-08
61,Mainz,GER,1,1657.33044434,2020-07-09,2020-07-12
60,Mainz,GER,1,1657.33044434,2020-07-13,2020-07-16
61,Mainz,GER,1,1657.33044434,2020-07-17,2020-07-18
62,Mainz,GER,1,1657.33044434,2020-07-19,2020-07-22
63,Mainz,GER,1,1657.33044434,2020-07-23,2020-07-31
62,Mainz,GER,1,1657.33044434,2020-08-01,2020-08-05
63,Mainz,GER,1,1653.65014648,2020-08-06,2020-08-06
65,Mainz,GER,1,1651.93933105,2020-08-07,2020-08-07
66,Mainz,GER,1,1651.93933105,2020-08-08,2020-08-08
65,Mainz,GER,1,1652.32629395,2020-08-09,2020-08-10
66,Mainz,GER,1,1649.81323242,2020-08-11,2020-08-11
65,Mainz,GER,1,1649.81323242,2020-08-12,2020-08-13
65,Mainz,GER,1,1653.21459961,2020-08-14,2020-08-14
62,Mainz,GER,1,1658.9720459,2020-08-15,2020-08-18
62,Mainz,GER,1,1655.13781738,2020-08-19,2020-08-19
62,Mainz,GER,1,1656.37414551,2020-08-20,2020-08-23
62,Mainz,GER,1,1658.16247559,2020-08-24,2020-09-12
63,Mainz,GER,1,1658.16247559,2020-09-13,2020-09-16
61,Mainz,GER,1,1658.16247559,2020-09-17,2020-09-17
61,Mainz,GER,1,1659.00891113,2020-09-18,2020-09-19
62,Mainz,GER,1,1659.00891113,2020-09-20,2020-09-20
65,Mainz,GER,1,1654.74731445,2020-09-21,2020-09-24
64,Mainz,GER,1,1655.90759277,2020-09-25,2020-09-26
74,Mainz,GER,1,1636.85754395,2020-09-27,2020-09-27
77,Mainz,GER,1,1636.85754395,2020-09-28,2020-09-28
78,Mainz,GER,1,1636.85754395,2020-09-29,2020-09-29
79,Mainz,GER,1,1636.85754395,2020-09-30,2020-09-30
78,Mainz,GER,1,1636.85754395,2020-10-01,2020-10-01
81,Mainz,GER,1,1633.5435791,2020-10-02,2020-10-02
86,Mainz,GER,1,1617.44604492,2020-10-03,2020-10-11
87,Mainz,GER,1,1617.44604492,2020-10-12,2020-10-17
90,Mainz,GER,1,1612.72998047,2020-10-18,2020-10-20
91,Mainz,GER,1,1608.6171875,2020-10-21,2020-10-21
89,Mainz,GER,1,1612.68774414,2020-10-22,2020-10-22
87,Mainz,GER,1,1617.00805664,2020-10-23,2020-10-24
89,Mainz,GER,1,1611.69702148,2020-10-25,2020-10-25
88,Mainz,GER,1,1611.69702148,2020-10-26,2020-10-26
90,Mainz,GER,1,1611.69702148,2020-10-27,2020-10-27
89,Mainz,GER,1,1612.97460938,2020-10-28,2020-10-28
93,Mainz,GER,1,1609.40649414,2020-10-29,2020-10-29
92,Mainz,GER,1,1607.66918945,2020-10-30,2020-10-30
93,Mainz,GER,1,1607.66918945,2020-10-31,2020-10-31
99,Mainz,GER,1,1598.93041992,2020-11-01,2020-11-01
100,Mainz,GER,1,1598.93041992,2020-11-02,2020-11-02
99,Mainz,GER,1,1598.93041992,2020-11-03,2020-11-03
95,Mainz,GER,1,1609.13317871,2020-11-04,2020-11-04
92,Mainz,GER,1,1614.5925293,2020-11-05,2020-11-05
91,Mainz,GER,1,1616.48400879,2020-11-06,2020-11-07
91,Mainz,GER,1,1614.92407227,2020-11-08,2020-11-08
93,Mainz,GER,1,1614.92407227,2020-11-09,2020-11-22
84,Mainz,GER,1,1629.54101562,2020-11-23,2020-11-24
85,Mainz,GER,1,1628.87792969,2020-11-25,2020-11-25
83,Mainz,GER,1,1632.7253418,2020-11-26,2020-11-26
84,Mainz,GER,1,1634.33874512,2020-11-27,2020-11-29
84,Mainz,GER,1,1636.80505371,2020-11-30,2020-12-01
85,Mainz,GER,1,1632.8223877,2020-12-02,2020-12-02
85,Mainz,GER,1,1632.09753418,2020-12-03,2020-12-03
84,Mainz,GER,1,1633.06481934,2020-12-04,2020-12-05
89,Mainz,GER,1,1624.96899414,2020-12-06,2020-12-07
88,Mainz,GER,1,1624.96899414,2020-12-08,2020-12-08
85,Mainz,GER,1,1628.53234863,2020-12-09,2020-12-09
86,Mainz,GER,1,1626.38122559,2020-12-10,2020-12-10
85,Mainz,GER,1,1629.51379395,2020-12-11,2020-12-12
88,Mainz,GER,1,1620.72814941,2020-12-13,2020-12-13
87,Mainz,GER,1,1620.72814941,2020-12-14,2020-12-15
86,Mainz,GER,1,1623.55310059,2020-12-16,2020-12-19
89,Mainz,GER,1,1615.48278809,2020-12-20,2020-12-20
90,Mainz,GER,1,1615.48278809,2020-12-21,2020-12-23
89,Mainz,GER,1,1615.48278809,2020-12-24,2020-12-26
90,Mainz,GER,1,1615.48278809,2020-12-27,2021-01-02
89,Mainz,GER,1,1615.48278809,2021-01-03,2021-01-03
89,Mainz,GER,1,1614.20080566,2021-01-04,2021-01-06
90,Mainz,GER,1,1614.20080566,2021-01-07,2021-01-09
93,Mainz,GER,1,1606.75634766,2021-01-10,2021-01-10
94,Mainz,GER,1,1606.75634766,2021-01-11,2021-01-11
93,Mainz,GER,1,1606.75634766,2021-01-12,2021-01-13
94,Mainz,GER,1,1606.75634766,2021-01-14,2021-01-16
93,Mainz,GER,1,1613.4005127,2021-01-17,2021-01-19
95,Mainz,GER,1,1606.11181641,2021-01-20,2021-01-23
89,Mainz,GER,1,1619.88269043,2021-01-24,2021-01-24
88,Mainz,GER,1,1619.88269043,2021-01-25,2021-01-27
89,Mainz,GER,1,1619.88269043,2021-01-28,2021-01-29
93,Mainz,GER,1,1611.12426758,2021-01-30,2021-01-31
92,Mainz,GER,1,1611.12426758,2021-02-01,2021-02-06
89,Mainz,GER,1,1620.43249512,2021-02-07,2021-02-07
88,Mainz,GER,1,1620.43249512,2021-02-08,2021-02-13
83,Mainz,GER,1,1626.53808594,2021-02-14,2021-02-14
85,Mainz,GER,1,1626.53808594,2021-02-15,2021-02-15
84,Mainz,GER,1,1626.53808594,2021-02-16,2021-02-16
88,Mainz,GER,1,1622.66918945,2021-02-17,2021-02-17
87,Mainz,GER,1,1626.22229004,2021-02-18,2021-02-18
88,Mainz,GER,1,1624.67175293,2021-02-19,2021-02-19
89,Mainz,GER,1,1624.67175293,2021-02-20,2021-02-20
78,Mainz,GER,1,1637.7565918,2021-02-21,2021-02-23
77,Mainz,GER,1,1638.87329102,2021-02-24,2021-02-24
78,Mainz,GER,1,1637.71704102,2021-02-25,2021-02-25
85,Mainz,GER,1,1620.33129883,2021-02-26,2021-02-27
86,Mainz,GER,1,1620.33129883,2021-02-28,2021-02-28
91,Mainz,GER,1,1610.8494873,2021-03-01,2021-03-05
91,Mainz,GER,1,1610.16003418,2021-03-06,2021-03-07
90,Mainz,GER,1,1610.16003418,2021-03-08,2021-03-09
90,Mainz,GER,1,1610.7010498,2021-03-10,2021-03-10
91,Mainz,GER,1,1608.16625977,2021-03-11,2021-03-12
92,Mainz,GER,1,1608.16625977,2021-03-13,2021-03-13
90,Mainz,GER,1,1617.47460938,2021-03-14,2021-03-14
89,Mainz,GER,1,1617.47460938,2021-03-15,2021-03-16
89,Mainz,GER,1,1617.31188965,2021-03-17,2021-03-17
89,Mainz,GER,1,1617.32299805,2021-03-18,2021-03-18
88,Mainz,GER,1,1617.32299805,2021-03-19,2021-03-21
81,Mainz,GER,1,1628.19555664,2021-03-22,2021-03-29
80,Mainz,GER,1,1628.19555664,2021-03-30,2021-04-03
83,Mainz,GER,1,1625.70471191,2021-04-04,2021-04-04
82,Mainz,GER,1,1625.70471191,2021-04-05,2021-04-06
82,Mainz,GER,1,1625.52453613,2021-04-07,2021-04-07
83,Mainz,GER,1,1621.55969238,2021-04-08,2021-04-08
84,Mainz,GER,1,1621.55969238,2021-04-09,2021-04-10
85,Mainz,GER,1,1621.55969238,2021-04-11,2021-04-11
80,Mainz,GER,1,1629.94396973,2021-04-12,2021-04-13
80,Mainz,GER,1,1629.72424316,2021-04-14,2021-04-14
80,Mainz,GER,1,1628.68139648,2021-04-15,2021-04-15
82,Mainz,GER,1,1628.68139648,2021-04-16,2021-04-18
81,Mainz,GER,1,1628.68139648,2021-04-19,2021-04-21
77,Mainz,GER,1,1637.74450684,2021-04-22,2021-04-23
78,Mainz,GER,1,1637.74450684,2021-04-24,2021-04-24
72,Mainz,GER,1,1652.91992188,2021-04-25,2021-05-01
73,Mainz,GER,1,1652.91992188,2021-05-02,2021-05-02
72,Mainz,GER,1,1652.91992188,2021-05-03,2021-05-03
73,Mainz,GER,1,1650.89648438,2021-05-04,2021-05-05
74,Mainz,GER,1,1650.89648438,2021-05-06,2021-05-06
73,Mainz,GER,1,1650.89648438,2021-05-07,2021-05-07
72,Mainz,GER,1,1650.89648438,2021-05-08,2021-05-08
73,Mainz,GER,1,1650.89648438,2021-05-09,2021-05-09
71,Mainz,GER,1,1655.39807129,2021-05-10,2021-05-14
70,Mainz,GER,1,1655.39807129,2021-05-15,2021-05-15
71,Mainz,GER,1,1655.39807129,2021-05-16,2021-05-16
75,Mainz,GER,1,1648.67248535,2021-05-17,2021-05-17
74,Mainz,GER,1,1648.67248535,2021-05-18,2021-05-22
