Rank,Club,Country,Level,Elo,From,To
2,Man City,ENG,1,2003.45373535,2020-01-02,2020-01-12
2,Man City,ENG,1,2007.31616211,2020-01-13,2020-01-18
2,Man City,ENG,1,2000.07128906,2020-01-19,2020-01-21
2,Man City,ENG,1,2002.82019043,2020-01-22,2020-02-02
2,Man City,ENG,1,1986.92626953,2020-02-03,2020-02-18
2,Man City,ENG,1,1984.5892334,2020-02-19,2020-02-19
2,Man City,ENG,1,1983.98693848,2020-02-20,2020-02-20
2,Man City,ENG,1,1989.73254395,2020-02-21,2020-02-22
2,Man City,ENG,1,1994.59643555,2020-02-23,2020-02-25
2,Man City,ENG,1,1991.69372559,2020-02-26,2020-02-26
2,Man City,ENG,1,1999.46948242,2020-02-27,2020-02-27
2,Man City,ENG,1,1997.88037109,2020-02-28,2020-03-08
3,Man City,ENG,1,1982.09875488,2020-03-09,2020-03-10
3,Man City,ENG,1,1978.46911621,2020-03-11,2020-03-11
3,Man City,ENG,1,1971.46057129,2020-03-12,2020-03-12
3,Man City,ENG,1,1975.79089355,2020-03-13,2020-06-17
3,Man City,ENG,1,1980.99365234,2020-06-18,2020-06-22
3,Man City,ENG,1,1985.20812988,2020-06-23,2020-06-25
3,Man City,ENG,1,1974.56164551,2020-06-26,2020-07-02
3,Man City,ENG,1,1990.79443359,2020-07-03,2020-07-05
3,Man City,ENG,1,1976.93554688,2020-07-06,2020-07-08
3,Man City,ENG,1,1981.33776855,2020-07-09,2020-07-11
3,Man City,ENG,1,1986.37036133,2020-07-12,2020-07-15
3,Man City,ENG,1,1987.5020752,2020-07-16,2020-07-21
3,Man City,ENG,1,1992.10949707,2020-07-22,2020-07-26
3,Man City,ENG,1,1993.57592773,2020-07-27,2020-08-05
3,Man City,ENG,1,1992.58618164,2020-08-06,2020-08-06
3,Man City,ENG,1,1994.96362305,2020-08-07,2020-08-07
3,Man City,ENG,1,1999.94335938,2020-08-08,2020-08-08
3,Man City,ENG,1,1999.57958984,2020-08-09,2020-08-10
3,Man City,ENG,1,2000.24584961,2020-08-11,2020-08-11
3,Man City,ENG,1,1997.93371582,2020-08-12,2020-08-15
3,Man City,ENG,1,1970.70898438,2020-08-16,2020-08-16
3,Man City,ENG,1,1967.77905273,2020-08-17,2020-09-17
3,Man City,ENG,1,1968.14929199,2020-09-18,2020-09-21
3,Man City,ENG,1,1974.61437988,2020-09-22,2020-09-24
3,Man City,ENG,1,1974.95031738,2020-09-25,2020-09-27
4,Man City,ENG,1,1951.97924805,2020-09-28,2020-10-01
4,Man City,ENG,1,1952.78857422,2020-10-02,2020-10-03
4,Man City,ENG,1,1946.1237793,2020-10-04,2020-10-17
4,Man City,ENG,1,1950.08044434,2020-10-18,2020-10-20
4,Man City,ENG,1,1953.76940918,2020-10-21,2020-10-21
3,Man City,ENG,1,1959.41137695,2020-10-22,2020-10-22
3,Man City,ENG,1,1963.61413574,2020-10-23,2020-10-24
3,Man City,ENG,1,1958.16674805,2020-10-25,2020-10-27
3,Man City,ENG,1,1966.17443848,2020-10-28,2020-10-28
3,Man City,ENG,1,1973.47631836,2020-10-29,2020-10-29
3,Man City,ENG,1,1970.61279297,2020-10-30,2020-10-31
3,Man City,ENG,1,1973.0925293,2020-11-01,2020-11-03
3,Man City,ENG,1,1981.06359863,2020-11-04,2020-11-04
3,Man City,ENG,1,1977.93554688,2020-11-05,2020-11-05
3,Man City,ENG,1,1981.78881836,2020-11-06,2020-11-08
3,Man City,ENG,1,1981.80700684,2020-11-09,2020-11-21
3,Man City,ENG,1,1967.09423828,2020-11-22,2020-11-24
3,Man City,ENG,1,1969.1451416,2020-11-25,2020-11-25
3,Man City,ENG,1,1967.80627441,2020-11-26,2020-11-26
3,Man City,ENG,1,1969.2557373,2020-11-27,2020-11-28
3,Man City,ENG,1,1974.16455078,2020-11-29,2020-12-01
3,Man City,ENG,1,1969.69726562,2020-12-02,2020-12-02
3,Man City,ENG,1,1971.19628906,2020-12-03,2020-12-03
3,Man City,ENG,1,1966.70556641,2020-12-04,2020-12-05
3,Man City,ENG,1,1968.34301758,2020-12-06,2020-12-08
3,Man City,ENG,1,1963.78100586,2020-12-09,2020-12-09
3,Man City,ENG,1,1965.3951416,2020-12-10,2020-12-10
3,Man City,ENG,1,1967.20983887,2020-12-11,2020-12-12
3,Man City,ENG,1,1964.96386719,2020-12-13,2020-12-15
3,Man City,ENG,1,1956.57165527,2020-12-16,2020-12-19
3,Man City,ENG,1,1960.92919922,2020-12-20,2020-12-26
3,Man City,ENG,1,1963.74841309,2020-12-27,2021-01-03
2,Man City,ENG,1,1972.24780273,2021-01-04,2021-01-13
2,Man City,ENG,1,1973.8737793,2021-01-14,2021-01-17
2,Man City,ENG,1,1977.91381836,2021-01-18,2021-01-20
2,Man City,ENG,1,1980.89001465,2021-01-21,2021-01-26
2,Man City,ENG,1,1983.7286377,2021-01-27,2021-01-30
2,Man City,ENG,1,1985.08862305,2021-01-31,2021-02-03
2,Man City,ENG,1,1989.19555664,2021-02-04,2021-02-07
2,Man City,ENG,1,2002.06835938,2021-02-08,2021-02-13
2,Man City,ENG,1,2008.04406738,2021-02-14,2021-02-16
2,Man City,ENG,1,2011.69641113,2021-02-17,2021-02-17
2,Man City,ENG,1,2015.77050781,2021-02-18,2021-02-18
2,Man City,ENG,1,2020.06530762,2021-02-19,2021-02-21
2,Man City,ENG,1,2023.92041016,2021-02-22,2021-02-23
2,Man City,ENG,1,2026.64318848,2021-02-24,2021-02-24
2,Man City,ENG,1,2031.62780762,2021-02-25,2021-02-25
1,Man City,ENG,1,2026.13208008,2021-02-26,2021-02-27
1,Man City,ENG,1,2028.56567383,2021-02-28,2021-03-02
1,Man City,ENG,1,2032.42138672,2021-03-03,2021-03-07
2,Man City,ENG,1,2015.33532715,2021-03-08,2021-03-10
1,Man City,ENG,1,2020.75964355,2021-03-11,2021-03-11
1,Man City,ENG,1,2024.15002441,2021-03-12,2021-03-13
1,Man City,ENG,1,2027.14953613,2021-03-14,2021-03-16
1,Man City,ENG,1,2027.79174805,2021-03-17,2021-03-17
1,Man City,ENG,1,2031.76574707,2021-03-18,2021-03-18
1,Man City,ENG,1,2026.04296875,2021-03-19,2021-04-03
1,Man City,ENG,1,2031.45117188,2021-04-04,2021-04-06
1,Man City,ENG,1,2028.89599609,2021-04-07,2021-04-07
1,Man City,ENG,1,2032.1517334,2021-04-08,2021-04-08
1,Man City,ENG,1,2032.45214844,2021-04-09,2021-04-10
1,Man City,ENG,1,2016.97290039,2021-04-11,2021-04-13
1,Man City,ENG,1,2016.0579834,2021-04-14,2021-04-14
1,Man City,ENG,1,2019.04174805,2021-04-15,2021-04-15
1,Man City,ENG,1,2024.60778809,2021-04-16,2021-04-21
1,Man City,ENG,1,2027.01306152,2021-04-22,2021-04-27
1,Man City,ENG,1,2027.75915527,2021-04-28,2021-04-28
1,Man City,ENG,1,2033.48522949,2021-04-29,2021-04-29
1,Man City,ENG,1,2033.76318359,2021-04-30,2021-05-01
1,Man City,ENG,1,2036.42236328,2021-05-02,2021-05-04
1,Man City,ENG,1,2041.43811035,2021-05-05,2021-05-05
1,Man City,ENG,1,2046.2097168,2021-05-06,2021-05-06
1,Man City,ENG,1,2043.67529297,2021-05-07,2021-05-08
1,Man City,ENG,1,2031.85351562,2021-05-09,2021-05-14
1,Man City,ENG,1,2033.8984375,2021-05-15,2021-05-18
1,Man City,ENG,1,2018.89868164,2021-05-19,2021-05-23
1,Man City,ENG,1,2024.67431641,2021-05-24,2021-05-26
1,Man City,ENG,1,2023.73681641,2021-05-27,2021-05-29
1,Man City,ENG,1,2012.76818848,2021-05-30,2021-08-15
1,Man City,ENG,1,2000.86547852,2021-08-16,2021-08-19
1,Man City,ENG,1,1999.91394043,2021-08-20,2021-08-21
1,Man City,ENG,1,2003.06005859,2021-08-22,2021-08-26
1,Man City,ENG,1,2004.32531738,2021-08-27,2021-08-28
1,Man City,ENG,1,2012.69165039,2021-08-29,2021-09-11
1,Man City,ENG,1,2016.2989502,2021-09-12,2021-09-14
2,Man City,ENG,1,2012.97241211,2021-09-15,2021-09-15
1,Man City,ENG,1,2019.07666016,2021-09-16,2021-09-16
1,Man City,ENG,1,2019.66699219,2021-09-17,2021-09-18
2,Man City,ENG,1,2012.0925293,2021-09-19,2021-09-25
1,Man City,ENG,1,2019.2779541,2021-09-26,2021-09-28
2,Man City,ENG,1,2006.26574707,2021-09-29,2021-09-29
2,Man City,ENG,1,2004.58117676,2021-09-30,2021-09-30
2,Man City,ENG,1,2001.36889648,2021-10-01,2021-10-03
2,Man City,ENG,1,2001.21655273,2021-10-04,2021-10-16
2,Man City,ENG,1,2003.45397949,2021-10-17,2021-10-19
1,Man City,ENG,1,2011.44897461,2021-10-20,2021-10-20
2,Man City,ENG,1,2014.46374512,2021-10-21,2021-10-21
2,Man City,ENG,1,2011.1072998,2021-10-22,2021-10-23
2,Man City,ENG,1,2016.25939941,2021-10-24,2021-10-30
2,Man City,ENG,1,1994.30969238,2021-10-31,2021-11-02
2,Man City,ENG,1,1994.62390137,2021-11-03,2021-11-03
2,Man City,ENG,1,1998.63098145,2021-11-04,2021-11-04
2,Man City,ENG,1,1995.01635742,2021-11-05,2021-11-06
2,Man City,ENG,1,2003.69055176,2021-11-07,2021-11-21
2,Man City,ENG,1,2007.54882812,2021-11-22,2021-11-23
2,Man City,ENG,1,2013.1875,2021-11-24,2021-11-24
1,Man City,ENG,1,2019.98449707,2021-11-25,2021-11-25
1,Man City,ENG,1,2016.34448242,2021-11-26,2021-11-28
1,Man City,ENG,1,2019.78234863,2021-11-29,2021-12-01
1,Man City,ENG,1,2022.61401367,2021-12-02,2021-12-04
1,Man City,ENG,1,2025.4284668,2021-12-05,2021-12-07
3,Man City,ENG,1,2010.66015625,2021-12-08,2021-12-08
3,Man City,ENG,1,2006.76525879,2021-12-09,2021-12-09
