Rank,Club,Country,Level,Elo,From,To
16,Man United,ENG,1,1816.56176758,2020-01-02,2020-01-11
15,Man United,ENG,1,1821.34057617,2020-01-12,2020-01-17
16,Man United,ENG,1,1821.34057617,2020-01-18,2020-01-18
17,Man United,ENG,1,1821.34057617,2020-01-19,2020-01-19
15,Man United,ENG,1,1818.5970459,2020-01-20,2020-01-22
18,Man United,ENG,1,1800.49267578,2020-01-23,2020-02-01
18,Man United,ENG,1,1798.00317383,2020-02-02,2020-02-02
19,Man United,ENG,1,1798.00317383,2020-02-03,2020-02-08
20,Man United,ENG,1,1798.00317383,2020-02-09,2020-02-09
21,Man United,ENG,1,1798.00317383,2020-02-10,2020-02-16
20,Man United,ENG,1,1798.00317383,2020-02-17,2020-02-17
15,Man United,ENG,1,1812.79638672,2020-02-18,2020-02-18
16,Man United,ENG,1,1810.45935059,2020-02-19,2020-02-19
16,Man United,ENG,1,1807.66345215,2020-02-20,2020-02-20
16,Man United,ENG,1,1814.52392578,2020-02-21,2020-02-23
14,Man United,ENG,1,1821.12609863,2020-02-24,2020-02-25
14,Man United,ENG,1,1818.2232666,2020-02-26,2020-02-26
14,Man United,ENG,1,1820.07104492,2020-02-27,2020-02-27
11,Man United,ENG,1,1831.31542969,2020-02-28,2020-03-01
11,Man United,ENG,1,1830.57641602,2020-03-02,2020-03-08
10,Man United,ENG,1,1846.3581543,2020-03-09,2020-03-10
11,Man United,ENG,1,1842.72851562,2020-03-11,2020-03-11
11,Man United,ENG,1,1835.7199707,2020-03-12,2020-03-12
11,Man United,ENG,1,1851.97485352,2020-03-13,2020-06-17
10,Man United,ENG,1,1851.97485352,2020-06-18,2020-06-19
10,Man United,ENG,1,1851.94372559,2020-06-20,2020-06-24
10,Man United,ENG,1,1857.93896484,2020-06-25,2020-06-27
9,Man United,ENG,1,1857.93896484,2020-06-28,2020-06-30
9,Man United,ENG,1,1865.59106445,2020-07-01,2020-07-04
9,Man United,ENG,1,1869.15246582,2020-07-05,2020-07-09
9,Man United,ENG,1,1874.39709473,2020-07-10,2020-07-13
9,Man United,ENG,1,1868.95715332,2020-07-14,2020-07-16
9,Man United,ENG,1,1875.87451172,2020-07-17,2020-07-22
9,Man United,ENG,1,1870.03283691,2020-07-23,2020-07-26
9,Man United,ENG,1,1879.6875,2020-07-27,2020-07-29
8,Man United,ENG,1,1879.6875,2020-07-30,2020-08-05
8,Man United,ENG,1,1875.70983887,2020-08-06,2020-08-06
8,Man United,ENG,1,1878.08728027,2020-08-07,2020-08-07
8,Man United,ENG,1,1879.32226562,2020-08-08,2020-08-08
8,Man United,ENG,1,1878.95849609,2020-08-09,2020-08-10
8,Man United,ENG,1,1881.65319824,2020-08-11,2020-08-11
8,Man United,ENG,1,1879.34106445,2020-08-12,2020-08-15
8,Man United,ENG,1,1872.6237793,2020-08-16,2020-08-16
9,Man United,ENG,1,1860.72937012,2020-08-17,2020-08-18
8,Man United,ENG,1,1860.72937012,2020-08-19,2020-08-21
9,Man United,ENG,1,1860.72937012,2020-08-22,2020-09-17
9,Man United,ENG,1,1861.09973145,2020-09-18,2020-09-19
11,Man United,ENG,1,1842.19592285,2020-09-20,2020-09-24
11,Man United,ENG,1,1842.53186035,2020-09-25,2020-09-26
10,Man United,ENG,1,1847.26452637,2020-09-27,2020-09-30
11,Man United,ENG,1,1847.26452637,2020-10-01,2020-10-01
11,Man United,ENG,1,1848.07385254,2020-10-02,2020-10-04
15,Man United,ENG,1,1825.89160156,2020-10-05,2020-10-17
12,Man United,ENG,1,1835.38879395,2020-10-18,2020-10-20
11,Man United,ENG,1,1850.68774414,2020-10-21,2020-10-21
11,Man United,ENG,1,1853.21826172,2020-10-22,2020-10-22
10,Man United,ENG,1,1857.42102051,2020-10-23,2020-10-24
10,Man United,ENG,1,1855.8815918,2020-10-25,2020-10-25
9,Man United,ENG,1,1855.8815918,2020-10-26,2020-10-27
9,Man United,ENG,1,1858.16247559,2020-10-28,2020-10-28
8,Man United,ENG,1,1880.49682617,2020-10-29,2020-10-29
8,Man United,ENG,1,1877.63330078,2020-10-30,2020-11-01
8,Man United,ENG,1,1867.40539551,2020-11-02,2020-11-03
8,Man United,ENG,1,1872.0625,2020-11-04,2020-11-04
11,Man United,ENG,1,1854.71936035,2020-11-05,2020-11-05
11,Man United,ENG,1,1858.57263184,2020-11-06,2020-11-07
10,Man United,ENG,1,1867.10644531,2020-11-08,2020-11-21
11,Man United,ENG,1,1869.17700195,2020-11-22,2020-11-24
10,Man United,ENG,1,1873.72619629,2020-11-25,2020-11-25
10,Man United,ENG,1,1868.52416992,2020-11-26,2020-11-26
11,Man United,ENG,1,1869.97351074,2020-11-27,2020-11-28
10,Man United,ENG,1,1869.97351074,2020-11-29,2020-11-29
8,Man United,ENG,1,1876.22607422,2020-11-30,2020-12-01
9,Man United,ENG,1,1875.80395508,2020-12-02,2020-12-02
11,Man United,ENG,1,1864.13562012,2020-12-03,2020-12-03
11,Man United,ENG,1,1859.64489746,2020-12-04,2020-12-05
10,Man United,ENG,1,1867.98815918,2020-12-06,2020-12-06
11,Man United,ENG,1,1867.98815918,2020-12-07,2020-12-08
13,Man United,ENG,1,1856.99609375,2020-12-09,2020-12-09
13,Man United,ENG,1,1855.58239746,2020-12-10,2020-12-10
13,Man United,ENG,1,1857.39709473,2020-12-11,2020-12-12
12,Man United,ENG,1,1859.64306641,2020-12-13,2020-12-16
13,Man United,ENG,1,1859.64306641,2020-12-17,2020-12-17
11,Man United,ENG,1,1863.28820801,2020-12-18,2020-12-19
10,Man United,ENG,1,1863.28820801,2020-12-20,2020-12-20
10,Man United,ENG,1,1869.20751953,2020-12-21,2020-12-21
11,Man United,ENG,1,1869.20751953,2020-12-22,2020-12-22
10,Man United,ENG,1,1869.20751953,2020-12-23,2020-12-26
9,Man United,ENG,1,1868.30187988,2020-12-27,2020-12-29
9,Man United,ENG,1,1873.15600586,2020-12-30,2021-01-01
8,Man United,ENG,1,1876.74841309,2021-01-02,2021-01-09
7,Man United,ENG,1,1876.74841309,2021-01-10,2021-01-12
7,Man United,ENG,1,1881.64770508,2021-01-13,2021-01-17
7,Man United,ENG,1,1884.65588379,2021-01-18,2021-01-20
7,Man United,ENG,1,1887.49230957,2021-01-21,2021-01-27
8,Man United,ENG,1,1872.75183105,2021-01-28,2021-01-30
8,Man United,ENG,1,1871.97167969,2021-01-31,2021-01-31
7,Man United,ENG,1,1871.97167969,2021-02-01,2021-02-02
7,Man United,ENG,1,1885.17504883,2021-02-03,2021-02-06
7,Man United,ENG,1,1881.16577148,2021-02-07,2021-02-14
8,Man United,ENG,1,1874.20727539,2021-02-15,2021-02-16
8,Man United,ENG,1,1877.85974121,2021-02-17,2021-02-18
8,Man United,ENG,1,1893.39782715,2021-02-19,2021-02-21
7,Man United,ENG,1,1897.25097656,2021-02-22,2021-02-23
4,Man United,ENG,1,1899.97375488,2021-02-24,2021-02-24
6,Man United,ENG,1,1901.49108887,2021-02-25,2021-02-25
6,Man United,ENG,1,1895.47717285,2021-02-26,2021-02-28
7,Man United,ENG,1,1895.58666992,2021-03-01,2021-03-03
7,Man United,ENG,1,1891.00476074,2021-03-04,2021-03-07
4,Man United,ENG,1,1908.09082031,2021-03-08,2021-03-10
4,Man United,ENG,1,1910.47875977,2021-03-11,2021-03-11
4,Man United,ENG,1,1911.12927246,2021-03-12,2021-03-14
4,Man United,ENG,1,1915.73461914,2021-03-15,2021-03-16
5,Man United,ENG,1,1915.88696289,2021-03-17,2021-03-17
4,Man United,ENG,1,1919.86096191,2021-03-18,2021-03-18
4,Man United,ENG,1,1922.33935547,2021-03-19,2021-04-03
5,Man United,ENG,1,1922.33935547,2021-04-04,2021-04-04
4,Man United,ENG,1,1925.15136719,2021-04-05,2021-04-06
5,Man United,ENG,1,1922.05664062,2021-04-07,2021-04-07
5,Man United,ENG,1,1925.31237793,2021-04-08,2021-04-08
5,Man United,ENG,1,1929.2364502,2021-04-09,2021-04-11
4,Man United,ENG,1,1937.68566895,2021-04-12,2021-04-13
4,Man United,ENG,1,1936.77075195,2021-04-14,2021-04-14
4,Man United,ENG,1,1936.6171875,2021-04-15,2021-04-15
4,Man United,ENG,1,1943.4831543,2021-04-16,2021-04-18
3,Man United,ENG,1,1947.43103027,2021-04-19,2021-04-21
4,Man United,ENG,1,1947.43103027,2021-04-22,2021-04-24
3,Man United,ENG,1,1947.43103027,2021-04-25,2021-04-25
4,Man United,ENG,1,1942.55480957,2021-04-26,2021-04-27
4,Man United,ENG,1,1943.30102539,2021-04-28,2021-04-28
3,Man United,ENG,1,1944.64160156,2021-04-29,2021-04-29
3,Man United,ENG,1,1951.35107422,2021-04-30,2021-05-04
3,Man United,ENG,1,1952.52172852,2021-05-05,2021-05-05
3,Man United,ENG,1,1957.29333496,2021-05-06,2021-05-06
3,Man United,ENG,1,1953.38745117,2021-05-07,2021-05-09
3,Man United,ENG,1,1958.42248535,2021-05-10,2021-05-11
3,Man United,ENG,1,1946.3605957,2021-05-12,2021-05-13
3,Man United,ENG,1,1932.99255371,2021-05-14,2021-05-16
4,Man United,ENG,1,1932.99255371,2021-05-17,2021-05-18
5,Man United,ENG,1,1925.70617676,2021-05-19,2021-05-23
5,Man United,ENG,1,1929.88305664,2021-05-24,2021-05-26
5,Man United,ENG,1,1925.87194824,2021-05-27,2021-08-14
5,Man United,ENG,1,1934.08056641,2021-08-15,2021-08-19
5,Man United,ENG,1,1933.12902832,2021-08-20,2021-08-22
6,Man United,ENG,1,1927.51220703,2021-08-23,2021-08-26
6,Man United,ENG,1,1928.77746582,2021-08-27,2021-08-29
6,Man United,ENG,1,1932.66455078,2021-08-30,2021-09-11
6,Man United,ENG,1,1937.28759766,2021-09-12,2021-09-14
6,Man United,ENG,1,1921.88647461,2021-09-15,2021-09-15
6,Man United,ENG,1,1924.1784668,2021-09-16,2021-09-16
6,Man United,ENG,1,1924.76879883,2021-09-17,2021-09-19
6,Man United,ENG,1,1930.84777832,2021-09-20,2021-09-25
6,Man United,ENG,1,1917.99108887,2021-09-26,2021-09-28
7,Man United,ENG,1,1917.80932617,2021-09-29,2021-09-29
6,Man United,ENG,1,1920.04589844,2021-09-30,2021-09-30
7,Man United,ENG,1,1916.83361816,2021-10-01,2021-10-02
7,Man United,ENG,1,1912.42150879,2021-10-03,2021-10-03
6,Man United,ENG,1,1912.42150879,2021-10-04,2021-10-16
7,Man United,ENG,1,1896.87744141,2021-10-17,2021-10-19
7,Man United,ENG,1,1900.64074707,2021-10-20,2021-10-20
6,Man United,ENG,1,1908.04223633,2021-10-21,2021-10-21
7,Man United,ENG,1,1904.68591309,2021-10-22,2021-10-24
7,Man United,ENG,1,1889.18273926,2021-10-25,2021-10-30
7,Man United,ENG,1,1900.48388672,2021-10-31,2021-11-02
7,Man United,ENG,1,1900.08605957,2021-11-03,2021-11-03
7,Man United,ENG,1,1902.34191895,2021-11-04,2021-11-04
7,Man United,ENG,1,1898.72717285,2021-11-05,2021-11-06
8,Man United,ENG,1,1890.05297852,2021-11-07,2021-11-07
7,Man United,ENG,1,1890.05297852,2021-11-08,2021-11-20
10,Man United,ENG,1,1867.73962402,2021-11-21,2021-11-23
8,Man United,ENG,1,1884.13269043,2021-11-24,2021-11-24
8,Man United,ENG,1,1886.6809082,2021-11-25,2021-11-25
9,Man United,ENG,1,1883.04089355,2021-11-26,2021-11-28
9,Man United,ENG,1,1886.34887695,2021-11-29,2021-12-02
8,Man United,ENG,1,1892.84912109,2021-12-03,2021-12-04
9,Man United,ENG,1,1892.84912109,2021-12-05,2021-12-05
8,Man United,ENG,1,1896.31604004,2021-12-06,2021-12-07
8,Man United,ENG,1,1893.97546387,2021-12-08,2021-12-08
9,Man United,ENG,1,1882.84484863,2021-12-09,2021-12-09
9,Man United,ENG,1,1876.68920898,2021-12-10,2021-12-11
9,Man United,ENG,1,1879.89941406,2021-12-12,2021-12-27
9,Man United,ENG,1,1875.19055176,2021-12-28,2021-12-30
9,Man United,ENG,1,1879.59912109,2021-12-31,2022-01-03
9,Man United,ENG,1,1867.23205566,2022-01-04,2022-01-15
9,Man United,ENG,1,1864.49645996,2022-01-16,2022-01-19
9,Man United,ENG,1,1870.50012207,2022-01-20,2022-01-22
9,Man United,ENG,1,1875.95922852,2022-01-23,2022-02-08
9,Man United,ENG,1,1871.76000977,2022-02-09,2022-02-12
9,Man United,ENG,1,1866.83862305,2022-02-13,2022-02-15
9,Man United,ENG,1,1873.97192383,2022-02-16,2022-02-16
8,Man United,ENG,1,1876.00756836,2022-02-17,2022-02-17
8,Man United,ENG,1,1876.43945312,2022-02-18,2022-02-20
8,Man United,ENG,1,1883.83520508,2022-02-21,2022-02-22
8,Man United,ENG,1,1884.86669922,2022-02-23,2022-02-23
8,Man United,ENG,1,1886.9510498,2022-02-24,2022-02-24
8,Man United,ENG,1,1887.29553223,2022-02-25,2022-02-26
8,Man United,ENG,1,1880.24145508,2022-02-27,2022-03-06
10,Man United,ENG,1,1873.74108887,2022-03-07,2022-03-08
10,Man United,ENG,1,1873.12194824,2022-03-09,2022-03-09
10,Man United,ENG,1,1873.40649414,2022-03-10,2022-03-10
10,Man United,ENG,1,1874.30505371,2022-03-11,2022-03-12
8,Man United,ENG,1,1879.77038574,2022-03-13,2022-03-13
10,Man United,ENG,1,1879.77038574,2022-03-14,2022-03-15
11,Man United,ENG,1,1862.53100586,2022-03-16,2022-03-16
11,Man United,ENG,1,1863.33728027,2022-03-17,2022-03-17
11,Man United,ENG,1,1868.26831055,2022-03-18,2022-03-20
10,Man United,ENG,1,1868.26831055,2022-03-21,2022-04-02
10,Man United,ENG,1,1864.82006836,2022-04-03,2022-04-05
10,Man United,ENG,1,1865.94946289,2022-04-06,2022-04-06
10,Man United,ENG,1,1862.61022949,2022-04-07,2022-04-07
11,Man United,ENG,1,1861.04089355,2022-04-08,2022-04-09
12,Man United,ENG,1,1849.64648438,2022-04-10,2022-04-12
12,Man United,ENG,1,1850.16235352,2022-04-13,2022-04-13
12,Man United,ENG,1,1851.17199707,2022-04-14,2022-04-14
12,Man United,ENG,1,1859.09790039,2022-04-15,2022-04-16
9,Man United,ENG,1,1861.46618652,2022-04-17,2022-04-17
10,Man United,ENG,1,1861.46618652,2022-04-18,2022-04-19
11,Man United,ENG,1,1855.3059082,2022-04-20,2022-04-20
12,Man United,ENG,1,1855.3059082,2022-04-21,2022-04-23
12,Man United,ENG,1,1845.95263672,2022-04-24,2022-04-26
12,Man United,ENG,1,1846.80895996,2022-04-27,2022-04-27
11,Man United,ENG,1,1847.56433105,2022-04-28,2022-04-28
13,Man United,ENG,1,1845.41491699,2022-04-29,2022-04-30
12,Man United,ENG,1,1845.41491699,2022-05-01,2022-05-01
13,Man United,ENG,1,1845.41491699,2022-05-02,2022-05-02
10,Man United,ENG,1,1852.66564941,2022-05-03,2022-05-03
10,Man United,ENG,1,1853.26940918,2022-05-04,2022-05-04
11,Man United,ENG,1,1848.48266602,2022-05-05,2022-05-05
12,Man United,ENG,1,1842.70092773,2022-05-06,2022-05-07
15,Man United,ENG,1,1822.61364746,2022-05-08,2022-05-08
16,Man United,ENG,1,1822.61364746,2022-05-09,2022-05-11
15,Man United,ENG,1,1822.61364746,2022-05-12,2022-05-15
14,Man United,ENG,1,1822.61364746,2022-05-16,2022-05-22
17,Man United,ENG,1,1813.75524902,2022-05-23,2022-05-28
18,Man United,ENG,1,1810.69580078,2022-05-29,2022-08-07
20,Man United,ENG,1,1800.01342773,2022-08-08,2022-08-13
22,Man United,ENG,1,1782.10107422,2022-08-14,2022-08-15
23,Man United,ENG,1,1782.10107422,2022-08-16,2022-08-17
24,Man United,ENG,1,1782.10107422,2022-08-18,2022-08-18
24,Man United,ENG,1,1782.36901855,2022-08-19,2022-08-21
25,Man United,ENG,1,1782.36901855,2022-08-22,2022-08-22
19,Man United,ENG,1,1794.92126465,2022-08-23,2022-08-25
19,Man United,ENG,1,1795.38769531,2022-08-26,2022-08-27
18,Man United,ENG,1,1801.7479248,2022-08-28,2022-09-01
16,Man United,ENG,1,1810.02685547,2022-09-02,2022-09-02
17,Man United,ENG,1,1810.02685547,2022-09-03,2022-09-03
18,Man United,ENG,1,1810.02685547,2022-09-04,2022-09-04
16,Man United,ENG,1,1821.75305176,2022-09-05,2022-09-06
16,Man United,ENG,1,1820.60327148,2022-09-07,2022-09-07
17,Man United,ENG,1,1815.97753906,2022-09-08,2022-09-08
18,Man United,ENG,1,1802.67810059,2022-09-09,2022-09-11
19,Man United,ENG,1,1802.67810059,2022-09-12,2022-09-13
18,Man United,ENG,1,1799.98266602,2022-09-14,2022-09-14
19,Man United,ENG,1,1799.27001953,2022-09-15,2022-09-15
17,Man United,ENG,1,1805.43835449,2022-09-16,2022-09-18
18,Man United,ENG,1,1805.43835449,2022-09-19,2022-10-02
18,Man United,ENG,1,1801.44262695,2022-10-03,2022-10-04
18,Man United,ENG,1,1801.64428711,2022-10-05,2022-10-05
19,Man United,ENG,1,1805.20080566,2022-10-06,2022-10-06
16,Man United,ENG,1,1809.97900391,2022-10-07,2022-10-09
16,Man United,ENG,1,1816.89733887,2022-10-10,2022-10-11
15,Man United,ENG,1,1818.09375,2022-10-12,2022-10-12
17,Man United,ENG,1,1821.25708008,2022-10-13,2022-10-13
15,Man United,ENG,1,1823.83825684,2022-10-14,2022-10-16
17,Man United,ENG,1,1821.21325684,2022-10-17,2022-10-19
13,Man United,ENG,1,1833.00683594,2022-10-20,2022-10-20
12,Man United,ENG,1,1833.87939453,2022-10-21,2022-10-22
12,Man United,ENG,1,1837.40124512,2022-10-23,2022-10-25
13,Man United,ENG,1,1837.67858887,2022-10-26,2022-10-26
13,Man United,ENG,1,1839.10290527,2022-10-27,2022-10-27
13,Man United,ENG,1,1837.2076416,2022-10-28,2022-10-29
14,Man United,ENG,1,1837.2076416,2022-10-30,2022-10-30
12,Man United,ENG,1,1842.4732666,2022-10-31,2022-11-01
11,Man United,ENG,1,1846.19689941,2022-11-02,2022-11-02
12,Man United,ENG,1,1847.43969727,2022-11-03,2022-11-03
11,Man United,ENG,1,1858.27246094,2022-11-04,2022-11-06
12,Man United,ENG,1,1843.69348145,2022-11-07,2022-11-13
12,Man United,ENG,1,1848.86486816,2022-11-14,2022-12-26
13,Man United,ENG,1,1848.86486816,2022-12-27,2022-12-27
13,Man United,ENG,1,1853.42248535,2022-12-28,2022-12-30
12,Man United,ENG,1,1853.42248535,2022-12-31,2022-12-31
11,Man United,ENG,1,1858.39404297,2023-01-01,2023-01-01
