Rank,Club,Country,Level,Elo,From,To
54,Marseille,FRA,1,1679.6776123,2020-01-11,2020-01-12
55,Marseille,FRA,1,1679.6776123,2020-01-13,2020-01-18
56,Marseille,FRA,1,1679.6776123,2020-01-19,2020-01-19
57,Marseille,FRA,1,1679.6776123,2020-01-20,2020-01-22
58,Marseille,FRA,1,1679.6776123,2020-01-23,2020-01-25
57,Marseille,FRA,1,1675.23132324,2020-01-26,2020-02-01
56,Marseille,FRA,1,1675.23132324,2020-02-02,2020-02-02
59,Marseille,FRA,1,1674.10192871,2020-02-03,2020-02-05
53,Marseille,FRA,1,1683.87390137,2020-02-06,2020-02-07
54,Marseille,FRA,1,1683.87390137,2020-02-08,2020-02-08
52,Marseille,FRA,1,1685.8104248,2020-02-09,2020-02-09
51,Marseille,FRA,1,1685.8104248,2020-02-10,2020-02-15
50,Marseille,FRA,1,1685.8104248,2020-02-16,2020-02-16
47,Marseille,FRA,1,1694.28930664,2020-02-17,2020-02-18
47,Marseille,FRA,1,1692.6628418,2020-02-19,2020-02-20
49,Marseille,FRA,1,1692.6628418,2020-02-21,2020-02-22
60,Marseille,FRA,1,1675.00268555,2020-02-23,2020-02-26
59,Marseille,FRA,1,1677.60131836,2020-02-27,2020-02-27
56,Marseille,FRA,1,1677.60131836,2020-02-28,2020-02-28
53,Marseille,FRA,1,1683.47241211,2020-02-29,2020-02-29
55,Marseille,FRA,1,1683.47241211,2020-03-01,2020-03-01
56,Marseille,FRA,1,1683.47241211,2020-03-02,2020-03-06
58,Marseille,FRA,1,1677.25744629,2020-03-07,2020-03-08
56,Marseille,FRA,1,1677.25744629,2020-03-09,2020-03-10
54,Marseille,FRA,1,1677.25744629,2020-03-11,2020-03-11
53,Marseille,FRA,1,1682.20458984,2020-03-12,2020-05-16
52,Marseille,FRA,1,1682.20458984,2020-05-17,2020-05-26
51,Marseille,FRA,1,1682.20458984,2020-05-27,2020-05-30
52,Marseille,FRA,1,1682.20458984,2020-05-31,2020-06-12
53,Marseille,FRA,1,1682.20458984,2020-06-13,2020-06-13
52,Marseille,FRA,1,1682.20458984,2020-06-14,2020-06-18
53,Marseille,FRA,1,1682.20458984,2020-06-19,2020-06-19
54,Marseille,FRA,1,1682.20458984,2020-06-20,2020-06-22
55,Marseille,FRA,1,1682.20458984,2020-06-23,2020-06-25
54,Marseille,FRA,1,1682.20458984,2020-06-26,2020-06-27
53,Marseille,FRA,1,1682.20458984,2020-06-28,2020-07-02
54,Marseille,FRA,1,1682.20458984,2020-07-03,2020-07-06
53,Marseille,FRA,1,1682.20458984,2020-07-07,2020-07-11
54,Marseille,FRA,1,1682.20458984,2020-07-12,2020-07-12
55,Marseille,FRA,1,1682.20458984,2020-07-13,2020-07-16
54,Marseille,FRA,1,1682.20458984,2020-07-17,2020-07-20
53,Marseille,FRA,1,1682.20458984,2020-07-21,2020-07-26
54,Marseille,FRA,1,1682.20458984,2020-07-27,2020-08-05
53,Marseille,FRA,1,1682.20458984,2020-08-06,2020-08-06
55,Marseille,FRA,1,1682.20458984,2020-08-07,2020-08-07
54,Marseille,FRA,1,1684.88879395,2020-08-08,2020-08-08
53,Marseille,FRA,1,1684.88879395,2020-08-09,2020-08-11
52,Marseille,FRA,1,1684.88879395,2020-08-12,2020-08-12
51,Marseille,FRA,1,1687.23193359,2020-08-13,2020-08-13
50,Marseille,FRA,1,1687.23193359,2020-08-14,2020-08-15
47,Marseille,FRA,1,1695.43933105,2020-08-16,2020-08-18
46,Marseille,FRA,1,1699.84411621,2020-08-19,2020-08-19
46,Marseille,FRA,1,1698.4251709,2020-08-20,2020-08-21
47,Marseille,FRA,1,1698.4251709,2020-08-22,2020-08-23
48,Marseille,FRA,1,1696.37475586,2020-08-24,2020-08-30
46,Marseille,FRA,1,1701.66992188,2020-08-31,2020-09-12
47,Marseille,FRA,1,1701.66992188,2020-09-13,2020-09-13
42,Marseille,FRA,1,1715.56420898,2020-09-14,2020-09-15
41,Marseille,FRA,1,1715.56420898,2020-09-16,2020-09-17
47,Marseille,FRA,1,1700.36877441,2020-09-18,2020-09-19
48,Marseille,FRA,1,1700.36877441,2020-09-20,2020-09-20
48,Marseille,FRA,1,1698.79064941,2020-09-21,2020-09-24
48,Marseille,FRA,1,1697.61975098,2020-09-25,2020-09-25
49,Marseille,FRA,1,1697.61975098,2020-09-26,2020-09-26
51,Marseille,FRA,1,1692.68481445,2020-09-27,2020-09-27
50,Marseille,FRA,1,1692.68481445,2020-09-28,2020-10-03
49,Marseille,FRA,1,1692.68481445,2020-10-04,2020-10-04
50,Marseille,FRA,1,1695.13342285,2020-10-05,2020-10-16
49,Marseille,FRA,1,1695.13342285,2020-10-17,2020-10-17
47,Marseille,FRA,1,1701.89099121,2020-10-18,2020-10-20
50,Marseille,FRA,1,1695.52038574,2020-10-21,2020-10-21
52,Marseille,FRA,1,1687.64160156,2020-10-22,2020-10-22
54,Marseille,FRA,1,1688.6574707,2020-10-23,2020-10-23
53,Marseille,FRA,1,1688.6574707,2020-10-24,2020-10-24
50,Marseille,FRA,1,1693.28845215,2020-10-25,2020-10-25
51,Marseille,FRA,1,1693.28845215,2020-10-26,2020-10-27
52,Marseille,FRA,1,1685.2869873,2020-10-28,2020-10-28
53,Marseille,FRA,1,1685.37585449,2020-10-29,2020-10-29
52,Marseille,FRA,1,1684.97436523,2020-10-30,2020-11-03
56,Marseille,FRA,1,1672.47644043,2020-11-04,2020-11-04
60,Marseille,FRA,1,1667.74731445,2020-11-05,2020-11-05
55,Marseille,FRA,1,1673.14147949,2020-11-06,2020-11-06
54,Marseille,FRA,1,1679.14099121,2020-11-07,2020-11-21
55,Marseille,FRA,1,1679.14099121,2020-11-22,2020-11-23
54,Marseille,FRA,1,1679.14099121,2020-11-24,2020-11-24
53,Marseille,FRA,1,1679.9387207,2020-11-25,2020-11-25
61,Marseille,FRA,1,1664.96179199,2020-11-26,2020-11-26
67,Marseille,FRA,1,1660.32727051,2020-11-27,2020-11-28
64,Marseille,FRA,1,1667.15136719,2020-11-29,2020-11-30
63,Marseille,FRA,1,1667.15136719,2020-12-01,2020-12-01
54,Marseille,FRA,1,1678.30297852,2020-12-02,2020-12-02
53,Marseille,FRA,1,1679.82751465,2020-12-03,2020-12-03
51,Marseille,FRA,1,1679.62585449,2020-12-04,2020-12-04
49,Marseille,FRA,1,1686.64575195,2020-12-05,2020-12-05
50,Marseille,FRA,1,1686.64575195,2020-12-06,2020-12-08
53,Marseille,FRA,1,1684.41577148,2020-12-09,2020-12-09
52,Marseille,FRA,1,1681.13562012,2020-12-10,2020-12-10
57,Marseille,FRA,1,1673.08190918,2020-12-11,2020-12-12
55,Marseille,FRA,1,1678.56469727,2020-12-13,2020-12-13
57,Marseille,FRA,1,1678.56469727,2020-12-14,2020-12-14
58,Marseille,FRA,1,1678.56469727,2020-12-15,2020-12-16
63,Marseille,FRA,1,1669.49572754,2020-12-17,2020-12-19
67,Marseille,FRA,1,1665.62963867,2020-12-20,2020-12-20
65,Marseille,FRA,1,1665.62963867,2020-12-21,2020-12-23
71,Marseille,FRA,1,1655.83752441,2020-12-24,2020-12-29
70,Marseille,FRA,1,1655.83752441,2020-12-30,2021-01-06
