Rank,Club,Country,Level,Elo,From,To
None,Metz,FRA,1,1515.08239746,2020-01-12,2020-01-25
None,Metz,FRA,1,1526.9473877,2020-01-26,2020-02-02
None,Metz,FRA,1,1538.59143066,2020-02-03,2020-02-05
None,Metz,FRA,1,1542.54980469,2020-02-06,2020-02-08
None,Metz,FRA,1,1533.96838379,2020-02-09,2020-02-15
None,Metz,FRA,1,1536.49645996,2020-02-16,2020-02-18
None,Metz,FRA,1,1534.86999512,2020-02-19,2020-02-21
None,Metz,FRA,1,1526.82543945,2020-02-22,2020-02-26
None,Metz,FRA,1,1529.42407227,2020-02-27,2020-02-29
None,Metz,FRA,1,1537.73742676,2020-03-01,2020-03-07
None,Metz,FRA,1,1544.6529541,2020-03-08,2020-03-11
None,Metz,FRA,1,1549.59997559,2020-03-12,2020-08-07
None,Metz,FRA,1,1552.28430176,2020-08-08,2020-08-12
None,Metz,FRA,1,1554.62744141,2020-08-13,2020-08-15
None,Metz,FRA,1,1562.83483887,2020-08-16,2020-08-18
None,Metz,FRA,1,1567.23962402,2020-08-19,2020-08-19
None,Metz,FRA,1,1565.82055664,2020-08-20,2020-08-23
None,Metz,FRA,1,1563.7701416,2020-08-24,2020-08-30
None,Metz,FRA,1,1555.40600586,2020-08-31,2020-09-13
None,Metz,FRA,1,1551.48327637,2020-09-14,2020-09-16
None,Metz,FRA,1,1550.27526855,2020-09-17,2020-09-17
None,Metz,FRA,1,1552.72802734,2020-09-18,2020-09-20
None,Metz,FRA,1,1561.37780762,2020-09-21,2020-09-24
None,Metz,FRA,1,1560.20703125,2020-09-25,2020-09-26
None,Metz,FRA,1,1565.14196777,2020-09-27,2020-10-04
None,Metz,FRA,1,1571.96154785,2020-10-05,2020-10-18
None,Metz,FRA,1,1573.95874023,2020-10-19,2020-10-20
None,Metz,FRA,1,1567.58813477,2020-10-21,2020-10-21
None,Metz,FRA,1,1565.33398438,2020-10-22,2020-10-22
None,Metz,FRA,1,1566.34985352,2020-10-23,2020-10-25
None,Metz,FRA,1,1575.50061035,2020-10-26,2020-10-27
None,Metz,FRA,1,1573.22595215,2020-10-28,2020-10-28
None,Metz,FRA,1,1573.31481934,2020-10-29,2020-10-29
None,Metz,FRA,1,1572.91333008,2020-10-30,2020-11-01
None,Metz,FRA,1,1581.64648438,2020-11-02,2020-11-03
None,Metz,FRA,1,1578.13391113,2020-11-04,2020-11-04
None,Metz,FRA,1,1573.40466309,2020-11-05,2020-11-05
None,Metz,FRA,1,1578.79882812,2020-11-06,2020-11-08
None,Metz,FRA,1,1575.00402832,2020-11-09,2020-11-22
None,Metz,FRA,1,1576.37231445,2020-11-23,2020-11-24
None,Metz,FRA,1,1577.16992188,2020-11-25,2020-11-25
None,Metz,FRA,1,1573.00671387,2020-11-26,2020-11-26
None,Metz,FRA,1,1568.37219238,2020-11-27,2020-11-29
None,Metz,FRA,1,1553.77392578,2020-11-30,2020-12-01
None,Metz,FRA,1,1556.85583496,2020-12-02,2020-12-02
None,Metz,FRA,1,1558.38037109,2020-12-03,2020-12-03
None,Metz,FRA,1,1558.17858887,2020-12-04,2020-12-06
None,Metz,FRA,1,1551.24206543,2020-12-07,2020-12-08
None,Metz,FRA,1,1549.01208496,2020-12-09,2020-12-09
None,Metz,FRA,1,1548.75976562,2020-12-10,2020-12-10
None,Metz,FRA,1,1540.70605469,2020-12-11,2020-12-13
None,Metz,FRA,1,1541.92077637,2020-12-14,2020-12-16
None,Metz,FRA,1,1557.71899414,2020-12-17,2020-12-19
None,Metz,FRA,1,1567.04406738,2020-12-20,2020-12-23
None,Metz,FRA,1,1561.10253906,2020-12-24,2021-01-06
None,Metz,FRA,1,1560.41235352,2021-01-07,2021-01-09
None,Metz,FRA,1,1559.06152344,2021-01-10,2021-01-17
None,Metz,FRA,1,1572.42358398,2021-01-18,2021-01-24
None,Metz,FRA,1,1581.0065918,2021-01-25,2021-01-31
None,Metz,FRA,1,1592.03405762,2021-02-01,2021-02-03
None,Metz,FRA,1,1590.19042969,2021-02-04,2021-02-07
None,Metz,FRA,1,1581.16064453,2021-02-08,2021-02-14
None,Metz,FRA,1,1571.13720703,2021-02-15,2021-02-16
None,Metz,FRA,1,1579.08618164,2021-02-17,2021-02-18
None,Metz,FRA,1,1576.15197754,2021-02-19,2021-02-21
None,Metz,FRA,1,1584.28991699,2021-02-22,2021-02-25
None,Metz,FRA,1,1582.35107422,2021-02-26,2021-02-27
None,Metz,FRA,1,1591.03210449,2021-02-28,2021-02-28
100,Metz,FRA,1,1591.03210449,2021-03-01,2021-03-03
None,Metz,FRA,1,1580.81799316,2021-03-04,2021-03-10
None,Metz,FRA,1,1581.58862305,2021-03-11,2021-03-14
None,Metz,FRA,1,1581.97497559,2021-03-15,2021-03-20
None,Metz,FRA,1,1569.26330566,2021-03-21,2021-04-03
None,Metz,FRA,1,1559.94421387,2021-04-04,2021-04-07
None,Metz,FRA,1,1564.54821777,2021-04-08,2021-04-09
None,Metz,FRA,1,1557.76831055,2021-04-10,2021-04-13
None,Metz,FRA,1,1558.02307129,2021-04-14,2021-04-18
None,Metz,FRA,1,1560.40673828,2021-04-19,2021-04-24
None,Metz,FRA,1,1557.20129395,2021-04-25,2021-04-28
None,Metz,FRA,1,1555.5,2021-04-29,2021-05-02
None,Metz,FRA,1,1567.71020508,2021-05-03,2021-05-04
None,Metz,FRA,1,1566.21960449,2021-05-05,2021-05-09
None,Metz,FRA,1,1547.19287109,2021-05-10,2021-05-16
None,Metz,FRA,1,1539.16223145,2021-05-17,2021-05-23
None,Metz,FRA,1,1540.72033691,2021-05-24,2021-08-03
None,Metz,FRA,1,1543.53662109,2021-08-04,2021-08-08
None,Metz,FRA,1,1548.39685059,2021-08-09,2021-08-10
None,Metz,FRA,1,1550.00805664,2021-08-11,2021-08-15
None,Metz,FRA,1,1540.14868164,2021-08-16,2021-08-17
None,Metz,FRA,1,1537.16882324,2021-08-18,2021-08-19
None,Metz,FRA,1,1538.9576416,2021-08-20,2021-08-22
None,Metz,FRA,1,1539.13928223,2021-08-23,2021-08-25
None,Metz,FRA,1,1538.125,2021-08-26,2021-08-26
None,Metz,FRA,1,1540.1496582,2021-08-27,2021-08-29
None,Metz,FRA,1,1540.95593262,2021-08-30,2021-09-12
None,Metz,FRA,1,1526.64257812,2021-09-13,2021-09-14
None,Metz,FRA,1,1526.62182617,2021-09-15,2021-09-15
None,Metz,FRA,1,1524.53552246,2021-09-16,2021-09-16
None,Metz,FRA,1,1532.5826416,2021-09-17,2021-09-17
None,Metz,FRA,1,1520.98303223,2021-09-18,2021-09-22
None,Metz,FRA,1,1519.4050293,2021-09-23,2021-09-26
None,Metz,FRA,1,1528.13000488,2021-09-27,2021-09-28
None,Metz,FRA,1,1533.21020508,2021-09-29,2021-09-29
None,Metz,FRA,1,1531.28161621,2021-09-30,2021-09-30
None,Metz,FRA,1,1535.11230469,2021-10-01,2021-10-03
None,Metz,FRA,1,1528.6776123,2021-10-04,2021-10-17
None,Metz,FRA,1,1518.72509766,2021-10-18,2021-10-19
None,Metz,FRA,1,1520.19519043,2021-10-20,2021-10-20
None,Metz,FRA,1,1520.7286377,2021-10-21,2021-10-21
None,Metz,FRA,1,1528.94689941,2021-10-22,2021-10-24
None,Metz,FRA,1,1520.94702148,2021-10-25,2021-10-30
None,Metz,FRA,1,1520.1628418,2021-10-31,2021-11-02
None,Metz,FRA,1,1525.1887207,2021-11-03,2021-11-03
None,Metz,FRA,1,1524.50280762,2021-11-04,2021-11-04
None,Metz,FRA,1,1525.17504883,2021-11-05,2021-11-07
None,Metz,FRA,1,1530.50549316,2021-11-08,2021-11-21
None,Metz,FRA,1,1529.97875977,2021-11-22,2021-11-23
None,Metz,FRA,1,1532.73425293,2021-11-24,2021-11-24
None,Metz,FRA,1,1531.12207031,2021-11-25,2021-11-25
None,Metz,FRA,1,1529.18896484,2021-11-26,2021-11-27
None,Metz,FRA,1,1541.76879883,2021-11-28,2021-12-01
None,Metz,FRA,1,1532.12219238,2021-12-02,2021-12-05
None,Metz,FRA,1,1526.1986084,2021-12-06,2021-12-07
None,Metz,FRA,1,1527.10180664,2021-12-08,2021-12-08
