Rank,Club,Country,Level,Elo,From,To
None,Nantes,FRA,1,1588.49902344,2020-01-13,2020-01-26
None,Nantes,FRA,1,1578.31176758,2020-01-27,2020-01-31
None,Nantes,FRA,1,1572.79736328,2020-02-01,2020-02-04
None,Nantes,FRA,1,1570.1583252,2020-02-05,2020-02-08
None,Nantes,FRA,1,1569.95349121,2020-02-09,2020-02-15
None,Nantes,FRA,1,1567.42541504,2020-02-16,2020-02-18
None,Nantes,FRA,1,1565.79907227,2020-02-19,2020-02-22
None,Nantes,FRA,1,1583.45922852,2020-02-23,2020-02-26
None,Nantes,FRA,1,1586.05786133,2020-02-27,2020-03-01
None,Nantes,FRA,1,1578.27392578,2020-03-02,2020-03-07
None,Nantes,FRA,1,1567.62158203,2020-03-08,2020-03-11
None,Nantes,FRA,1,1572.56872559,2020-03-12,2020-08-07
None,Nantes,FRA,1,1575.25292969,2020-08-08,2020-08-12
None,Nantes,FRA,1,1577.59606934,2020-08-13,2020-08-15
None,Nantes,FRA,1,1585.8034668,2020-08-16,2020-08-18
None,Nantes,FRA,1,1590.20825195,2020-08-19,2020-08-19
None,Nantes,FRA,1,1588.78930664,2020-08-20,2020-08-21
None,Nantes,FRA,1,1590.76904297,2020-08-22,2020-08-23
None,Nantes,FRA,1,1588.71862793,2020-08-24,2020-08-30
None,Nantes,FRA,1,1594.8371582,2020-08-31,2020-09-13
None,Nantes,FRA,1,1588.54370117,2020-09-14,2020-09-17
None,Nantes,FRA,1,1590.99645996,2020-09-18,2020-09-20
None,Nantes,FRA,1,1590.00512695,2020-09-21,2020-09-24
None,Nantes,FRA,1,1588.83422852,2020-09-25,2020-09-25
None,Nantes,FRA,1,1582.42822266,2020-09-26,2020-10-03
None,Nantes,FRA,1,1576.69555664,2020-10-04,2020-10-18
None,Nantes,FRA,1,1585.11437988,2020-10-19,2020-10-20
None,Nantes,FRA,1,1578.74365234,2020-10-21,2020-10-21
None,Nantes,FRA,1,1576.48962402,2020-10-22,2020-10-22
None,Nantes,FRA,1,1577.50537109,2020-10-23,2020-10-27
None,Nantes,FRA,1,1575.23083496,2020-10-28,2020-10-28
None,Nantes,FRA,1,1575.31958008,2020-10-29,2020-10-29
None,Nantes,FRA,1,1574.91821289,2020-10-30,2020-10-31
None,Nantes,FRA,1,1570.67675781,2020-11-01,2020-11-03
None,Nantes,FRA,1,1567.1640625,2020-11-04,2020-11-04
None,Nantes,FRA,1,1562.43493652,2020-11-05,2020-11-05
None,Nantes,FRA,1,1567.82910156,2020-11-06,2020-11-08
None,Nantes,FRA,1,1578.07214355,2020-11-09,2020-11-22
None,Nantes,FRA,1,1576.70397949,2020-11-23,2020-11-24
None,Nantes,FRA,1,1577.50158691,2020-11-25,2020-11-25
None,Nantes,FRA,1,1573.30566406,2020-11-26,2020-11-26
None,Nantes,FRA,1,1568.67126465,2020-11-27,2020-11-28
None,Nantes,FRA,1,1561.8470459,2020-11-29,2020-12-01
None,Nantes,FRA,1,1564.92907715,2020-12-02,2020-12-02
None,Nantes,FRA,1,1566.45361328,2020-12-03,2020-12-03
None,Nantes,FRA,1,1566.25183105,2020-12-04,2020-12-06
None,Nantes,FRA,1,1545.9987793,2020-12-07,2020-12-08
None,Nantes,FRA,1,1543.76879883,2020-12-09,2020-12-09
None,Nantes,FRA,1,1543.51647949,2020-12-10,2020-12-10
None,Nantes,FRA,1,1535.46276855,2020-12-11,2020-12-13
None,Nantes,FRA,1,1532.9128418,2020-12-14,2020-12-16
None,Nantes,FRA,1,1526.49475098,2020-12-17,2020-12-20
None,Nantes,FRA,1,1526.5045166,2020-12-21,2020-12-23
None,Nantes,FRA,1,1521.75012207,2020-12-24,2021-01-06
None,Nantes,FRA,1,1523.68615723,2021-01-07,2021-01-09
None,Nantes,FRA,1,1526.52404785,2021-01-10,2021-01-17
None,Nantes,FRA,1,1525.42919922,2021-01-18,2021-01-24
None,Nantes,FRA,1,1516.84631348,2021-01-25,2021-01-31
None,Nantes,FRA,1,1510.94384766,2021-02-01,2021-02-03
None,Nantes,FRA,1,1512.33251953,2021-02-04,2021-02-07
