Rank,Club,Country,Level,Elo,From,To
21,Napoli,ITA,1,1786.11889648,2020-01-04,2020-01-06
24,Napoli,ITA,1,1772.62329102,2020-01-07,2020-01-11
25,Napoli,ITA,1,1765.03308105,2020-01-12,2020-01-18
32,Napoli,ITA,1,1745.61853027,2020-01-19,2020-01-19
31,Napoli,ITA,1,1745.61853027,2020-01-20,2020-01-21
29,Napoli,ITA,1,1745.61853027,2020-01-22,2020-01-26
26,Napoli,ITA,1,1756.76696777,2020-01-27,2020-02-03
26,Napoli,ITA,1,1763.85546875,2020-02-04,2020-02-09
29,Napoli,ITA,1,1748.68554688,2020-02-10,2020-02-16
29,Napoli,ITA,1,1753.96801758,2020-02-17,2020-02-19
27,Napoli,ITA,1,1759.28198242,2020-02-20,2020-02-20
26,Napoli,ITA,1,1761.92858887,2020-02-21,2020-02-21
26,Napoli,ITA,1,1764.75805664,2020-02-22,2020-02-25
26,Napoli,ITA,1,1765.00317383,2020-02-26,2020-02-26
26,Napoli,ITA,1,1762.61193848,2020-02-27,2020-02-27
26,Napoli,ITA,1,1764.06848145,2020-02-28,2020-02-29
25,Napoli,ITA,1,1767.44799805,2020-03-01,2020-03-01
24,Napoli,ITA,1,1767.44799805,2020-03-02,2020-03-02
23,Napoli,ITA,1,1767.44799805,2020-03-03,2020-03-07
24,Napoli,ITA,1,1767.44799805,2020-03-08,2020-03-10
23,Napoli,ITA,1,1769.24316406,2020-03-11,2020-03-11
24,Napoli,ITA,1,1769.24316406,2020-03-12,2020-06-14
23,Napoli,ITA,1,1769.24316406,2020-06-15,2020-06-18
22,Napoli,ITA,1,1769.24316406,2020-06-19,2020-06-21
23,Napoli,ITA,1,1769.24316406,2020-06-22,2020-06-23
22,Napoli,ITA,1,1775.32312012,2020-06-24,2020-06-28
22,Napoli,ITA,1,1777.94970703,2020-06-29,2020-07-02
24,Napoli,ITA,1,1770.39990234,2020-07-03,2020-07-04
23,Napoli,ITA,1,1770.39990234,2020-07-05,2020-07-05
22,Napoli,ITA,1,1775.82385254,2020-07-06,2020-07-08
20,Napoli,ITA,1,1779.66479492,2020-07-09,2020-07-12
22,Napoli,ITA,1,1776.87011719,2020-07-13,2020-07-13
21,Napoli,ITA,1,1776.87011719,2020-07-14,2020-07-15
21,Napoli,ITA,1,1773.44616699,2020-07-16,2020-07-19
21,Napoli,ITA,1,1776.20812988,2020-07-20,2020-07-22
24,Napoli,ITA,1,1764.1295166,2020-07-23,2020-07-25
22,Napoli,ITA,1,1769.59936523,2020-07-26,2020-07-26
21,Napoli,ITA,1,1769.59936523,2020-07-27,2020-07-28
25,Napoli,ITA,1,1761.08361816,2020-07-29,2020-07-29
26,Napoli,ITA,1,1761.08361816,2020-07-30,2020-08-01
21,Napoli,ITA,1,1769.58312988,2020-08-02,2020-08-05
21,Napoli,ITA,1,1772.87463379,2020-08-06,2020-08-06
22,Napoli,ITA,1,1769.61889648,2020-08-07,2020-08-07
24,Napoli,ITA,1,1767.17675781,2020-08-08,2020-08-08
26,Napoli,ITA,1,1760.87683105,2020-08-09,2020-08-10
26,Napoli,ITA,1,1763.49365234,2020-08-11,2020-08-12
26,Napoli,ITA,1,1761.37438965,2020-08-13,2020-08-14
27,Napoli,ITA,1,1761.37438965,2020-08-15,2020-08-15
26,Napoli,ITA,1,1761.37438965,2020-08-16,2020-08-17
23,Napoli,ITA,1,1766.9140625,2020-08-18,2020-08-21
25,Napoli,ITA,1,1763.97192383,2020-08-22,2020-08-26
26,Napoli,ITA,1,1763.97192383,2020-08-27,2020-09-13
27,Napoli,ITA,1,1763.97192383,2020-09-14,2020-09-17
27,Napoli,ITA,1,1764.26879883,2020-09-18,2020-09-19
26,Napoli,ITA,1,1764.26879883,2020-09-20,2020-09-20
23,Napoli,ITA,1,1770.94226074,2020-09-21,2020-09-22
24,Napoli,ITA,1,1770.94226074,2020-09-23,2020-09-23
25,Napoli,ITA,1,1770.94226074,2020-09-24,2020-09-24
24,Napoli,ITA,1,1771.58972168,2020-09-25,2020-09-26
25,Napoli,ITA,1,1771.58972168,2020-09-27,2020-09-27
20,Napoli,ITA,1,1777.9609375,2020-09-28,2020-09-30
21,Napoli,ITA,1,1777.9609375,2020-10-01,2020-10-01
22,Napoli,ITA,1,1776.21337891,2020-10-02,2020-10-03
23,Napoli,ITA,1,1776.21337891,2020-10-04,2020-10-04
24,Napoli,ITA,1,1766.66955566,2020-10-05,2020-10-17
21,Napoli,ITA,1,1781.92028809,2020-10-18,2020-10-18
22,Napoli,ITA,1,1781.92028809,2020-10-19,2020-10-20
20,Napoli,ITA,1,1789.35510254,2020-10-21,2020-10-21
20,Napoli,ITA,1,1790.61352539,2020-10-22,2020-10-22
25,Napoli,ITA,1,1776.72216797,2020-10-23,2020-10-25
23,Napoli,ITA,1,1780.79064941,2020-10-26,2020-10-27
23,Napoli,ITA,1,1779.55090332,2020-10-28,2020-10-28
26,Napoli,ITA,1,1775.93310547,2020-10-29,2020-10-29
21,Napoli,ITA,1,1787.4473877,2020-10-30,2020-10-30
22,Napoli,ITA,1,1787.4473877,2020-10-31,2020-11-01
27,Napoli,ITA,1,1770.20861816,2020-11-02,2020-11-03
27,Napoli,ITA,1,1764.6784668,2020-11-04,2020-11-04
27,Napoli,ITA,1,1766.74645996,2020-11-05,2020-11-05
27,Napoli,ITA,1,1766.03100586,2020-11-06,2020-11-06
28,Napoli,ITA,1,1766.03100586,2020-11-07,2020-11-08
28,Napoli,ITA,1,1770.52392578,2020-11-09,2020-11-21
27,Napoli,ITA,1,1770.52392578,2020-11-22,2020-11-22
28,Napoli,ITA,1,1757.53308105,2020-11-23,2020-11-24
28,Napoli,ITA,1,1760.67224121,2020-11-25,2020-11-25
29,Napoli,ITA,1,1764.02490234,2020-11-26,2020-11-26
28,Napoli,ITA,1,1769.27856445,2020-11-27,2020-11-28
29,Napoli,ITA,1,1769.27856445,2020-11-29,2020-11-29
26,Napoli,ITA,1,1784.55249023,2020-11-30,2020-12-01
26,Napoli,ITA,1,1785.36315918,2020-12-02,2020-12-02
26,Napoli,ITA,1,1788.40466309,2020-12-03,2020-12-03
25,Napoli,ITA,1,1787.69824219,2020-12-04,2020-12-05
24,Napoli,ITA,1,1787.69824219,2020-12-06,2020-12-06
22,Napoli,ITA,1,1792.86523438,2020-12-07,2020-12-08
20,Napoli,ITA,1,1798.1184082,2020-12-09,2020-12-09
20,Napoli,ITA,1,1799.54870605,2020-12-10,2020-12-10
24,Napoli,ITA,1,1791.03710938,2020-12-11,2020-12-13
22,Napoli,ITA,1,1794.19470215,2020-12-14,2020-12-16
22,Napoli,ITA,1,1788.52600098,2020-12-17,2020-12-20
24,Napoli,ITA,1,1776.33825684,2020-12-21,2020-12-21
23,Napoli,ITA,1,1776.33825684,2020-12-22,2020-12-23
25,Napoli,ITA,1,1770.23547363,2020-12-24,2020-12-26
26,Napoli,ITA,1,1770.23547363,2020-12-27,2020-12-29
25,Napoli,ITA,1,1770.23547363,2020-12-30,2021-01-01
24,Napoli,ITA,1,1770.23547363,2021-01-02,2021-01-03
24,Napoli,ITA,1,1778.12585449,2021-01-04,2021-01-06
29,Napoli,ITA,1,1762.80395508,2021-01-07,2021-01-10
27,Napoli,ITA,1,1767.42431641,2021-01-11,2021-01-15
26,Napoli,ITA,1,1767.42431641,2021-01-16,2021-01-16
25,Napoli,ITA,1,1767.42431641,2021-01-17,2021-01-17
24,Napoli,ITA,1,1778.14709473,2021-01-18,2021-01-24
30,Napoli,ITA,1,1761.74707031,2021-01-25,2021-01-30
29,Napoli,ITA,1,1761.74707031,2021-01-31,2021-01-31
30,Napoli,ITA,1,1765.39831543,2021-02-01,2021-02-03
31,Napoli,ITA,1,1765.39831543,2021-02-04,2021-02-06
32,Napoli,ITA,1,1753.65185547,2021-02-07,2021-02-07
33,Napoli,ITA,1,1753.65185547,2021-02-08,2021-02-13
31,Napoli,ITA,1,1764.00732422,2021-02-14,2021-02-14
30,Napoli,ITA,1,1764.00732422,2021-02-15,2021-02-15
31,Napoli,ITA,1,1764.00732422,2021-02-16,2021-02-16
30,Napoli,ITA,1,1764.00732422,2021-02-17,2021-02-17
30,Napoli,ITA,1,1762.06982422,2021-02-18,2021-02-18
34,Napoli,ITA,1,1746.94238281,2021-02-19,2021-02-19
35,Napoli,ITA,1,1746.94238281,2021-02-20,2021-02-21
36,Napoli,ITA,1,1739.45080566,2021-02-22,2021-02-23
36,Napoli,ITA,1,1738.31262207,2021-02-24,2021-02-24
36,Napoli,ITA,1,1736.42932129,2021-02-25,2021-02-25
35,Napoli,ITA,1,1739.23461914,2021-02-26,2021-02-28
35,Napoli,ITA,1,1743.92578125,2021-03-01,2021-03-03
35,Napoli,ITA,1,1742.30895996,2021-03-04,2021-03-07
34,Napoli,ITA,1,1747.9395752,2021-03-08,2021-03-09
34,Napoli,ITA,1,1746.56384277,2021-03-10,2021-03-11
32,Napoli,ITA,1,1752.44848633,2021-03-12,2021-03-14
30,Napoli,ITA,1,1762.44799805,2021-03-15,2021-03-16
30,Napoli,ITA,1,1759.99963379,2021-03-17,2021-03-17
30,Napoli,ITA,1,1759.98840332,2021-03-18,2021-03-18
30,Napoli,ITA,1,1758.84375,2021-03-19,2021-03-21
26,Napoli,ITA,1,1772.01635742,2021-03-22,2021-04-03
25,Napoli,ITA,1,1773.75842285,2021-04-04,2021-04-07
26,Napoli,ITA,1,1768.28210449,2021-04-08,2021-04-08
27,Napoli,ITA,1,1771.50219727,2021-04-09,2021-04-11
26,Napoli,ITA,1,1778.54309082,2021-04-12,2021-04-14
25,Napoli,ITA,1,1778.54309082,2021-04-15,2021-04-15
26,Napoli,ITA,1,1779.55541992,2021-04-16,2021-04-17
25,Napoli,ITA,1,1779.55541992,2021-04-18,2021-04-18
24,Napoli,ITA,1,1781.93395996,2021-04-19,2021-04-20
25,Napoli,ITA,1,1781.93395996,2021-04-21,2021-04-22
22,Napoli,ITA,1,1793.46801758,2021-04-23,2021-04-25
23,Napoli,ITA,1,1793.46801758,2021-04-26,2021-04-26
20,Napoli,ITA,1,1799.99926758,2021-04-27,2021-04-29
20,Napoli,ITA,1,1797.82434082,2021-04-30,2021-05-02
23,Napoli,ITA,1,1791.34570312,2021-05-03,2021-05-06
23,Napoli,ITA,1,1791.80969238,2021-05-07,2021-05-08
21,Napoli,ITA,1,1797.09020996,2021-05-09,2021-05-09
22,Napoli,ITA,1,1797.09020996,2021-05-10,2021-05-11
20,Napoli,ITA,1,1803.1739502,2021-05-12,2021-05-13
21,Napoli,ITA,1,1803.1739502,2021-05-14,2021-05-16
20,Napoli,ITA,1,1810.1628418,2021-05-17,2021-05-23
21,Napoli,ITA,1,1803.56152344,2021-05-24,2021-08-04
22,Napoli,ITA,1,1803.56152344,2021-08-05,2021-08-14
23,Napoli,ITA,1,1803.56152344,2021-08-15,2021-08-19
23,Napoli,ITA,1,1804.35021973,2021-08-20,2021-08-22
