Rank,Club,Country,Level,Elo,From,To
42,Newcastle,ENG,1,1696.81872559,2020-01-02,2020-01-05
41,Newcastle,ENG,1,1696.81872559,2020-01-06,2020-01-10
40,Newcastle,ENG,1,1696.81872559,2020-01-11,2020-01-11
38,Newcastle,ENG,1,1700.28564453,2020-01-12,2020-01-12
39,Newcastle,ENG,1,1700.28564453,2020-01-13,2020-01-17
40,Newcastle,ENG,1,1700.28564453,2020-01-18,2020-01-18
37,Newcastle,ENG,1,1710.97521973,2020-01-19,2020-01-21
37,Newcastle,ENG,1,1713.54675293,2020-01-22,2020-02-01
38,Newcastle,ENG,1,1709.13098145,2020-02-02,2020-02-07
39,Newcastle,ENG,1,1709.13098145,2020-02-08,2020-02-08
38,Newcastle,ENG,1,1709.13098145,2020-02-09,2020-02-09
39,Newcastle,ENG,1,1709.13098145,2020-02-10,2020-02-14
38,Newcastle,ENG,1,1709.13098145,2020-02-15,2020-02-15
39,Newcastle,ENG,1,1709.13098145,2020-02-16,2020-02-16
42,Newcastle,ENG,1,1699.63232422,2020-02-17,2020-02-18
43,Newcastle,ENG,1,1697.29528809,2020-02-19,2020-02-19
46,Newcastle,ENG,1,1694.49951172,2020-02-20,2020-02-20
44,Newcastle,ENG,1,1700.24511719,2020-02-21,2020-02-21
43,Newcastle,ENG,1,1700.24511719,2020-02-22,2020-02-22
47,Newcastle,ENG,1,1693.5579834,2020-02-23,2020-02-23
48,Newcastle,ENG,1,1693.5579834,2020-02-24,2020-02-25
49,Newcastle,ENG,1,1690.65527344,2020-02-26,2020-02-26
49,Newcastle,ENG,1,1692.50292969,2020-02-27,2020-02-27
49,Newcastle,ENG,1,1690.91394043,2020-02-28,2020-02-29
51,Newcastle,ENG,1,1690.15893555,2020-03-01,2020-03-07
45,Newcastle,ENG,1,1699.60375977,2020-03-08,2020-03-10
47,Newcastle,ENG,1,1695.97412109,2020-03-11,2020-03-11
48,Newcastle,ENG,1,1688.96557617,2020-03-12,2020-03-12
46,Newcastle,ENG,1,1693.29589844,2020-03-13,2020-05-16
44,Newcastle,ENG,1,1693.29589844,2020-05-17,2020-05-30
45,Newcastle,ENG,1,1693.29589844,2020-05-31,2020-06-03
46,Newcastle,ENG,1,1693.29589844,2020-06-04,2020-06-06
45,Newcastle,ENG,1,1693.29589844,2020-06-07,2020-06-12
43,Newcastle,ENG,1,1693.29589844,2020-06-13,2020-06-13
44,Newcastle,ENG,1,1693.29589844,2020-06-14,2020-06-17
45,Newcastle,ENG,1,1693.29589844,2020-06-18,2020-06-20
47,Newcastle,ENG,1,1693.29589844,2020-06-21,2020-06-21
42,Newcastle,ENG,1,1705.96777344,2020-06-22,2020-06-24
43,Newcastle,ENG,1,1701.79797363,2020-06-25,2020-06-27
44,Newcastle,ENG,1,1701.79797363,2020-06-28,2020-06-28
45,Newcastle,ENG,1,1701.79797363,2020-06-29,2020-06-30
44,Newcastle,ENG,1,1701.79797363,2020-07-01,2020-07-01
40,Newcastle,ENG,1,1714.42895508,2020-07-02,2020-07-02
39,Newcastle,ENG,1,1714.42895508,2020-07-03,2020-07-04
38,Newcastle,ENG,1,1714.42895508,2020-07-05,2020-07-05
40,Newcastle,ENG,1,1712.03991699,2020-07-06,2020-07-08
45,Newcastle,ENG,1,1707.63769531,2020-07-09,2020-07-09
44,Newcastle,ENG,1,1707.63769531,2020-07-10,2020-07-11
46,Newcastle,ENG,1,1699.4597168,2020-07-12,2020-07-12
45,Newcastle,ENG,1,1699.4597168,2020-07-13,2020-07-15
