Rank,Club,Country,Level,Elo,From,To
52,Osasuna,ESP,1,1684.71166992,2020-01-02,2020-01-05
51,Osasuna,ESP,1,1685.51220703,2020-01-06,2020-01-11
52,Osasuna,ESP,1,1685.51220703,2020-01-12,2020-01-12
53,Osasuna,ESP,1,1685.51220703,2020-01-13,2020-01-17
52,Osasuna,ESP,1,1685.51220703,2020-01-18,2020-01-18
54,Osasuna,ESP,1,1682.62036133,2020-01-19,2020-01-22
55,Osasuna,ESP,1,1682.62036133,2020-01-23,2020-01-24
49,Osasuna,ESP,1,1691.60522461,2020-01-25,2020-01-25
50,Osasuna,ESP,1,1691.60522461,2020-01-26,2020-01-26
51,Osasuna,ESP,1,1691.60522461,2020-01-27,2020-02-02
52,Osasuna,ESP,1,1684.57702637,2020-02-03,2020-02-07
53,Osasuna,ESP,1,1684.57702637,2020-02-08,2020-02-08
55,Osasuna,ESP,1,1684.57702637,2020-02-09,2020-02-09
56,Osasuna,ESP,1,1676.67492676,2020-02-10,2020-02-14
57,Osasuna,ESP,1,1676.67492676,2020-02-15,2020-02-16
50,Osasuna,ESP,1,1688.2532959,2020-02-17,2020-02-18
50,Osasuna,ESP,1,1690.51171875,2020-02-19,2020-02-19
52,Osasuna,ESP,1,1685.84851074,2020-02-20,2020-02-20
53,Osasuna,ESP,1,1685.85327148,2020-02-21,2020-02-21
54,Osasuna,ESP,1,1685.85327148,2020-02-22,2020-02-22
53,Osasuna,ESP,1,1685.85327148,2020-02-23,2020-02-23
62,Osasuna,ESP,1,1666.96105957,2020-02-24,2020-02-25
61,Osasuna,ESP,1,1666.90588379,2020-02-26,2020-02-26
62,Osasuna,ESP,1,1665.11865234,2020-02-27,2020-02-27
60,Osasuna,ESP,1,1666.13037109,2020-02-28,2020-02-29
61,Osasuna,ESP,1,1666.13037109,2020-03-01,2020-03-01
61,Osasuna,ESP,1,1662.55712891,2020-03-02,2020-03-06
62,Osasuna,ESP,1,1662.55712891,2020-03-07,2020-03-08
61,Osasuna,ESP,1,1668.2833252,2020-03-09,2020-03-10
62,Osasuna,ESP,1,1666.70776367,2020-03-11,2020-03-11
60,Osasuna,ESP,1,1673.4921875,2020-03-12,2020-03-12
62,Osasuna,ESP,1,1673.4921875,2020-03-13,2020-05-24
61,Osasuna,ESP,1,1673.4921875,2020-05-25,2020-06-03
60,Osasuna,ESP,1,1673.4921875,2020-06-04,2020-06-13
59,Osasuna,ESP,1,1673.4921875,2020-06-14,2020-06-14
54,Osasuna,ESP,1,1677.98413086,2020-06-15,2020-06-17
60,Osasuna,ESP,1,1666.52587891,2020-06-18,2020-06-21
62,Osasuna,ESP,1,1660.72045898,2020-06-22,2020-06-24
57,Osasuna,ESP,1,1670.7767334,2020-06-25,2020-06-27
57,Osasuna,ESP,1,1676.50708008,2020-06-28,2020-06-28
55,Osasuna,ESP,1,1676.50708008,2020-06-29,2020-07-01
56,Osasuna,ESP,1,1676.50708008,2020-07-02,2020-07-02
48,Osasuna,ESP,1,1691.01391602,2020-07-03,2020-07-05
49,Osasuna,ESP,1,1691.81091309,2020-07-06,2020-07-08
54,Osasuna,ESP,1,1680.20385742,2020-07-09,2020-07-11
51,Osasuna,ESP,1,1686.85559082,2020-07-12,2020-07-16
45,Osasuna,ESP,1,1702.42053223,2020-07-17,2020-07-19
47,Osasuna,ESP,1,1698.04101562,2020-07-20,2020-07-22
48,Osasuna,ESP,1,1698.04101562,2020-07-23,2020-07-26
47,Osasuna,ESP,1,1698.04101562,2020-07-27,2020-08-05
48,Osasuna,ESP,1,1695.15612793,2020-08-06,2020-08-06
47,Osasuna,ESP,1,1698.01184082,2020-08-07,2020-08-07
49,Osasuna,ESP,1,1696.81018066,2020-08-08,2020-08-08
48,Osasuna,ESP,1,1698.28869629,2020-08-09,2020-08-10
47,Osasuna,ESP,1,1698.28869629,2020-08-11,2020-08-11
47,Osasuna,ESP,1,1700.54528809,2020-08-12,2020-08-13
48,Osasuna,ESP,1,1697.43017578,2020-08-14,2020-08-14
49,Osasuna,ESP,1,1692.15429688,2020-08-15,2020-08-16
48,Osasuna,ESP,1,1695.00744629,2020-08-17,2020-08-21
48,Osasuna,ESP,1,1697.59326172,2020-08-22,2020-08-23
47,Osasuna,ESP,1,1697.59326172,2020-08-24,2020-08-30
48,Osasuna,ESP,1,1697.59326172,2020-08-31,2020-09-12
45,Osasuna,ESP,1,1706.33178711,2020-09-13,2020-09-13
46,Osasuna,ESP,1,1706.33178711,2020-09-14,2020-09-15
45,Osasuna,ESP,1,1706.33178711,2020-09-16,2020-09-17
45,Osasuna,ESP,1,1706.89904785,2020-09-18,2020-09-19
47,Osasuna,ESP,1,1701.1541748,2020-09-20,2020-09-20
46,Osasuna,ESP,1,1701.1541748,2020-09-21,2020-09-24
46,Osasuna,ESP,1,1701.38916016,2020-09-25,2020-09-27
52,Osasuna,ESP,1,1687.34118652,2020-09-28,2020-10-01
52,Osasuna,ESP,1,1690.00366211,2020-10-02,2020-10-03
53,Osasuna,ESP,1,1690.00366211,2020-10-04,2020-10-04
48,Osasuna,ESP,1,1698.76208496,2020-10-05,2020-10-17
49,Osasuna,ESP,1,1698.76208496,2020-10-18,2020-10-18
48,Osasuna,ESP,1,1699.74804688,2020-10-19,2020-10-20
47,Osasuna,ESP,1,1700.43457031,2020-10-21,2020-10-21
49,Osasuna,ESP,1,1693.84191895,2020-10-22,2020-10-22
48,Osasuna,ESP,1,1698.08544922,2020-10-23,2020-10-24
45,Osasuna,ESP,1,1704.90649414,2020-10-25,2020-10-27
45,Osasuna,ESP,1,1705.41479492,2020-10-28,2020-10-28
45,Osasuna,ESP,1,1709.55444336,2020-10-29,2020-10-29
46,Osasuna,ESP,1,1705.79309082,2020-10-30,2020-10-30
45,Osasuna,ESP,1,1705.79309082,2020-10-31,2020-10-31
47,Osasuna,ESP,1,1698.73132324,2020-11-01,2020-11-03
49,Osasuna,ESP,1,1698.13989258,2020-11-04,2020-11-04
48,Osasuna,ESP,1,1699.10351562,2020-11-05,2020-11-05
48,Osasuna,ESP,1,1702.86291504,2020-11-06,2020-11-07
49,Osasuna,ESP,1,1699.45898438,2020-11-08,2020-11-08
50,Osasuna,ESP,1,1699.45898438,2020-11-09,2020-11-20
50,Osasuna,ESP,1,1695.01660156,2020-11-21,2020-11-24
50,Osasuna,ESP,1,1697.38891602,2020-11-25,2020-11-25
48,Osasuna,ESP,1,1698.08056641,2020-11-26,2020-11-26
49,Osasuna,ESP,1,1696.00842285,2020-11-27,2020-11-27
48,Osasuna,ESP,1,1696.00842285,2020-11-28,2020-11-29
50,Osasuna,ESP,1,1692.1114502,2020-11-30,2020-11-30
49,Osasuna,ESP,1,1692.1114502,2020-12-01,2020-12-01
50,Osasuna,ESP,1,1688.23474121,2020-12-02,2020-12-02
51,Osasuna,ESP,1,1683.56945801,2020-12-03,2020-12-03
52,Osasuna,ESP,1,1678.46032715,2020-12-04,2020-12-04
53,Osasuna,ESP,1,1678.46032715,2020-12-05,2020-12-05
54,Osasuna,ESP,1,1678.46032715,2020-12-06,2020-12-06
65,Osasuna,ESP,1,1663.75415039,2020-12-07,2020-12-08
67,Osasuna,ESP,1,1659.70117188,2020-12-09,2020-12-09
