Rank,Club,Country,Level,Elo,From,To
None,Oviedo,ESP,2,1503.43493652,2020-01-06,2020-01-16
None,Oviedo,ESP,2,1497.27502441,2020-01-17,2020-01-19
None,Oviedo,ESP,2,1498.21044922,2020-01-20,2020-01-26
None,Oviedo,ESP,2,1502.12780762,2020-01-27,2020-02-02
None,Oviedo,ESP,2,1510.19116211,2020-02-03,2020-02-09
None,Oviedo,ESP,2,1513.92150879,2020-02-10,2020-02-15
None,Oviedo,ESP,2,1502.91577148,2020-02-16,2020-02-18
None,Oviedo,ESP,2,1505.17419434,2020-02-19,2020-02-19
None,Oviedo,ESP,2,1500.51098633,2020-02-20,2020-02-20
None,Oviedo,ESP,2,1500.51574707,2020-02-21,2020-02-23
None,Oviedo,ESP,2,1493.18041992,2020-02-24,2020-02-25
None,Oviedo,ESP,2,1493.12536621,2020-02-26,2020-02-26
None,Oviedo,ESP,2,1491.33813477,2020-02-27,2020-02-27
None,Oviedo,ESP,2,1492.34973145,2020-02-28,2020-03-01
None,Oviedo,ESP,2,1498.99169922,2020-03-02,2020-03-07
None,Oviedo,ESP,2,1508.24731445,2020-03-08,2020-03-10
None,Oviedo,ESP,2,1506.67175293,2020-03-11,2020-03-11
None,Oviedo,ESP,2,1513.45629883,2020-03-12,2020-06-12
None,Oviedo,ESP,2,1510.6373291,2020-06-13,2020-06-17
None,Oviedo,ESP,2,1508.59753418,2020-06-18,2020-06-22
None,Oviedo,ESP,2,1519.43359375,2020-06-23,2020-06-25
None,Oviedo,ESP,2,1516.71875,2020-06-26,2020-06-28
None,Oviedo,ESP,2,1508.7097168,2020-06-29,2020-07-01
None,Oviedo,ESP,2,1514.79284668,2020-07-02,2020-07-04
None,Oviedo,ESP,2,1507.3125,2020-07-05,2020-07-08
None,Oviedo,ESP,2,1514.08874512,2020-07-09,2020-07-12
None,Oviedo,ESP,2,1529.03369141,2020-07-13,2020-07-17
None,Oviedo,ESP,2,1533.23217773,2020-07-18,2020-07-20
None,Oviedo,ESP,2,1526.84655762,2020-07-21,2020-08-05
None,Oviedo,ESP,2,1523.96166992,2020-08-06,2020-08-06
None,Oviedo,ESP,2,1526.81738281,2020-08-07,2020-08-07
None,Oviedo,ESP,2,1525.61572266,2020-08-08,2020-08-08
None,Oviedo,ESP,2,1527.09423828,2020-08-09,2020-08-11
None,Oviedo,ESP,2,1529.35083008,2020-08-12,2020-08-13
None,Oviedo,ESP,2,1526.23571777,2020-08-14,2020-08-14
None,Oviedo,ESP,2,1520.95983887,2020-08-15,2020-08-16
None,Oviedo,ESP,2,1523.81298828,2020-08-17,2020-08-21
None,Oviedo,ESP,2,1526.39880371,2020-08-22,2020-09-13
None,Oviedo,ESP,2,1522.15075684,2020-09-14,2020-09-17
None,Oviedo,ESP,2,1522.71801758,2020-09-18,2020-09-19
None,Oviedo,ESP,2,1523.84423828,2020-09-20,2020-09-24
None,Oviedo,ESP,2,1524.07922363,2020-09-25,2020-09-27
None,Oviedo,ESP,2,1513.51428223,2020-09-28,2020-10-01
None,Oviedo,ESP,2,1516.17663574,2020-10-02,2020-10-03
None,Oviedo,ESP,2,1517.13830566,2020-10-04,2020-10-11
None,Oviedo,ESP,2,1524.80981445,2020-10-12,2020-10-18
None,Oviedo,ESP,2,1519.20129395,2020-10-19,2020-10-20
None,Oviedo,ESP,2,1519.88781738,2020-10-21,2020-10-21
None,Oviedo,ESP,2,1513.29516602,2020-10-22,2020-10-22
None,Oviedo,ESP,2,1517.7623291,2020-10-23,2020-10-25
None,Oviedo,ESP,2,1513.87744141,2020-10-26,2020-10-27
None,Oviedo,ESP,2,1514.38562012,2020-10-28,2020-10-28
None,Oviedo,ESP,2,1506.54956055,2020-10-29,2020-10-29
None,Oviedo,ESP,2,1502.78820801,2020-10-30,2020-10-31
None,Oviedo,ESP,2,1513.36804199,2020-11-01,2020-11-03
None,Oviedo,ESP,2,1512.77661133,2020-11-04,2020-11-04
None,Oviedo,ESP,2,1513.74023438,2020-11-05,2020-11-05
None,Oviedo,ESP,2,1517.49963379,2020-11-06,2020-11-08
None,Oviedo,ESP,2,1526.8425293,2020-11-09,2020-11-13
