Rank,Club,Country,Level,Elo,From,To
None,Paris FC,FRA,2,1350.00805664,2020-01-11,2020-01-24
None,Paris FC,FRA,2,1347.16125488,2020-01-25,2020-01-31
None,Paris FC,FRA,2,1347.84033203,2020-02-01,2020-02-04
None,Paris FC,FRA,2,1339.95910645,2020-02-05,2020-02-07
None,Paris FC,FRA,2,1349.43249512,2020-02-08,2020-02-14
None,Paris FC,FRA,2,1358.98144531,2020-02-15,2020-02-18
None,Paris FC,FRA,2,1357.35510254,2020-02-19,2020-02-21
None,Paris FC,FRA,2,1369.39550781,2020-02-22,2020-02-26
None,Paris FC,FRA,2,1371.99414062,2020-02-27,2020-03-02
None,Paris FC,FRA,2,1361.93432617,2020-03-03,2020-03-06
None,Paris FC,FRA,2,1366.56542969,2020-03-07,2020-03-11
None,Paris FC,FRA,2,1371.51257324,2020-03-12,2020-08-07
None,Paris FC,FRA,2,1374.19677734,2020-08-08,2020-08-12
None,Paris FC,FRA,2,1376.53991699,2020-08-13,2020-08-15
None,Paris FC,FRA,2,1384.74731445,2020-08-16,2020-08-18
None,Paris FC,FRA,2,1389.15209961,2020-08-19,2020-08-19
None,Paris FC,FRA,2,1387.7331543,2020-08-20,2020-08-22
None,Paris FC,FRA,2,1403.30871582,2020-08-23,2020-08-23
None,Paris FC,FRA,2,1401.25830078,2020-08-24,2020-08-29
None,Paris FC,FRA,2,1408.7064209,2020-08-30,2020-09-12
None,Paris FC,FRA,2,1420.60253906,2020-09-13,2020-09-17
None,Paris FC,FRA,2,1423.05529785,2020-09-18,2020-09-19
None,Paris FC,FRA,2,1408.04797363,2020-09-20,2020-09-24
None,Paris FC,FRA,2,1406.87719727,2020-09-25,2020-09-26
None,Paris FC,FRA,2,1407.12255859,2020-09-27,2020-10-03
None,Paris FC,FRA,2,1422.07067871,2020-10-04,2020-10-17
None,Paris FC,FRA,2,1426.45617676,2020-10-18,2020-10-20
None,Paris FC,FRA,2,1420.08544922,2020-10-21,2020-10-21
None,Paris FC,FRA,2,1417.83129883,2020-10-22,2020-10-22
None,Paris FC,FRA,2,1418.84716797,2020-10-23,2020-10-24
None,Paris FC,FRA,2,1427.43859863,2020-10-25,2020-10-27
None,Paris FC,FRA,2,1425.16394043,2020-10-28,2020-10-28
None,Paris FC,FRA,2,1425.25280762,2020-10-29,2020-10-29
None,Paris FC,FRA,2,1424.85131836,2020-10-30,2020-10-31
None,Paris FC,FRA,2,1434.9420166,2020-11-01,2020-11-03
None,Paris FC,FRA,2,1431.42932129,2020-11-04,2020-11-04
None,Paris FC,FRA,2,1426.70007324,2020-11-05,2020-11-05
None,Paris FC,FRA,2,1432.09423828,2020-11-06,2020-11-07
None,Paris FC,FRA,2,1439.23034668,2020-11-08,2020-11-21
None,Paris FC,FRA,2,1420.92553711,2020-11-22,2020-11-24
None,Paris FC,FRA,2,1421.7232666,2020-11-25,2020-11-25
None,Paris FC,FRA,2,1417.55993652,2020-11-26,2020-11-26
None,Paris FC,FRA,2,1412.92553711,2020-11-27,2020-11-28
None,Paris FC,FRA,2,1414.22717285,2020-11-29,2020-12-01
None,Paris FC,FRA,2,1414.88818359,2020-12-02,2020-12-02
None,Paris FC,FRA,2,1416.41259766,2020-12-03,2020-12-03
None,Paris FC,FRA,2,1416.2109375,2020-12-04,2020-12-05
None,Paris FC,FRA,2,1411.32739258,2020-12-06,2020-12-08
None,Paris FC,FRA,2,1409.09741211,2020-12-09,2020-12-09
None,Paris FC,FRA,2,1408.84509277,2020-12-10,2020-12-10
None,Paris FC,FRA,2,1400.79150391,2020-12-11,2020-12-12
None,Paris FC,FRA,2,1396.72912598,2020-12-13,2020-12-19
None,Paris FC,FRA,2,1391.0300293,2020-12-20,2020-12-22
None,Paris FC,FRA,2,1397.91113281,2020-12-23,2021-01-05
None,Paris FC,FRA,2,1391.94348145,2021-01-06,2021-01-08
None,Paris FC,FRA,2,1390.95483398,2021-01-09,2021-01-23
None,Paris FC,FRA,2,1403.66748047,2021-01-24,2021-01-26
None,Paris FC,FRA,2,1393.20812988,2021-01-27,2021-01-30
None,Paris FC,FRA,2,1392.72229004,2021-01-31,2021-02-02
None,Paris FC,FRA,2,1389.55969238,2021-02-03,2021-02-06
None,Paris FC,FRA,2,1382.32958984,2021-02-07,2021-02-13
None,Paris FC,FRA,2,1380.8717041,2021-02-14,2021-02-16
None,Paris FC,FRA,2,1388.82080078,2021-02-17,2021-02-18
None,Paris FC,FRA,2,1385.88647461,2021-02-19,2021-02-20
None,Paris FC,FRA,2,1390.90551758,2021-02-21,2021-02-25
None,Paris FC,FRA,2,1388.9666748,2021-02-26,2021-02-27
None,Paris FC,FRA,2,1401.64990234,2021-02-28,2021-03-02
None,Paris FC,FRA,2,1406.63439941,2021-03-03,2021-03-10
None,Paris FC,FRA,2,1407.4050293,2021-03-11,2021-03-13
None,Paris FC,FRA,2,1408.91674805,2021-03-14,2021-03-20
None,Paris FC,FRA,2,1420.62597656,2021-03-21,2021-04-03
None,Paris FC,FRA,2,1429.73425293,2021-04-04,2021-04-07
None,Paris FC,FRA,2,1434.33825684,2021-04-08,2021-04-10
None,Paris FC,FRA,2,1435.04016113,2021-04-11,2021-04-13
None,Paris FC,FRA,2,1435.29492188,2021-04-14,2021-04-17
None,Paris FC,FRA,2,1434.26098633,2021-04-18,2021-04-20
None,Paris FC,FRA,2,1426.84008789,2021-04-21,2021-04-24
None,Paris FC,FRA,2,1426.79150391,2021-04-25,2021-04-28
None,Paris FC,FRA,2,1425.09020996,2021-04-29,2021-05-01
None,Paris FC,FRA,2,1436.99243164,2021-05-02,2021-05-04
None,Paris FC,FRA,2,1435.50183105,2021-05-05,2021-05-08
None,Paris FC,FRA,2,1435.02392578,2021-05-09,2021-05-15
None,Paris FC,FRA,2,1443.12158203,2021-05-16,2021-07-24
None,Paris FC,FRA,2,1460.30175781,2021-07-25,2021-07-31
None,Paris FC,FRA,2,1464.39050293,2021-08-01,2021-08-03
None,Paris FC,FRA,2,1467.20678711,2021-08-04,2021-08-07
None,Paris FC,FRA,2,1474.5300293,2021-08-08,2021-08-10
None,Paris FC,FRA,2,1476.14123535,2021-08-11,2021-08-16
None,Paris FC,FRA,2,1474.96557617,2021-08-17,2021-08-17
None,Paris FC,FRA,2,1471.98571777,2021-08-18,2021-08-19
None,Paris FC,FRA,2,1473.7746582,2021-08-20,2021-08-25
None,Paris FC,FRA,2,1472.76049805,2021-08-26,2021-08-26
None,Paris FC,FRA,2,1474.78503418,2021-08-27,2021-08-28
None,Paris FC,FRA,2,1479.55981445,2021-08-29,2021-09-11
None,Paris FC,FRA,2,1468.86975098,2021-09-12,2021-09-14
None,Paris FC,FRA,2,1460.16821289,2021-09-15,2021-09-15
None,Paris FC,FRA,2,1458.08190918,2021-09-16,2021-09-16
