Rank,Club,Country,Level,Elo,From,To
7,Paris SG,FRA,1,1868.89050293,2020-01-13,2020-01-15
7,Paris SG,FRA,1,1874.49401855,2020-01-16,2020-01-26
7,Paris SG,FRA,1,1879.57019043,2020-01-27,2020-02-01
7,Paris SG,FRA,1,1884.09729004,2020-02-02,2020-02-04
7,Paris SG,FRA,1,1886.73632812,2020-02-05,2020-02-09
7,Paris SG,FRA,1,1890.39257812,2020-02-10,2020-02-15
7,Paris SG,FRA,1,1882.57861328,2020-02-16,2020-02-18
7,Paris SG,FRA,1,1876.59179688,2020-02-19,2020-02-23
7,Paris SG,FRA,1,1878.24121094,2020-02-24,2020-02-26
7,Paris SG,FRA,1,1880.83984375,2020-02-27,2020-02-29
7,Paris SG,FRA,1,1882.91467285,2020-03-01,2020-03-10
6,Paris SG,FRA,1,1882.91467285,2020-03-11,2020-03-11
6,Paris SG,FRA,1,1901.07177734,2020-03-12,2020-06-21
7,Paris SG,FRA,1,1901.07177734,2020-06-22,2020-07-07
6,Paris SG,FRA,1,1901.07177734,2020-07-08,2020-07-16
7,Paris SG,FRA,1,1901.07177734,2020-07-17,2020-07-19
6,Paris SG,FRA,1,1901.07177734,2020-07-20,2020-08-07
6,Paris SG,FRA,1,1903.75598145,2020-08-08,2020-08-12
6,Paris SG,FRA,1,1911.93908691,2020-08-13,2020-08-15
5,Paris SG,FRA,1,1920.14648438,2020-08-16,2020-08-18
5,Paris SG,FRA,1,1935.58483887,2020-08-19,2020-08-19
5,Paris SG,FRA,1,1934.16589355,2020-08-20,2020-08-23
5,Paris SG,FRA,1,1926.95141602,2020-08-24,2020-09-10
6,Paris SG,FRA,1,1910.82543945,2020-09-11,2020-09-13
6,Paris SG,FRA,1,1896.93115234,2020-09-14,2020-09-16
6,Paris SG,FRA,1,1898.13916016,2020-09-17,2020-09-17
6,Paris SG,FRA,1,1900.59191895,2020-09-18,2020-09-20
6,Paris SG,FRA,1,1905.88769531,2020-09-21,2020-09-24
6,Paris SG,FRA,1,1904.71691895,2020-09-25,2020-09-27
6,Paris SG,FRA,1,1908.59069824,2020-09-28,2020-10-02
6,Paris SG,FRA,1,1911.64624023,2020-10-03,2020-10-16
6,Paris SG,FRA,1,1915.92907715,2020-10-17,2020-10-17
5,Paris SG,FRA,1,1915.92907715,2020-10-18,2020-10-20
6,Paris SG,FRA,1,1897.94848633,2020-10-21,2020-10-21
6,Paris SG,FRA,1,1895.69433594,2020-10-22,2020-10-22
6,Paris SG,FRA,1,1896.71020508,2020-10-23,2020-10-24
6,Paris SG,FRA,1,1898.33984375,2020-10-25,2020-10-27
6,Paris SG,FRA,1,1896.06518555,2020-10-28,2020-10-28
7,Paris SG,FRA,1,1899.14465332,2020-10-29,2020-10-29
6,Paris SG,FRA,1,1898.74316406,2020-10-30,2020-10-31
6,Paris SG,FRA,1,1902.98461914,2020-11-01,2020-11-03
6,Paris SG,FRA,1,1899.47192383,2020-11-04,2020-11-04
7,Paris SG,FRA,1,1887.0435791,2020-11-05,2020-11-05
7,Paris SG,FRA,1,1892.43774414,2020-11-06,2020-11-07
7,Paris SG,FRA,1,1896.22253418,2020-11-08,2020-11-20
7,Paris SG,FRA,1,1882.76574707,2020-11-21,2020-11-24
7,Paris SG,FRA,1,1889.52856445,2020-11-25,2020-11-25
7,Paris SG,FRA,1,1885.36535645,2020-11-26,2020-11-26
8,Paris SG,FRA,1,1880.73083496,2020-11-27,2020-11-28
8,Paris SG,FRA,1,1873.16186523,2020-11-29,2020-11-29
