Rank,Club,Country,Level,Elo,From,To
12,RB Leipzig,GER,1,1827.23059082,2020-01-12,2020-01-18
11,RB Leipzig,GER,1,1829.86230469,2020-01-19,2020-01-25
16,RB Leipzig,GER,1,1815.59130859,2020-01-26,2020-02-01
16,RB Leipzig,GER,1,1811.42236328,2020-02-02,2020-02-09
15,RB Leipzig,GER,1,1816.625,2020-02-10,2020-02-15
13,RB Leipzig,GER,1,1820.82116699,2020-02-16,2020-02-18
12,RB Leipzig,GER,1,1822.29101562,2020-02-19,2020-02-19
10,RB Leipzig,GER,1,1834.17346191,2020-02-20,2020-02-20
10,RB Leipzig,GER,1,1842.2824707,2020-02-21,2020-02-22
8,RB Leipzig,GER,1,1855.49584961,2020-02-23,2020-02-25
8,RB Leipzig,GER,1,1858.59631348,2020-02-26,2020-02-27
8,RB Leipzig,GER,1,1867.7767334,2020-02-28,2020-02-28
8,RB Leipzig,GER,1,1869.30554199,2020-02-29,2020-03-01
9,RB Leipzig,GER,1,1866.2487793,2020-03-02,2020-03-07
9,RB Leipzig,GER,1,1863.73364258,2020-03-08,2020-03-10
9,RB Leipzig,GER,1,1879.29650879,2020-03-11,2020-03-11
8,RB Leipzig,GER,1,1874.91796875,2020-03-12,2020-03-12
9,RB Leipzig,GER,1,1866.29296875,2020-03-13,2020-05-16
9,RB Leipzig,GER,1,1859.68664551,2020-05-17,2020-05-23
10,RB Leipzig,GER,1,1859.68664551,2020-05-24,2020-05-24
9,RB Leipzig,GER,1,1868.47888184,2020-05-25,2020-05-27
9,RB Leipzig,GER,1,1862.16174316,2020-05-28,2020-05-31
10,RB Leipzig,GER,1,1862.16174316,2020-06-01,2020-06-01
9,RB Leipzig,GER,1,1867.30834961,2020-06-02,2020-06-06
10,RB Leipzig,GER,1,1859.1875,2020-06-07,2020-06-12
10,RB Leipzig,GER,1,1865.98156738,2020-06-13,2020-06-17
9,RB Leipzig,GER,1,1859.01342773,2020-06-18,2020-06-20
11,RB Leipzig,GER,1,1846.3182373,2020-06-21,2020-06-27
10,RB Leipzig,GER,1,1849.79077148,2020-06-28,2020-08-01
9,RB Leipzig,GER,1,1849.79077148,2020-08-02,2020-08-05
10,RB Leipzig,GER,1,1846.11047363,2020-08-06,2020-08-06
10,RB Leipzig,GER,1,1844.3996582,2020-08-07,2020-08-07
9,RB Leipzig,GER,1,1844.3996582,2020-08-08,2020-08-08
9,RB Leipzig,GER,1,1844.78662109,2020-08-09,2020-08-10
9,RB Leipzig,GER,1,1842.27355957,2020-08-11,2020-08-11
10,RB Leipzig,GER,1,1842.27355957,2020-08-12,2020-08-13
9,RB Leipzig,GER,1,1855.42749023,2020-08-14,2020-08-14
9,RB Leipzig,GER,1,1861.18505859,2020-08-15,2020-08-16
8,RB Leipzig,GER,1,1861.18505859,2020-08-17,2020-08-18
11,RB Leipzig,GER,1,1846.31726074,2020-08-19,2020-08-19
11,RB Leipzig,GER,1,1847.55358887,2020-08-20,2020-08-21
10,RB Leipzig,GER,1,1847.55358887,2020-08-22,2020-08-23
10,RB Leipzig,GER,1,1849.34191895,2020-08-24,2020-09-17
10,RB Leipzig,GER,1,1850.18835449,2020-09-18,2020-09-19
9,RB Leipzig,GER,1,1850.18835449,2020-09-20,2020-09-20
9,RB Leipzig,GER,1,1854.44995117,2020-09-21,2020-09-24
9,RB Leipzig,GER,1,1855.61022949,2020-09-25,2020-09-26
9,RB Leipzig,GER,1,1854.9230957,2020-09-27,2020-10-01
9,RB Leipzig,GER,1,1851.60913086,2020-10-02,2020-10-03
9,RB Leipzig,GER,1,1855.87329102,2020-10-04,2020-10-17
9,RB Leipzig,GER,1,1861.39990234,2020-10-18,2020-10-20
9,RB Leipzig,GER,1,1859.09924316,2020-10-21,2020-10-21
8,RB Leipzig,GER,1,1863.1697998,2020-10-22,2020-10-22
8,RB Leipzig,GER,1,1867.4901123,2020-10-23,2020-10-24
8,RB Leipzig,GER,1,1869.9284668,2020-10-25,2020-10-27
8,RB Leipzig,GER,1,1871.20605469,2020-10-28,2020-10-28
11,RB Leipzig,GER,1,1852.60546875,2020-10-29,2020-10-29
10,RB Leipzig,GER,1,1850.86816406,2020-10-30,2020-10-31
12,RB Leipzig,GER,1,1841.79406738,2020-11-01,2020-11-01
13,RB Leipzig,GER,1,1841.79406738,2020-11-02,2020-11-03
11,RB Leipzig,GER,1,1851.99682617,2020-11-04,2020-11-04
9,RB Leipzig,GER,1,1865.15539551,2020-11-05,2020-11-05
9,RB Leipzig,GER,1,1867.04675293,2020-11-06,2020-11-07
8,RB Leipzig,GER,1,1871.93603516,2020-11-08,2020-11-21
12,RB Leipzig,GER,1,1869.00842285,2020-11-22,2020-11-24
13,RB Leipzig,GER,1,1862.38024902,2020-11-25,2020-11-25
12,RB Leipzig,GER,1,1866.22766113,2020-11-26,2020-11-26
12,RB Leipzig,GER,1,1867.84106445,2020-11-27,2020-11-28
11,RB Leipzig,GER,1,1869.82019043,2020-11-29,2020-12-01
11,RB Leipzig,GER,1,1865.83752441,2020-12-02,2020-12-02
10,RB Leipzig,GER,1,1867.7253418,2020-12-03,2020-12-03
9,RB Leipzig,GER,1,1868.69262695,2020-12-04,2020-12-05
9,RB Leipzig,GER,1,1874.47167969,2020-12-06,2020-12-08
7,RB Leipzig,GER,1,1884.46508789,2020-12-09,2020-12-09
