Rank,Club,Country,Level,Elo,From,To
83,Rennes,FRA,1,1631.4152832,2020-01-02,2020-01-10
90,Rennes,FRA,1,1622.90881348,2020-01-11,2020-01-12
89,Rennes,FRA,1,1622.90881348,2020-01-13,2020-01-15
83,Rennes,FRA,1,1629.78063965,2020-01-16,2020-01-17
84,Rennes,FRA,1,1629.78063965,2020-01-18,2020-01-18
81,Rennes,FRA,1,1629.78063965,2020-01-19,2020-01-21
82,Rennes,FRA,1,1629.78063965,2020-01-22,2020-01-24
82,Rennes,FRA,1,1630.48718262,2020-01-25,2020-01-25
85,Rennes,FRA,1,1630.48718262,2020-01-26,2020-01-31
78,Rennes,FRA,1,1636.00158691,2020-02-01,2020-02-02
75,Rennes,FRA,1,1636.00158691,2020-02-03,2020-02-04
79,Rennes,FRA,1,1629.23730469,2020-02-05,2020-02-08
84,Rennes,FRA,1,1625.11767578,2020-02-09,2020-02-09
85,Rennes,FRA,1,1625.11767578,2020-02-10,2020-02-12
84,Rennes,FRA,1,1625.11767578,2020-02-13,2020-02-14
83,Rennes,FRA,1,1625.11767578,2020-02-15,2020-02-15
82,Rennes,FRA,1,1625.11767578,2020-02-16,2020-02-16
85,Rennes,FRA,1,1617.31152344,2020-02-17,2020-02-18
87,Rennes,FRA,1,1615.68505859,2020-02-19,2020-02-20
90,Rennes,FRA,1,1615.68505859,2020-02-21,2020-02-22
89,Rennes,FRA,1,1615.68505859,2020-02-23,2020-02-23
84,Rennes,FRA,1,1620.96350098,2020-02-24,2020-02-26
84,Rennes,FRA,1,1623.56213379,2020-02-27,2020-02-27
86,Rennes,FRA,1,1623.56213379,2020-02-28,2020-02-29
80,Rennes,FRA,1,1629.52685547,2020-03-01,2020-03-03
79,Rennes,FRA,1,1629.52685547,2020-03-04,2020-03-07
78,Rennes,FRA,1,1629.52685547,2020-03-08,2020-03-08
71,Rennes,FRA,1,1644.61437988,2020-03-09,2020-03-10
69,Rennes,FRA,1,1644.61437988,2020-03-11,2020-03-11
64,Rennes,FRA,1,1649.56152344,2020-03-12,2020-03-12
66,Rennes,FRA,1,1649.56152344,2020-03-13,2020-05-17
65,Rennes,FRA,1,1649.56152344,2020-05-18,2020-05-22
66,Rennes,FRA,1,1649.56152344,2020-05-23,2020-05-29
67,Rennes,FRA,1,1649.56152344,2020-05-30,2020-05-30
66,Rennes,FRA,1,1649.56152344,2020-05-31,2020-06-13
67,Rennes,FRA,1,1649.56152344,2020-06-14,2020-06-14
65,Rennes,FRA,1,1649.56152344,2020-06-15,2020-06-16
66,Rennes,FRA,1,1649.56152344,2020-06-17,2020-06-17
68,Rennes,FRA,1,1649.56152344,2020-06-18,2020-06-20
69,Rennes,FRA,1,1649.56152344,2020-06-21,2020-06-25
68,Rennes,FRA,1,1649.56152344,2020-06-26,2020-06-27
69,Rennes,FRA,1,1649.56152344,2020-06-28,2020-06-30
67,Rennes,FRA,1,1649.56152344,2020-07-01,2020-07-01
65,Rennes,FRA,1,1649.56152344,2020-07-02,2020-07-04
66,Rennes,FRA,1,1649.56152344,2020-07-05,2020-07-05
68,Rennes,FRA,1,1649.56152344,2020-07-06,2020-07-08
66,Rennes,FRA,1,1649.56152344,2020-07-09,2020-07-15
67,Rennes,FRA,1,1649.56152344,2020-07-16,2020-07-16
69,Rennes,FRA,1,1649.56152344,2020-07-17,2020-07-18
68,Rennes,FRA,1,1649.56152344,2020-07-19,2020-07-21
67,Rennes,FRA,1,1649.56152344,2020-07-22,2020-08-03
66,Rennes,FRA,1,1649.56152344,2020-08-04,2020-08-07
65,Rennes,FRA,1,1652.24572754,2020-08-08,2020-08-08
66,Rennes,FRA,1,1652.24572754,2020-08-09,2020-08-10
65,Rennes,FRA,1,1652.24572754,2020-08-11,2020-08-11
64,Rennes,FRA,1,1652.24572754,2020-08-12,2020-08-12
64,Rennes,FRA,1,1654.58886719,2020-08-13,2020-08-14
65,Rennes,FRA,1,1654.58886719,2020-08-15,2020-08-15
60,Rennes,FRA,1,1662.79626465,2020-08-16,2020-08-16
61,Rennes,FRA,1,1662.79626465,2020-08-17,2020-08-18
58,Rennes,FRA,1,1667.2010498,2020-08-19,2020-08-19
58,Rennes,FRA,1,1665.78198242,2020-08-20,2020-08-21
59,Rennes,FRA,1,1665.78198242,2020-08-22,2020-08-22
59,Rennes,FRA,1,1667.71044922,2020-08-23,2020-08-23
59,Rennes,FRA,1,1665.66003418,2020-08-24,2020-08-29
55,Rennes,FRA,1,1671.48840332,2020-08-30,2020-09-12
56,Rennes,FRA,1,1671.48840332,2020-09-13,2020-09-13
54,Rennes,FRA,1,1680.671875,2020-09-14,2020-09-17
53,Rennes,FRA,1,1683.12463379,2020-09-18,2020-09-19
52,Rennes,FRA,1,1688.4173584,2020-09-20,2020-09-20
51,Rennes,FRA,1,1688.4173584,2020-09-21,2020-09-24
51,Rennes,FRA,1,1687.24645996,2020-09-25,2020-09-26
