Rank,Club,Country,Level,Elo,From,To
None,Santander,ESP,2,1444.50964355,2020-01-05,2020-01-16
None,Santander,ESP,2,1439.1907959,2020-01-17,2020-01-19
None,Santander,ESP,2,1439.40661621,2020-01-20,2020-01-24
None,Santander,ESP,2,1436.20300293,2020-01-25,2020-02-02
None,Santander,ESP,2,1435.59289551,2020-02-03,2020-02-07
None,Santander,ESP,2,1449.0526123,2020-02-08,2020-02-16
None,Santander,ESP,2,1436.59375,2020-02-17,2020-02-18
None,Santander,ESP,2,1438.85217285,2020-02-19,2020-02-19
None,Santander,ESP,2,1434.18896484,2020-02-20,2020-02-20
None,Santander,ESP,2,1434.19372559,2020-02-21,2020-02-23
None,Santander,ESP,2,1428.73510742,2020-02-24,2020-02-25
None,Santander,ESP,2,1428.68005371,2020-02-26,2020-02-26
None,Santander,ESP,2,1426.89282227,2020-02-27,2020-02-27
None,Santander,ESP,2,1427.90454102,2020-02-28,2020-02-29
None,Santander,ESP,2,1429.92456055,2020-03-01,2020-03-07
None,Santander,ESP,2,1441.82714844,2020-03-08,2020-03-10
None,Santander,ESP,2,1440.25158691,2020-03-11,2020-03-11
None,Santander,ESP,2,1447.03601074,2020-03-12,2020-06-13
None,Santander,ESP,2,1437.47912598,2020-06-14,2020-06-16
None,Santander,ESP,2,1442.99731445,2020-06-17,2020-06-21
None,Santander,ESP,2,1434.90405273,2020-06-22,2020-06-24
None,Santander,ESP,2,1438.67077637,2020-06-25,2020-06-27
None,Santander,ESP,2,1429.9987793,2020-06-28,2020-07-01
None,Santander,ESP,2,1421.74145508,2020-07-02,2020-07-04
None,Santander,ESP,2,1414.97253418,2020-07-05,2020-07-07
None,Santander,ESP,2,1410.35693359,2020-07-08,2020-07-11
None,Santander,ESP,2,1421.54846191,2020-07-12,2020-07-17
None,Santander,ESP,2,1417.34997559,2020-07-18,2020-07-20
None,Santander,ESP,2,1411.64245605,2020-07-21,2020-08-05
None,Santander,ESP,2,1408.75756836,2020-08-06,2020-08-06
None,Santander,ESP,2,1411.61328125,2020-08-07,2020-08-07
None,Santander,ESP,2,1410.41149902,2020-08-08,2020-08-08
None,Santander,ESP,2,1411.89013672,2020-08-09,2020-08-11
None,Santander,ESP,2,1414.14672852,2020-08-12,2020-08-13
None,Santander,ESP,2,1411.03161621,2020-08-14,2020-08-14
None,Santander,ESP,2,1405.7557373,2020-08-15,2020-08-16
None,Santander,ESP,2,1408.60888672,2020-08-17,2020-08-21
None,Santander,ESP,2,1411.19470215,2020-08-22,2020-09-12
None,Santander,ESP,2,1441.13244629,2022-07-01,2022-08-14
None,Santander,ESP,2,1427.72045898,2022-08-15,2022-08-18
None,Santander,ESP,2,1428.06030273,2022-08-19,2022-08-20
None,Santander,ESP,2,1424.65612793,2022-08-21,2022-08-25
None,Santander,ESP,2,1425.09472656,2022-08-26,2022-08-28
None,Santander,ESP,2,1419.63061523,2022-08-29,2022-09-03
None,Santander,ESP,2,1415.52770996,2022-09-04,2022-09-06
None,Santander,ESP,2,1414.33251953,2022-09-07,2022-09-07
None,Santander,ESP,2,1417.19030762,2022-09-08,2022-09-08
None,Santander,ESP,2,1421.37719727,2022-09-09,2022-09-11
None,Santander,ESP,2,1438.43151855,2022-09-12,2022-09-13
None,Santander,ESP,2,1431.39611816,2022-09-14,2022-09-14
None,Santander,ESP,2,1430.89709473,2022-09-15,2022-09-15
None,Santander,ESP,2,1432.5234375,2022-09-16,2022-09-18
None,Santander,ESP,2,1435.28991699,2022-09-19,2022-09-25
None,Santander,ESP,2,1432.26391602,2022-09-26,2022-10-01
None,Santander,ESP,2,1430.61291504,2022-10-02,2022-10-04
None,Santander,ESP,2,1422.828125,2022-10-05,2022-10-05
None,Santander,ESP,2,1418.22497559,2022-10-06,2022-10-06
None,Santander,ESP,2,1423.1015625,2022-10-07,2022-10-09
None,Santander,ESP,2,1437.1550293,2022-10-10,2022-10-11
None,Santander,ESP,2,1436.17041016,2022-10-12,2022-10-12
None,Santander,ESP,2,1441.71875,2022-10-13,2022-10-13
None,Santander,ESP,2,1442.14587402,2022-10-14,2022-10-15
None,Santander,ESP,2,1446.37915039,2022-10-16,2022-10-23
None,Santander,ESP,2,1445.70043945,2022-10-24,2022-10-25
None,Santander,ESP,2,1443.68115234,2022-10-26,2022-10-26
None,Santander,ESP,2,1438.28552246,2022-10-27,2022-10-27
None,Santander,ESP,2,1437.96813965,2022-10-28,2022-10-29
None,Santander,ESP,2,1441.64855957,2022-10-30,2022-11-01
None,Santander,ESP,2,1443.44641113,2022-11-02,2022-11-02
None,Santander,ESP,2,1443.45031738,2022-11-03,2022-11-03
None,Santander,ESP,2,1434.12487793,2022-11-04,2022-11-05
None,Santander,ESP,2,1444.67956543,2022-11-06,2022-11-20
None,Santander,ESP,2,1436.6875,2022-11-21,2022-11-26
None,Santander,ESP,2,1430.31005859,2022-11-27,2022-12-04
None,Santander,ESP,2,1420.37988281,2022-12-05,2022-12-08
None,Santander,ESP,2,1413.39147949,2022-12-09,2022-12-11
None,Santander,ESP,2,1404.83532715,2022-12-12,2022-12-17
None,Santander,ESP,2,1426.85192871,2022-12-18,2023-01-08
None,Santander,ESP,2,1432.10791016,2023-01-09,2023-01-14
None,Santander,ESP,2,1443.16552734,2023-01-15,2023-01-21
