Rank,Club,Country,Level,Elo,From,To
43,Schalke,GER,1,1696.17675781,2020-01-02,2020-01-05
42,Schalke,GER,1,1696.17675781,2020-01-06,2020-01-11
44,Schalke,GER,1,1696.17675781,2020-01-12,2020-01-12
45,Schalke,GER,1,1696.17675781,2020-01-13,2020-01-17
37,Schalke,GER,1,1706.35986328,2020-01-18,2020-01-18
38,Schalke,GER,1,1706.35986328,2020-01-19,2020-01-19
39,Schalke,GER,1,1706.35986328,2020-01-20,2020-01-22
40,Schalke,GER,1,1706.35986328,2020-01-23,2020-01-25
42,Schalke,GER,1,1701.75952148,2020-01-26,2020-01-26
44,Schalke,GER,1,1701.75952148,2020-01-27,2020-01-31
44,Schalke,GER,1,1701.5369873,2020-02-01,2020-02-02
43,Schalke,GER,1,1701.5369873,2020-02-03,2020-02-07
44,Schalke,GER,1,1701.5369873,2020-02-08,2020-02-08
48,Schalke,GER,1,1695.24694824,2020-02-09,2020-02-15
46,Schalke,GER,1,1695.24694824,2020-02-16,2020-02-16
45,Schalke,GER,1,1694.96203613,2020-02-17,2020-02-18
45,Schalke,GER,1,1696.43188477,2020-02-19,2020-02-19
42,Schalke,GER,1,1699.42224121,2020-02-20,2020-02-20
40,Schalke,GER,1,1707.53125,2020-02-21,2020-02-22
46,Schalke,GER,1,1694.31774902,2020-02-23,2020-02-23
47,Schalke,GER,1,1694.31774902,2020-02-24,2020-02-25
45,Schalke,GER,1,1697.41821289,2020-02-26,2020-02-27
43,Schalke,GER,1,1706.59875488,2020-02-28,2020-02-28
42,Schalke,GER,1,1708.12744141,2020-02-29,2020-02-29
45,Schalke,GER,1,1693.47167969,2020-03-01,2020-03-01
46,Schalke,GER,1,1693.47167969,2020-03-02,2020-03-04
47,Schalke,GER,1,1693.47167969,2020-03-05,2020-03-07
48,Schalke,GER,1,1692.73535156,2020-03-08,2020-03-08
49,Schalke,GER,1,1692.73535156,2020-03-09,2020-03-09
48,Schalke,GER,1,1692.73535156,2020-03-10,2020-03-10
46,Schalke,GER,1,1696.61621094,2020-03-11,2020-03-11
47,Schalke,GER,1,1692.2376709,2020-03-12,2020-03-12
50,Schalke,GER,1,1683.61254883,2020-03-13,2020-05-16
58,Schalke,GER,1,1677.33862305,2020-05-17,2020-05-24
63,Schalke,GER,1,1658.31848145,2020-05-25,2020-05-27
65,Schalke,GER,1,1649.8449707,2020-05-28,2020-05-29
66,Schalke,GER,1,1649.8449707,2020-05-30,2020-05-30
73,Schalke,GER,1,1640.11694336,2020-05-31,2020-06-02
