Rank,Club,Country,Level,Elo,From,To
26,Sociedad,ESP,1,1767.14038086,2020-01-02,2020-01-05
28,Sociedad,ESP,1,1756.64758301,2020-01-06,2020-01-18
27,Sociedad,ESP,1,1756.64758301,2020-01-19,2020-01-19
33,Sociedad,ESP,1,1743.16918945,2020-01-20,2020-01-21
32,Sociedad,ESP,1,1743.16918945,2020-01-22,2020-01-25
33,Sociedad,ESP,1,1743.16918945,2020-01-26,2020-01-26
29,Sociedad,ESP,1,1748.47290039,2020-01-27,2020-02-02
32,Sociedad,ESP,1,1739.41809082,2020-02-03,2020-02-05
31,Sociedad,ESP,1,1739.41809082,2020-02-06,2020-02-09
31,Sociedad,ESP,1,1745.50976562,2020-02-10,2020-02-16
32,Sociedad,ESP,1,1745.50976562,2020-02-17,2020-02-18
31,Sociedad,ESP,1,1747.76806641,2020-02-19,2020-02-19
32,Sociedad,ESP,1,1743.10498047,2020-02-20,2020-02-20
33,Sociedad,ESP,1,1743.10961914,2020-02-21,2020-02-22
29,Sociedad,ESP,1,1755.65197754,2020-02-23,2020-02-25
28,Sociedad,ESP,1,1755.59692383,2020-02-26,2020-02-26
30,Sociedad,ESP,1,1753.80969238,2020-02-27,2020-02-27
30,Sociedad,ESP,1,1754.82128906,2020-02-28,2020-02-28
29,Sociedad,ESP,1,1758.7755127,2020-02-29,2020-02-29
30,Sociedad,ESP,1,1758.7755127,2020-03-01,2020-03-01
29,Sociedad,ESP,1,1758.7755127,2020-03-02,2020-03-07
28,Sociedad,ESP,1,1756.55065918,2020-03-08,2020-03-10
26,Sociedad,ESP,1,1762.953125,2020-03-11,2020-03-11
23,Sociedad,ESP,1,1769.73754883,2020-03-12,2020-06-14
26,Sociedad,ESP,1,1765.24560547,2020-06-15,2020-06-18
28,Sociedad,ESP,1,1753.18835449,2020-06-19,2020-06-21
29,Sociedad,ESP,1,1747.3203125,2020-06-22,2020-06-24
35,Sociedad,ESP,1,1736.21557617,2020-06-25,2020-06-28
34,Sociedad,ESP,1,1736.21557617,2020-06-29,2020-06-29
36,Sociedad,ESP,1,1730.71789551,2020-06-30,2020-07-02
34,Sociedad,ESP,1,1735.17358398,2020-07-03,2020-07-06
34,Sociedad,ESP,1,1736.10192871,2020-07-07,2020-07-10
37,Sociedad,ESP,1,1725.08447266,2020-07-11,2020-07-11
38,Sociedad,ESP,1,1725.08447266,2020-07-12,2020-07-13
34,Sociedad,ESP,1,1735.88647461,2020-07-14,2020-07-15
35,Sociedad,ESP,1,1735.88647461,2020-07-16,2020-07-16
33,Sociedad,ESP,1,1736.69055176,2020-07-17,2020-07-18
34,Sociedad,ESP,1,1736.69055176,2020-07-19,2020-07-19
32,Sociedad,ESP,1,1742.5411377,2020-07-20,2020-07-26
31,Sociedad,ESP,1,1742.5411377,2020-07-27,2020-08-01
32,Sociedad,ESP,1,1742.5411377,2020-08-02,2020-08-05
