Rank,Club,Country,Level,Elo,From,To
None,Strasbourg,FRA,1,1560.30981445,2020-01-12,2020-01-25
None,Strasbourg,FRA,1,1575.16760254,2020-01-26,2020-02-01
None,Strasbourg,FRA,1,1566.91381836,2020-02-02,2020-02-05
None,Strasbourg,FRA,1,1572.84887695,2020-02-06,2020-02-09
None,Strasbourg,FRA,1,1585.84741211,2020-02-10,2020-02-16
None,Strasbourg,FRA,1,1589.92602539,2020-02-17,2020-02-18
None,Strasbourg,FRA,1,1588.29956055,2020-02-19,2020-02-22
None,Strasbourg,FRA,1,1583.9744873,2020-02-23,2020-02-26
None,Strasbourg,FRA,1,1586.57312012,2020-02-27,2020-02-29
None,Strasbourg,FRA,1,1575.99707031,2020-03-01,2020-03-11
None,Strasbourg,FRA,1,1580.9440918,2020-03-12,2020-08-07
None,Strasbourg,FRA,1,1583.62841797,2020-08-08,2020-08-12
None,Strasbourg,FRA,1,1585.97155762,2020-08-13,2020-08-15
None,Strasbourg,FRA,1,1594.17895508,2020-08-16,2020-08-18
None,Strasbourg,FRA,1,1598.58374023,2020-08-19,2020-08-19
None,Strasbourg,FRA,1,1597.16467285,2020-08-20,2020-08-23
None,Strasbourg,FRA,1,1581.79882812,2020-08-24,2020-08-29
None,Strasbourg,FRA,1,1570.10351562,2020-08-30,2020-09-12
None,Strasbourg,FRA,1,1560.76611328,2020-09-13,2020-09-17
None,Strasbourg,FRA,1,1563.21887207,2020-09-18,2020-09-20
None,Strasbourg,FRA,1,1568.82910156,2020-09-21,2020-09-24
None,Strasbourg,FRA,1,1567.65820312,2020-09-25,2020-09-27
None,Strasbourg,FRA,1,1562.14086914,2020-09-28,2020-10-04
None,Strasbourg,FRA,1,1551.61499023,2020-10-05,2020-10-18
None,Strasbourg,FRA,1,1546.27526855,2020-10-19,2020-10-20
None,Strasbourg,FRA,1,1539.90466309,2020-10-21,2020-10-21
None,Strasbourg,FRA,1,1537.6505127,2020-10-22,2020-10-22
None,Strasbourg,FRA,1,1538.66638184,2020-10-23,2020-10-25
None,Strasbourg,FRA,1,1555.1348877,2020-10-26,2020-10-27
None,Strasbourg,FRA,1,1552.86022949,2020-10-28,2020-10-28
None,Strasbourg,FRA,1,1552.94909668,2020-10-29,2020-10-29
None,Strasbourg,FRA,1,1552.54760742,2020-10-30,2020-11-01
None,Strasbourg,FRA,1,1546.92468262,2020-11-02,2020-11-03
None,Strasbourg,FRA,1,1543.4119873,2020-11-04,2020-11-04
None,Strasbourg,FRA,1,1538.68286133,2020-11-05,2020-11-05
None,Strasbourg,FRA,1,1544.07702637,2020-11-06,2020-11-06
None,Strasbourg,FRA,1,1538.07739258,2020-11-07,2020-11-22
None,Strasbourg,FRA,1,1533.23059082,2020-11-23,2020-11-24
None,Strasbourg,FRA,1,1534.02832031,2020-11-25,2020-11-25
None,Strasbourg,FRA,1,1529.8651123,2020-11-26,2020-11-26
None,Strasbourg,FRA,1,1525.23059082,2020-11-27,2020-11-27
None,Strasbourg,FRA,1,1527.01147461,2020-11-28,2020-12-01
None,Strasbourg,FRA,1,1530.09350586,2020-12-02,2020-12-02
None,Strasbourg,FRA,1,1531.61804199,2020-12-03,2020-12-03
None,Strasbourg,FRA,1,1531.41625977,2020-12-04,2020-12-06
None,Strasbourg,FRA,1,1551.66931152,2020-12-07,2020-12-08
None,Strasbourg,FRA,1,1549.43933105,2020-12-09,2020-12-09
None,Strasbourg,FRA,1,1549.18701172,2020-12-10,2020-12-10
None,Strasbourg,FRA,1,1541.13330078,2020-12-11,2020-12-13
None,Strasbourg,FRA,1,1539.91870117,2020-12-14,2020-12-16
None,Strasbourg,FRA,1,1554.32189941,2020-12-17,2020-12-20
None,Strasbourg,FRA,1,1542.19836426,2020-12-21,2020-12-23
None,Strasbourg,FRA,1,1539.34863281,2020-12-24,2021-01-06
None,Strasbourg,FRA,1,1551.10302734,2021-01-07,2021-01-09
None,Strasbourg,FRA,1,1559.43701172,2021-01-10,2021-01-17
None,Strasbourg,FRA,1,1565.63269043,2021-01-18,2021-01-24
None,Strasbourg,FRA,1,1564.66442871,2021-01-25,2021-01-31
None,Strasbourg,FRA,1,1556.21350098,2021-02-01,2021-02-03
None,Strasbourg,FRA,1,1554.11560059,2021-02-04,2021-02-06
None,Strasbourg,FRA,1,1549.0234375,2021-02-07,2021-02-14
None,Strasbourg,FRA,1,1559.046875,2021-02-15,2021-02-16
None,Strasbourg,FRA,1,1566.99597168,2021-02-17,2021-02-18
None,Strasbourg,FRA,1,1564.06164551,2021-02-19,2021-02-21
None,Strasbourg,FRA,1,1562.6427002,2021-02-22,2021-02-25
None,Strasbourg,FRA,1,1560.70397949,2021-02-26,2021-02-28
None,Strasbourg,FRA,1,1565.94787598,2021-03-01,2021-03-03
None,Strasbourg,FRA,1,1575.70056152,2021-03-04,2021-03-10
None,Strasbourg,FRA,1,1576.47119141,2021-03-11,2021-03-14
None,Strasbourg,FRA,1,1569.28259277,2021-03-15,2021-03-21
None,Strasbourg,FRA,1,1560.08361816,2021-03-22,2021-04-04
None,Strasbourg,FRA,1,1568.93347168,2021-04-05,2021-04-07
