Rank,Club,Country,Level,Elo,From,To
None,Stuttgart,GER,2,1566.40869141,2020-01-30,2020-02-01
None,Stuttgart,GER,2,1564.10107422,2020-02-02,2020-02-08
None,Stuttgart,GER,2,1570.98706055,2020-02-09,2020-02-17
None,Stuttgart,GER,2,1576.72167969,2020-02-18,2020-02-18
None,Stuttgart,GER,2,1578.19152832,2020-02-19,2020-02-19
None,Stuttgart,GER,2,1581.18200684,2020-02-20,2020-02-20
None,Stuttgart,GER,2,1589.29101562,2020-02-21,2020-02-22
98,Stuttgart,GER,2,1594.84069824,2020-02-23,2020-02-25
98,Stuttgart,GER,2,1597.94116211,2020-02-26,2020-02-26
97,Stuttgart,GER,2,1597.94116211,2020-02-27,2020-02-27
95,Stuttgart,GER,2,1607.12158203,2020-02-28,2020-02-28
95,Stuttgart,GER,2,1608.65026855,2020-02-29,2020-02-29
None,Stuttgart,GER,2,1593.82507324,2020-03-01,2020-03-09
None,Stuttgart,GER,2,1592.47973633,2020-03-10,2020-03-10
None,Stuttgart,GER,2,1596.36047363,2020-03-11,2020-03-11
None,Stuttgart,GER,2,1591.98193359,2020-03-12,2020-03-12
None,Stuttgart,GER,2,1583.35693359,2020-03-13,2020-05-17
None,Stuttgart,GER,2,1572.47802734,2020-05-18,2020-05-24
None,Stuttgart,GER,2,1563.64672852,2020-05-25,2020-05-28
None,Stuttgart,GER,2,1570.24487305,2020-05-29,2020-05-31
None,Stuttgart,GER,2,1577.31616211,2020-06-01,2020-06-07
None,Stuttgart,GER,2,1572.38964844,2020-06-08,2020-06-14
None,Stuttgart,GER,2,1561.03417969,2020-06-15,2020-06-17
None,Stuttgart,GER,2,1570.94091797,2020-06-18,2020-06-21
None,Stuttgart,GER,2,1586.47717285,2020-06-22,2020-06-28
None,Stuttgart,GER,2,1570.84143066,2020-06-29,2020-07-01
None,Stuttgart,GER,1,1570.84143066,2020-07-02,2020-08-05
None,Stuttgart,GER,1,1567.16113281,2020-08-06,2020-08-06
None,Stuttgart,GER,1,1565.45031738,2020-08-07,2020-08-08
None,Stuttgart,GER,1,1565.83728027,2020-08-09,2020-08-10
None,Stuttgart,GER,1,1563.32421875,2020-08-11,2020-08-13
None,Stuttgart,GER,1,1566.72546387,2020-08-14,2020-08-14
None,Stuttgart,GER,1,1572.48303223,2020-08-15,2020-08-18
None,Stuttgart,GER,1,1568.64880371,2020-08-19,2020-08-19
None,Stuttgart,GER,1,1569.88513184,2020-08-20,2020-08-23
None,Stuttgart,GER,1,1571.67346191,2020-08-24,2020-09-17
None,Stuttgart,GER,1,1572.51989746,2020-09-18,2020-09-19
None,Stuttgart,GER,1,1565.99023438,2020-09-20,2020-09-24
None,Stuttgart,GER,1,1567.1505127,2020-09-25,2020-09-26
None,Stuttgart,GER,1,1586.20043945,2020-09-27,2020-10-01
