Rank,Club,Country,Level,Elo,From,To
62,Torino,ITA,1,1667.51464844,2020-01-06,2020-01-06
61,Torino,ITA,1,1667.51464844,2020-01-07,2020-01-11
62,Torino,ITA,1,1667.51464844,2020-01-12,2020-01-12
58,Torino,ITA,1,1672.15795898,2020-01-13,2020-01-18
62,Torino,ITA,1,1663.15466309,2020-01-19,2020-01-25
76,Torino,ITA,1,1644.62731934,2020-01-26,2020-01-26
73,Torino,ITA,1,1644.62731934,2020-01-27,2020-01-29
74,Torino,ITA,1,1644.62731934,2020-01-30,2020-02-02
86,Torino,ITA,1,1622.58837891,2020-02-03,2020-02-08
94,Torino,ITA,1,1607.2767334,2020-02-09,2020-02-15
91,Torino,ITA,1,1607.2767334,2020-02-16,2020-02-16
93,Torino,ITA,1,1607.2767334,2020-02-17,2020-02-17
95,Torino,ITA,1,1602.10620117,2020-02-18,2020-02-19
94,Torino,ITA,1,1607.42004395,2020-02-20,2020-02-20
91,Torino,ITA,1,1610.06677246,2020-02-21,2020-02-22
92,Torino,ITA,1,1610.06677246,2020-02-23,2020-02-23
93,Torino,ITA,1,1610.06677246,2020-02-24,2020-02-25
94,Torino,ITA,1,1610.1295166,2020-02-26,2020-02-26
94,Torino,ITA,1,1607.73828125,2020-02-27,2020-02-27
94,Torino,ITA,1,1609.19482422,2020-02-28,2020-02-29
94,Torino,ITA,1,1605.81518555,2020-03-01,2020-03-01
96,Torino,ITA,1,1605.81518555,2020-03-02,2020-03-07
97,Torino,ITA,1,1605.81518555,2020-03-08,2020-03-08
98,Torino,ITA,1,1605.81518555,2020-03-09,2020-03-10
96,Torino,ITA,1,1607.61022949,2020-03-11,2020-03-11
98,Torino,ITA,1,1607.61022949,2020-03-12,2020-03-12
95,Torino,ITA,1,1607.61022949,2020-03-13,2020-05-16
94,Torino,ITA,1,1607.61022949,2020-05-17,2020-05-24
95,Torino,ITA,1,1607.61022949,2020-05-25,2020-05-31
94,Torino,ITA,1,1607.61022949,2020-06-01,2020-06-07
95,Torino,ITA,1,1607.61022949,2020-06-08,2020-06-13
94,Torino,ITA,1,1607.61022949,2020-06-14,2020-06-17
95,Torino,ITA,1,1607.61022949,2020-06-18,2020-06-20
96,Torino,ITA,1,1605.39099121,2020-06-21,2020-06-21
95,Torino,ITA,1,1605.39099121,2020-06-22,2020-06-23
89,Torino,ITA,1,1611.15551758,2020-06-24,2020-06-27
100,Torino,ITA,1,1600.71728516,2020-06-28,2020-06-30
None,Torino,ITA,1,1595.7557373,2020-07-01,2020-07-04
None,Torino,ITA,1,1593.2578125,2020-07-05,2020-07-08
None,Torino,ITA,1,1598.97839355,2020-07-09,2020-07-13
None,Torino,ITA,1,1594.8951416,2020-07-14,2020-07-16
99,Torino,ITA,1,1604.45410156,2020-07-17,2020-07-19
None,Torino,ITA,1,1595.27124023,2020-07-20,2020-07-22
None,Torino,ITA,1,1592.83935547,2020-07-23,2020-07-26
None,Torino,ITA,1,1590.4128418,2020-07-27,2020-07-29
None,Torino,ITA,1,1584.94372559,2020-07-30,2020-08-02
None,Torino,ITA,1,1586.4609375,2020-08-03,2020-08-05
None,Torino,ITA,1,1589.75256348,2020-08-06,2020-08-06
None,Torino,ITA,1,1586.49682617,2020-08-07,2020-08-07
None,Torino,ITA,1,1584.0546875,2020-08-08,2020-08-08
None,Torino,ITA,1,1582.37158203,2020-08-09,2020-08-10
None,Torino,ITA,1,1584.98840332,2020-08-11,2020-08-12
None,Torino,ITA,1,1582.86914062,2020-08-13,2020-08-17
None,Torino,ITA,1,1588.40881348,2020-08-18,2020-08-21
None,Torino,ITA,1,1585.4666748,2020-08-22,2020-09-17
None,Torino,ITA,1,1585.7635498,2020-09-18,2020-09-19
None,Torino,ITA,1,1580.30761719,2020-09-20,2020-09-24
None,Torino,ITA,1,1580.95507812,2020-09-25,2020-09-26
None,Torino,ITA,1,1576.18664551,2020-09-27,2020-10-01
None,Torino,ITA,1,1574.43908691,2020-10-02,2020-10-18
None,Torino,ITA,1,1565.17492676,2020-10-19,2020-10-20
None,Torino,ITA,1,1572.60961914,2020-10-21,2020-10-21
None,Torino,ITA,1,1573.86816406,2020-10-22,2020-10-22
None,Torino,ITA,1,1573.92785645,2020-10-23,2020-10-23
None,Torino,ITA,1,1577.69165039,2020-10-24,2020-10-27
