Rank,Club,Country,Level,Elo,From,To
None,Toulouse,FRA,1,1431.21289062,2020-01-12,2020-01-26
None,Toulouse,FRA,1,1428.15673828,2020-01-27,2020-02-01
None,Toulouse,FRA,1,1431.03295898,2020-02-02,2020-02-05
None,Toulouse,FRA,1,1425.09790039,2020-02-06,2020-02-08
None,Toulouse,FRA,1,1423.16137695,2020-02-09,2020-02-15
None,Toulouse,FRA,1,1415.75744629,2020-02-16,2020-02-18
None,Toulouse,FRA,1,1414.13098145,2020-02-19,2020-02-22
None,Toulouse,FRA,1,1409.98364258,2020-02-23,2020-02-26
None,Toulouse,FRA,1,1412.58227539,2020-02-27,2020-02-29
None,Toulouse,FRA,1,1406.61755371,2020-03-01,2020-03-07
None,Toulouse,FRA,1,1402.14892578,2020-03-08,2020-03-11
None,Toulouse,FRA,1,1407.09606934,2020-03-12,2020-07-01
None,Toulouse,FRA,2,1407.09606934,2020-07-02,2020-08-07
None,Toulouse,FRA,2,1409.78027344,2020-08-08,2020-08-12
None,Toulouse,FRA,2,1412.12341309,2020-08-13,2020-08-15
None,Toulouse,FRA,2,1420.33081055,2020-08-16,2020-08-18
None,Toulouse,FRA,2,1424.7355957,2020-08-19,2020-08-19
None,Toulouse,FRA,2,1423.31665039,2020-08-20,2020-08-22
None,Toulouse,FRA,2,1411.71728516,2020-08-23,2020-08-23
None,Toulouse,FRA,2,1409.66687012,2020-08-24,2020-08-29
None,Toulouse,FRA,2,1398.9498291,2020-08-30,2020-09-14
None,Toulouse,FRA,2,1397.31054688,2020-09-15,2020-09-17
None,Toulouse,FRA,2,1399.76330566,2020-09-18,2020-09-19
None,Toulouse,FRA,2,1403.38598633,2020-09-20,2020-09-24
None,Toulouse,FRA,2,1402.21520996,2020-09-25,2020-09-26
None,Toulouse,FRA,2,1411.47387695,2020-09-27,2020-10-03
None,Toulouse,FRA,2,1412.61523438,2020-10-04,2020-10-17
None,Toulouse,FRA,2,1422.37841797,2020-10-18,2020-10-20
None,Toulouse,FRA,2,1416.00769043,2020-10-21,2020-10-21
None,Toulouse,FRA,2,1413.75366211,2020-10-22,2020-10-22
None,Toulouse,FRA,2,1414.76940918,2020-10-23,2020-10-24
None,Toulouse,FRA,2,1422.99633789,2020-10-25,2020-10-27
None,Toulouse,FRA,2,1420.72167969,2020-10-28,2020-10-28
None,Toulouse,FRA,2,1420.81054688,2020-10-29,2020-10-29
None,Toulouse,FRA,2,1420.40905762,2020-10-30,2020-11-02
None,Toulouse,FRA,2,1431.47424316,2020-11-03,2020-11-03
None,Toulouse,FRA,2,1427.96166992,2020-11-04,2020-11-04
None,Toulouse,FRA,2,1423.23242188,2020-11-05,2020-11-05
None,Toulouse,FRA,2,1428.62658691,2020-11-06,2020-11-07
None,Toulouse,FRA,2,1418.08532715,2020-11-08,2020-11-21
None,Toulouse,FRA,2,1416.39819336,2020-11-22,2020-11-24
None,Toulouse,FRA,2,1417.19592285,2020-11-25,2020-11-25
None,Toulouse,FRA,2,1413.03259277,2020-11-26,2020-11-26
None,Toulouse,FRA,2,1408.39819336,2020-11-27,2020-11-28
None,Toulouse,FRA,2,1413.56347656,2020-11-29,2020-12-01
None,Toulouse,FRA,2,1427.63378906,2020-12-02,2020-12-02
None,Toulouse,FRA,2,1429.1583252,2020-12-03,2020-12-03
None,Toulouse,FRA,2,1428.95654297,2020-12-04,2020-12-05
None,Toulouse,FRA,2,1427.12304688,2020-12-06,2020-12-08
None,Toulouse,FRA,2,1424.89306641,2020-12-09,2020-12-09
None,Toulouse,FRA,2,1424.64074707,2020-12-10,2020-12-10
None,Toulouse,FRA,2,1416.58703613,2020-12-11,2020-12-12
None,Toulouse,FRA,2,1427.94812012,2020-12-13,2020-12-19
None,Toulouse,FRA,2,1434.4979248,2020-12-20,2020-12-22
None,Toulouse,FRA,2,1444.3092041,2020-12-23,2021-01-05
None,Toulouse,FRA,2,1450.2767334,2021-01-06,2021-01-11
None,Toulouse,FRA,2,1449.95324707,2021-01-12,2021-01-16
None,Toulouse,FRA,2,1459.22741699,2021-01-17,2021-01-25
None,Toulouse,FRA,2,1466.34460449,2021-01-26,2021-01-30
None,Toulouse,FRA,2,1474.27587891,2021-01-31,2021-02-02
None,Toulouse,FRA,2,1462.34460449,2021-02-03,2021-02-06
None,Toulouse,FRA,2,1464.64404297,2021-02-07,2021-02-15
None,Toulouse,FRA,2,1474.56433105,2021-02-16,2021-02-16
None,Toulouse,FRA,2,1482.51342773,2021-02-17,2021-02-18
None,Toulouse,FRA,2,1479.57910156,2021-02-19,2021-02-20
None,Toulouse,FRA,2,1468.90820312,2021-02-21,2021-02-25
None,Toulouse,FRA,2,1466.96936035,2021-02-26,2021-02-27
None,Toulouse,FRA,2,1477.31323242,2021-02-28,2021-03-02
None,Toulouse,FRA,2,1467.88720703,2021-03-03,2021-03-10
None,Toulouse,FRA,2,1468.65783691,2021-03-11,2021-03-13
None,Toulouse,FRA,2,1475.21020508,2021-03-14,2021-03-20
None,Toulouse,FRA,2,1463.83081055,2021-03-21,2021-04-03
None,Toulouse,FRA,2,1473.82666016,2021-04-04,2021-04-07
None,Toulouse,FRA,2,1478.43066406,2021-04-08,2021-04-12
None,Toulouse,FRA,2,1476.33422852,2021-04-13,2021-04-13
None,Toulouse,FRA,2,1476.58898926,2021-04-14,2021-04-17
None,Toulouse,FRA,2,1479.54003906,2021-04-18,2021-04-28
None,Toulouse,FRA,2,1477.83874512,2021-04-29,2021-05-01
None,Toulouse,FRA,2,1465.93652344,2021-05-02,2021-05-04
None,Toulouse,FRA,2,1470.97167969,2021-05-05,2021-05-08
None,Toulouse,FRA,2,1478.01513672,2021-05-09,2021-05-12
None,Toulouse,FRA,2,1473.62585449,2021-05-13,2021-05-15
None,Toulouse,FRA,2,1470.35559082,2021-05-16,2021-05-21
None,Toulouse,FRA,2,1480.83398438,2021-05-22,2021-07-24
None,Toulouse,FRA,2,1477.16113281,2021-07-25,2021-07-31
None,Toulouse,FRA,2,1489.76708984,2021-08-01,2021-08-03
None,Toulouse,FRA,2,1492.58337402,2021-08-04,2021-08-07
None,Toulouse,FRA,2,1498.08361816,2021-08-08,2021-08-10
None,Toulouse,FRA,2,1499.69482422,2021-08-11,2021-08-14
None,Toulouse,FRA,2,1502.90161133,2021-08-15,2021-08-17
None,Toulouse,FRA,2,1499.92175293,2021-08-18,2021-08-19
None,Toulouse,FRA,2,1501.71069336,2021-08-20,2021-08-21
None,Toulouse,FRA,2,1509.88720703,2021-08-22,2021-08-25
None,Toulouse,FRA,2,1508.87304688,2021-08-26,2021-08-26
None,Toulouse,FRA,2,1510.89758301,2021-08-27,2021-08-28
None,Toulouse,FRA,2,1514.32739258,2021-08-29,2021-09-13
None,Toulouse,FRA,2,1511.79394531,2021-09-14,2021-09-14
None,Toulouse,FRA,2,1511.77319336,2021-09-15,2021-09-15
None,Toulouse,FRA,2,1509.68688965,2021-09-16,2021-09-16
None,Toulouse,FRA,2,1517.73400879,2021-09-17,2021-09-18
None,Toulouse,FRA,2,1525.78076172,2021-09-19,2021-09-21
None,Toulouse,FRA,2,1530.82739258,2021-09-22,2021-09-27
None,Toulouse,FRA,2,1517.66809082,2021-09-28,2021-09-28
None,Toulouse,FRA,2,1522.74829102,2021-09-29,2021-09-29
None,Toulouse,FRA,2,1520.81970215,2021-09-30,2021-09-30
None,Toulouse,FRA,2,1524.65039062,2021-10-01,2021-10-02
None,Toulouse,FRA,2,1521.4407959,2021-10-03,2021-10-16
None,Toulouse,FRA,2,1536.31188965,2021-10-17,2021-10-19
None,Toulouse,FRA,2,1537.78186035,2021-10-20,2021-10-20
None,Toulouse,FRA,2,1538.31530762,2021-10-21,2021-10-21
None,Toulouse,FRA,2,1546.53356934,2021-10-22,2021-10-23
None,Toulouse,FRA,2,1544.92944336,2021-10-24,2021-10-30
None,Toulouse,FRA,2,1540.71032715,2021-10-31,2021-11-02
None,Toulouse,FRA,2,1545.73620605,2021-11-03,2021-11-03
None,Toulouse,FRA,2,1545.05029297,2021-11-04,2021-11-04
None,Toulouse,FRA,2,1545.72253418,2021-11-05,2021-11-06
None,Toulouse,FRA,2,1541.33789062,2021-11-07,2021-11-20
None,Toulouse,FRA,2,1549.62243652,2021-11-21,2021-11-23
None,Toulouse,FRA,2,1552.37805176,2021-11-24,2021-11-24
None,Toulouse,FRA,2,1550.76586914,2021-11-25,2021-11-25
None,Toulouse,FRA,2,1548.83276367,2021-11-26,2021-12-06
None,Toulouse,FRA,2,1536.90307617,2021-12-07,2021-12-07
None,Toulouse,FRA,2,1537.80627441,2021-12-08,2021-12-08
None,Toulouse,FRA,2,1542.77978516,2021-12-09,2021-12-09
None,Toulouse,FRA,2,1540.85961914,2021-12-10,2021-12-13
None,Toulouse,FRA,2,1536.48791504,2021-12-14,2021-12-21
None,Toulouse,FRA,2,1543.74584961,2021-12-22,2022-01-15
None,Toulouse,FRA,2,1538.92590332,2022-01-16,2022-01-19
None,Toulouse,FRA,2,1544.99401855,2022-01-20,2022-01-22
None,Toulouse,FRA,2,1541.03686523,2022-01-23,2022-02-05
None,Toulouse,FRA,2,1548.62060547,2022-02-06,2022-02-12
None,Toulouse,FRA,2,1555.40795898,2022-02-13,2022-02-15
None,Toulouse,FRA,2,1556.88623047,2022-02-16,2022-02-17
None,Toulouse,FRA,2,1557.85046387,2022-02-18,2022-02-21
None,Toulouse,FRA,2,1565.81286621,2022-02-22,2022-02-22
None,Toulouse,FRA,2,1564.54943848,2022-02-23,2022-02-24
None,Toulouse,FRA,2,1566.13500977,2022-02-25,2022-02-28
None,Toulouse,FRA,2,1572.84716797,2022-03-01,2022-03-07
