Rank,Club,Country,Level,Elo,From,To
None,Troyes,FRA,2,1487.39575195,2020-01-11,2020-01-27
None,Troyes,FRA,2,1479.67651367,2020-01-28,2020-01-31
None,Troyes,FRA,2,1467.50012207,2020-02-01,2020-02-04
None,Troyes,FRA,2,1461.43066406,2020-02-05,2020-02-07
None,Troyes,FRA,2,1467.28149414,2020-02-08,2020-02-14
None,Troyes,FRA,2,1475.35571289,2020-02-15,2020-02-18
None,Troyes,FRA,2,1473.72924805,2020-02-19,2020-02-24
None,Troyes,FRA,2,1480.29882812,2020-02-25,2020-02-26
None,Troyes,FRA,2,1482.89746094,2020-02-27,2020-02-28
None,Troyes,FRA,2,1489.87988281,2020-02-29,2020-03-06
None,Troyes,FRA,2,1485.24865723,2020-03-07,2020-03-11
None,Troyes,FRA,2,1490.19580078,2020-03-12,2020-08-07
None,Troyes,FRA,2,1492.88000488,2020-08-08,2020-08-12
None,Troyes,FRA,2,1495.22314453,2020-08-13,2020-08-15
None,Troyes,FRA,2,1503.43054199,2020-08-16,2020-08-18
None,Troyes,FRA,2,1507.83532715,2020-08-19,2020-08-19
None,Troyes,FRA,2,1506.41638184,2020-08-20,2020-08-23
None,Troyes,FRA,2,1504.3659668,2020-08-24,2020-08-24
None,Troyes,FRA,2,1512.79589844,2020-08-25,2020-08-29
None,Troyes,FRA,2,1502.4173584,2020-08-30,2020-09-12
None,Troyes,FRA,2,1506.76513672,2020-09-13,2020-09-17
None,Troyes,FRA,2,1509.21789551,2020-09-18,2020-09-21
None,Troyes,FRA,2,1498.88745117,2020-09-22,2020-09-24
None,Troyes,FRA,2,1497.7166748,2020-09-25,2020-09-28
None,Troyes,FRA,2,1504.05993652,2020-09-29,2020-10-03
None,Troyes,FRA,2,1502.9185791,2020-10-04,2020-10-17
None,Troyes,FRA,2,1508.58972168,2020-10-18,2020-10-20
None,Troyes,FRA,2,1502.21911621,2020-10-21,2020-10-21
None,Troyes,FRA,2,1499.96496582,2020-10-22,2020-10-22
None,Troyes,FRA,2,1500.98083496,2020-10-23,2020-10-24
None,Troyes,FRA,2,1496.77722168,2020-10-25,2020-10-27
None,Troyes,FRA,2,1494.50256348,2020-10-28,2020-10-28
None,Troyes,FRA,2,1494.59143066,2020-10-29,2020-10-29
None,Troyes,FRA,2,1494.18994141,2020-10-30,2020-10-31
None,Troyes,FRA,2,1509.32177734,2020-11-01,2020-11-03
None,Troyes,FRA,2,1505.80908203,2020-11-04,2020-11-04
None,Troyes,FRA,2,1501.07983398,2020-11-05,2020-11-05
None,Troyes,FRA,2,1506.47399902,2020-11-06,2020-11-07
None,Troyes,FRA,2,1500.24719238,2020-11-08,2020-11-24
None,Troyes,FRA,2,1501.0447998,2020-11-25,2020-11-25
None,Troyes,FRA,2,1496.8815918,2020-11-26,2020-11-26
None,Troyes,FRA,2,1492.24707031,2020-11-27,2020-11-28
None,Troyes,FRA,2,1498.15795898,2020-11-29,2020-12-01
None,Troyes,FRA,2,1508.27905273,2020-12-02,2020-12-02
None,Troyes,FRA,2,1509.80358887,2020-12-03,2020-12-03
None,Troyes,FRA,2,1509.60180664,2020-12-04,2020-12-05
None,Troyes,FRA,2,1514.48535156,2020-12-06,2020-12-08
None,Troyes,FRA,2,1512.25537109,2020-12-09,2020-12-09
None,Troyes,FRA,2,1512.00305176,2020-12-10,2020-12-10
None,Troyes,FRA,2,1503.94934082,2020-12-11,2020-12-12
None,Troyes,FRA,2,1502.56896973,2020-12-13,2020-12-15
None,Troyes,FRA,2,1507.79772949,2020-12-16,2020-12-18
None,Troyes,FRA,2,1511.18054199,2020-12-19,2020-12-22
None,Troyes,FRA,2,1497.69580078,2020-12-23,2021-01-05
None,Troyes,FRA,2,1502.05505371,2021-01-06,2021-01-08
None,Troyes,FRA,2,1497.64758301,2021-01-09,2021-01-16
None,Troyes,FRA,2,1502.47619629,2021-01-17,2021-01-23
None,Troyes,FRA,2,1506.02990723,2021-01-24,2021-01-30
None,Troyes,FRA,2,1513.3996582,2021-01-31,2021-02-02
None,Troyes,FRA,2,1505.33764648,2021-02-03,2021-02-06
None,Troyes,FRA,2,1503.03833008,2021-02-07,2021-02-13
None,Troyes,FRA,2,1506.50158691,2021-02-14,2021-02-16
None,Troyes,FRA,2,1514.45068359,2021-02-17,2021-02-18
None,Troyes,FRA,2,1511.51635742,2021-02-19,2021-02-20
None,Troyes,FRA,2,1509.28930664,2021-02-21,2021-02-25
None,Troyes,FRA,2,1507.35058594,2021-02-26,2021-02-27
None,Troyes,FRA,2,1511.91540527,2021-02-28,2021-03-02
None,Troyes,FRA,2,1518.6730957,2021-03-03,2021-03-10
None,Troyes,FRA,2,1519.44372559,2021-03-11,2021-03-13
None,Troyes,FRA,2,1494.47717285,2021-03-14,2021-03-20
None,Troyes,FRA,2,1480.80358887,2021-03-21,2021-04-03
None,Troyes,FRA,2,1485.42541504,2021-04-04,2021-04-07
None,Troyes,FRA,2,1490.02941895,2021-04-08,2021-04-10
None,Troyes,FRA,2,1489.32751465,2021-04-11,2021-04-13
None,Troyes,FRA,2,1489.58227539,2021-04-14,2021-04-17
None,Troyes,FRA,2,1493.57678223,2021-04-18,2021-04-20
None,Troyes,FRA,2,1501.20507812,2021-04-21,2021-04-24
None,Troyes,FRA,2,1509.328125,2021-04-25,2021-04-28
None,Troyes,FRA,2,1507.62683105,2021-04-29,2021-05-01
None,Troyes,FRA,2,1511.21875,2021-05-02,2021-05-04
None,Troyes,FRA,2,1509.72827148,2021-05-05,2021-05-08
None,Troyes,FRA,2,1514.31640625,2021-05-09,2021-05-15
None,Troyes,FRA,2,1503.44311523,2021-05-16,2021-07-01
None,Troyes,FRA,1,1503.44311523,2021-07-02,2021-08-03
None,Troyes,FRA,1,1506.25939941,2021-08-04,2021-08-07
None,Troyes,FRA,1,1504.6282959,2021-08-08,2021-08-10
None,Troyes,FRA,1,1506.23950195,2021-08-11,2021-08-15
