Rank,Club,Country,Level,Elo,From,To
None,Udinese,ITA,1,1566.1730957,2020-01-07,2020-01-12
None,Udinese,ITA,1,1577.91125488,2020-01-13,2020-01-19
None,Udinese,ITA,1,1573.67529297,2020-01-20,2020-01-26
None,Udinese,ITA,1,1564.14257812,2020-01-27,2020-02-02
None,Udinese,ITA,1,1558.34033203,2020-02-03,2020-02-09
None,Udinese,ITA,1,1557.08032227,2020-02-10,2020-02-16
None,Udinese,ITA,1,1555.31066895,2020-02-17,2020-02-19
None,Udinese,ITA,1,1560.62451172,2020-02-20,2020-02-20
None,Udinese,ITA,1,1563.27124023,2020-02-21,2020-02-22
None,Udinese,ITA,1,1565.72619629,2020-02-23,2020-02-25
None,Udinese,ITA,1,1565.78894043,2020-02-26,2020-02-26
None,Udinese,ITA,1,1563.39770508,2020-02-27,2020-02-27
None,Udinese,ITA,1,1564.85424805,2020-02-28,2020-03-08
None,Udinese,ITA,1,1565.02502441,2020-03-09,2020-03-10
None,Udinese,ITA,1,1566.82006836,2020-03-11,2020-06-23
None,Udinese,ITA,1,1561.05554199,2020-06-24,2020-06-28
None,Udinese,ITA,1,1557.96203613,2020-06-29,2020-07-02
None,Udinese,ITA,1,1576.79162598,2020-07-03,2020-07-05
None,Udinese,ITA,1,1574.45776367,2020-07-06,2020-07-09
None,Udinese,ITA,1,1587.21228027,2020-07-10,2020-07-12
None,Udinese,ITA,1,1573.85168457,2020-07-13,2020-07-15
None,Udinese,ITA,1,1576.71166992,2020-07-16,2020-07-19
None,Udinese,ITA,1,1573.94958496,2020-07-20,2020-07-23
None,Udinese,ITA,1,1588.29589844,2020-07-24,2020-07-26
None,Udinese,ITA,1,1597.47509766,2020-07-27,2020-07-29
None,Udinese,ITA,1,1585.54040527,2020-07-30,2020-08-02
None,Udinese,ITA,1,1596.4342041,2020-08-03,2020-08-05
100,Udinese,ITA,1,1599.72570801,2020-08-06,2020-08-06
None,Udinese,ITA,1,1596.4699707,2020-08-07,2020-08-07
None,Udinese,ITA,1,1594.02783203,2020-08-08,2020-08-08
None,Udinese,ITA,1,1592.34472656,2020-08-09,2020-08-10
None,Udinese,ITA,1,1594.96154785,2020-08-11,2020-08-12
None,Udinese,ITA,1,1592.84240723,2020-08-13,2020-08-17
None,Udinese,ITA,1,1598.38195801,2020-08-18,2020-08-21
None,Udinese,ITA,1,1595.43981934,2020-08-22,2020-09-17
None,Udinese,ITA,1,1595.73681641,2020-09-18,2020-09-24
None,Udinese,ITA,1,1596.38427734,2020-09-25,2020-09-27
None,Udinese,ITA,1,1588.21081543,2020-09-28,2020-09-30
None,Udinese,ITA,1,1570.23217773,2020-10-01,2020-10-01
None,Udinese,ITA,1,1568.48461914,2020-10-02,2020-10-03
None,Udinese,ITA,1,1563.71862793,2020-10-04,2020-10-18
None,Udinese,ITA,1,1570.75061035,2020-10-19,2020-10-20
None,Udinese,ITA,1,1578.1854248,2020-10-21,2020-10-21
None,Udinese,ITA,1,1579.44384766,2020-10-22,2020-10-22
None,Udinese,ITA,1,1579.50354004,2020-10-23,2020-10-25
None,Udinese,ITA,1,1573.98840332,2020-10-26,2020-10-27
None,Udinese,ITA,1,1572.74865723,2020-10-28,2020-10-28
None,Udinese,ITA,1,1569.13085938,2020-10-29,2020-10-29
None,Udinese,ITA,1,1570.83374023,2020-10-30,2020-11-01
None,Udinese,ITA,1,1567.0135498,2020-11-02,2020-11-03
None,Udinese,ITA,1,1561.48339844,2020-11-04,2020-11-04
None,Udinese,ITA,1,1563.5513916,2020-11-05,2020-11-05
None,Udinese,ITA,1,1559.76159668,2020-11-06,2020-11-06
None,Udinese,ITA,1,1563.82092285,2020-11-07,2020-11-22
None,Udinese,ITA,1,1570.14538574,2020-11-23,2020-11-24
None,Udinese,ITA,1,1573.2845459,2020-11-25,2020-11-25
None,Udinese,ITA,1,1576.6373291,2020-11-26,2020-11-26
None,Udinese,ITA,1,1579.46008301,2020-11-27,2020-11-29
100,Udinese,ITA,1,1597.95117188,2020-11-30,2020-11-30
None,Udinese,ITA,1,1597.95117188,2020-12-01,2020-12-01
97,Udinese,ITA,1,1598.76171875,2020-12-02,2020-12-02
97,Udinese,ITA,1,1601.80322266,2020-12-03,2020-12-03
95,Udinese,ITA,1,1603.8125,2020-12-04,2020-12-05
96,Udinese,ITA,1,1603.8125,2020-12-06,2020-12-06
95,Udinese,ITA,1,1603.8125,2020-12-07,2020-12-08
93,Udinese,ITA,1,1609.06567383,2020-12-09,2020-12-09
93,Udinese,ITA,1,1610.49597168,2020-12-10,2020-12-10
94,Udinese,ITA,1,1604.06994629,2020-12-11,2020-12-12
90,Udinese,ITA,1,1612.39135742,2020-12-13,2020-12-13
91,Udinese,ITA,1,1612.39135742,2020-12-14,2020-12-14
90,Udinese,ITA,1,1612.39135742,2020-12-15,2020-12-15
92,Udinese,ITA,1,1608.42810059,2020-12-16,2020-12-16
91,Udinese,ITA,1,1608.42810059,2020-12-17,2020-12-19
92,Udinese,ITA,1,1608.42810059,2020-12-20,2020-12-20
92,Udinese,ITA,1,1609.07678223,2020-12-21,2020-12-23
99,Udinese,ITA,1,1594.73913574,2020-12-24,2020-12-26
100,Udinese,ITA,1,1594.73913574,2020-12-27,2021-01-02
98,Udinese,ITA,1,1594.73913574,2021-01-03,2021-01-03
None,Udinese,ITA,1,1590.9197998,2021-01-04,2021-01-06
None,Udinese,ITA,1,1591.89611816,2021-01-07,2021-01-10
None,Udinese,ITA,1,1587.27575684,2021-01-11,2021-01-16
None,Udinese,ITA,1,1580.67822266,2021-01-17,2021-01-20
None,Udinese,ITA,1,1586.26062012,2021-01-21,2021-01-23
None,Udinese,ITA,1,1592.23376465,2021-01-24,2021-01-31
98,Udinese,ITA,1,1599.16455078,2021-02-01,2021-02-02
97,Udinese,ITA,1,1599.16455078,2021-02-03,2021-02-04
96,Udinese,ITA,1,1599.16455078,2021-02-05,2021-02-05
97,Udinese,ITA,1,1599.16455078,2021-02-06,2021-02-07
92,Udinese,ITA,1,1610.04736328,2021-02-08,2021-02-14
93,Udinese,ITA,1,1603.64538574,2021-02-15,2021-02-15
95,Udinese,ITA,1,1603.64538574,2021-02-16,2021-02-16
96,Udinese,ITA,1,1603.64538574,2021-02-17,2021-02-17
97,Udinese,ITA,1,1601.70788574,2021-02-18,2021-02-18
97,Udinese,ITA,1,1600.46154785,2021-02-19,2021-02-19
98,Udinese,ITA,1,1600.46154785,2021-02-20,2021-02-20
97,Udinese,ITA,1,1600.46154785,2021-02-21,2021-02-21
99,Udinese,ITA,1,1599.00634766,2021-02-22,2021-02-23
99,Udinese,ITA,1,1597.86816406,2021-02-24,2021-02-24
99,Udinese,ITA,1,1595.98486328,2021-02-25,2021-02-25
97,Udinese,ITA,1,1598.58642578,2021-02-26,2021-02-28
95,Udinese,ITA,1,1606.6628418,2021-03-01,2021-03-03
90,Udinese,ITA,1,1612.12084961,2021-03-04,2021-03-06
83,Udinese,ITA,1,1623.81530762,2021-03-07,2021-03-07
82,Udinese,ITA,1,1623.81530762,2021-03-08,2021-03-09
83,Udinese,ITA,1,1622.4395752,2021-03-10,2021-03-10
84,Udinese,ITA,1,1622.4395752,2021-03-11,2021-03-11
81,Udinese,ITA,1,1628.32421875,2021-03-12,2021-03-12
82,Udinese,ITA,1,1628.32421875,2021-03-13,2021-03-13
84,Udinese,ITA,1,1628.15124512,2021-03-14,2021-03-16
84,Udinese,ITA,1,1625.70288086,2021-03-17,2021-03-17
84,Udinese,ITA,1,1625.69165039,2021-03-18,2021-03-18
83,Udinese,ITA,1,1624.54699707,2021-03-19,2021-03-20
82,Udinese,ITA,1,1624.54699707,2021-03-21,2021-03-21
85,Udinese,ITA,1,1618.85986328,2021-03-22,2021-04-03
89,Udinese,ITA,1,1616.01782227,2021-04-04,2021-04-04
88,Udinese,ITA,1,1616.01782227,2021-04-05,2021-04-06
89,Udinese,ITA,1,1616.01782227,2021-04-07,2021-04-08
87,Udinese,ITA,1,1619.23803711,2021-04-09,2021-04-10
96,Udinese,ITA,1,1609.3815918,2021-04-11,2021-04-11
95,Udinese,ITA,1,1609.3815918,2021-04-12,2021-04-15
95,Udinese,ITA,1,1610.3939209,2021-04-16,2021-04-16
96,Udinese,ITA,1,1610.3939209,2021-04-17,2021-04-17
90,Udinese,ITA,1,1615.79052734,2021-04-18,2021-04-20
91,Udinese,ITA,1,1615.79052734,2021-04-21,2021-04-21
99,Udinese,ITA,1,1604.86791992,2021-04-22,2021-04-25
91,Udinese,ITA,1,1615.61621094,2021-04-26,2021-04-26
90,Udinese,ITA,1,1615.61621094,2021-04-27,2021-04-29
91,Udinese,ITA,1,1613.44128418,2021-04-30,2021-05-01
92,Udinese,ITA,1,1613.44128418,2021-05-02,2021-05-02
96,Udinese,ITA,1,1609.62451172,2021-05-03,2021-05-03
97,Udinese,ITA,1,1609.62451172,2021-05-04,2021-05-05
95,Udinese,ITA,1,1609.62451172,2021-05-06,2021-05-06
95,Udinese,ITA,1,1610.08862305,2021-05-07,2021-05-08
95,Udinese,ITA,1,1608.85583496,2021-05-09,2021-05-11
96,Udinese,ITA,1,1602.77209473,2021-05-12,2021-05-12
95,Udinese,ITA,1,1602.77209473,2021-05-13,2021-05-15
94,Udinese,ITA,1,1602.77209473,2021-05-16,2021-05-16
99,Udinese,ITA,1,1594.15527344,2021-05-17,2021-05-20
100,Udinese,ITA,1,1594.15527344,2021-05-21,2021-05-23
None,Udinese,ITA,1,1590.83837891,2021-05-24,2021-08-19
None,Udinese,ITA,1,1591.6270752,2021-08-20,2021-08-22
100,Udinese,ITA,1,1597.16564941,2021-08-23,2021-08-23
99,Udinese,ITA,1,1597.16564941,2021-08-24,2021-08-26
99,Udinese,ITA,1,1598.27722168,2021-08-27,2021-08-27
96,Udinese,ITA,1,1606.18798828,2021-08-28,2021-08-29
97,Udinese,ITA,1,1606.18798828,2021-08-30,2021-09-05
96,Udinese,ITA,1,1606.18798828,2021-09-06,2021-09-06
95,Udinese,ITA,1,1606.18798828,2021-09-07,2021-09-12
88,Udinese,ITA,1,1613.59362793,2021-09-13,2021-09-14
87,Udinese,ITA,1,1616.88781738,2021-09-15,2021-09-15
89,Udinese,ITA,1,1612.42578125,2021-09-16,2021-09-16
91,Udinese,ITA,1,1610.58117676,2021-09-17,2021-09-18
92,Udinese,ITA,1,1610.58117676,2021-09-19,2021-09-20
98,Udinese,ITA,1,1602.48608398,2021-09-21,2021-09-22
97,Udinese,ITA,1,1602.48608398,2021-09-23,2021-09-23
None,Udinese,ITA,1,1598.80688477,2021-09-24,2021-09-26
None,Udinese,ITA,1,1590.99475098,2021-09-27,2021-09-28
None,Udinese,ITA,1,1586.50891113,2021-09-29,2021-09-29
None,Udinese,ITA,1,1591.06140137,2021-09-30,2021-09-30
None,Udinese,ITA,1,1589.45532227,2021-10-01,2021-10-03
None,Udinese,ITA,1,1592.06335449,2021-10-04,2021-10-17
None,Udinese,ITA,1,1591.37414551,2021-10-18,2021-10-19
None,Udinese,ITA,1,1589.44726562,2021-10-20,2021-10-20
None,Udinese,ITA,1,1589.73779297,2021-10-21,2021-10-21
None,Udinese,ITA,1,1580.61169434,2021-10-22,2021-10-24
None,Udinese,ITA,1,1587.23278809,2021-10-25,2021-10-27
None,Udinese,ITA,1,1586.08996582,2021-10-28,2021-10-31
None,Udinese,ITA,1,1583.53625488,2021-11-01,2021-11-02
None,Udinese,ITA,1,1585.29699707,2021-11-03,2021-11-03
None,Udinese,ITA,1,1585.5111084,2021-11-04,2021-11-04
None,Udinese,ITA,1,1585.53955078,2021-11-05,2021-11-07
None,Udinese,ITA,1,1594.66491699,2021-11-08,2021-11-22
None,Udinese,ITA,1,1587.57189941,2021-11-23,2021-11-23
None,Udinese,ITA,1,1584.17370605,2021-11-24,2021-11-24
None,Udinese,ITA,1,1584.53125,2021-11-25,2021-11-25
None,Udinese,ITA,1,1589.70300293,2021-11-26,2021-11-28
