Rank,Club,Country,Level,Elo,From,To
75,Werder,GER,1,1646.15332031,2020-01-19,2020-01-25
74,Werder,GER,1,1646.15332031,2020-01-26,2020-01-26
84,Werder,GER,1,1632.10717773,2020-01-27,2020-01-31
85,Werder,GER,1,1632.10717773,2020-02-01,2020-02-01
87,Werder,GER,1,1625.32800293,2020-02-02,2020-02-02
85,Werder,GER,1,1625.32800293,2020-02-03,2020-02-05
84,Werder,GER,1,1625.32800293,2020-02-06,2020-02-08
88,Werder,GER,1,1609.9630127,2020-02-09,2020-02-09
89,Werder,GER,1,1609.9630127,2020-02-10,2020-02-15
94,Werder,GER,1,1605.7668457,2020-02-16,2020-02-16
95,Werder,GER,1,1605.7668457,2020-02-17,2020-02-17
94,Werder,GER,1,1605.7668457,2020-02-18,2020-02-18
93,Werder,GER,1,1607.23669434,2020-02-19,2020-02-19
92,Werder,GER,1,1610.22717285,2020-02-20,2020-02-20
88,Werder,GER,1,1618.33605957,2020-02-21,2020-02-22
90,Werder,GER,1,1613.09082031,2020-02-23,2020-02-25
88,Werder,GER,1,1616.19128418,2020-02-26,2020-02-26
89,Werder,GER,1,1616.19128418,2020-02-27,2020-02-27
85,Werder,GER,1,1625.3717041,2020-02-28,2020-02-28
84,Werder,GER,1,1626.9005127,2020-02-29,2020-02-29
83,Werder,GER,1,1626.9005127,2020-03-01,2020-03-03
82,Werder,GER,1,1626.9005127,2020-03-04,2020-03-06
83,Werder,GER,1,1626.9005127,2020-03-07,2020-03-07
81,Werder,GER,1,1628.34338379,2020-03-08,2020-03-10
80,Werder,GER,1,1632.22412109,2020-03-11,2020-03-11
82,Werder,GER,1,1627.84558105,2020-03-12,2020-03-12
86,Werder,GER,1,1619.22058105,2020-03-13,2020-05-18
88,Werder,GER,1,1611.7713623,2020-05-19,2020-05-23
85,Werder,GER,1,1621.88427734,2020-05-24,2020-05-24
86,Werder,GER,1,1621.88427734,2020-05-25,2020-05-26
84,Werder,GER,1,1624.27185059,2020-05-27,2020-05-27
83,Werder,GER,1,1624.27185059,2020-05-28,2020-05-30
78,Werder,GER,1,1633.99987793,2020-05-31,2020-06-01
77,Werder,GER,1,1633.99987793,2020-06-02,2020-06-03
86,Werder,GER,1,1621.19494629,2020-06-04,2020-06-05
85,Werder,GER,1,1621.19494629,2020-06-06,2020-06-07
87,Werder,GER,1,1614.77697754,2020-06-08,2020-06-13
79,Werder,GER,1,1628.03930664,2020-06-14,2020-06-16
80,Werder,GER,1,1626.53527832,2020-06-17,2020-06-20
86,Werder,GER,1,1617.50146484,2020-06-21,2020-06-22
85,Werder,GER,1,1617.50146484,2020-06-23,2020-06-27
77,Werder,GER,1,1633.01916504,2020-06-28,2020-06-28
78,Werder,GER,1,1633.01916504,2020-06-29,2020-07-01
77,Werder,GER,1,1633.01916504,2020-07-02,2020-07-02
77,Werder,GER,1,1631.68615723,2020-07-03,2020-07-05
75,Werder,GER,1,1631.68615723,2020-07-06,2020-07-06
73,Werder,GER,1,1637.45678711,2020-07-07,2020-07-10
74,Werder,GER,1,1637.45678711,2020-07-11,2020-07-11
75,Werder,GER,1,1637.45678711,2020-07-12,2020-07-12
76,Werder,GER,1,1637.45678711,2020-07-13,2020-07-13
75,Werder,GER,1,1637.45678711,2020-07-14,2020-07-18
74,Werder,GER,1,1637.45678711,2020-07-19,2020-07-25
73,Werder,GER,1,1637.45678711,2020-07-26,2020-07-26
74,Werder,GER,1,1637.45678711,2020-07-27,2020-07-29
75,Werder,GER,1,1637.45678711,2020-07-30,2020-08-01
76,Werder,GER,1,1637.45678711,2020-08-02,2020-08-05
78,Werder,GER,1,1633.77648926,2020-08-06,2020-08-06
79,Werder,GER,1,1632.06567383,2020-08-07,2020-08-08
79,Werder,GER,1,1632.45263672,2020-08-09,2020-08-10
80,Werder,GER,1,1629.9395752,2020-08-11,2020-08-11
79,Werder,GER,1,1629.9395752,2020-08-12,2020-08-13
78,Werder,GER,1,1633.34094238,2020-08-14,2020-08-14
74,Werder,GER,1,1639.09838867,2020-08-15,2020-08-15
73,Werder,GER,1,1639.09838867,2020-08-16,2020-08-16
