league,slug,club,elo
premier-league,arsenal,"Arsenal",2073.2
premier-league,man-city,"Man City",1988.2
premier-league,aston-villa,"Aston Villa",1894.3
premier-league,man-united,"Man United",1894.7
premier-league,liverpool,"Liverpool",1906.1
premier-league,bournemouth,"Bournemouth",1863.2
premier-league,brighton,"Brighton",1852.8
premier-league,newcastle,"Newcastle",1852.4
premier-league,brentford,"Brentford",1848.9
premier-league,chelsea,"Chelsea",1851.1
premier-league,forest,"Forest",1814.1
premier-league,fulham,"Fulham",1791.4
premier-league,crystal-palace,"Crystal Palace",1779.9
premier-league,everton,"Everton",1818.9
premier-league,leeds,"Leeds",1809.2
premier-league,tottenham,"Tottenham",1751.1
premier-league,sunderland,"Sunderland",1735.4
premier-league,coventry,"Coventry",1644.8
premier-league,ipswich,"Ipswich",1645.7
premier-league,hull,"Hull",1573.2
la-liga,barcelona,"Barcelona",1966.5
la-liga,real-madrid,"Real Madrid",1934.8
la-liga,atletico,"Atletico",1838.4
la-liga,villarreal,"Villarreal",1748.8
la-liga,betis,"Betis",1742.4
la-liga,rayo-vallecano,"Rayo Vallecano",1689.3
la-liga,celta,"Celta",1670.1
la-liga,valencia,"Valencia",1667.4
la-liga,bilbao,"Bilbao",1674.3
la-liga,sociedad,"Sociedad",1666.4
la-liga,getafe,"Getafe",1646.9
la-liga,osasuna,"Osasuna",1669
la-liga,levante,"Levante",1647.6
la-liga,alaves,"Alaves",1665
la-liga,espanyol,"Espanyol",1632.1
la-liga,sevilla,"Sevilla",1645.3
la-liga,elche,"Elche",1606.7
la-liga,santander,"Santander",1587.8
la-liga,malaga,"Malaga",1559.4
la-liga,depor,"Depor",1567
serie-a,inter,"Inter",1896
serie-a,roma,"Roma",1814.1
serie-a,napoli,"Napoli",1778.5
serie-a,juventus,"Juventus",1784
serie-a,atalanta,"Atalanta",1774.3
serie-a,como,"Como",1771.3
serie-a,milan,"Milan",1764.2
serie-a,lazio,"Lazio",1720.4
serie-a,bologna,"Bologna",1683.4
serie-a,fiorentina,"Fiorentina",1635.4
serie-a,udinese,"Udinese",1656.1
serie-a,torino,"Torino",1607.7
serie-a,sassuolo,"Sassuolo",1625.4
serie-a,genoa,"Genoa",1601.9
serie-a,parma,"Parma",1582.3
serie-a,venezia,"Venezia",1573.8
serie-a,cagliari,"Cagliari",1601.9
serie-a,lecce,"Lecce",1576
serie-a,frosinone,"Frosinone",1583.9
serie-a,monza,"Monza",1532.2
bundesliga,bayern,"Bayern",2006.5
bundesliga,dortmund,"Dortmund",1839.4
bundesliga,leverkusen,"Leverkusen",1788.5
bundesliga,stuttgart,"Stuttgart",1758.2
bundesliga,rb-leipzig,"RB Leipzig",1770.8
bundesliga,freiburg,"Freiburg",1733.9
bundesliga,hoffenheim,"Hoffenheim",1688.5
bundesliga,mainz,"Mainz",1666.5
bundesliga,frankfurt,"Frankfurt",1664.4
bundesliga,gladbach,"Gladbach",1631.9
bundesliga,augsburg,"Augsburg",1645.5
bundesliga,union-berlin,"Union Berlin",1618.8
bundesliga,werder,"Werder",1597
bundesliga,hamburg,"Hamburg",1597.5
bundesliga,koeln,"Koeln",1580.1
bundesliga,paderborn,"Paderborn",1530.8
bundesliga,elversberg,"Elversberg",1538.9
bundesliga,schalke,"Schalke",1510.6
ligue-1,paris-sg,"Paris SG",1959
ligue-1,lens,"Lens",1764.7
ligue-1,lille,"Lille",1757.2
ligue-1,lyon,"Lyon",1740
ligue-1,monaco,"Monaco",1737.9
ligue-1,marseille,"Marseille",1719.2
ligue-1,rennes,"Rennes",1724.2
ligue-1,strasbourg,"Strasbourg",1706.2
ligue-1,toulouse,"Toulouse",1639.2
ligue-1,lorient,"Lorient",1624.5
ligue-1,paris-fc,"Paris FC",1640.2
ligue-1,auxerre,"Auxerre",1595.1
ligue-1,brest,"Brest",1617.7
ligue-1,nice,"Nice",1570.1
ligue-1,le-havre,"Le Havre",1578.1
ligue-1,angers,"Angers",1558.8
ligue-1,troyes,"Troyes",1537.1
ligue-1,le-mans,"Le Mans",1491.1
