league,slug,club,elo,xPts,pTitle,pTop4,pRelegation
premier-league,arsenal,"Arsenal",2066,83.2,0.7896,0.9904,0
premier-league,man-city,"Man City",1970.9,72,0.1226,0.8132,0
premier-league,aston-villa,"Aston Villa",1921,65.6,0.0308,0.5178,0.0004
premier-league,man-united,"Man United",1915.3,64.9,0.0256,0.4694,0.0002
premier-league,liverpool,"Liverpool",1910.8,64.3,0.0192,0.4462,0
premier-league,bournemouth,"Bournemouth",1872,59.2,0.0042,0.2032,0.0022
premier-league,brighton,"Brighton",1842,55.5,0.0014,0.1066,0.0092
premier-league,newcastle,"Newcastle",1837.5,54.9,0.0008,0.0952,0.0088
premier-league,brentford,"Brentford",1836.6,54.6,0.0018,0.0892,0.011
premier-league,chelsea,"Chelsea",1831.1,53.8,0.0016,0.0666,0.0114
premier-league,forest,"Forest",1822.2,52.7,0.0006,0.0588,0.015
premier-league,fulham,"Fulham",1813.1,51.5,0.0004,0.042,0.024
premier-league,crystal-palace,"Crystal Palace",1803.8,50.4,0.0006,0.032,0.027
premier-league,everton,"Everton",1803.4,50.3,0.0004,0.0318,0.0314
premier-league,leeds,"Leeds",1797.4,49.6,0.0002,0.0236,0.0384
premier-league,tottenham,"Tottenham",1777.3,47,0.0002,0.0126,0.0702
premier-league,sunderland,"Sunderland",1735.9,41.8,0,0.0014,0.1936
premier-league,coventry,"Coventry",1659.3,32.3,0,0,0.735
premier-league,ipswich,"Ipswich",1640,30.1,0,0,0.827
premier-league,hull,"Hull",1532.9,19.3,0,0,0.9952
la-liga,barcelona,"Barcelona",1951.6,85.5,0.6022,0.999,0
la-liga,real-madrid,"Real Madrid",1922.9,82.2,0.357,0.9912,0
la-liga,atletico,"Atletico",1831.7,70.7,0.0344,0.8304,0
la-liga,villarreal,"Villarreal",1756.2,61.3,0.0038,0.378,0.0012
la-liga,betis,"Betis",1753.2,60.7,0.0016,0.3334,0.0018
la-liga,celta,"Celta",1700.8,53.8,0.0002,0.099,0.0214
la-liga,valencia,"Valencia",1697.4,53.4,0.0006,0.087,0.0262
la-liga,rayo-vallecano,"Rayo Vallecano",1693.7,53,0,0.0822,0.0312
la-liga,bilbao,"Bilbao",1677.9,50.9,0,0.0522,0.0494
